Date,Open,High,Low,Close,Volume,Currency
2013-03-06,1.0,1.04,1.0,1.04,299000,MYR
2013-03-07,1.04,1.05,1.02,1.02,88900,MYR
2013-03-08,1.01,1.01,1.01,1.01,92500,MYR
2013-03-11,1.01,1.02,1.0,1.02,82300,MYR
2013-03-12,1.02,1.05,1.02,1.05,196300,MYR
2013-03-13,1.04,1.04,1.03,1.03,55300,MYR
2013-03-14,1.04,1.04,1.04,1.04,26000,MYR
2013-03-15,1.03,1.03,1.02,1.02,104800,MYR
2013-03-18,1.02,1.02,1.0,1.01,64400,MYR
2013-03-19,1.01,1.01,1.01,1.01,79600,MYR
2013-03-20,1.01,1.02,1.01,1.02,58700,MYR
2013-03-21,1.0,1.02,1.0,1.02,86000,MYR
2013-03-22,1.02,1.03,1.02,1.03,109900,MYR
2013-03-25,1.02,1.02,1.02,1.02,41000,MYR
2013-03-26,1.02,1.03,1.02,1.03,75100,MYR
2013-03-27,1.02,1.03,1.02,1.02,105700,MYR
2013-03-28,1.03,1.08,1.03,1.08,485100,MYR
2013-03-29,1.07,1.07,1.05,1.05,119000,MYR
2013-04-01,1.04,1.04,1.03,1.03,30000,MYR
2013-04-02,1.03,1.08,1.03,1.06,201000,MYR
2013-04-03,1.07,1.07,1.02,1.06,244000,MYR
2013-04-04,1.05,1.05,1.04,1.04,11600,MYR
2013-04-05,1.04,1.07,1.03,1.07,71400,MYR
2013-04-08,1.07,1.07,1.05,1.06,120600,MYR
2013-04-09,1.08,1.09,1.07,1.08,280800,MYR
2013-04-10,1.07,1.07,1.06,1.06,80000,MYR
2013-04-11,1.06,1.06,1.06,1.06,44100,MYR
2013-04-12,1.06,1.06,1.05,1.05,72000,MYR
2013-04-15,1.04,1.05,1.04,1.04,24600,MYR
2013-04-16,1.04,1.06,1.04,1.05,30300,MYR
2013-04-17,1.07,1.07,1.05,1.05,101000,MYR
2013-04-18,1.05,1.05,1.05,1.05,10000,MYR
2013-04-19,1.05,1.05,1.05,1.05,4000,MYR
2013-04-22,1.04,1.06,1.03,1.06,9500,MYR
2013-04-23,1.04,1.05,1.04,1.04,24000,MYR
2013-04-24,1.04,1.04,1.02,1.04,37000,MYR
2013-04-25,1.03,1.03,1.02,1.02,55000,MYR
2013-04-26,1.02,1.02,1.01,1.02,152000,MYR
2013-04-29,1.01,1.01,1.0,1.0,308000,MYR
2013-04-30,1.0,1.0,0.995,0.995,154800,MYR
2013-05-02,0.99,0.995,0.99,0.99,140700,MYR
2013-05-03,0.99,1.0,0.985,1.0,204100,MYR
2013-05-06,1.0,1.04,1.0,1.02,254500,MYR
2013-05-07,1.02,1.02,1.01,1.02,406200,MYR
2013-05-08,1.02,1.02,1.01,1.02,130500,MYR
2013-05-09,1.01,1.02,1.0,1.01,286400,MYR
2013-05-10,1.01,1.07,1.01,1.05,1126100,MYR
2013-05-13,1.07,1.09,1.05,1.08,786100,MYR
2013-05-14,1.09,1.09,1.05,1.09,612800,MYR
2013-05-15,1.1,1.1,1.09,1.09,771000,MYR
2013-05-16,1.09,1.09,1.07,1.07,247800,MYR
2013-05-17,1.08,1.08,1.06,1.07,109500,MYR
2013-05-20,1.08,1.12,1.07,1.12,1177800,MYR
2013-05-21,1.12,1.13,1.09,1.1,734700,MYR
2013-05-22,1.12,1.15,1.1,1.12,2319000,MYR
2013-05-23,1.13,1.13,1.09,1.09,729400,MYR
2013-05-27,1.08,1.11,1.08,1.1,283800,MYR
2013-05-28,1.1,1.12,1.1,1.1,386000,MYR
2013-05-29,1.1,1.1,1.08,1.08,366900,MYR
2013-05-30,1.08,1.1,1.08,1.09,758500,MYR
2013-05-31,1.09,1.1,1.09,1.09,107000,MYR
2013-06-03,1.08,1.08,1.06,1.06,176500,MYR
2013-06-04,1.06,1.07,1.06,1.07,169400,MYR
2013-06-05,1.07,1.1,1.07,1.07,89500,MYR
2013-06-06,1.07,1.07,1.07,1.07,25800,MYR
2013-06-07,1.07,1.12,1.07,1.11,536800,MYR
