Date,Open,High,Low,Close,Volume,Currency
2013-07-11,1.013,1.021,1.005,1.021,36178400,MYR
2013-07-12,1.021,1.021,1.005,1.013,11046700,MYR
2013-07-15,1.013,1.013,1.005,1.005,13502100,MYR
2013-07-16,1.005,1.013,1.005,1.005,13288100,MYR
2013-07-17,1.005,1.013,1.005,1.005,12101200,MYR
2013-07-18,1.005,1.013,1.005,1.005,13895800,MYR
2013-07-19,1.005,1.013,1.005,1.005,6007100,MYR
2013-07-22,1.005,1.013,1.005,1.005,14512700,MYR
2013-07-23,1.005,1.013,1.005,1.005,9433800,MYR
2013-07-24,1.005,1.013,1.005,1.005,10696200,MYR
2013-07-25,1.005,1.013,0.997,0.997,20437500,MYR
2013-07-26,0.989,0.989,0.973,0.973,9418000,MYR
2013-07-29,0.981,0.989,0.973,0.973,4923800,MYR
2013-07-30,0.973,0.973,0.957,0.965,5402000,MYR
2013-07-31,0.973,0.973,0.941,0.949,6182200,MYR
2013-08-01,0.949,0.957,0.933,0.941,6190000,MYR
2013-08-02,0.941,0.981,0.941,0.965,13113400,MYR
2013-08-05,0.965,0.989,0.965,0.989,6966300,MYR
2013-08-06,0.989,0.989,0.957,0.957,6526600,MYR
2013-08-07,0.965,0.973,0.957,0.957,4371500,MYR
2013-08-12,0.965,0.965,0.949,0.957,4788400,MYR
2013-08-13,0.957,0.965,0.957,0.957,3726900,MYR
2013-08-14,0.957,0.965,0.949,0.957,3912400,MYR
2013-08-15,0.957,0.973,0.949,0.973,4578400,MYR
2013-08-16,0.973,0.973,0.965,0.965,2072800,MYR
2013-08-19,0.965,0.973,0.957,0.957,2412500,MYR
2013-08-20,0.965,0.965,0.941,0.957,7413500,MYR
2013-08-21,0.949,0.957,0.941,0.949,3183400,MYR
2013-08-22,0.941,0.941,0.925,0.933,8180200,MYR
2013-08-23,0.933,0.941,0.917,0.917,5295000,MYR
2013-08-26,0.917,0.925,0.885,0.885,8595000,MYR
2013-08-27,0.885,0.893,0.836,0.844,6653000,MYR
2013-08-28,0.828,0.836,0.804,0.82,11445100,MYR
2013-08-29,0.82,0.869,0.82,0.869,7087500,MYR
2013-08-30,0.869,0.885,0.828,0.828,3266800,MYR
2013-09-02,0.836,0.836,0.82,0.828,2086300,MYR
2013-09-03,0.828,0.844,0.828,0.828,833200,MYR
2013-09-04,0.836,0.836,0.828,0.836,2271900,MYR
2013-09-05,0.844,0.853,0.836,0.853,1478300,MYR
2013-09-06,0.853,0.853,0.836,0.844,1087900,MYR
2013-09-09,0.844,0.844,0.836,0.844,1489100,MYR
2013-09-10,0.844,0.877,0.844,0.869,3096500,MYR
2013-09-11,0.877,0.901,0.877,0.885,5026500,MYR
2013-09-12,0.885,0.893,0.885,0.885,2083800,MYR
2013-09-13,0.885,0.893,0.877,0.885,847000,MYR
2013-09-17,0.893,0.901,0.885,0.885,1886800,MYR
2013-09-18,0.885,0.893,0.869,0.869,3229200,MYR
2013-09-19,0.893,0.933,0.885,0.917,5363700,MYR
2013-09-20,0.925,0.941,0.917,0.933,3788000,MYR
2013-09-23,0.925,0.933,0.925,0.933,1205200,MYR
2013-09-24,0.933,0.933,0.917,0.917,2759200,MYR
2013-09-25,0.917,0.933,0.917,0.917,3002900,MYR
2013-09-26,0.925,0.925,0.909,0.917,2216500,MYR
2013-09-27,0.917,0.917,0.901,0.909,3362600,MYR
2013-09-30,0.909,0.909,0.893,0.893,3522000,MYR
2013-10-01,0.901,0.909,0.893,0.893,958700,MYR
2013-10-02,0.901,0.901,0.893,0.893,869900,MYR
2013-10-03,0.893,0.901,0.885,0.885,1095000,MYR
2013-10-04,0.885,0.885,0.861,0.869,2899500,MYR
2013-10-07,0.877,0.877,0.861,0.869,1742700,MYR
2013-10-08,0.869,0.869,0.853,0.853,2707100,MYR
2013-10-09,0.853,0.869,0.844,0.861,2007100,MYR
2013-10-10,0.869,0.901,0.861,0.877,4582800,MYR
2013-10-11,0.885,0.885,0.869,0.877,1128200,MYR
2013-10-14,0.877,0.877,0.869,0.869,1352500,MYR
2013-10-16,0.877,0.885,0.869,0.877,2379000,MYR
2013-10-17,0.877,0.885,0.869,0.869,3261100,MYR
2013-10-18,0.877,0.909,0.877,0.893,5036500,MYR
2013-10-21,0.901,0.925,0.901,0.909,3833500,MYR
2013-10-22,0.909,0.917,0.901,0.901,1175700,MYR
2013-10-23,0.909,0.909,0.901,0.901,948900,MYR
2013-10-24,0.901,0.901,0.885,0.885,2347100,MYR
2013-10-25,0.893,0.901,0.893,0.901,1199500,MYR
2013-10-28,0.901,0.901,0.885,0.885,1549700,MYR
2013-10-29,0.885,0.893,0.869,0.877,1741700,MYR
2013-10-30,0.877,0.885,0.877,0.885,1493800,MYR
2013-10-31,0.885,0.885,0.877,0.885,423300,MYR
2013-11-01,0.885,0.893,0.877,0.885,945700,MYR
2013-11-04,0.893,0.893,0.869,0.869,1541800,MYR
2013-11-06,0.877,0.877,0.869,0.877,944100,MYR
2013-11-07,0.877,0.877,0.869,0.877,1059800,MYR
2013-11-08,0.877,0.877,0.869,0.869,1528700,MYR
2013-11-11,0.877,0.885,0.877,0.885,4809400,MYR
2013-11-12,0.885,0.885,0.869,0.877,1307500,MYR
2013-11-13,0.877,0.877,0.861,0.861,2593900,MYR
2013-11-14,0.869,0.877,0.853,0.861,4913800,MYR
2013-11-15,0.861,0.869,0.853,0.861,2171400,MYR
2013-11-18,0.861,0.861,0.853,0.853,2823800,MYR
2013-11-19,0.861,0.861,0.828,0.836,8680600,MYR
2013-11-20,0.844,0.844,0.82,0.828,8075900,MYR
2013-11-21,0.828,0.853,0.828,0.853,4333800,MYR
2013-11-22,0.853,0.853,0.836,0.844,1485900,MYR
2013-11-25,0.844,0.844,0.828,0.836,2436600,MYR
2013-11-26,0.844,0.861,0.828,0.861,5770200,MYR
2013-11-27,0.853,0.853,0.836,0.844,1588700,MYR
2013-11-28,0.844,0.844,0.828,0.836,3658500,MYR
2013-11-29,0.828,0.844,0.828,0.836,1559600,MYR
2013-12-02,0.836,0.844,0.836,0.836,678200,MYR
2013-12-03,0.844,0.853,0.836,0.844,1036300,MYR
2013-12-04,0.844,0.844,0.836,0.844,981100,MYR
2013-12-05,0.836,0.844,0.836,0.844,502000,MYR
2013-12-06,0.844,0.844,0.828,0.828,1245900,MYR
2013-12-09,0.836,0.836,0.828,0.836,1086400,MYR
