Date,Open,High,Low,Close,Volume,Currency
2011-09-20,3.28,3.3,3.21,3.22,3037600,MYR
2011-09-21,3.24,3.3,3.24,3.29,1143200,MYR
2011-09-22,3.24,3.24,3.16,3.16,2483700,MYR
2011-09-23,3.19,3.19,3.11,3.15,3224200,MYR
2011-09-26,3.12,3.13,3.02,3.04,4735100,MYR
2011-09-27,3.07,3.22,3.07,3.21,4973800,MYR
2011-09-28,3.21,3.22,3.1,3.2,2764800,MYR
2011-09-29,3.2,3.23,3.15,3.2,725100,MYR
2011-09-30,3.2,3.3,3.11,3.3,4976200,MYR
2011-10-03,3.25,3.26,3.2,3.23,2684000,MYR
2011-10-04,3.21,3.32,3.19,3.28,4125800,MYR
2011-10-05,3.28,3.31,3.23,3.23,2284300,MYR
2011-10-06,3.25,3.38,3.25,3.35,3336600,MYR
2011-10-07,3.38,3.43,3.35,3.36,2233300,MYR
2011-10-10,3.38,3.38,3.31,3.33,763300,MYR
2011-10-11,3.39,3.45,3.37,3.38,3298000,MYR
2011-10-12,3.38,3.43,3.37,3.42,1835400,MYR
2011-10-13,3.43,3.46,3.38,3.39,1290300,MYR
2011-10-14,3.4,3.4,3.38,3.39,642800,MYR
2011-10-17,3.4,3.46,3.4,3.42,607600,MYR
2011-10-18,3.42,3.43,3.26,3.28,2070900,MYR
2011-10-19,3.33,3.37,3.32,3.35,2078700,MYR
2011-10-20,3.35,3.37,3.35,3.36,1738600,MYR
2011-10-21,3.37,3.41,3.33,3.35,1290500,MYR
2011-10-24,3.42,3.42,3.35,3.35,839700,MYR
2011-10-25,3.35,3.42,3.35,3.4,1237300,MYR
2011-10-27,3.4,3.54,3.4,3.5,5083600,MYR
2011-10-28,3.56,3.58,3.5,3.53,2087700,MYR
2011-10-31,3.5,3.52,3.44,3.52,1628500,MYR
2011-11-01,3.46,3.5,3.46,3.5,600300,MYR
2011-11-02,3.45,3.46,3.39,3.45,2484600,MYR
2011-11-03,3.45,3.45,3.42,3.45,743100,MYR
2011-11-04,3.42,3.49,3.42,3.46,1067800,MYR
2011-11-08,3.49,3.5,3.48,3.48,1760800,MYR
2011-11-09,3.48,3.5,3.47,3.48,1015100,MYR
2011-11-10,3.37,3.43,3.37,3.43,2106000,MYR
2011-11-11,3.4,3.45,3.4,3.4,1221800,MYR
2011-11-14,3.52,3.52,3.45,3.46,644700,MYR
2011-11-15,3.47,3.5,3.46,3.5,2316100,MYR
2011-11-16,3.52,3.52,3.49,3.5,452500,MYR
2011-11-17,3.49,3.54,3.48,3.52,1216900,MYR
2011-11-18,3.52,3.53,3.48,3.5,2297400,MYR
2011-11-21,3.47,3.47,3.38,3.41,1539300,MYR
2011-11-22,3.36,3.41,3.35,3.4,228400,MYR
2011-11-23,3.42,3.48,3.39,3.46,2610900,MYR
2011-11-24,3.47,3.55,3.45,3.53,1158100,MYR
2011-11-25,3.52,3.53,3.5,3.52,1197200,MYR
2011-11-29,3.54,3.58,3.51,3.54,1670300,MYR
2011-11-30,3.54,3.56,3.54,3.55,2405800,MYR
2011-12-01,3.57,3.69,3.57,3.65,3555900,MYR
2011-12-02,3.6,3.68,3.6,3.68,1472400,MYR
2011-12-05,3.66,3.66,3.63,3.63,926500,MYR
2011-12-06,3.65,3.67,3.64,3.67,1836100,MYR
2011-12-07,3.68,3.75,3.68,3.75,2618100,MYR
2011-12-08,3.75,3.79,3.75,3.79,1638900,MYR
2011-12-09,3.76,3.79,3.7,3.75,1026300,MYR
2011-12-12,3.75,3.77,3.72,3.72,700800,MYR
2011-12-13,3.73,3.8,3.7,3.8,2018700,MYR
2011-12-14,3.79,3.79,3.76,3.78,1742200,MYR
2011-12-15,3.77,3.77,3.72,3.76,1154500,MYR
2011-12-16,3.78,3.78,3.7,3.74,657900,MYR
2011-12-19,3.74,3.74,3.73,3.74,694500,MYR
2011-12-20,3.74,3.79,3.73,3.79,971100,MYR
2011-12-21,3.75,3.79,3.75,3.79,1087500,MYR
2011-12-22,3.75,3.87,3.75,3.87,3044500,MYR
2011-12-23,3.87,3.87,3.81,3.86,1035400,MYR
2011-12-27,3.84,3.87,3.83,3.87,605400,MYR
2011-12-28,3.88,3.88,3.84,3.86,1231700,MYR
2011-12-29,3.87,3.93,3.87,3.92,3630100,MYR
2011-12-30,3.92,3.98,3.92,3.95,2632600,MYR
2012-01-03,3.98,4.01,3.93,4.0,8737000,MYR
2012-01-04,4.0,4.02,3.94,3.95,4365500,MYR
2012-01-05,3.93,3.96,3.88,3.89,2907900,MYR
2012-01-06,3.88,3.9,3.88,3.89,4550900,MYR
2012-01-09,3.86,3.87,3.81,3.86,2361600,MYR
2012-01-10,3.85,3.88,3.84,3.88,2561300,MYR
2012-01-11,3.88,3.91,3.87,3.89,1198400,MYR
2012-01-12,3.9,3.9,3.85,3.86,628800,MYR
2012-01-13,3.85,3.88,3.85,3.87,667400,MYR
2012-01-16,3.82,3.84,3.82,3.84,284600,MYR
2012-01-17,3.84,3.84,3.83,3.83,1278000,MYR
2012-01-18,3.85,3.88,3.83,3.85,2310600,MYR
2012-01-19,3.84,3.88,3.84,3.87,2156100,MYR
2012-01-20,3.9,3.91,3.87,3.89,1859300,MYR
2012-01-25,3.89,3.9,3.85,3.87,1417000,MYR
2012-01-26,3.89,3.9,3.87,3.88,2243900,MYR
2012-01-27,3.89,3.9,3.86,3.87,1104200,MYR
2012-01-30,3.91,3.93,3.87,3.91,5024000,MYR
2012-01-31,3.92,3.95,3.9,3.95,2778300,MYR
2012-02-02,3.97,4.05,3.97,3.97,3827200,MYR
2012-02-03,3.98,3.98,3.93,3.95,1190400,MYR
2012-02-08,4.0,4.01,3.94,3.95,5827200,MYR
2012-02-09,3.95,3.97,3.94,3.95,3410000,MYR
2012-02-10,3.95,3.96,3.86,3.88,4957100,MYR
2012-02-13,3.86,3.86,3.81,3.82,2304400,MYR
2012-02-14,3.82,3.83,3.73,3.75,1933400,MYR
2012-02-15,3.75,3.76,3.73,3.75,1998100,MYR
2012-02-16,3.75,3.75,3.7,3.7,1414100,MYR
2012-02-17,3.7,3.76,3.7,3.76,3723200,MYR
2012-02-20,3.76,3.8,3.76,3.79,803500,MYR
2012-02-21,3.79,3.79,3.75,3.75,3230400,MYR
2012-02-22,3.79,3.8,3.78,3.79,4370500,MYR
2012-02-23,3.8,3.87,3.79,3.82,3188900,MYR
2012-02-24,3.83,3.91,3.81,3.82,2536400,MYR
2012-02-27,3.82,3.86,3.8,3.84,1216200,MYR
2012-02-28,3.87,3.88,3.84,3.88,1934000,MYR
2012-02-29,3.88,3.9,3.87,3.88,1554900,MYR
2012-03-01,3.88,3.89,3.86,3.86,2687300,MYR
2012-03-02,3.88,3.89,3.85,3.88,3982600,MYR
2012-03-05,3.88,3.88,3.82,3.87,2867600,MYR
2012-03-06,3.89,3.9,3.87,3.9,2063000,MYR
2012-03-07,3.88,3.89,3.86,3.87,2115300,MYR
2012-03-08,3.87,3.87,3.82,3.85,1645500,MYR
2012-03-09,3.85,3.86,3.83,3.84,2480100,MYR
2012-03-12,3.83,3.88,3.79,3.79,1956400,MYR
2012-03-13,3.79,3.89,3.79,3.79,2561400,MYR
2012-03-14,3.85,3.89,3.84,3.89,4646800,MYR
2012-03-15,3.88,3.88,3.85,3.86,2020900,MYR
2012-03-16,3.88,3.88,3.85,3.85,1038200,MYR
2012-03-19,3.89,3.89,3.86,3.87,934600,MYR
2012-03-20,3.86,3.89,3.86,3.88,1690300,MYR
2012-03-21,3.87,3.88,3.86,3.87,2061400,MYR
2012-03-22,3.86,3.88,3.86,3.87,1034600,MYR
2012-03-23,3.87,3.88,3.85,3.86,1720500,MYR
