Date,Open,High,Low,Close,Volume,Currency
2013-03-26,0.448,0.448,0.448,0.448,25000,MYR
2013-03-27,0.444,0.448,0.444,0.448,24100,MYR
2013-03-28,0.444,0.444,0.444,0.444,10000,MYR
2013-03-29,0.444,0.444,0.444,0.444,6000,MYR
2013-04-01,0.444,0.444,0.444,0.444,15000,MYR
2013-04-02,0.452,0.452,0.452,0.452,10000,MYR
2013-04-03,0.441,0.441,0.437,0.441,98000,MYR
2013-04-04,0.437,0.444,0.437,0.437,22600,MYR
2013-04-05,0.441,0.441,0.441,0.441,5000,MYR
2013-04-08,0.444,0.444,0.444,0.444,10000,MYR
2013-04-09,0.452,0.452,0.452,0.452,52000,MYR
2013-04-10,0.46,0.46,0.452,0.452,51900,MYR
2013-04-11,0.452,0.46,0.452,0.456,34600,MYR
2013-04-12,0.46,0.46,0.452,0.456,96000,MYR
2013-04-17,0.452,0.46,0.452,0.456,200400,MYR
2013-04-19,0.46,0.46,0.452,0.452,110000,MYR
2013-04-22,0.452,0.452,0.444,0.444,110000,MYR
2013-04-23,0.448,0.448,0.448,0.448,30000,MYR
2013-04-24,0.448,0.448,0.448,0.448,20000,MYR
2013-04-25,0.444,0.452,0.444,0.452,21000,MYR
2013-04-26,0.452,0.452,0.452,0.452,20000,MYR
2013-04-29,0.448,0.452,0.444,0.444,75000,MYR
2013-04-30,0.444,0.444,0.437,0.437,62900,MYR
2013-05-02,0.429,0.429,0.421,0.421,17000,MYR
2013-05-03,0.433,0.433,0.421,0.421,177900,MYR
2013-05-06,0.425,0.429,0.425,0.425,160000,MYR
2013-05-07,0.425,0.437,0.425,0.437,39000,MYR
2013-05-08,0.437,0.441,0.437,0.437,30600,MYR
2013-05-09,0.429,0.437,0.429,0.437,40600,MYR
2013-05-10,0.441,0.441,0.441,0.441,38000,MYR
2013-05-13,0.441,0.452,0.437,0.452,221200,MYR
2013-05-14,0.444,0.448,0.444,0.448,45000,MYR
2013-05-15,0.441,0.444,0.441,0.444,30000,MYR
2013-05-16,0.444,0.444,0.441,0.441,194900,MYR
2013-05-17,0.444,0.452,0.444,0.452,70000,MYR
2013-05-20,0.444,0.456,0.444,0.456,30000,MYR
2013-05-21,0.452,0.452,0.444,0.448,110000,MYR
