Date,Open,High,Low,Close,Volume,Currency
2017-07-11,0.845,0.845,0.785,0.795,25759000,MYR
2017-07-12,0.8,0.82,0.79,0.795,11367800,MYR
2017-07-13,0.81,0.845,0.805,0.835,11072000,MYR
2017-07-14,0.84,0.92,0.825,0.895,21809000,MYR
2017-07-17,0.895,0.95,0.895,0.935,16079200,MYR
2017-07-18,0.94,0.945,0.895,0.91,8244700,MYR
2017-07-19,0.905,1.02,0.9,1.0,42883700,MYR
2017-07-20,1.01,1.06,0.985,1.04,23112800,MYR
2017-07-21,1.03,1.05,1.01,1.03,5189100,MYR
2017-07-24,1.04,1.1,1.01,1.08,12371900,MYR
2017-07-25,1.09,1.2,1.02,1.02,31171000,MYR
2017-07-26,1.03,1.06,0.99,1.03,13929600,MYR
2017-07-27,1.03,1.06,1.03,1.03,3815400,MYR
2017-07-28,1.03,1.06,1.02,1.04,3879200,MYR
2017-07-31,1.04,1.05,0.995,1.0,7518200,MYR
2017-08-01,1.0,1.0,0.96,0.97,7339300,MYR
2017-08-02,0.97,1.02,0.965,0.98,6206700,MYR
2017-08-03,0.98,1.01,0.97,0.975,4279000,MYR
2017-08-04,0.985,0.99,0.975,0.985,1694300,MYR
2017-08-07,0.985,0.99,0.96,0.97,3626100,MYR
2017-08-08,0.97,0.97,0.93,0.945,4075300,MYR
2017-08-09,0.945,0.945,0.93,0.94,1179300,MYR
2017-08-10,0.93,1.0,0.93,0.99,3184200,MYR
2017-08-11,0.99,0.99,0.95,0.965,1570600,MYR
2017-08-14,0.975,0.98,0.96,0.965,881900,MYR
2017-08-15,0.96,1.03,0.96,1.01,6123300,MYR
2017-08-16,1.02,1.04,1.0,1.01,3425300,MYR
2017-08-17,1.02,1.04,1.01,1.02,2070600,MYR
2017-08-18,0.995,1.02,0.995,0.995,1700000,MYR
2017-08-21,1.0,1.01,1.0,1.0,749100,MYR
2017-08-22,1.0,1.15,1.0,1.1,16680400,MYR
2017-08-23,1.11,1.12,1.07,1.08,6745200,MYR
2017-08-24,1.08,1.14,1.08,1.11,7205800,MYR
2017-08-25,1.11,1.12,1.09,1.1,1480700,MYR
2017-08-28,1.11,1.14,1.03,1.06,8378000,MYR
2017-08-29,1.07,1.07,1.03,1.05,1796000,MYR
2017-08-30,1.06,1.08,1.05,1.06,1764500,MYR
2017-09-05,1.06,1.06,1.01,1.03,1573600,MYR
2017-09-06,1.02,1.06,1.01,1.05,3448500,MYR
2017-09-07,1.05,1.07,1.05,1.06,1604600,MYR
2017-09-08,1.05,1.07,1.05,1.07,1284800,MYR
2017-09-11,1.08,1.1,1.06,1.07,1513000,MYR
2017-09-12,1.07,1.09,1.06,1.08,1246400,MYR
2017-09-13,1.08,1.08,1.06,1.07,1577900,MYR
2017-09-14,1.06,1.08,1.05,1.08,1188100,MYR
2017-09-15,1.07,1.07,1.07,1.07,971900,MYR
2017-09-18,1.07,1.07,1.06,1.07,598700,MYR
2017-09-19,1.06,1.12,1.06,1.12,3112200,MYR
2017-09-20,1.13,1.13,1.09,1.09,1915300,MYR
2017-09-21,1.08,1.1,1.08,1.08,1003600,MYR
2017-09-25,1.08,1.09,1.07,1.08,766800,MYR
2017-09-26,1.08,1.08,1.04,1.06,1275000,MYR
2017-09-27,1.05,1.07,1.04,1.06,972300,MYR
2017-09-28,1.05,1.06,1.04,1.05,422200,MYR
2017-09-29,1.04,1.05,1.03,1.03,259100,MYR
2017-10-02,1.03,1.05,1.03,1.04,465200,MYR
2017-10-03,1.05,1.05,1.04,1.04,586700,MYR
2017-10-04,1.05,1.07,1.04,1.04,1355800,MYR
2017-10-05,1.06,1.06,1.05,1.06,711600,MYR
2017-10-06,1.06,1.1,1.06,1.07,1892700,MYR
2017-10-09,1.08,1.08,1.05,1.05,667900,MYR
2017-10-10,1.06,1.07,1.05,1.07,1311100,MYR
2017-10-11,1.06,1.07,1.05,1.07,1200000,MYR
2017-10-12,1.07,1.09,1.07,1.08,716100,MYR
2017-10-13,1.09,1.13,1.09,1.12,4139900,MYR
2017-10-16,1.12,1.13,1.07,1.07,2022200,MYR
2017-10-17,1.07,1.09,1.07,1.08,650000,MYR
2017-10-19,1.08,1.08,1.07,1.07,765900,MYR
2017-10-20,1.06,1.11,1.06,1.11,1367900,MYR
2017-10-23,1.11,1.17,1.1,1.15,4752700,MYR
2017-10-24,1.15,1.19,1.13,1.13,4002100,MYR
2017-10-25,1.13,1.18,1.13,1.17,1517300,MYR
2017-10-26,1.17,1.17,1.14,1.15,884100,MYR
2017-10-27,1.15,1.15,1.13,1.13,1015100,MYR
2017-10-30,1.14,1.14,1.13,1.13,351500,MYR
2017-10-31,1.13,1.15,1.13,1.14,824900,MYR
2017-11-01,1.14,1.21,1.14,1.2,3350000,MYR
2017-11-02,1.21,1.21,1.17,1.18,774800,MYR
2017-11-03,1.18,1.18,1.16,1.17,326500,MYR
2017-11-06,1.17,1.18,1.16,1.16,581800,MYR
2017-11-07,1.16,1.18,1.14,1.15,878000,MYR
2017-11-08,1.15,1.18,1.15,1.17,860900,MYR
2017-11-09,1.17,1.17,1.15,1.16,342300,MYR
2017-11-10,1.16,1.16,1.15,1.15,417600,MYR
2017-11-13,1.16,1.16,1.13,1.13,551200,MYR
2017-11-14,1.12,1.13,1.09,1.1,839000,MYR
2017-11-15,1.1,1.1,1.01,1.07,1546000,MYR
2017-11-16,1.06,1.08,1.04,1.04,1121600,MYR
2017-11-17,1.05,1.06,1.05,1.05,775800,MYR
2017-11-20,1.04,1.04,1.02,1.03,642900,MYR
2017-11-21,1.03,1.04,1.02,1.03,314300,MYR
2017-11-22,1.01,1.05,1.01,1.04,294000,MYR
2017-11-23,1.04,1.04,1.02,1.02,751400,MYR
2017-11-24,1.02,1.04,1.02,1.03,739900,MYR
2017-11-27,1.04,1.04,1.03,1.04,57400,MYR
2017-11-28,1.04,1.05,1.03,1.05,369100,MYR
2017-11-29,1.04,1.06,0.905,0.98,1278500,MYR
2017-11-30,0.985,0.985,0.95,0.965,2966700,MYR
2017-12-04,0.96,0.96,0.88,0.9,1270500,MYR
2017-12-05,0.895,0.895,0.88,0.88,321500,MYR
2017-12-06,0.88,0.885,0.83,0.85,667200,MYR
2017-12-07,0.85,0.86,0.83,0.835,377600,MYR
2017-12-08,0.83,0.83,0.805,0.805,766800,MYR
2017-12-11,0.81,0.9,0.81,0.86,565700,MYR
2017-12-12,0.865,0.91,0.865,0.89,1179700,MYR
2017-12-13,0.915,0.915,0.885,0.89,540100,MYR
2017-12-14,0.885,0.9,0.865,0.865,454200,MYR
2017-12-15,0.865,0.88,0.865,0.87,155000,MYR
2017-12-18,0.89,0.89,0.86,0.86,293100,MYR
2017-12-19,0.85,0.85,0.84,0.84,236600,MYR
2017-12-20,0.85,0.85,0.815,0.82,1118900,MYR
2017-12-21,0.82,0.82,0.815,0.815,528000,MYR
2017-12-22,0.815,0.845,0.815,0.83,543000,MYR
2017-12-26,0.83,0.845,0.83,0.835,240500,MYR
2017-12-27,0.835,0.84,0.835,0.84,283100,MYR
2017-12-28,0.84,0.86,0.84,0.84,84500,MYR
2017-12-29,0.845,0.875,0.845,0.855,451600,MYR
2018-01-02,0.865,0.87,0.855,0.855,436800,MYR
2018-01-03,0.855,0.885,0.855,0.87,542100,MYR
2018-01-04,0.875,0.88,0.86,0.865,405300,MYR
2018-01-05,0.87,0.89,0.87,0.87,370900,MYR
2018-01-08,0.88,0.94,0.88,0.935,1309600,MYR
2018-01-09,0.935,0.94,0.905,0.905,594200,MYR
2018-01-10,0.905,0.905,0.875,0.875,491000,MYR
2018-01-11,0.885,0.885,0.875,0.875,98200,MYR
2018-01-12,0.875,0.875,0.855,0.86,630800,MYR
2018-01-15,0.86,0.86,0.84,0.845,553000,MYR
2018-01-16,0.84,0.86,0.835,0.86,230600,MYR
2018-01-17,0.845,0.845,0.84,0.84,152800,MYR
2018-01-18,0.84,0.84,0.825,0.83,361600,MYR
2018-01-19,0.83,0.83,0.825,0.83,199900,MYR
2018-01-22,0.83,0.84,0.83,0.84,389600,MYR
2018-01-23,0.84,0.865,0.835,0.855,197800,MYR
2018-01-24,0.855,0.86,0.845,0.845,194200,MYR
2018-01-25,0.84,0.84,0.835,0.835,144000,MYR
2018-01-26,0.835,0.865,0.835,0.855,526400,MYR
