Date,Open,High,Low,Close,Volume,Currency
2013-03-29,0.212,0.212,0.212,0.212,31818,MYR
2013-04-01,0.207,0.212,0.207,0.212,151667,MYR
2013-04-02,0.212,0.212,0.207,0.212,194091,MYR
2013-04-03,0.207,0.217,0.207,0.217,361667,MYR
2013-04-04,0.226,0.231,0.222,0.226,1487925,MYR
2013-04-05,0.226,0.226,0.222,0.222,254546,MYR
2013-04-08,0.222,0.222,0.217,0.222,138939,MYR
2013-04-09,0.217,0.222,0.217,0.217,617273,MYR
2013-04-10,0.217,0.217,0.217,0.217,319243,MYR
2013-04-11,0.217,0.222,0.217,0.217,121970,MYR
2013-04-12,0.217,0.217,0.217,0.217,228030,MYR
2013-04-15,0.212,0.212,0.203,0.212,189318,MYR
2013-04-16,0.203,0.212,0.203,0.212,317121,MYR
2013-04-17,0.212,0.212,0.212,0.212,341197,MYR
2013-04-18,0.212,0.212,0.207,0.207,123030,MYR
2013-04-19,0.207,0.207,0.203,0.207,156970,MYR
2013-04-22,0.203,0.203,0.203,0.203,106061,MYR
2013-04-23,0.203,0.203,0.203,0.203,150712,MYR
2013-04-24,0.203,0.212,0.203,0.212,443864,MYR
2013-04-25,0.222,0.236,0.217,0.217,4306698,MYR
2013-04-26,0.207,0.207,0.203,0.203,53030,MYR
2013-04-29,0.203,0.203,0.198,0.198,390091,MYR
2013-04-30,0.198,0.212,0.193,0.203,1239531,MYR
2013-05-02,0.207,0.207,0.189,0.198,965470,MYR
2013-05-03,0.193,0.198,0.189,0.189,241076,MYR
2013-05-06,0.203,0.207,0.198,0.203,320621,MYR
2013-05-07,0.203,0.207,0.203,0.207,590652,MYR
2013-05-08,0.207,0.207,0.193,0.198,529243,MYR
2013-05-09,0.203,0.203,0.198,0.198,54833,MYR
2013-05-10,0.203,0.212,0.198,0.212,430288,MYR
2013-05-13,0.212,0.222,0.212,0.222,666909,MYR
2013-05-14,0.222,0.226,0.217,0.222,977879,MYR
2013-05-15,0.222,0.236,0.222,0.231,1321515,MYR
2013-05-16,0.231,0.236,0.222,0.236,1671834,MYR
2013-05-17,0.231,0.236,0.226,0.226,1015000,MYR
2013-05-20,0.226,0.24,0.226,0.236,2739758,MYR
2013-05-21,0.231,0.236,0.226,0.226,1579773,MYR
2013-05-22,0.231,0.236,0.226,0.226,2234167,MYR
2013-05-23,0.226,0.226,0.212,0.217,745606,MYR
2013-05-27,0.212,0.217,0.212,0.212,972682,MYR
2013-05-28,0.217,0.226,0.217,0.226,1549546,MYR
2013-05-29,0.222,0.222,0.212,0.212,907773,MYR
2013-05-30,0.212,0.212,0.212,0.212,321788,MYR
2013-05-31,0.212,0.217,0.207,0.217,1059121,MYR
2013-06-03,0.212,0.212,0.203,0.207,954652,MYR
2013-06-04,0.203,0.207,0.203,0.207,265152,MYR
2013-06-05,0.203,0.207,0.203,0.203,313197,MYR
2013-06-06,0.203,0.203,0.193,0.198,1626334,MYR
2013-06-07,0.198,0.203,0.198,0.198,527121,MYR
2013-06-10,0.203,0.203,0.203,0.203,418940,MYR
2013-06-11,0.212,0.217,0.203,0.207,1441364,MYR
2013-06-12,0.203,0.203,0.203,0.203,207879,MYR
2013-06-13,0.198,0.203,0.198,0.198,478546,MYR
2013-06-14,0.203,0.203,0.203,0.203,185606,MYR
2013-06-17,0.198,0.198,0.198,0.198,607940,MYR
2013-06-18,0.198,0.203,0.198,0.203,346924,MYR
2013-06-19,0.203,0.207,0.198,0.198,73182,MYR
2013-06-20,0.198,0.203,0.198,0.203,133849,MYR
2013-06-21,0.198,0.203,0.198,0.198,282121,MYR
2013-06-24,0.198,0.198,0.193,0.193,192712,MYR
2013-06-25,0.193,0.193,0.193,0.193,133955,MYR
2013-06-26,0.198,0.203,0.198,0.198,70212,MYR
2013-06-27,0.198,0.198,0.193,0.198,72121,MYR
2013-06-28,0.198,0.198,0.198,0.198,20152,MYR
2013-07-02,0.203,0.203,0.198,0.203,134909,MYR
2013-07-03,0.198,0.198,0.198,0.198,21212,MYR
2013-07-04,0.198,0.198,0.193,0.193,130667,MYR
2013-07-05,0.198,0.203,0.198,0.203,82727,MYR
2013-07-08,0.193,0.203,0.193,0.203,67879,MYR
2013-07-09,0.198,0.203,0.198,0.203,73182,MYR
2013-07-10,0.203,0.203,0.203,0.203,167576,MYR
2013-07-11,0.203,0.203,0.203,0.203,188788,MYR
2013-07-12,0.198,0.198,0.198,0.198,10606,MYR
2013-07-15,0.198,0.198,0.198,0.198,26515,MYR
2013-07-16,0.198,0.198,0.198,0.198,24288,MYR
2013-07-17,0.198,0.198,0.198,0.198,69470,MYR
2013-07-18,0.198,0.203,0.198,0.198,408333,MYR
2013-07-19,0.203,0.217,0.203,0.217,1198591,MYR
2013-07-22,0.212,0.212,0.198,0.198,430712,MYR
2013-07-23,0.203,0.207,0.198,0.207,144242,MYR
2013-07-24,0.203,0.207,0.203,0.207,216364,MYR
2013-07-25,0.203,0.203,0.198,0.203,219652,MYR
2013-07-26,0.198,0.203,0.198,0.198,525000,MYR
2013-07-29,0.193,0.198,0.193,0.198,281061,MYR
2013-07-30,0.193,0.193,0.193,0.193,254121,MYR
2013-07-31,0.193,0.193,0.193,0.193,210849,MYR
2013-08-01,0.193,0.198,0.189,0.193,209576,MYR
2013-08-02,0.193,0.193,0.189,0.189,432515,MYR
2013-08-05,0.193,0.193,0.193,0.193,173939,MYR
2013-08-06,0.193,0.203,0.193,0.203,200455,MYR
2013-08-07,0.198,0.198,0.198,0.198,50379,MYR
2013-08-13,0.198,0.203,0.198,0.203,292727,MYR
2013-08-14,0.198,0.198,0.198,0.198,106061,MYR
2013-08-15,0.198,0.198,0.198,0.198,243939,MYR
2013-08-16,0.193,0.198,0.193,0.198,53030,MYR
2013-08-19,0.198,0.203,0.198,0.198,89091,MYR
2013-08-20,0.198,0.198,0.198,0.198,269394,MYR
2013-08-21,0.198,0.198,0.198,0.198,47621,MYR
2013-08-22,0.193,0.193,0.193,0.193,122818,MYR
2013-08-23,0.189,0.198,0.189,0.198,127273,MYR
2013-08-26,0.189,0.198,0.189,0.198,55258,MYR
2013-08-27,0.189,0.189,0.189,0.189,551409,MYR
2013-08-28,0.184,0.184,0.184,0.184,68939,MYR
2013-08-29,0.189,0.193,0.189,0.193,206818,MYR
2013-08-30,0.189,0.212,0.189,0.207,1840788,MYR
2013-09-02,0.207,0.226,0.207,0.207,10936229,MYR
2013-09-03,0.207,0.207,0.198,0.198,314470,MYR
