Date,Open,High,Low,Close,Volume,Currency
2013-03-22,3.214,3.214,3.176,3.195,252650,MYR
2013-03-25,3.176,3.185,3.166,3.176,48880,MYR
2013-03-26,3.176,3.195,3.176,3.195,157010,MYR
2013-03-27,3.214,3.223,3.195,3.214,1296160,MYR
2013-03-28,3.223,3.232,3.214,3.223,998650,MYR
2013-03-29,3.214,3.242,3.214,3.223,266830,MYR
2013-04-01,3.232,3.232,3.204,3.204,279520,MYR
2013-04-02,3.204,3.251,3.204,3.223,493980,MYR
2013-04-03,3.223,3.251,3.147,3.223,747160,MYR
2013-04-04,3.223,3.242,3.204,3.223,695640,MYR
2013-04-05,3.223,3.27,3.223,3.242,520640,MYR
2013-04-08,3.261,3.318,3.261,3.289,1336260,MYR
2013-04-09,3.289,3.346,3.28,3.289,1508820,MYR
2013-04-10,3.308,3.308,3.289,3.289,271060,MYR
2013-04-11,3.308,3.318,3.289,3.299,510060,MYR
2013-04-12,3.299,3.308,3.289,3.299,187160,MYR
2013-04-15,3.299,3.308,3.289,3.308,447540,MYR
2013-04-16,3.308,3.327,3.299,3.308,627290,MYR
2013-04-17,3.318,3.403,3.299,3.393,1861660,MYR
2013-04-18,3.431,3.431,3.393,3.403,1456870,MYR
2013-04-19,3.403,3.412,3.384,3.393,1526380,MYR
2013-04-22,3.365,3.403,3.365,3.403,527310,MYR
2013-04-23,3.403,3.403,3.365,3.393,514930,MYR
2013-04-24,3.384,3.393,3.374,3.393,446690,MYR
2013-04-25,3.384,3.393,3.365,3.374,190120,MYR
2013-04-26,3.384,3.403,3.384,3.384,429230,MYR
2013-04-29,3.403,3.403,3.346,3.346,414420,MYR
2013-04-30,3.346,3.346,3.308,3.346,289150,MYR
2013-05-02,3.346,3.346,3.289,3.289,395270,MYR
2013-05-03,3.28,3.28,3.232,3.27,757430,MYR
2013-05-06,3.308,3.403,3.308,3.403,1491150,MYR
2013-05-07,3.421,3.611,3.412,3.592,1950320,MYR
2013-05-08,3.611,3.611,3.45,3.516,923640,MYR
2013-05-09,3.516,3.62,3.516,3.62,804290,MYR
2013-05-10,3.601,3.724,3.573,3.686,985210,MYR
2013-05-13,3.686,3.771,3.686,3.752,1676300,MYR
2013-05-14,3.752,3.894,3.752,3.847,2028410,MYR
2013-05-15,3.837,3.951,3.837,3.913,2877880,MYR
2013-05-16,3.913,4.064,3.837,3.97,1255960,MYR
2013-05-17,3.97,4.13,3.932,4.121,2896920,MYR
2013-05-20,4.14,4.31,4.14,4.263,1621500,MYR
2013-05-21,4.253,4.253,4.074,4.159,3483270,MYR
2013-05-22,4.159,4.159,3.913,3.922,3289860,MYR
2013-05-23,3.913,3.913,3.781,3.847,2955640,MYR
2013-05-27,3.856,3.894,3.856,3.875,354540,MYR
2013-05-28,3.904,3.989,3.894,3.941,1438250,MYR
2013-05-29,3.97,3.979,3.875,3.894,903320,MYR
2013-05-30,3.885,3.932,3.856,3.904,665480,MYR
2013-05-31,3.885,3.97,3.866,3.941,455050,MYR
2013-06-03,3.932,3.97,3.828,3.96,282910,MYR
2013-06-04,3.894,4.036,3.894,4.026,796780,MYR
2013-06-05,4.036,4.074,3.998,4.017,589200,MYR
2013-06-06,4.017,4.055,3.97,4.055,391360,MYR
2013-06-07,4.064,4.074,3.989,4.055,682940,MYR
2013-06-10,4.074,4.121,4.045,4.064,422570,MYR
2013-06-11,4.017,4.055,3.97,3.989,316770,MYR
2013-06-12,3.989,4.017,3.932,3.932,424470,MYR
2013-06-13,3.922,3.922,3.837,3.866,505620,MYR
2013-06-14,3.875,3.941,3.875,3.941,278470,MYR
2013-06-17,3.941,3.96,3.904,3.951,80410,MYR
2013-06-18,3.96,3.979,3.951,3.97,402040,MYR
2013-06-19,3.913,3.989,3.913,3.979,400770,MYR
2013-06-20,3.922,3.932,3.894,3.922,1332980,MYR
2013-06-21,3.856,3.951,3.809,3.951,1479720,MYR
2013-06-24,3.856,3.904,3.715,3.724,2898400,MYR
2013-06-25,3.724,3.781,3.686,3.781,667070,MYR
2013-06-26,3.762,3.875,3.762,3.818,649610,MYR
2013-06-27,3.828,3.875,3.771,3.856,976640,MYR
2013-06-28,3.894,4.121,3.894,4.121,2542280,MYR
2013-07-01,4.055,4.055,3.951,3.998,1155760,MYR
2013-07-02,3.998,4.008,3.951,3.97,407650,MYR
2013-07-03,3.894,3.951,3.856,3.894,529640,MYR
2013-07-04,3.904,3.941,3.904,3.904,49940,MYR
2013-07-05,3.913,3.96,3.913,3.932,131720,MYR
2013-07-08,3.941,3.951,3.885,3.904,125480,MYR
2013-07-09,3.913,3.913,3.837,3.866,1401540,MYR
2013-07-10,3.856,3.875,3.837,3.875,1356360,MYR
2013-07-11,3.866,3.875,3.847,3.847,433040,MYR
2013-07-12,3.875,3.885,3.866,3.875,199010,MYR
2013-07-15,3.913,3.97,3.904,3.904,382260,MYR
2013-07-16,3.904,3.922,3.866,3.904,495040,MYR
2013-07-17,3.922,3.97,3.922,3.96,417170,MYR
2013-07-18,3.96,4.045,3.96,4.008,934220,MYR
2013-07-19,4.008,4.064,4.008,4.045,256990,MYR
2013-07-22,4.045,4.064,4.017,4.064,384480,MYR
2013-07-23,4.055,4.064,4.045,4.064,532070,MYR
2013-07-24,4.045,4.074,4.045,4.074,585080,MYR
2013-07-25,4.055,4.064,4.045,4.055,98920,MYR
2013-07-26,4.055,4.064,4.055,4.064,151510,MYR
2013-07-29,4.064,4.064,3.989,3.989,34280,MYR
2013-07-30,4.045,4.045,3.97,3.998,158910,MYR
2013-07-31,3.97,4.026,3.96,3.998,1219560,MYR
2013-08-01,3.922,4.026,3.922,4.026,232660,MYR
2013-08-02,3.932,4.036,3.932,3.96,215300,MYR
2013-08-05,3.951,4.026,3.951,3.989,130130,MYR
2013-08-06,4.008,4.045,3.998,4.036,336230,MYR
2013-08-07,4.045,4.064,4.036,4.064,184200,MYR
2013-08-12,4.055,4.064,4.036,4.064,289680,MYR
2013-08-13,4.055,4.064,3.989,4.064,77660,MYR
