Date,Open,High,Low,Close,Volume,Currency
2013-03-20,0.152,0.152,0.152,0.152,39470,MYR
2013-03-21,0.156,0.163,0.152,0.163,46450,MYR
2013-03-22,0.156,0.156,0.152,0.152,227630,MYR
2013-03-25,0.167,0.167,0.148,0.167,40390,MYR
2013-03-26,0.163,0.163,0.163,0.163,11840,MYR
2013-03-27,0.152,0.156,0.152,0.156,106970,MYR
2013-03-29,0.152,0.152,0.152,0.152,105260,MYR
2013-04-01,0.152,0.16,0.152,0.16,85260,MYR
2013-04-03,0.152,0.156,0.152,0.156,215260,MYR
2013-04-04,0.156,0.156,0.156,0.156,17890,MYR
2013-04-05,0.152,0.175,0.152,0.175,135660,MYR
2013-04-08,0.167,0.167,0.163,0.163,209470,MYR
2013-04-10,0.16,0.16,0.16,0.16,78950,MYR
2013-04-11,0.167,0.167,0.167,0.167,26320,MYR
2013-04-12,0.156,0.156,0.152,0.156,27110,MYR
2013-04-15,0.16,0.16,0.16,0.16,10530,MYR
2013-04-17,0.16,0.163,0.16,0.163,43290,MYR
2013-04-24,0.171,0.171,0.171,0.171,22240,MYR
2013-04-26,0.16,0.16,0.152,0.152,78820,MYR
2013-04-30,0.16,0.16,0.148,0.148,6580,MYR
2013-05-02,0.152,0.163,0.152,0.163,18950,MYR
2013-05-03,0.163,0.163,0.163,0.163,52630,MYR
2013-05-07,0.171,0.171,0.163,0.163,235000,MYR
2013-05-08,0.16,0.16,0.16,0.16,65790,MYR
2013-05-09,0.171,0.171,0.171,0.171,660,MYR
2013-05-10,0.171,0.175,0.167,0.167,395000,MYR
2013-05-13,0.171,0.182,0.171,0.179,1165130,MYR
2013-05-14,0.175,0.175,0.167,0.171,236710,MYR
2013-05-15,0.171,0.186,0.171,0.182,266180,MYR
2013-05-16,0.175,0.179,0.171,0.179,367240,MYR
2013-05-17,0.182,0.19,0.175,0.19,2306050,MYR
2013-05-20,0.19,0.217,0.19,0.217,2170260,MYR
2013-05-21,0.22,0.22,0.201,0.22,3343950,MYR
2013-05-22,0.213,0.217,0.198,0.201,2354080,MYR
2013-05-23,0.201,0.201,0.19,0.194,1147630,MYR
2013-05-27,0.194,0.213,0.194,0.205,663550,MYR
2013-05-28,0.209,0.209,0.201,0.205,438160,MYR
2013-05-29,0.209,0.209,0.201,0.201,732760,MYR
2013-05-30,0.198,0.201,0.198,0.201,248680,MYR
2013-05-31,0.198,0.205,0.19,0.205,785000,MYR
2013-06-03,0.194,0.194,0.182,0.19,181450,MYR
2013-06-04,0.19,0.19,0.182,0.186,607760,MYR
2013-06-05,0.186,0.186,0.182,0.182,17110,MYR
2013-06-06,0.186,0.186,0.182,0.182,144870,MYR
2013-06-07,0.182,0.194,0.182,0.194,117110,MYR
2013-06-10,0.19,0.19,0.186,0.19,159340,MYR
2013-06-11,0.19,0.19,0.19,0.19,371050,MYR
2013-06-12,0.19,0.213,0.19,0.209,1602760,MYR
2013-06-13,0.209,0.232,0.209,0.217,8089340,MYR
2013-06-14,0.224,0.262,0.224,0.258,29775530,MYR
2013-06-17,0.262,0.308,0.258,0.277,62527888,MYR
2013-06-18,0.277,0.281,0.258,0.258,8580130,MYR
2013-06-19,0.258,0.262,0.239,0.239,2328950,MYR
2013-06-20,0.236,0.251,0.224,0.239,3914470,MYR
2013-06-21,0.224,0.243,0.224,0.239,10506180,MYR
2013-06-24,0.236,0.236,0.209,0.213,3353160,MYR
2013-06-25,0.213,0.228,0.201,0.22,3552240,MYR
2013-06-26,0.22,0.224,0.213,0.224,2280260,MYR
2013-06-27,0.224,0.232,0.213,0.217,4116050,MYR
2013-06-28,0.217,0.22,0.213,0.217,1303030,MYR
2013-07-01,0.213,0.213,0.213,0.213,883420,MYR
2013-07-02,0.213,0.213,0.205,0.209,1404610,MYR
