Date,Open,High,Low,Close,Volume,Currency
2016-01-28,1.0,1.02,1.0,1.01,43600,MYR
2016-01-29,1.01,1.01,1.01,1.01,9500,MYR
2016-02-02,1.01,1.03,1.01,1.03,6300,MYR
2016-02-03,1.03,1.03,1.03,1.03,51300,MYR
2016-02-04,1.04,1.05,1.04,1.05,3000,MYR
2016-02-05,1.05,1.05,1.05,1.05,5000,MYR
2016-02-10,1.05,1.05,1.05,1.05,2400,MYR
2016-02-12,1.03,1.04,1.03,1.04,23600,MYR
2016-02-15,1.04,1.05,1.04,1.04,20400,MYR
2016-02-16,1.03,1.05,1.03,1.04,32100,MYR
2016-02-17,1.02,1.02,1.0,1.01,102500,MYR
2016-02-18,1.01,1.01,1.01,1.01,28600,MYR
2016-02-19,1.01,1.01,1.01,1.01,21700,MYR
2016-02-22,1.01,1.02,1.01,1.01,38700,MYR
2016-02-23,1.01,1.01,1.01,1.01,4000,MYR
2016-02-24,1.01,1.01,1.01,1.01,5000,MYR
2016-02-26,1.02,1.02,1.01,1.01,15000,MYR
2016-02-29,1.03,1.03,1.01,1.01,10000,MYR
2016-03-01,1.01,1.01,1.01,1.01,4000,MYR
2016-03-02,1.01,1.01,1.0,1.0,12000,MYR
2016-03-03,1.01,1.02,1.01,1.02,8000,MYR
2016-03-04,1.01,1.01,1.01,1.01,40000,MYR
2016-03-07,1.01,1.02,1.01,1.02,25100,MYR
2016-03-08,1.02,1.03,1.01,1.01,102400,MYR
2016-03-09,1.01,1.01,1.01,1.01,3000,MYR
2016-03-10,1.02,1.02,1.02,1.02,10100,MYR
2016-03-11,1.0,1.01,1.0,1.01,15000,MYR
2016-03-14,1.01,1.01,1.01,1.01,14300,MYR
2016-03-15,1.01,1.01,1.01,1.01,17500,MYR
2016-03-16,1.01,1.02,1.01,1.02,33400,MYR
2016-03-17,1.02,1.03,1.02,1.03,125000,MYR
2016-03-18,1.02,1.03,1.02,1.03,5500,MYR
2016-03-21,1.03,1.03,1.02,1.02,1000,MYR
2016-03-22,1.02,1.03,1.02,1.03,39800,MYR
2016-03-23,1.02,1.02,1.02,1.02,2600,MYR
2016-03-24,1.04,1.04,1.03,1.03,100200,MYR
2016-03-25,1.02,1.02,1.02,1.02,100,MYR
2016-03-28,1.02,1.02,1.02,1.02,5000,MYR
2016-03-29,1.03,1.03,1.03,1.03,10000,MYR
2016-03-30,1.03,1.03,1.02,1.02,16000,MYR
2016-04-01,1.02,1.02,1.02,1.02,3800,MYR
2016-04-04,1.03,1.03,1.02,1.02,4500,MYR
2016-04-05,1.03,1.04,1.02,1.04,42000,MYR
2016-04-07,1.02,1.03,1.02,1.03,21000,MYR
2016-04-08,1.03,1.03,1.03,1.03,3000,MYR
2016-04-11,1.03,1.03,1.03,1.03,7200,MYR
2016-04-13,1.03,1.03,1.03,1.03,1000,MYR
2016-04-14,1.03,1.04,1.03,1.04,8000,MYR
2016-04-15,1.03,1.04,1.03,1.04,8100,MYR
2016-04-19,1.03,1.03,1.03,1.03,12200,MYR
2016-04-21,1.02,1.03,1.02,1.03,21000,MYR
2016-04-22,1.02,1.03,1.02,1.02,7000,MYR
2016-04-25,1.02,1.03,1.02,1.02,15000,MYR
2016-04-26,1.02,1.03,1.02,1.03,4000,MYR
2016-04-27,1.03,1.03,1.02,1.03,35600,MYR
2016-04-28,1.02,1.03,1.02,1.03,15000,MYR
2016-04-29,1.02,1.02,1.02,1.02,17000,MYR
2016-05-04,1.02,1.02,1.02,1.02,10000,MYR
2016-05-05,1.02,1.02,1.02,1.02,10000,MYR
