Date,Open,High,Low,Close,Volume,Currency
2014-09-18,0.195,0.21,0.195,0.21,11000,MYR
2014-09-22,0.195,0.21,0.195,0.21,101000,MYR
2014-09-23,0.195,0.195,0.195,0.195,23000,MYR
2014-09-24,0.2,0.205,0.2,0.2,50000,MYR
2014-09-25,0.195,0.21,0.195,0.21,70800,MYR
2014-09-29,0.205,0.21,0.205,0.21,128900,MYR
2014-10-01,0.205,0.205,0.205,0.205,50000,MYR
2014-10-02,0.225,0.225,0.205,0.215,54000,MYR
2014-10-03,0.21,0.21,0.21,0.21,100000,MYR
2014-10-08,0.195,0.195,0.195,0.195,179200,MYR
2014-10-09,0.195,0.195,0.195,0.195,10000,MYR
2014-10-10,0.205,0.205,0.205,0.205,1000,MYR
2014-10-13,0.195,0.195,0.195,0.195,424000,MYR
2014-10-14,0.195,0.195,0.195,0.195,88600,MYR
2014-10-15,0.2,0.21,0.195,0.195,169000,MYR
2014-10-16,0.2,0.21,0.195,0.2,453100,MYR
2014-10-17,0.2,0.2,0.2,0.2,50000,MYR
2014-10-20,0.2,0.22,0.2,0.22,466000,MYR
2014-10-21,0.21,0.215,0.21,0.215,158900,MYR
2014-10-23,0.23,0.23,0.23,0.23,1000,MYR
2014-10-27,0.215,0.23,0.215,0.22,382100,MYR
2014-10-29,0.22,0.22,0.22,0.22,10000,MYR
2014-10-30,0.205,0.22,0.205,0.22,21000,MYR
2014-11-03,0.215,0.215,0.2,0.2,451000,MYR
2014-11-07,0.195,0.21,0.195,0.21,14400,MYR
2014-11-11,0.215,0.22,0.215,0.215,116300,MYR
2014-11-13,0.205,0.205,0.205,0.205,10000,MYR
2014-11-21,0.205,0.205,0.205,0.205,56000,MYR
2014-11-24,0.195,0.205,0.195,0.205,386100,MYR
2014-12-01,0.195,0.195,0.195,0.195,130000,MYR
2014-12-02,0.195,0.2,0.19,0.2,111900,MYR
2014-12-03,0.245,0.245,0.245,0.245,1000,MYR
2014-12-04,0.19,0.21,0.19,0.21,214000,MYR
2014-12-08,0.18,0.18,0.18,0.18,2000,MYR
2014-12-09,0.18,0.18,0.18,0.18,173100,MYR
2014-12-10,0.18,0.245,0.18,0.245,352800,MYR
2014-12-11,0.195,0.195,0.195,0.195,50000,MYR
2014-12-12,0.24,0.25,0.24,0.25,37700,MYR
2014-12-15,0.19,0.19,0.19,0.19,52000,MYR
2014-12-16,0.21,0.24,0.195,0.225,133100,MYR
2014-12-17,0.22,0.235,0.22,0.235,116100,MYR
2014-12-18,0.195,0.235,0.195,0.235,68100,MYR
2014-12-19,0.205,0.23,0.205,0.205,17100,MYR
2014-12-22,0.235,0.245,0.21,0.24,125500,MYR
2014-12-23,0.24,0.25,0.205,0.25,435700,MYR
2014-12-24,0.23,0.24,0.23,0.24,251200,MYR
2015-01-09,0.2,0.2,0.2,0.2,1000,MYR
2015-01-12,0.23,0.25,0.215,0.215,320600,MYR
2015-01-13,0.22,0.245,0.22,0.245,30100,MYR
2015-01-15,0.245,0.245,0.245,0.245,100000,MYR
2015-01-23,0.215,0.215,0.215,0.215,8000,MYR
2015-01-26,0.235,0.245,0.235,0.245,109700,MYR
2015-01-28,0.225,0.25,0.225,0.25,50100,MYR
2015-01-29,0.24,0.24,0.24,0.24,200000,MYR
2015-02-12,0.25,0.25,0.225,0.25,65500,MYR
2015-02-24,0.235,0.27,0.235,0.27,39800,MYR
2015-02-25,0.245,0.245,0.245,0.245,10000,MYR
2015-02-26,0.245,0.255,0.245,0.255,81000,MYR
2015-03-02,0.245,0.245,0.245,0.245,9000,MYR
2015-03-03,0.24,0.27,0.24,0.27,300700,MYR
2015-03-04,0.26,0.26,0.26,0.26,31900,MYR
2015-03-05,0.24,0.255,0.24,0.255,60400,MYR
2015-03-06,0.26,0.26,0.26,0.26,119900,MYR
2015-03-09,0.245,0.26,0.245,0.25,76300,MYR
2015-03-10,0.25,0.26,0.245,0.26,97600,MYR
2015-03-17,0.26,0.26,0.26,0.26,22000,MYR
2015-03-18,0.28,0.28,0.28,0.28,1000,MYR
2015-03-19,0.26,0.28,0.26,0.28,2098900,MYR
2015-03-20,0.28,0.28,0.27,0.27,160000,MYR
2015-04-07,0.255,0.255,0.255,0.255,19400,MYR
2015-04-08,0.255,0.255,0.255,0.255,50000,MYR
2015-04-09,0.245,0.245,0.245,0.245,10000,MYR
2015-04-10,0.27,0.27,0.245,0.245,10000,MYR
2015-04-15,0.245,0.245,0.245,0.245,5000,MYR
2015-04-16,0.28,0.28,0.245,0.245,21000,MYR
2015-04-17,0.28,0.28,0.28,0.28,500,MYR
2015-04-21,0.245,0.245,0.245,0.245,10600,MYR
2015-04-22,0.27,0.27,0.235,0.235,6500,MYR
2015-04-23,0.25,0.25,0.225,0.225,31000,MYR
2015-04-24,0.25,0.25,0.215,0.215,1500,MYR
2015-04-27,0.21,0.22,0.2,0.22,1962100,MYR
2015-04-28,0.22,0.22,0.21,0.21,21000,MYR
2015-04-30,0.21,0.25,0.2,0.25,10214200,MYR
2015-05-05,0.215,0.215,0.215,0.215,10000,MYR
2015-05-07,0.215,0.215,0.215,0.215,300,MYR
2015-05-11,0.215,0.215,0.21,0.21,5000,MYR
2015-05-12,0.26,0.26,0.26,0.26,1000,MYR
2015-05-13,0.21,0.21,0.21,0.21,2000,MYR
2015-05-15,0.25,0.25,0.24,0.24,45200,MYR
2015-05-18,0.22,0.22,0.22,0.22,1000,MYR
2015-05-20,0.24,0.24,0.24,0.24,10000,MYR
2015-05-21,0.225,0.225,0.225,0.225,12000,MYR
2015-05-27,0.21,0.21,0.21,0.21,8000,MYR
2015-06-23,0.21,0.21,0.21,0.21,46600,MYR
2015-07-02,0.2,0.23,0.2,0.23,885800,MYR
2015-07-21,0.205,0.26,0.2,0.26,214600,MYR
2015-07-29,0.25,0.25,0.25,0.25,42000,MYR
2015-07-30,0.23,0.26,0.23,0.26,52000,MYR
2015-07-31,0.24,0.26,0.24,0.26,50500,MYR
2015-08-03,0.26,0.26,0.26,0.26,5000,MYR
2015-08-05,0.27,0.27,0.27,0.27,500,MYR
2015-08-11,0.235,0.24,0.23,0.24,55000,MYR
2015-08-12,0.23,0.26,0.22,0.22,164600,MYR
2015-08-13,0.23,0.23,0.215,0.215,10000,MYR
2015-08-14,0.2,0.25,0.2,0.25,49200,MYR
2015-08-18,0.235,0.24,0.235,0.24,23500,MYR
2015-08-21,0.22,0.235,0.21,0.235,14600,MYR
2015-08-24,0.23,0.23,0.23,0.23,20000,MYR
2015-09-01,0.21,0.23,0.21,0.23,52100,MYR
2015-09-02,0.21,0.23,0.21,0.23,90100,MYR
2015-09-08,0.225,0.23,0.225,0.23,89000,MYR
2015-09-09,0.23,0.23,0.215,0.215,103000,MYR
2015-09-10,0.24,0.24,0.24,0.24,100,MYR
2015-09-15,0.22,0.22,0.22,0.22,5000,MYR
2015-09-21,0.24,0.24,0.24,0.24,100,MYR
2015-09-29,0.21,0.24,0.21,0.24,139200,MYR
2015-10-01,0.265,0.265,0.265,0.265,100,MYR
2015-10-02,0.215,0.265,0.215,0.265,199800,MYR
2015-10-07,0.25,0.25,0.24,0.24,1800,MYR
2015-10-08,0.23,0.24,0.215,0.24,13400,MYR
2015-10-12,0.24,0.24,0.24,0.24,49000,MYR
2015-10-13,0.235,0.235,0.235,0.235,1900,MYR
2015-10-15,0.24,0.24,0.24,0.24,134800,MYR
2015-10-20,0.225,0.24,0.225,0.24,64100,MYR
2015-10-21,0.225,0.24,0.225,0.24,2400,MYR
2015-10-23,0.225,0.23,0.225,0.23,207800,MYR
2015-10-26,0.22,0.24,0.22,0.24,175100,MYR
2015-11-09,0.22,0.22,0.22,0.22,6600,MYR
2015-11-12,0.23,0.23,0.2,0.2,6000,MYR
2015-11-13,0.265,0.265,0.265,0.265,300,MYR
2015-11-16,0.215,0.215,0.215,0.215,5000,MYR
2015-11-17,0.215,0.215,0.215,0.215,5000,MYR
2015-12-01,0.25,0.25,0.22,0.22,7000,MYR
2015-12-02,0.225,0.225,0.225,0.225,250000,MYR
2015-12-17,0.21,0.21,0.21,0.21,5000,MYR
2015-12-29,0.21,0.21,0.15,0.15,94600,MYR
2015-12-30,0.18,0.225,0.18,0.21,54600,MYR
2015-12-31,0.21,0.21,0.21,0.21,5000,MYR
2016-01-04,0.21,0.22,0.21,0.22,87000,MYR
2016-01-20,0.205,0.205,0.205,0.205,26900,MYR
2016-01-21,0.205,0.205,0.205,0.205,15000,MYR
2016-01-29,0.205,0.205,0.205,0.205,300,MYR
2016-02-17,0.205,0.205,0.205,0.205,1000,MYR
2016-02-24,0.2,0.2,0.2,0.2,50000,MYR
2016-03-01,0.2,0.2,0.2,0.2,10000,MYR
2016-03-03,0.195,0.195,0.195,0.195,8300,MYR
2016-03-07,0.2,0.2,0.2,0.2,1500,MYR
2016-03-10,0.195,0.195,0.195,0.195,800,MYR
2016-04-04,0.25,0.25,0.25,0.25,600000,MYR
2016-04-07,0.205,0.205,0.205,0.205,100,MYR
2016-04-15,0.21,0.21,0.21,0.21,2000,MYR
2016-04-21,0.23,0.23,0.23,0.23,2000,MYR
2016-04-28,0.2,0.2,0.2,0.2,500,MYR
2016-05-09,0.3,0.3,0.2,0.2,25000,MYR
2016-05-10,0.2,0.23,0.2,0.22,277000,MYR
2016-05-18,0.205,0.205,0.205,0.205,8000,MYR
2016-05-24,0.205,0.205,0.19,0.19,96000,MYR
2016-05-25,0.2,0.2,0.2,0.2,3000,MYR
2016-05-27,0.25,0.25,0.25,0.25,1000,MYR
2016-06-09,0.25,0.25,0.25,0.25,5000,MYR
2016-07-22,0.21,0.21,0.21,0.21,11200,MYR
2016-07-26,0.23,0.245,0.18,0.245,3553000,MYR
2016-07-27,0.195,0.195,0.195,0.195,3900,MYR
