Date,Open,High,Low,Close,Volume,Currency
2015-09-30,1.06,1.06,1.01,1.02,3226900,MYR
2015-10-01,1.02,1.03,0.985,0.99,4047900,MYR
2015-10-02,0.99,1.01,0.97,1.0,1628900,MYR
2015-10-05,1.0,1.01,0.985,1.0,1964800,MYR
2015-10-06,0.995,0.995,0.99,0.995,450600,MYR
2015-10-07,0.995,0.995,0.99,0.99,520600,MYR
2015-10-08,0.99,0.995,0.985,0.99,447300,MYR
2015-10-09,0.99,0.995,0.99,0.995,315700,MYR
2015-10-12,0.985,0.99,0.985,0.985,231000,MYR
2015-10-13,0.99,0.99,0.98,0.99,316000,MYR
2015-10-15,0.98,0.985,0.975,0.985,264600,MYR
2015-10-16,0.98,0.98,0.975,0.98,320000,MYR
2015-10-19,0.98,0.98,0.97,0.97,340100,MYR
2015-10-20,0.97,0.97,0.965,0.965,273900,MYR
2015-10-21,0.965,0.965,0.95,0.96,864900,MYR
2015-10-22,0.96,0.96,0.95,0.96,181700,MYR
2015-10-23,0.96,1.01,0.96,1.01,2049000,MYR
2015-10-26,0.995,0.995,0.98,0.99,801700,MYR
2015-10-27,0.98,1.01,0.98,1.01,1470500,MYR
2015-10-28,1.0,1.0,0.99,0.99,156900,MYR
2015-10-29,0.99,0.995,0.99,0.99,118800,MYR
2015-10-30,0.99,1.0,0.99,1.0,459100,MYR
2015-11-02,0.99,1.0,0.99,0.995,99200,MYR
2015-11-03,0.995,0.995,0.99,0.995,160100,MYR
2015-11-04,0.995,1.0,0.99,0.995,197900,MYR
2015-11-05,0.995,1.0,0.995,0.995,85000,MYR
2015-11-06,0.995,0.995,0.995,0.995,111200,MYR
2015-11-09,0.995,0.995,0.985,0.985,110400,MYR
2015-11-11,0.985,0.99,0.98,0.985,105400,MYR
2015-11-12,0.98,0.98,0.97,0.975,126100,MYR
2015-11-13,0.975,0.98,0.97,0.98,50700,MYR
2015-11-16,0.97,0.975,0.97,0.97,179900,MYR
2015-11-17,0.97,0.98,0.97,0.97,75600,MYR
2015-11-18,0.97,0.98,0.97,0.98,101900,MYR
2015-11-19,0.97,0.98,0.97,0.975,48800,MYR
2015-11-20,0.975,0.975,0.97,0.97,31800,MYR
2015-11-23,0.97,0.97,0.965,0.97,61300,MYR
2015-11-24,0.97,0.97,0.965,0.965,29000,MYR
2015-11-25,0.97,0.97,0.96,0.96,97800,MYR
2015-11-26,0.96,0.965,0.96,0.96,59900,MYR
2015-11-27,0.96,0.97,0.96,0.96,169000,MYR
2015-11-30,0.96,0.965,0.96,0.96,393000,MYR
2015-12-01,0.96,0.965,0.96,0.96,116100,MYR
2015-12-02,0.965,0.965,0.96,0.96,123400,MYR
2015-12-03,0.96,0.96,0.955,0.955,193300,MYR
2015-12-04,0.955,0.965,0.955,0.965,167200,MYR
2015-12-07,0.96,0.965,0.96,0.96,42700,MYR
2015-12-08,0.955,0.96,0.955,0.96,44400,MYR
2015-12-09,0.955,0.96,0.955,0.955,76000,MYR
2015-12-10,0.955,0.955,0.95,0.95,39300,MYR
2015-12-11,0.95,0.96,0.95,0.95,203700,MYR
2015-12-14,0.95,0.955,0.95,0.95,34700,MYR
2015-12-15,0.95,0.955,0.945,0.955,69100,MYR
2015-12-16,0.955,0.955,0.95,0.955,32900,MYR
2015-12-17,0.95,0.95,0.945,0.945,34000,MYR
2015-12-18,0.945,0.955,0.94,0.945,26600,MYR
2015-12-21,0.94,0.945,0.93,0.94,123200,MYR
2015-12-22,0.935,0.94,0.93,0.93,56900,MYR
2015-12-23,0.935,0.95,0.93,0.95,60400,MYR
2015-12-28,0.945,0.955,0.94,0.955,339200,MYR
