Date,Open,High,Low,Close,Volume,Currency
2014-09-15,0.425,0.425,0.425,0.425,728740,MYR
2014-09-17,0.425,0.425,0.4,0.4,148200,MYR
2014-09-18,0.425,0.425,0.4,0.4,489640,MYR
2014-09-19,0.425,0.425,0.4,0.4,241160,MYR
2014-09-22,0.4,0.425,0.4,0.425,246600,MYR
2014-09-23,0.425,0.425,0.4,0.425,327760,MYR
2014-09-24,0.4,0.425,0.4,0.4,798900,MYR
2014-09-25,0.425,0.425,0.4,0.425,191100,MYR
2014-09-26,0.425,0.425,0.4,0.4,323800,MYR
2014-09-29,0.4,0.425,0.4,0.425,4708660,MYR
2014-09-30,0.4,0.425,0.4,0.425,257000,MYR
2014-10-01,0.4,0.4,0.4,0.4,416620,MYR
2014-10-02,0.4,0.425,0.4,0.4,3606360,MYR
2014-10-03,0.4,0.425,0.4,0.4,842200,MYR
2014-10-07,0.4,0.4,0.375,0.375,408320,MYR
2014-10-08,0.375,0.4,0.375,0.4,1863960,MYR
2014-10-09,0.375,0.4,0.375,0.4,159280,MYR
2014-10-10,0.375,0.4,0.375,0.4,487280,MYR
2014-10-13,0.375,0.4,0.35,0.375,1443660,MYR
2014-10-14,0.375,0.375,0.35,0.35,338320,MYR
2014-10-15,0.375,0.375,0.35,0.35,349060,MYR
2014-10-16,0.35,0.375,0.35,0.375,411840,MYR
2014-10-17,0.375,0.375,0.35,0.375,819400,MYR
2014-10-20,0.375,0.4,0.35,0.35,560980,MYR
2014-10-21,0.35,0.375,0.35,0.375,86020,MYR
2014-10-23,0.375,0.375,0.35,0.35,188760,MYR
2014-10-24,0.375,0.375,0.35,0.375,189720,MYR
2014-10-27,0.35,0.4,0.35,0.4,601560,MYR
2014-10-28,0.375,0.4,0.375,0.4,386220,MYR
2014-10-29,0.375,0.4,0.375,0.4,120820,MYR
2014-10-30,0.375,0.4,0.375,0.375,420600,MYR
2014-10-31,0.375,0.4,0.375,0.4,153200,MYR
2014-11-03,0.4,0.4,0.375,0.375,374140,MYR
2014-11-04,0.375,0.4,0.375,0.375,64340,MYR
2014-11-05,0.375,0.4,0.375,0.4,175260,MYR
2014-11-06,0.375,0.4,0.375,0.4,174700,MYR
2014-11-07,0.375,0.4,0.375,0.375,282400,MYR
2014-11-10,0.375,0.4,0.375,0.4,557020,MYR
2014-11-11,0.4,0.4,0.375,0.4,128640,MYR
2014-11-12,0.375,0.4,0.35,0.375,875140,MYR
2014-11-13,0.375,0.375,0.35,0.375,232020,MYR
2014-11-14,0.375,0.4,0.35,0.4,517860,MYR
2014-11-17,0.375,0.375,0.375,0.375,101800,MYR
2014-11-18,0.35,0.375,0.35,0.35,95000,MYR
2014-11-19,0.35,0.4,0.35,0.4,411620,MYR
2014-11-20,0.4,0.4,0.35,0.35,54220,MYR
2014-11-21,0.35,0.375,0.35,0.375,40640,MYR
2014-11-24,0.375,0.375,0.35,0.375,193500,MYR
2014-11-25,0.375,0.375,0.35,0.35,290420,MYR
2014-11-26,0.35,0.35,0.325,0.35,4249820,MYR
2014-11-27,0.35,0.35,0.325,0.325,391080,MYR
2014-11-28,0.325,0.35,0.3,0.35,2295060,MYR
2014-12-01,0.325,0.325,0.3,0.325,306700,MYR
2014-12-02,0.325,0.325,0.3,0.325,314220,MYR
2014-12-03,0.325,0.325,0.3,0.325,223760,MYR
2014-12-04,0.3,0.325,0.3,0.325,756840,MYR
2014-12-05,0.3,0.325,0.275,0.325,2658380,MYR
2014-12-08,0.3,0.3,0.275,0.3,277860,MYR
2014-12-09,0.275,0.3,0.275,0.3,37000,MYR
2014-12-10,0.275,0.3,0.275,0.3,189200,MYR
2014-12-11,0.3,0.3,0.275,0.275,151640,MYR
2014-12-12,0.275,0.3,0.275,0.275,116800,MYR
2014-12-15,0.275,0.275,0.25,0.275,1501460,MYR
2014-12-16,0.25,0.275,0.225,0.25,1238580,MYR
2014-12-17,0.225,0.25,0.225,0.25,301400,MYR
2014-12-18,0.25,0.275,0.25,0.275,2321360,MYR
2014-12-19,0.275,0.275,0.25,0.275,216140,MYR
2014-12-22,0.275,0.275,0.25,0.275,143400,MYR
2014-12-23,0.275,0.275,0.25,0.275,146400,MYR
2014-12-24,0.25,0.275,0.25,0.275,520200,MYR
2014-12-26,0.275,0.275,0.25,0.275,76820,MYR
2014-12-29,0.275,0.275,0.25,0.275,76620,MYR
2014-12-30,0.275,0.275,0.25,0.275,76400,MYR
2014-12-31,0.25,0.275,0.25,0.275,104840,MYR
2015-01-02,0.25,0.275,0.25,0.275,14400,MYR
2015-01-05,0.25,0.275,0.25,0.275,99200,MYR
2015-01-06,0.25,0.275,0.25,0.275,83200,MYR
2015-01-07,0.275,0.275,0.25,0.25,72200,MYR
2015-01-08,0.275,0.275,0.25,0.275,86000,MYR
2015-01-09,0.275,0.275,0.25,0.275,78840,MYR
2015-01-12,0.275,0.275,0.275,0.275,74060,MYR
2015-01-13,0.275,0.275,0.275,0.275,145600,MYR
2015-01-14,0.275,0.3,0.275,0.275,2064940,MYR
2015-01-15,0.275,0.3,0.275,0.275,194540,MYR
2015-01-16,0.275,0.3,0.275,0.3,129080,MYR
2015-01-19,0.275,0.3,0.275,0.275,148000,MYR
