Date,Open,High,Low,Close,Volume,Currency
2013-03-27,10.95,10.99,10.91,10.95,2300,MYR
2013-03-28,10.85,10.95,10.85,10.89,8600,MYR
2013-03-29,10.95,10.95,10.89,10.95,7500,MYR
2013-04-01,10.95,11.1,10.95,11.1,3000,MYR
2013-04-02,11.05,11.05,11.05,11.05,1600,MYR
2013-04-03,11.05,11.05,10.91,10.97,48400,MYR
2013-04-04,10.97,10.97,10.85,10.91,19900,MYR
2013-04-08,10.93,10.93,10.93,10.93,1600,MYR
2013-04-09,11.03,11.03,10.95,10.95,18000,MYR
2013-04-10,10.91,10.93,10.85,10.91,35400,MYR
2013-04-11,10.95,11.14,10.95,11.14,52000,MYR
2013-04-12,11.18,11.34,11.18,11.34,38700,MYR
2013-04-15,11.36,11.36,11.24,11.28,24500,MYR
2013-04-16,11.34,11.36,11.32,11.36,213400,MYR
2013-04-17,11.4,11.4,11.38,11.38,3500,MYR
2013-04-18,11.34,11.43,11.34,11.43,11700,MYR
2013-04-19,11.43,11.45,11.43,11.43,44200,MYR
2013-04-23,11.41,11.47,11.34,11.43,28800,MYR
2013-04-24,11.43,11.61,11.43,11.61,31500,MYR
2013-04-26,11.61,11.61,11.53,11.55,11200,MYR
2013-04-29,11.57,11.57,11.24,11.24,3000,MYR
2013-04-30,11.26,11.49,11.26,11.43,500100,MYR
2013-05-02,11.53,11.53,11.24,11.24,8200,MYR
2013-05-03,11.3,11.43,11.3,11.43,227100,MYR
2013-05-06,11.61,11.61,11.43,11.47,18700,MYR
2013-05-07,11.57,11.59,11.45,11.47,25600,MYR
2013-05-08,11.49,11.61,11.43,11.49,66400,MYR
2013-05-09,11.49,11.53,11.49,11.53,39000,MYR
2013-05-10,11.53,11.57,11.53,11.53,19500,MYR
2013-05-13,11.59,11.63,11.59,11.61,24800,MYR
2013-05-14,11.63,11.63,11.61,11.61,21600,MYR
2013-05-15,11.65,11.73,11.65,11.73,220000,MYR
2013-05-16,11.73,11.73,11.61,11.61,8500,MYR
2013-05-17,11.61,11.63,11.61,11.63,17200,MYR
2013-05-20,11.82,11.82,11.53,11.63,17800,MYR
2013-05-21,11.61,11.63,11.55,11.63,14200,MYR
2013-05-22,11.63,11.63,11.55,11.55,8100,MYR
2013-05-23,11.55,11.63,11.53,11.63,67700,MYR
2013-05-27,11.63,11.63,11.55,11.55,8100,MYR
2013-05-28,11.63,11.7,11.63,11.63,1100,MYR
2013-05-29,11.73,11.8,11.65,11.8,15100,MYR
2013-05-30,11.82,11.82,11.73,11.73,1400,MYR
2013-05-31,11.73,11.73,11.63,11.63,28800,MYR
2013-06-03,11.63,11.63,11.63,11.63,1800,MYR
2013-06-04,11.63,11.76,11.63,11.67,9000,MYR
2013-06-05,11.73,11.73,11.63,11.65,4600,MYR
2013-06-06,11.63,11.63,11.59,11.59,25500,MYR
2013-06-07,11.63,11.63,11.61,11.61,38100,MYR
2013-06-10,11.63,11.74,11.63,11.7,34100,MYR
2013-06-11,11.63,11.63,11.61,11.63,16200,MYR
2013-06-12,11.7,11.82,11.63,11.63,14100,MYR
2013-06-13,11.73,11.82,11.65,11.78,29400,MYR
2013-06-14,11.78,11.78,11.73,11.73,13300,MYR
2013-06-17,11.73,11.74,11.73,11.74,5200,MYR
2013-06-18,11.82,11.82,11.74,11.82,2600,MYR
2013-06-19,11.82,11.82,11.78,11.78,11100,MYR
2013-06-20,11.82,11.82,11.76,11.76,5200,MYR
2013-06-21,11.74,11.74,11.7,11.7,11000,MYR
2013-06-24,11.7,11.7,11.63,11.63,6000,MYR
2013-06-25,11.63,11.63,11.59,11.63,8100,MYR
2013-06-26,11.7,11.84,11.7,11.84,34600,MYR
2013-06-27,11.74,11.82,11.74,11.82,1100,MYR
2013-06-28,11.73,11.78,11.73,11.73,40500,MYR
2013-07-01,11.73,11.73,11.65,11.73,5500,MYR
