Date,Open,High,Low,Close,Volume,Currency
2013-02-07,1.48,1.5,1.48,1.5,27000,MYR
2013-02-08,1.5,1.5,1.5,1.5,12000,MYR
2013-02-13,1.52,1.52,1.52,1.52,5000,MYR
2013-02-14,1.55,1.55,1.51,1.54,5000,MYR
2013-02-15,1.51,1.53,1.51,1.53,5500,MYR
2013-02-18,1.48,1.52,1.48,1.52,12000,MYR
2013-02-19,1.48,1.5,1.48,1.5,24500,MYR
2013-02-20,1.51,1.51,1.48,1.49,26800,MYR
2013-02-21,1.48,1.51,1.48,1.51,17000,MYR
2013-02-22,1.49,1.52,1.49,1.52,9000,MYR
2013-02-25,1.5,1.55,1.5,1.52,558100,MYR
2013-02-26,1.48,1.48,1.45,1.45,8200,MYR
2013-02-27,1.44,1.46,1.44,1.46,3500,MYR
2013-02-28,1.46,1.46,1.46,1.46,3000,MYR
2013-03-01,1.42,1.42,1.42,1.42,22200,MYR
2013-03-04,1.44,1.47,1.44,1.47,10000,MYR
2013-03-05,1.47,1.47,1.47,1.47,2500,MYR
2013-03-06,1.47,1.47,1.47,1.47,2000,MYR
2013-03-07,1.47,1.6,1.45,1.45,10200,MYR
2013-03-08,1.49,1.49,1.45,1.47,14200,MYR
2013-03-11,1.44,1.5,1.44,1.47,45200,MYR
2013-03-12,1.48,1.6,1.47,1.56,18600,MYR
2013-03-13,1.55,1.55,1.55,1.55,3000,MYR
2013-03-14,1.54,1.54,1.53,1.53,5000,MYR
2013-03-15,1.53,1.53,1.47,1.51,10800,MYR
2013-03-18,1.45,1.5,1.45,1.5,4500,MYR
2013-03-19,1.45,1.49,1.45,1.49,20000,MYR
2013-03-20,1.5,1.5,1.5,1.5,5000,MYR
2013-03-21,1.5,1.5,1.5,1.5,2800,MYR
2013-03-22,1.51,1.51,1.51,1.51,4000,MYR
2013-03-25,1.49,1.55,1.47,1.55,1900,MYR
2013-03-26,1.54,1.54,1.54,1.54,3000,MYR
2013-03-27,1.49,1.49,1.49,1.49,3000,MYR
2013-03-28,1.45,1.45,1.45,1.45,800,MYR
2013-03-29,1.46,1.46,1.46,1.46,6000,MYR
2013-04-01,1.47,1.5,1.47,1.48,20500,MYR
2013-04-02,1.49,1.51,1.49,1.51,7000,MYR
2013-04-03,1.48,1.48,1.46,1.46,9000,MYR
2013-04-04,1.47,1.49,1.47,1.49,3500,MYR
2013-04-05,1.49,1.54,1.49,1.54,192600,MYR
2013-04-08,1.53,1.53,1.5,1.53,111500,MYR
2013-04-09,1.51,1.57,1.51,1.57,35800,MYR
2013-04-10,1.56,1.56,1.56,1.56,3000,MYR
2013-04-11,1.55,1.55,1.55,1.55,3000,MYR
2013-04-12,1.52,1.58,1.52,1.55,54600,MYR
2013-04-15,1.49,1.51,1.49,1.51,103000,MYR
2013-04-17,1.49,1.52,1.49,1.52,225000,MYR
2013-04-18,1.51,1.51,1.51,1.51,2000,MYR
2013-04-19,1.51,1.54,1.51,1.54,219600,MYR
2013-04-22,1.54,1.54,1.54,1.54,4000,MYR
2013-04-23,1.54,1.54,1.54,1.54,3900,MYR
2013-04-24,1.5,1.5,1.5,1.5,15000,MYR
2013-04-25,1.5,1.5,1.5,1.5,9300,MYR
2013-04-26,1.5,1.5,1.5,1.5,5000,MYR
2013-04-29,1.5,1.5,1.5,1.5,22000,MYR
2013-04-30,1.5,1.5,1.5,1.5,25800,MYR
2013-05-02,1.5,1.5,1.5,1.5,25000,MYR
2013-05-03,1.49,1.49,1.47,1.47,18000,MYR
2013-05-08,1.53,1.53,1.53,1.53,1000,MYR
2013-05-09,1.53,1.53,1.5,1.5,23000,MYR
2013-05-10,1.53,1.53,1.5,1.5,8000,MYR
2013-05-13,1.51,1.55,1.51,1.54,22500,MYR
2013-05-14,1.53,1.56,1.53,1.56,32000,MYR
2013-05-15,1.55,1.63,1.55,1.58,112600,MYR
2013-05-16,1.58,1.58,1.58,1.58,149500,MYR
2013-05-17,1.59,1.6,1.59,1.6,41900,MYR
2013-05-20,1.58,1.68,1.58,1.67,72100,MYR
2013-05-21,1.64,1.75,1.64,1.71,127600,MYR
2013-05-22,1.7,1.7,1.65,1.65,18900,MYR
2013-05-23,1.65,1.68,1.6,1.66,47000,MYR
2013-05-27,1.58,1.64,1.58,1.64,15100,MYR
2013-05-28,1.7,1.7,1.7,1.7,3000,MYR
2013-05-29,1.66,1.75,1.66,1.72,75700,MYR
2013-05-30,1.68,1.69,1.68,1.69,12000,MYR
2013-05-31,1.69,1.69,1.68,1.68,9000,MYR
2013-06-03,1.67,1.67,1.67,1.67,11000,MYR
2013-06-04,1.65,1.66,1.64,1.66,28000,MYR
2013-06-05,1.67,1.67,1.66,1.67,12100,MYR
2013-06-06,1.66,1.66,1.65,1.66,14000,MYR
2013-06-07,1.66,1.69,1.66,1.69,32100,MYR
2013-06-10,1.66,1.72,1.66,1.72,58000,MYR
2013-06-11,1.68,1.68,1.68,1.68,5000,MYR
