Date,Open,High,Low,Close,Volume,Currency
2013-02-21,0.355,0.36,0.35,0.36,35000,MYR
2013-02-22,0.365,0.365,0.365,0.365,10000,MYR
2013-02-25,0.37,0.375,0.37,0.375,34000,MYR
2013-02-26,0.38,0.395,0.38,0.39,55000,MYR
2013-02-27,0.39,0.4,0.39,0.4,53000,MYR
2013-02-28,0.395,0.4,0.395,0.4,33000,MYR
2013-03-01,0.395,0.4,0.395,0.4,31000,MYR
2013-03-04,0.4,0.43,0.4,0.43,40000,MYR
2013-03-05,0.4,0.45,0.4,0.45,18000,MYR
2013-03-06,0.42,0.42,0.42,0.42,5000,MYR
2013-03-07,0.43,0.45,0.42,0.45,36000,MYR
2013-03-08,0.47,0.475,0.455,0.475,43000,MYR
2013-03-11,0.47,0.5,0.47,0.5,57000,MYR
2013-03-12,0.5,0.5,0.5,0.5,29000,MYR
2013-03-13,0.5,0.505,0.5,0.5,30000,MYR
2013-03-14,0.51,0.515,0.5,0.5,45000,MYR
2013-03-15,0.51,0.51,0.5,0.5,37000,MYR
2013-03-18,0.46,0.505,0.46,0.5,20200,MYR
2013-03-19,0.5,0.5,0.495,0.5,20000,MYR
2013-03-20,0.51,0.51,0.5,0.5,24000,MYR
2013-03-21,0.505,0.505,0.495,0.5,25000,MYR
2013-03-22,0.5,0.5,0.46,0.485,42000,MYR
2013-03-25,0.485,0.49,0.46,0.475,55000,MYR
2013-03-26,0.46,0.46,0.45,0.45,45000,MYR
2013-03-27,0.465,0.465,0.445,0.46,21000,MYR
2013-03-28,0.46,0.465,0.46,0.465,20000,MYR
2013-03-29,0.465,0.47,0.465,0.465,25000,MYR
2013-04-01,0.465,0.465,0.465,0.465,25000,MYR
2013-04-02,0.465,0.465,0.465,0.465,25000,MYR
2013-04-03,0.465,0.465,0.46,0.465,25000,MYR
2013-04-04,0.475,0.475,0.465,0.47,24500,MYR
2013-04-05,0.47,0.47,0.465,0.465,25000,MYR
2013-04-08,0.46,0.465,0.46,0.465,22000,MYR
2013-04-09,0.465,0.465,0.46,0.46,15000,MYR
2013-04-10,0.465,0.465,0.46,0.46,90000,MYR
2013-04-11,0.46,0.46,0.45,0.45,49000,MYR
2013-04-12,0.46,0.465,0.46,0.46,17000,MYR
2013-04-15,0.46,0.46,0.46,0.46,15000,MYR
2013-04-16,0.46,0.46,0.46,0.46,14000,MYR
2013-04-17,0.46,0.46,0.46,0.46,15000,MYR
2013-04-18,0.46,0.46,0.45,0.45,31000,MYR
2013-04-19,0.43,0.45,0.42,0.45,35100,MYR
2013-04-22,0.45,0.45,0.435,0.435,40000,MYR
2013-04-23,0.42,0.44,0.42,0.44,8000,MYR
2013-04-24,0.42,0.42,0.41,0.41,42000,MYR
2013-04-25,0.38,0.415,0.38,0.415,3100,MYR
2013-04-26,0.38,0.39,0.38,0.39,8100,MYR
2013-04-29,0.38,0.4,0.38,0.4,37000,MYR
2013-04-30,0.385,0.39,0.385,0.39,23000,MYR
2013-05-02,0.36,0.38,0.34,0.38,59000,MYR
2013-05-03,0.355,0.375,0.35,0.365,70000,MYR
2013-05-06,0.365,0.38,0.365,0.38,44000,MYR
2013-05-07,0.375,0.375,0.37,0.375,13000,MYR
2013-05-08,0.375,0.38,0.37,0.37,46000,MYR
2013-05-09,0.365,0.37,0.36,0.365,84000,MYR
2013-05-10,0.37,0.37,0.355,0.365,41000,MYR
2013-05-13,0.37,0.37,0.37,0.37,10000,MYR
2013-05-14,0.37,0.375,0.36,0.365,37000,MYR
2013-05-15,0.375,0.45,0.375,0.435,190400,MYR
2013-05-16,0.445,0.45,0.405,0.42,28000,MYR
2013-05-17,0.42,0.42,0.405,0.405,35000,MYR
2013-05-20,0.425,0.425,0.425,0.425,1000,MYR
2013-05-21,0.405,0.42,0.4,0.4,65100,MYR
2013-05-22,0.405,0.415,0.39,0.4,30100,MYR
2013-05-23,0.4,0.4,0.395,0.395,12000,MYR
2013-05-27,0.35,0.385,0.35,0.38,39000,MYR
2013-05-28,0.395,0.395,0.38,0.38,113000,MYR
2013-05-29,0.38,0.385,0.38,0.38,73000,MYR
2013-05-30,0.365,0.38,0.365,0.37,38000,MYR
2013-05-31,0.37,0.37,0.37,0.37,25000,MYR
2013-06-03,0.39,0.39,0.38,0.38,48000,MYR
2013-06-05,0.39,0.395,0.39,0.395,33900,MYR
2013-06-06,0.385,0.385,0.38,0.38,20100,MYR
2013-06-07,0.385,0.385,0.385,0.385,20000,MYR
2013-06-10,0.385,0.405,0.385,0.405,43000,MYR
2013-06-11,0.415,0.415,0.41,0.415,41000,MYR
2013-06-12,0.415,0.44,0.415,0.44,47000,MYR
2013-06-13,0.44,0.44,0.425,0.425,110000,MYR
2013-06-14,0.425,0.44,0.425,0.43,100000,MYR
2013-06-17,0.45,0.46,0.44,0.46,111000,MYR
2013-06-18,0.455,0.455,0.45,0.45,61000,MYR
2013-06-19,0.46,0.46,0.45,0.45,61000,MYR
2013-06-20,0.43,0.43,0.43,0.43,10000,MYR
2013-06-21,0.425,0.43,0.42,0.43,49000,MYR
2013-06-24,0.4,0.405,0.395,0.405,38000,MYR
2013-06-25,0.42,0.42,0.405,0.405,105000,MYR
2013-06-26,0.405,0.405,0.405,0.405,40000,MYR
2013-06-27,0.43,0.455,0.42,0.455,60000,MYR
2013-06-28,0.5,0.5,0.465,0.47,97000,MYR
2013-07-01,0.47,0.47,0.43,0.45,28000,MYR
2013-07-02,0.45,0.45,0.45,0.45,12700,MYR
2013-07-03,0.46,0.465,0.44,0.44,130400,MYR
2013-07-04,0.46,0.48,0.45,0.48,60500,MYR
2013-07-05,0.46,0.505,0.46,0.5,297400,MYR
2013-07-08,0.475,0.475,0.4,0.415,120000,MYR
2013-07-09,0.405,0.405,0.39,0.4,24000,MYR
2013-07-10,0.355,0.405,0.355,0.4,25300,MYR
2013-07-11,0.37,0.38,0.37,0.38,15000,MYR
2013-07-12,0.38,0.38,0.38,0.38,9000,MYR
2013-07-15,0.35,0.365,0.35,0.365,12100,MYR
2013-07-16,0.37,0.47,0.37,0.47,455500,MYR
2013-07-17,0.465,0.535,0.465,0.525,1150700,MYR
2013-07-18,0.53,0.7,0.53,0.635,8252800,MYR
2013-07-19,0.65,0.65,0.445,0.445,6799700,MYR
2013-07-22,0.445,0.475,0.35,0.365,16251400,MYR
2013-07-23,0.37,0.37,0.335,0.34,6899400,MYR
2013-07-24,0.34,0.365,0.33,0.34,18290300,MYR
2013-07-25,0.335,0.345,0.335,0.335,4165500,MYR
2013-07-26,0.335,0.34,0.305,0.305,4000600,MYR
2013-07-29,0.31,0.32,0.29,0.295,2419100,MYR
2013-07-30,0.29,0.29,0.275,0.285,4026700,MYR
2013-07-31,0.28,0.28,0.27,0.27,2015500,MYR
2013-08-01,0.27,0.285,0.27,0.28,1753500,MYR
2013-08-02,0.28,0.28,0.27,0.275,1128500,MYR
2013-08-05,0.27,0.28,0.255,0.28,2708800,MYR
2013-08-06,0.275,0.285,0.275,0.28,889300,MYR
2013-08-07,0.275,0.285,0.275,0.285,437000,MYR
2013-08-12,0.28,0.31,0.275,0.31,2990300,MYR
2013-08-13,0.31,0.325,0.3,0.3,3498900,MYR
2013-08-14,0.31,0.31,0.3,0.305,527300,MYR
2013-08-15,0.305,0.305,0.305,0.305,403100,MYR
2013-08-16,0.3,0.335,0.3,0.325,4052300,MYR
2013-08-19,0.33,0.335,0.315,0.315,2631600,MYR
2013-08-20,0.33,0.33,0.31,0.315,670200,MYR
2013-08-21,0.32,0.32,0.305,0.305,365500,MYR
2013-08-22,0.3,0.3,0.28,0.285,1182200,MYR
2013-08-23,0.285,0.31,0.28,0.28,886000,MYR
2013-08-26,0.29,0.29,0.275,0.275,683100,MYR
2013-08-27,0.275,0.275,0.265,0.265,443000,MYR
2013-08-28,0.26,0.26,0.245,0.26,721300,MYR
2013-08-29,0.265,0.275,0.26,0.275,389000,MYR
2013-08-30,0.275,0.285,0.27,0.275,301000,MYR
2013-09-02,0.275,0.305,0.255,0.26,4709700,MYR
2013-09-03,0.26,0.265,0.255,0.26,578700,MYR
2013-09-04,0.265,0.27,0.25,0.25,1456900,MYR
2013-09-05,0.26,0.285,0.26,0.28,2514900,MYR
2013-09-06,0.295,0.31,0.28,0.305,3922500,MYR
2013-09-09,0.305,0.345,0.305,0.32,5215700,MYR
2013-09-10,0.33,0.34,0.31,0.315,3074900,MYR
2013-09-11,0.315,0.315,0.305,0.305,747400,MYR
2013-09-12,0.31,0.31,0.305,0.305,771900,MYR
2013-09-13,0.305,0.335,0.305,0.32,2684400,MYR
2013-09-17,0.33,0.335,0.32,0.325,2179100,MYR
2013-09-18,0.325,0.335,0.31,0.33,1156700,MYR
2013-09-19,0.33,0.335,0.33,0.33,272200,MYR
2013-09-20,0.325,0.325,0.31,0.32,1379500,MYR
2013-09-23,0.315,0.315,0.305,0.305,722000,MYR
2013-09-24,0.305,0.305,0.295,0.3,973600,MYR
2013-09-25,0.295,0.3,0.295,0.295,623400,MYR
2013-09-26,0.305,0.305,0.295,0.3,605000,MYR
2013-09-27,0.295,0.3,0.29,0.295,760400,MYR
2013-09-30,0.295,0.3,0.285,0.29,599000,MYR
2013-10-01,0.29,0.29,0.28,0.29,274500,MYR
2013-10-02,0.29,0.31,0.29,0.31,2377400,MYR
2013-10-03,0.31,0.33,0.3,0.305,4888200,MYR
2013-10-04,0.315,0.315,0.285,0.3,1153600,MYR
2013-10-08,0.29,0.295,0.285,0.285,544400,MYR
2013-10-09,0.285,0.295,0.285,0.295,733900,MYR
2013-10-10,0.29,0.29,0.29,0.29,447800,MYR
2013-10-11,0.295,0.295,0.29,0.29,610000,MYR
2013-10-14,0.29,0.29,0.285,0.285,316800,MYR
2013-10-16,0.285,0.285,0.285,0.285,155000,MYR
2013-10-17,0.285,0.3,0.285,0.29,592000,MYR
2013-10-18,0.285,0.29,0.285,0.29,448000,MYR
2013-10-21,0.3,0.315,0.3,0.305,2682900,MYR
2013-10-22,0.305,0.305,0.295,0.3,731200,MYR
2013-10-23,0.3,0.325,0.3,0.31,2756300,MYR
2013-10-24,0.31,0.32,0.31,0.315,2313400,MYR
2013-10-25,0.315,0.32,0.31,0.315,690900,MYR
2013-10-28,0.32,0.32,0.3,0.315,760600,MYR
2013-10-29,0.31,0.31,0.295,0.3,2258600,MYR
2013-10-30,0.3,0.315,0.295,0.3,2222200,MYR
2013-10-31,0.3,0.3,0.295,0.3,902500,MYR
2013-11-01,0.295,0.31,0.295,0.295,2873500,MYR
2013-11-04,0.305,0.32,0.3,0.31,3145100,MYR
2013-11-06,0.305,0.325,0.3,0.305,5143100,MYR
2013-11-07,0.3,0.3,0.295,0.295,494000,MYR
2013-11-08,0.3,0.3,0.3,0.3,1590000,MYR
2013-11-11,0.3,0.3,0.295,0.3,1041500,MYR
2013-11-12,0.295,0.295,0.29,0.29,748000,MYR
2013-11-13,0.29,0.29,0.29,0.29,372000,MYR
2013-11-14,0.29,0.295,0.285,0.295,385000,MYR
2013-11-15,0.29,0.295,0.29,0.29,195000,MYR
2013-11-18,0.3,0.325,0.3,0.325,7717300,MYR
2013-11-19,0.32,0.34,0.32,0.325,2899500,MYR
2013-11-20,0.32,0.34,0.32,0.33,28964500,MYR
2013-11-21,0.33,0.335,0.32,0.325,11420400,MYR
2013-11-22,0.325,0.33,0.31,0.32,6585000,MYR
2013-11-25,0.32,0.32,0.305,0.305,1936100,MYR
2013-11-26,0.31,0.31,0.29,0.305,3177100,MYR
2013-11-27,0.3,0.31,0.3,0.305,4618100,MYR
2013-11-28,0.305,0.32,0.305,0.31,8665200,MYR
2013-11-29,0.31,0.315,0.305,0.31,6199800,MYR
2013-12-02,0.31,0.325,0.3,0.305,8166600,MYR
2013-12-03,0.3,0.31,0.3,0.3,4339200,MYR
2013-12-04,0.3,0.3,0.29,0.3,8179900,MYR
2013-12-05,0.295,0.305,0.275,0.28,25364200,MYR
2013-12-06,0.28,0.285,0.275,0.28,1840100,MYR
2013-12-09,0.28,0.285,0.28,0.285,1080600,MYR
2013-12-10,0.285,0.285,0.28,0.28,870500,MYR
2013-12-11,0.28,0.285,0.275,0.28,2391600,MYR
2013-12-12,0.275,0.275,0.27,0.27,641200,MYR
2013-12-13,0.27,0.28,0.27,0.28,616000,MYR
2013-12-16,0.275,0.275,0.27,0.27,510600,MYR
2013-12-17,0.275,0.275,0.27,0.27,655000,MYR
2013-12-18,0.27,0.29,0.27,0.275,1020000,MYR
2013-12-19,0.28,0.28,0.275,0.275,275000,MYR
2013-12-20,0.275,0.275,0.27,0.27,170000,MYR
2013-12-23,0.275,0.28,0.275,0.28,1022400,MYR
2013-12-24,0.28,0.28,0.27,0.27,101000,MYR
2013-12-26,0.275,0.28,0.27,0.275,192900,MYR
2013-12-27,0.275,0.275,0.275,0.275,175000,MYR
2013-12-30,0.275,0.295,0.275,0.29,2459600,MYR
2013-12-31,0.295,0.305,0.295,0.3,3959900,MYR
2014-01-02,0.295,0.295,0.285,0.285,557000,MYR
2014-01-03,0.285,0.285,0.285,0.285,25000,MYR
2014-01-06,0.28,0.29,0.275,0.28,1431200,MYR
2014-01-07,0.285,0.295,0.28,0.295,1487900,MYR
2014-01-08,0.295,0.3,0.29,0.29,558000,MYR
2014-01-09,0.29,0.295,0.285,0.285,130000,MYR
2014-01-10,0.29,0.3,0.285,0.29,983000,MYR
2014-01-13,0.29,0.295,0.285,0.29,1120000,MYR
2014-01-15,0.29,0.29,0.285,0.285,577100,MYR
2014-01-16,0.285,0.285,0.285,0.285,654000,MYR
2014-01-20,0.28,0.28,0.28,0.28,125000,MYR
2014-01-21,0.285,0.285,0.275,0.275,435900,MYR
2014-01-22,0.275,0.28,0.27,0.28,853000,MYR
2014-01-23,0.275,0.275,0.275,0.275,92000,MYR
2014-01-24,0.275,0.275,0.27,0.27,344700,MYR
2014-01-27,0.27,0.275,0.265,0.27,639100,MYR
2014-01-28,0.27,0.275,0.27,0.27,505000,MYR
2014-01-29,0.27,0.27,0.27,0.27,153300,MYR
2014-01-30,0.27,0.27,0.27,0.27,30000,MYR
2014-02-04,0.27,0.275,0.27,0.27,652100,MYR
2014-02-05,0.275,0.28,0.27,0.28,408000,MYR
2014-02-06,0.28,0.285,0.275,0.28,979000,MYR
2014-02-07,0.28,0.28,0.275,0.275,199000,MYR
