Date,Open,High,Low,Close,Volume,Currency
2013-02-05,3.2,3.2,3.18,3.2,14300,MYR
2013-02-06,3.2,3.2,3.2,3.2,19000,MYR
2013-02-07,3.2,3.2,3.2,3.2,3000,MYR
2013-02-08,3.29,3.29,3.29,3.29,2000,MYR
2013-02-14,3.3,3.3,3.29,3.3,32900,MYR
2013-02-15,3.21,3.21,3.21,3.21,100,MYR
2013-02-18,3.2,3.26,3.2,3.26,4100,MYR
2013-02-20,3.2,3.2,3.2,3.2,5000,MYR
2013-02-21,3.2,3.2,3.2,3.2,7000,MYR
2013-02-22,3.2,3.21,3.2,3.21,15000,MYR
2013-02-25,3.22,3.22,3.21,3.21,9500,MYR
2013-02-26,3.2,3.24,3.2,3.24,18200,MYR
2013-02-27,3.21,3.21,3.2,3.2,7000,MYR
2013-03-01,3.21,3.23,3.21,3.21,10000,MYR
2013-03-04,3.28,3.28,3.28,3.28,20000,MYR
2013-03-05,3.21,3.21,3.21,3.21,20000,MYR
2013-03-06,3.24,3.24,3.23,3.23,15500,MYR
2013-03-07,3.25,3.25,3.25,3.25,3000,MYR
2013-03-08,3.28,3.34,3.28,3.34,64900,MYR
2013-03-11,3.36,3.36,3.34,3.34,34000,MYR
2013-03-12,3.34,3.38,3.34,3.35,11000,MYR
2013-03-13,3.35,3.37,3.35,3.36,16500,MYR
2013-03-14,3.38,3.5,3.38,3.5,91300,MYR
2013-03-15,3.52,3.64,3.47,3.52,59800,MYR
2013-03-18,3.52,3.54,3.5,3.54,27100,MYR
2013-03-19,3.54,3.54,3.51,3.51,9100,MYR
2013-03-20,3.48,3.5,3.48,3.5,9500,MYR
2013-03-21,3.53,3.55,3.53,3.55,17000,MYR
2013-03-22,3.5,3.53,3.5,3.53,11500,MYR
2013-03-25,3.53,3.54,3.53,3.54,25500,MYR
2013-03-27,3.54,3.56,3.54,3.55,24400,MYR
2013-03-28,3.55,3.55,3.55,3.55,11000,MYR
2013-03-29,3.64,3.83,3.64,3.8,156100,MYR
2013-04-01,3.8,3.89,3.75,3.85,92800,MYR
2013-04-02,3.86,4.0,3.86,4.0,137300,MYR
2013-04-03,4.0,4.03,3.8,3.85,139200,MYR
2013-04-04,3.82,4.0,3.82,3.94,62000,MYR
2013-04-05,3.94,3.94,3.89,3.94,19500,MYR
2013-04-08,3.94,3.96,3.94,3.94,12500,MYR
2013-04-09,3.86,3.94,3.86,3.94,4700,MYR
2013-04-10,3.89,3.9,3.83,3.86,7400,MYR
2013-04-11,3.9,3.9,3.84,3.88,4500,MYR
2013-04-15,3.88,3.9,3.78,3.86,8500,MYR
2013-04-16,3.81,3.84,3.81,3.84,4000,MYR
2013-04-17,3.8,3.86,3.8,3.85,112700,MYR
2013-04-18,3.85,3.85,3.83,3.83,13000,MYR
2013-04-22,3.92,4.0,3.9,3.9,20700,MYR
2013-04-23,3.83,3.83,3.83,3.83,14600,MYR
2013-04-24,3.85,3.9,3.85,3.85,11200,MYR
2013-04-25,3.85,3.85,3.85,3.85,700,MYR
2013-04-26,3.88,3.98,3.88,3.98,1100,MYR
2013-04-29,3.81,3.81,3.81,3.81,13000,MYR
2013-04-30,3.81,3.85,3.81,3.81,9200,MYR
2013-05-02,3.79,3.8,3.75,3.75,40700,MYR
2013-05-03,3.83,3.83,3.72,3.72,21000,MYR
2013-05-06,3.76,3.9,3.76,3.9,5000,MYR
2013-05-07,3.9,3.93,3.9,3.9,43700,MYR
2013-05-08,3.95,4.07,3.95,4.04,230200,MYR
2013-05-09,4.06,4.19,4.03,4.17,101600,MYR
2013-05-10,4.2,4.21,4.15,4.15,62100,MYR
2013-05-13,4.19,4.2,4.08,4.08,23400,MYR
2013-05-14,4.1,4.1,4.08,4.09,10200,MYR
2013-05-15,4.1,4.17,4.09,4.1,27500,MYR
2013-05-16,4.14,4.14,4.05,4.08,15300,MYR
2013-05-17,4.08,4.08,4.08,4.08,2500,MYR
2013-05-20,4.09,4.18,4.09,4.17,18300,MYR
2013-05-21,4.17,4.2,4.15,4.17,28300,MYR
2013-05-22,4.2,4.22,4.15,4.15,48900,MYR
2013-05-23,4.1,4.11,4.06,4.08,39600,MYR
2013-05-28,4.08,4.19,4.08,4.19,3800,MYR
2013-05-30,4.2,4.23,4.2,4.22,57000,MYR
2013-05-31,4.2,4.2,4.2,4.2,13000,MYR
2013-06-03,4.2,4.22,4.15,4.22,12300,MYR
2013-06-04,4.22,4.3,4.21,4.3,98800,MYR
2013-06-05,4.3,4.4,4.25,4.38,39800,MYR
2013-06-06,4.32,4.32,4.3,4.3,31100,MYR
2013-06-07,4.31,4.31,4.31,4.31,3000,MYR
2013-06-10,4.31,4.35,4.31,4.35,12500,MYR
2013-06-11,4.32,4.32,4.32,4.32,4000,MYR
2013-06-12,4.3,4.32,4.3,4.3,17000,MYR
2013-06-13,4.3,4.3,4.19,4.19,51600,MYR
2013-06-14,4.2,4.2,4.2,4.2,5000,MYR
2013-06-17,4.2,4.2,4.2,4.2,200,MYR
2013-06-18,4.2,4.2,4.2,4.2,49700,MYR
2013-06-19,4.2,4.2,4.2,4.2,15900,MYR
2013-06-20,4.32,4.41,4.21,4.41,75000,MYR
2013-06-21,4.38,4.38,4.38,4.38,3500,MYR
2013-06-24,4.22,4.26,4.2,4.2,18000,MYR
2013-06-25,4.2,4.2,4.0,4.2,22500,MYR
2013-06-26,4.18,4.18,4.01,4.05,90600,MYR
2013-06-27,4.1,4.1,4.08,4.09,24600,MYR
2013-06-28,4.1,4.1,4.07,4.07,12800,MYR
2013-07-01,4.08,4.08,4.05,4.08,88000,MYR
2013-07-02,4.1,4.2,4.1,4.15,32800,MYR
2013-07-03,4.1,4.1,4.08,4.08,1500,MYR
2013-07-04,4.1,4.1,4.1,4.1,4000,MYR
2013-07-05,4.1,4.1,4.07,4.07,21100,MYR
2013-07-08,4.07,4.1,4.0,4.1,65600,MYR
2013-07-09,4.08,4.1,4.05,4.1,18500,MYR
2013-07-10,4.08,4.16,4.08,4.15,12000,MYR
2013-07-11,4.09,4.09,4.09,4.09,1000,MYR
2013-07-12,4.09,4.11,4.09,4.1,11600,MYR
2013-07-15,4.1,4.1,4.05,4.08,33300,MYR
2013-07-16,4.07,4.08,4.07,4.08,8000,MYR
2013-07-17,4.1,4.1,4.1,4.1,18000,MYR
2013-07-18,4.1,4.12,4.1,4.11,18400,MYR
2013-07-19,4.11,4.11,4.1,4.1,3500,MYR
2013-07-22,4.1,4.15,4.1,4.1,15500,MYR
2013-07-23,4.11,4.11,4.1,4.1,17000,MYR
2013-07-24,4.1,4.15,4.1,4.15,14500,MYR
2013-07-25,4.15,4.15,4.15,4.15,2200,MYR
2013-07-26,4.16,4.16,4.16,4.16,2000,MYR
2013-07-29,4.16,4.18,4.15,4.15,28200,MYR
2013-07-30,4.15,4.15,4.14,4.15,13600,MYR
2013-07-31,4.15,4.15,4.12,4.13,18000,MYR
2013-08-01,4.12,4.12,4.12,4.12,1200,MYR
2013-08-02,4.15,4.15,4.13,4.13,14200,MYR
2013-08-05,4.14,4.14,4.14,4.14,2000,MYR
2013-08-06,4.15,4.21,4.15,4.16,23700,MYR
2013-08-07,4.13,4.16,4.13,4.16,7500,MYR
2013-08-12,4.15,4.2,4.15,4.19,9100,MYR
2013-08-13,4.22,4.22,4.19,4.22,4500,MYR
2013-08-14,4.25,4.25,4.2,4.25,3500,MYR
2013-08-15,4.3,4.38,4.3,4.38,25300,MYR
2013-08-16,4.33,4.33,4.33,4.33,2000,MYR
2013-08-20,4.23,4.36,4.2,4.36,7200,MYR
2013-08-22,4.2,4.24,4.12,4.14,133900,MYR
2013-08-23,4.15,4.17,4.15,4.17,4000,MYR
2013-08-26,4.17,4.24,4.16,4.24,28700,MYR
2013-08-27,4.16,4.18,4.05,4.05,34900,MYR
2013-08-28,3.86,4.03,3.85,4.03,56100,MYR
2013-08-29,4.01,4.08,4.0,4.08,36000,MYR
2013-08-30,4.08,4.14,4.08,4.14,13000,MYR
2013-09-02,4.2,4.22,4.15,4.16,57100,MYR
2013-09-03,4.18,4.2,4.18,4.19,16400,MYR
2013-09-04,4.19,4.19,4.19,4.19,27000,MYR
2013-09-05,4.2,4.25,4.2,4.25,17500,MYR
2013-09-06,4.28,4.38,4.28,4.33,45200,MYR
2013-09-09,4.37,4.38,4.34,4.37,13300,MYR
2013-09-10,4.35,4.41,4.35,4.4,44000,MYR
2013-09-11,4.42,4.5,4.4,4.42,38600,MYR
2013-09-12,4.5,4.5,4.4,4.42,48900,MYR
2013-09-13,4.4,4.5,4.4,4.45,46500,MYR
2013-09-17,4.5,4.54,4.46,4.52,45000,MYR
2013-09-18,4.52,4.62,4.52,4.6,27300,MYR
2013-09-19,4.6,4.8,4.6,4.78,80200,MYR
2013-09-20,4.76,4.76,4.69,4.7,31600,MYR
2013-09-23,4.5,4.69,4.49,4.69,10900,MYR
2013-09-24,4.7,4.75,4.7,4.75,16500,MYR
2013-09-25,4.73,4.73,4.7,4.7,4500,MYR
2013-09-26,4.7,4.75,4.7,4.7,9700,MYR
