Date,Open,High,Low,Close,Volume,Currency
2012-11-05,0.08,0.09,0.08,0.09,1303513,MYR
2012-11-06,0.09,0.09,0.08,0.09,2807392,MYR
2012-11-07,0.08,0.09,0.08,0.08,4222353,MYR
2012-11-08,0.08,0.08,0.07,0.08,3217650,MYR
2012-11-09,0.07,0.08,0.07,0.08,948147,MYR
2012-11-12,0.08,0.08,0.08,0.08,977635,MYR
2012-11-14,0.08,0.08,0.07,0.08,1928957,MYR
2012-11-16,0.08,0.08,0.07,0.07,295181,MYR
2012-11-19,0.07,0.07,0.07,0.07,351132,MYR
2012-11-20,0.07,0.08,0.07,0.08,468781,MYR
2012-11-21,0.07,0.08,0.07,0.07,897186,MYR
2012-11-22,0.07,0.07,0.07,0.07,474830,MYR
2012-11-23,0.07,0.07,0.07,0.07,1209757,MYR
2012-11-26,0.07,0.07,0.07,0.07,756098,MYR
2012-11-27,0.07,0.07,0.07,0.07,529269,MYR
2012-11-28,0.07,0.08,0.07,0.08,1202045,MYR
2012-11-30,0.07,0.07,0.07,0.07,423415,MYR
2012-12-03,0.07,0.07,0.07,0.07,514147,MYR
2012-12-05,0.07,0.07,0.07,0.07,120976,MYR
2012-12-06,0.07,0.07,0.07,0.07,1615176,MYR
2012-12-07,0.07,0.07,0.07,0.07,1134147,MYR
2012-12-10,0.07,0.07,0.07,0.07,75761,MYR
2012-12-12,0.07,0.07,0.07,0.07,602610,MYR
2012-12-13,0.07,0.07,0.07,0.07,499025,MYR
2012-12-14,0.07,0.07,0.07,0.07,627561,MYR
2012-12-17,0.07,0.07,0.07,0.07,365951,MYR
2012-12-18,0.07,0.07,0.07,0.07,304103,MYR
2012-12-19,0.07,0.07,0.07,0.07,182976,MYR
2012-12-21,0.07,0.08,0.07,0.07,254200,MYR
2012-12-26,0.07,0.08,0.07,0.07,2004416,MYR
2012-12-27,0.07,0.07,0.07,0.07,257073,MYR
2012-12-28,0.07,0.07,0.07,0.07,151220,MYR
2012-12-31,0.07,0.07,0.07,0.07,1568903,MYR
2013-01-02,0.07,0.08,0.07,0.07,9956146,MYR
