Date,Open,High,Low,Close,Volume,Currency
2011-09-27,3.27,3.36,3.27,3.3,1279300,MYR
2011-09-28,3.34,3.37,3.28,3.31,1274900,MYR
2011-09-29,3.29,3.37,3.29,3.36,769500,MYR
2011-09-30,3.38,3.46,3.35,3.36,3455800,MYR
2011-10-03,3.38,3.43,3.32,3.33,3281000,MYR
2011-10-04,3.31,3.4,3.3,3.37,2433800,MYR
2011-10-05,3.37,3.42,3.35,3.4,2734400,MYR
2011-10-06,3.42,3.5,3.41,3.45,3619500,MYR
2011-10-07,3.48,3.5,3.45,3.47,2151800,MYR
2011-10-10,3.48,3.48,3.46,3.47,354700,MYR
2011-10-11,3.49,3.53,3.49,3.5,3386500,MYR
2011-10-12,3.5,3.53,3.48,3.51,1828700,MYR
2011-10-13,3.54,3.58,3.52,3.53,1700400,MYR
2011-10-14,3.54,3.54,3.49,3.51,3952400,MYR
2011-10-17,3.52,3.77,3.52,3.71,3217200,MYR
2011-10-18,3.67,3.67,3.59,3.6,3250400,MYR
2011-10-19,3.63,3.7,3.63,3.69,1167600,MYR
2011-10-20,3.67,3.68,3.62,3.67,807000,MYR
2011-10-21,3.65,3.7,3.61,3.66,866900,MYR
2011-10-24,3.67,3.73,3.67,3.68,1938200,MYR
2011-10-25,3.68,3.71,3.68,3.69,2222400,MYR
2011-10-27,3.72,3.73,3.7,3.72,2477400,MYR
2011-10-28,3.74,3.78,3.69,3.7,2854100,MYR
2011-10-31,3.7,3.75,3.68,3.74,4890300,MYR
2011-11-01,3.7,3.73,3.68,3.7,2607800,MYR
2011-11-02,3.66,3.69,3.62,3.62,3551500,MYR
2011-11-03,3.65,3.66,3.62,3.63,2011600,MYR
2011-11-04,3.67,3.71,3.66,3.71,5467800,MYR
2011-11-08,3.73,3.9,3.71,3.86,5528300,MYR
2011-11-09,3.86,3.92,3.86,3.89,6145100,MYR
2011-11-10,3.81,3.83,3.76,3.8,3329800,MYR
2011-11-11,3.83,3.85,3.72,3.73,1290300,MYR
2011-11-14,3.73,3.85,3.73,3.83,2818500,MYR
2011-11-15,3.77,3.85,3.77,3.83,2228700,MYR
2011-11-16,3.86,4.02,3.86,3.99,16124500,MYR
2011-11-17,3.97,3.98,3.93,3.96,5399100,MYR
2011-11-18,3.93,3.96,3.92,3.94,2236500,MYR
2011-11-21,3.91,4.0,3.88,3.97,8061600,MYR
2011-11-22,3.92,3.99,3.92,3.94,5902500,MYR
2011-11-23,3.94,3.94,3.86,3.89,4554500,MYR
2011-11-24,3.89,3.98,3.85,3.96,3648000,MYR
2011-11-25,3.95,3.99,3.88,3.95,4102900,MYR
2011-11-29,3.98,4.0,3.91,4.0,7120400,MYR
2011-11-30,3.97,4.22,3.91,4.04,75084896,MYR
2011-12-01,4.1,4.12,3.92,3.95,6975300,MYR
2011-12-02,3.97,3.97,3.89,3.95,1924700,MYR
2011-12-05,3.95,4.02,3.95,3.99,1149900,MYR
2011-12-06,3.95,4.05,3.95,4.05,2965100,MYR
2011-12-07,4.0,4.05,4.0,4.05,753500,MYR
2011-12-08,4.04,4.04,3.99,3.99,3121700,MYR
2011-12-09,3.97,4.0,3.95,3.95,2407000,MYR
2011-12-12,4.03,4.05,3.99,4.0,4365100,MYR
2011-12-13,4.04,4.04,3.98,3.99,3617500,MYR
2011-12-14,3.99,4.03,3.97,4.03,1587300,MYR
2011-12-15,4.03,4.03,3.99,4.0,2415400,MYR
2011-12-16,4.02,4.1,4.01,4.1,4300700,MYR
2011-12-19,4.1,4.1,4.04,4.1,1944100,MYR
2011-12-20,4.09,4.11,4.06,4.08,1413900,MYR
2011-12-21,4.1,4.12,4.08,4.09,1952800,MYR
2011-12-22,4.1,4.13,4.09,4.11,936900,MYR
2011-12-23,4.11,4.12,4.08,4.12,852300,MYR
2011-12-27,4.1,4.1,4.07,4.08,1353700,MYR
2011-12-28,4.07,4.1,4.03,4.1,587900,MYR
2011-12-29,4.09,4.11,4.06,4.11,1700400,MYR
2011-12-30,4.11,4.12,4.06,4.1,1163200,MYR
2012-01-03,4.1,4.1,4.06,4.07,1646400,MYR
2012-01-04,4.07,4.09,3.96,4.0,1818600,MYR
2012-01-05,4.01,4.08,4.01,4.06,2644100,MYR
2012-01-06,4.08,4.12,4.07,4.1,1307100,MYR
2012-01-09,4.12,4.12,4.08,4.12,446700,MYR
2012-01-10,4.11,4.16,4.09,4.13,3807800,MYR
2012-01-11,4.13,4.13,4.09,4.11,2445600,MYR
2012-01-12,4.1,4.12,4.09,4.11,2924300,MYR
2012-01-13,4.09,4.13,4.09,4.13,2616500,MYR
2012-01-16,4.12,4.12,4.11,4.11,2878300,MYR
2012-01-17,4.13,4.15,4.11,4.15,957000,MYR
2012-01-18,4.15,4.15,4.13,4.15,1895100,MYR
2012-01-19,4.13,4.15,4.13,4.14,1405900,MYR
2012-01-20,4.14,4.15,4.13,4.13,2335100,MYR
2012-01-25,4.08,4.08,4.05,4.05,3989800,MYR
2012-01-26,4.05,4.05,4.02,4.02,2045200,MYR
2012-01-27,4.02,4.08,3.99,4.0,4565200,MYR
2012-01-30,3.97,3.97,3.85,3.9,8243700,MYR
2012-01-31,3.92,3.96,3.9,3.95,5661500,MYR
2012-02-02,3.96,4.01,3.91,3.99,2720000,MYR
2012-02-03,4.0,4.0,3.94,3.97,2026400,MYR
2012-02-08,3.99,4.01,3.98,4.0,4297700,MYR
2012-02-09,4.0,4.09,4.0,4.09,5196200,MYR
2012-02-10,4.02,4.07,4.02,4.06,3602200,MYR
2012-02-13,4.06,4.06,4.05,4.05,1912400,MYR
2012-02-14,4.05,4.06,4.04,4.05,2564300,MYR
2012-02-15,4.05,4.06,4.02,4.02,2510500,MYR
2012-02-16,4.03,4.05,4.01,4.01,2627600,MYR
2012-02-17,4.05,4.05,4.0,4.01,2791000,MYR
2012-02-20,4.04,4.06,4.01,4.02,3850900,MYR
2012-02-21,4.05,4.05,4.01,4.02,5726300,MYR
2012-02-22,4.04,4.04,4.0,4.02,2282200,MYR
2012-02-23,4.02,4.02,4.0,4.0,4293800,MYR
2012-02-24,4.02,4.03,4.0,4.01,3422800,MYR
2012-02-27,4.04,4.05,4.0,4.01,3581200,MYR
2012-02-28,4.03,4.04,4.0,4.01,5601100,MYR
2012-02-29,4.02,4.07,4.0,4.02,4811000,MYR
2012-03-01,4.05,4.06,4.03,4.06,1959900,MYR
2012-03-02,4.06,4.1,4.06,4.07,2402100,MYR
2012-03-05,4.05,4.15,4.05,4.13,3658600,MYR
2012-03-06,4.14,4.2,4.13,4.2,1943700,MYR
2012-03-07,4.17,4.28,4.15,4.23,5561300,MYR
2012-03-08,4.25,4.26,4.23,4.25,4084700,MYR
2012-03-09,4.24,4.29,4.23,4.26,3770300,MYR
2012-03-12,4.26,4.27,4.25,4.26,3384400,MYR
2012-03-13,4.26,4.27,4.24,4.25,3191800,MYR
2012-03-14,4.25,4.35,4.25,4.27,6636800,MYR
2012-03-15,4.27,4.34,4.27,4.3,1929000,MYR
2012-03-16,4.3,4.35,3.9,4.12,4910900,MYR
2012-03-19,4.18,4.31,4.16,4.28,4227600,MYR
2012-03-20,4.27,4.31,4.27,4.29,2107100,MYR
2012-03-21,4.28,4.32,4.28,4.32,1906400,MYR
2012-03-22,4.32,4.35,4.32,4.33,1620300,MYR
2012-03-23,4.32,4.34,4.32,4.33,782700,MYR
2012-03-26,4.32,4.34,4.3,4.34,1452000,MYR
2012-03-27,4.34,4.39,4.34,4.39,2965900,MYR
2012-03-28,4.39,4.4,4.38,4.4,2135900,MYR
2012-03-29,4.37,4.39,4.34,4.37,2511200,MYR
2012-03-30,4.38,4.43,4.38,4.4,4517300,MYR
2012-04-02,4.4,4.48,4.4,4.46,1329300,MYR
2012-04-03,4.48,4.48,4.45,4.46,1130600,MYR
2012-04-04,4.46,4.47,4.43,4.46,3293500,MYR
2012-04-05,4.45,4.45,4.39,4.44,1479500,MYR
2012-04-06,4.44,4.46,4.43,4.46,1011900,MYR
2012-04-09,4.39,4.46,4.39,4.46,1565700,MYR
2012-04-10,4.46,4.47,4.44,4.45,2309300,MYR
2012-04-12,4.44,4.49,4.4,4.45,3375200,MYR
2012-04-13,4.42,4.5,4.42,4.45,3512500,MYR
2012-04-16,4.43,4.47,4.43,4.45,4340500,MYR
2012-04-17,4.48,4.53,4.39,4.41,5504500,MYR
2012-04-18,4.43,4.45,4.43,4.45,1003900,MYR
2012-04-19,4.45,4.52,4.43,4.48,5855700,MYR
2012-04-20,4.5,4.5,4.46,4.47,2805900,MYR
2012-04-23,4.47,4.47,4.31,4.31,4773200,MYR
2012-04-24,4.31,4.34,4.22,4.24,6026400,MYR
2012-04-25,4.23,4.25,4.19,4.2,5601300,MYR
2012-04-26,4.19,4.27,4.15,4.22,1765000,MYR
2012-04-27,4.15,4.17,3.98,4.06,12045600,MYR
2012-04-30,4.0,4.02,3.93,3.99,20766600,MYR
2012-05-02,4.05,4.11,4.01,4.01,13568500,MYR
2012-05-03,4.02,4.06,4.01,4.06,2742200,MYR
2012-05-04,4.06,4.07,4.03,4.06,5897000,MYR
2012-05-07,4.03,4.03,3.99,4.0,9470200,MYR
2012-05-08,4.02,4.07,4.02,4.05,6257200,MYR
2012-05-09,4.05,4.06,3.97,4.0,8351100,MYR
2012-05-10,4.0,4.02,3.99,3.99,7144000,MYR
2012-05-11,4.0,4.01,3.99,3.99,2393200,MYR
2012-05-14,4.0,4.01,3.96,3.96,3559700,MYR
2012-05-15,3.96,3.96,3.92,3.95,9619100,MYR
2012-05-16,3.94,4.01,3.9,3.92,15462600,MYR
2012-05-17,3.92,3.96,3.88,3.88,8842200,MYR
2012-05-18,3.88,3.92,3.83,3.88,4788300,MYR
2012-05-21,3.9,3.92,3.82,3.89,7748200,MYR
2012-05-22,3.92,3.92,3.88,3.91,2544600,MYR
2012-05-23,3.92,3.92,3.87,3.92,5389400,MYR
2012-05-24,3.91,4.05,3.9,3.96,6394000,MYR
2012-05-25,3.98,4.02,3.98,3.99,2679000,MYR
2012-05-28,3.99,4.0,3.94,3.99,2377800,MYR
2012-05-29,3.99,4.0,3.94,3.97,5440800,MYR
2012-05-30,4.01,4.01,3.97,3.99,2854600,MYR
2012-05-31,4.0,4.04,3.99,4.0,29036400,MYR
2012-06-01,4.0,4.01,3.94,4.01,2325800,MYR
2012-06-04,3.96,3.97,3.94,3.95,4906000,MYR
2012-06-05,3.99,4.01,3.9,3.9,3685200,MYR
2012-06-06,3.94,4.0,3.94,3.96,1051400,MYR
2012-06-07,4.0,4.01,4.0,4.01,1301000,MYR
2012-06-08,4.0,4.01,3.97,3.97,1408600,MYR
2012-06-11,4.01,4.04,3.97,4.0,2651100,MYR
2012-06-12,4.0,4.01,3.99,4.0,1191300,MYR
2012-06-13,4.02,4.08,4.02,4.05,4647900,MYR
2012-06-14,4.06,4.06,4.0,4.01,2260100,MYR
2012-06-15,4.05,4.06,4.03,4.06,2721400,MYR
2012-06-18,4.09,4.09,4.06,4.07,3505600,MYR
2012-06-19,4.05,4.07,4.03,4.07,1194800,MYR
2012-06-20,4.08,4.1,4.06,4.09,5584100,MYR
2012-06-21,4.09,4.09,4.06,4.07,3048200,MYR
2012-06-22,4.07,4.08,4.04,4.05,2706700,MYR
2012-06-25,4.05,4.07,4.03,4.03,5102000,MYR
2012-06-26,4.03,4.03,4.0,4.0,2507100,MYR
2012-06-27,4.01,4.01,4.0,4.0,956900,MYR
2012-06-28,3.99,4.0,3.98,3.98,749400,MYR
2012-06-29,4.0,4.04,4.0,4.0,2832100,MYR
2012-07-02,4.01,4.04,4.0,4.03,1080300,MYR
2012-07-03,4.02,4.04,4.01,4.03,1694100,MYR
2012-07-04,4.04,4.05,4.01,4.02,3474500,MYR
2012-07-05,4.01,4.03,3.97,3.97,4793500,MYR
2012-07-06,4.0,4.0,3.92,3.92,2373600,MYR
2012-07-09,3.94,3.98,3.94,3.98,2434100,MYR
2012-07-10,4.0,4.02,3.98,4.02,758800,MYR
2012-07-11,4.03,4.05,4.02,4.03,2804000,MYR
2012-07-12,4.01,4.03,3.99,4.0,893500,MYR
2012-07-13,3.96,4.03,3.96,4.03,1330400,MYR
2012-07-16,4.04,4.04,4.0,4.03,1589900,MYR
2012-07-17,3.98,4.04,3.96,4.01,4238700,MYR
2012-07-18,4.0,4.02,3.98,4.01,334600,MYR
2012-07-19,4.01,4.02,3.97,3.98,2210900,MYR
2012-07-20,4.0,4.03,3.99,4.03,2762300,MYR
2012-07-23,4.01,4.03,3.99,4.03,1232900,MYR
2012-07-24,4.05,4.05,3.96,3.96,991500,MYR
2012-07-25,3.96,3.98,3.93,3.95,463400,MYR
2012-07-26,3.97,3.97,3.95,3.96,350200,MYR
2012-07-27,3.96,3.96,3.85,3.86,3478200,MYR
2012-07-30,3.9,3.93,3.89,3.93,1740200,MYR
2012-07-31,3.95,3.95,3.89,3.92,2047700,MYR
2012-08-01,3.89,3.91,3.88,3.89,2303100,MYR
2012-08-02,3.9,3.9,3.73,3.77,12641000,MYR
2012-08-03,3.76,3.76,3.67,3.7,9467300,MYR
2012-08-06,3.73,3.78,3.73,3.74,6048300,MYR
2012-08-07,3.76,3.78,3.73,3.76,1593900,MYR
2012-08-08,3.78,3.79,3.75,3.76,5514000,MYR
2012-08-09,3.76,3.77,3.74,3.77,2340900,MYR
2012-08-10,3.74,3.78,3.68,3.75,3086900,MYR
2012-08-13,3.73,3.85,3.73,3.75,3835400,MYR
2012-08-14,3.78,3.81,3.73,3.77,4200500,MYR
2012-08-15,3.75,3.76,3.71,3.73,3576300,MYR
2012-08-16,3.74,3.75,3.72,3.75,1965500,MYR
2012-08-17,3.75,3.77,3.72,3.72,2683500,MYR
2012-08-22,3.72,3.75,3.65,3.68,3645200,MYR
2012-08-23,3.69,3.78,3.69,3.78,1518700,MYR
2012-08-24,3.77,3.77,3.7,3.71,1750900,MYR
2012-08-27,3.71,3.77,3.71,3.77,931700,MYR
2012-08-28,3.79,3.79,3.74,3.76,2632100,MYR
2012-08-29,3.72,3.81,3.72,3.77,1439300,MYR
2012-08-30,3.77,3.8,3.75,3.79,1231500,MYR
2012-09-03,3.79,3.84,3.78,3.81,2095900,MYR
2012-09-04,3.81,3.82,3.79,3.8,2961800,MYR
2012-09-05,3.79,3.79,3.7,3.73,1080700,MYR
2012-09-06,3.69,3.71,3.63,3.63,751400,MYR
2012-09-07,3.65,3.7,3.63,3.69,779900,MYR
2012-09-10,3.72,3.72,3.63,3.63,682300,MYR
2012-09-11,3.61,3.64,3.6,3.63,680100,MYR
2012-09-12,3.63,3.68,3.63,3.68,963000,MYR
2012-09-13,3.69,3.74,3.69,3.72,1823100,MYR
2012-09-14,3.72,3.76,3.71,3.75,2350300,MYR
2012-09-18,3.78,3.78,3.73,3.74,1269300,MYR
2012-09-19,3.74,3.75,3.72,3.73,265200,MYR
2012-09-20,3.7,3.76,3.69,3.73,1057900,MYR
2012-09-21,3.7,3.71,3.66,3.71,2275000,MYR
2012-09-24,3.71,3.72,3.67,3.71,701500,MYR
2012-09-25,3.71,3.74,3.7,3.7,1000000,MYR
2012-09-26,3.72,3.72,3.69,3.69,787000,MYR
2012-09-27,3.7,3.71,3.69,3.69,462900,MYR
2012-09-28,3.71,3.71,3.69,3.69,1425100,MYR
2012-10-01,3.72,3.75,3.69,3.74,1520700,MYR
2012-10-02,3.74,3.78,3.74,3.78,611500,MYR
2012-10-03,3.8,3.8,3.69,3.69,1424900,MYR
2012-10-04,3.71,3.75,3.71,3.74,1854700,MYR
2012-10-05,3.75,3.75,3.68,3.68,1014600,MYR
2012-10-08,3.7,3.7,3.65,3.65,1045000,MYR
2012-10-09,3.66,3.75,3.66,3.69,2509400,MYR
2012-10-10,3.68,3.7,3.67,3.69,1327200,MYR
2012-10-11,3.72,3.72,3.68,3.69,1695500,MYR
2012-10-12,3.7,3.7,3.69,3.69,1691900,MYR
2012-10-15,3.69,3.71,3.67,3.71,252500,MYR
2012-10-16,3.72,3.73,3.7,3.73,361100,MYR
2012-10-17,3.7,3.72,3.69,3.69,1031700,MYR
2012-10-18,3.69,3.7,3.68,3.7,1928300,MYR
2012-10-19,3.7,3.71,3.68,3.68,723700,MYR
2012-10-22,3.68,3.72,3.67,3.7,1323300,MYR
2012-10-23,3.7,3.7,3.69,3.7,1098600,MYR
2012-10-24,3.73,3.74,3.7,3.7,1141900,MYR
2012-10-25,3.73,3.8,3.73,3.8,1670900,MYR
2012-10-29,3.8,3.89,3.8,3.89,1441100,MYR
2012-10-30,3.89,3.96,3.89,3.94,1555000,MYR
2012-10-31,3.94,3.95,3.89,3.92,1983900,MYR
2012-11-01,3.92,3.95,3.89,3.9,1435600,MYR
2012-11-02,3.89,3.92,3.88,3.9,1508900,MYR
2012-11-05,3.9,3.9,3.83,3.85,1798200,MYR
2012-11-06,3.85,3.87,3.84,3.87,1207100,MYR
2012-11-07,3.87,3.92,3.84,3.92,1722000,MYR
2012-11-08,3.9,3.93,3.82,3.93,1228200,MYR
2012-11-09,3.93,3.96,3.89,3.96,1815700,MYR
2012-11-12,3.97,3.97,3.9,3.9,981100,MYR
2012-11-14,3.94,3.94,3.78,3.9,1534500,MYR
2012-11-16,3.9,3.93,3.86,3.87,1807400,MYR
2012-11-19,3.87,3.89,3.8,3.8,1135700,MYR
2012-11-20,3.85,3.86,3.82,3.85,1139900,MYR
2012-11-21,3.85,3.86,3.8,3.84,1550100,MYR
2012-11-22,3.84,3.9,3.84,3.89,1200500,MYR
2012-11-23,3.89,3.89,3.85,3.88,883600,MYR
2012-11-26,3.89,3.9,3.88,3.9,1325400,MYR
2012-11-27,3.89,3.89,3.86,3.87,1461100,MYR
2012-11-28,3.88,3.89,3.83,3.89,1595700,MYR
2012-11-29,3.89,3.9,3.83,3.87,1771700,MYR
2012-11-30,3.89,3.9,3.7,3.7,5218500,MYR
2012-12-03,3.74,3.8,3.73,3.8,751600,MYR
2012-12-04,3.77,3.78,3.71,3.75,1670200,MYR
2012-12-05,3.73,3.78,3.73,3.77,771300,MYR
2012-12-06,3.77,3.8,3.77,3.78,1247400,MYR
2012-12-07,3.78,3.82,3.76,3.8,2662500,MYR
2012-12-10,3.75,3.84,3.75,3.81,2872700,MYR
2012-12-11,3.82,3.83,3.8,3.82,1419000,MYR
2012-12-12,3.84,3.85,3.8,3.81,1623000,MYR
2012-12-13,3.8,3.82,3.79,3.8,1559600,MYR
2012-12-14,3.81,3.81,3.8,3.81,2474300,MYR
2012-12-17,3.76,3.84,3.76,3.84,780800,MYR
2012-12-18,3.85,3.85,3.79,3.8,1497000,MYR
2012-12-19,3.86,3.86,3.79,3.8,3741500,MYR
2012-12-20,3.8,3.81,3.79,3.8,1418900,MYR
2012-12-21,3.82,3.82,3.79,3.81,1533800,MYR
2012-12-24,3.85,3.85,3.79,3.8,1158900,MYR
2012-12-26,3.8,3.81,3.79,3.8,460800,MYR
2012-12-27,3.8,3.81,3.78,3.8,1854000,MYR
2012-12-28,3.85,3.9,3.79,3.9,1502800,MYR
2012-12-31,3.89,3.98,3.82,3.98,1938500,MYR
2013-01-02,3.9,3.9,3.84,3.88,1429900,MYR
2013-01-03,3.88,3.93,3.85,3.85,1045700,MYR
2013-01-04,3.93,3.94,3.82,3.85,1372200,MYR
2013-01-07,3.87,3.9,3.83,3.85,491400,MYR
2013-01-08,3.84,3.86,3.82,3.86,1040400,MYR
2013-01-09,3.89,3.89,3.84,3.85,572300,MYR
2013-01-10,3.85,3.85,3.8,3.8,357500,MYR
2013-01-11,3.82,3.82,3.8,3.82,496600,MYR
2013-01-14,3.89,3.89,3.8,3.82,1359700,MYR
2013-01-15,3.85,3.85,3.81,3.82,241400,MYR
2013-01-16,3.82,3.84,3.78,3.84,1002800,MYR
2013-01-17,3.85,3.85,3.8,3.82,938300,MYR
2013-01-18,3.85,3.85,3.8,3.84,1278700,MYR
2013-01-21,3.84,3.84,3.78,3.8,1656200,MYR
2013-01-22,3.75,3.79,3.73,3.79,1087000,MYR
2013-01-23,3.77,3.79,3.72,3.73,226000,MYR
2013-01-25,3.79,3.84,3.74,3.77,918700,MYR
2013-01-29,3.82,3.85,3.77,3.83,2407700,MYR
2013-01-30,3.8,3.83,3.7,3.8,1853100,MYR
2013-01-31,3.84,3.84,3.75,3.77,1728600,MYR
2013-02-04,3.77,3.8,3.77,3.78,1283600,MYR
2013-02-05,3.78,3.78,3.76,3.77,864800,MYR
2013-02-06,3.78,3.78,3.65,3.65,1479700,MYR
2013-02-07,3.64,3.67,3.64,3.65,3715500,MYR
2013-02-08,3.66,3.67,3.65,3.67,2110200,MYR
2013-02-13,3.7,3.73,3.7,3.72,678200,MYR
2013-02-14,3.77,3.78,3.74,3.77,373300,MYR
2013-02-15,2.03,2.08,2.02,2.08,3501120,MYR
2013-02-18,2.04,2.08,2.04,2.06,404330,MYR
2013-02-19,2.06,2.07,2.06,2.07,3615800,MYR
2013-02-20,2.06,2.06,2.02,2.06,2496730,MYR
