Date,Open,High,Low,Close,Volume,Currency
2013-02-05,0.14,0.14,0.135,0.135,357900,MYR
2013-02-06,0.135,0.135,0.13,0.13,1160200,MYR
2013-02-07,0.135,0.135,0.13,0.135,529700,MYR
2013-02-08,0.135,0.135,0.135,0.135,8000,MYR
2013-02-13,0.135,0.14,0.135,0.14,380100,MYR
2013-02-14,0.135,0.14,0.135,0.14,525000,MYR
2013-02-15,0.135,0.14,0.135,0.14,152000,MYR
2013-02-18,0.135,0.14,0.135,0.135,78000,MYR
2013-02-19,0.135,0.135,0.13,0.135,610100,MYR
2013-02-20,0.135,0.135,0.13,0.13,393900,MYR
2013-02-21,0.135,0.135,0.13,0.13,517900,MYR
2013-02-22,0.13,0.135,0.13,0.135,190000,MYR
2013-02-25,0.135,0.135,0.13,0.13,108400,MYR
2013-02-26,0.13,0.135,0.13,0.135,652000,MYR
2013-02-27,0.135,0.135,0.135,0.135,115000,MYR
2013-02-28,0.13,0.135,0.13,0.135,1284700,MYR
2013-03-01,0.13,0.135,0.13,0.13,68400,MYR
2013-03-04,0.13,0.13,0.125,0.125,597300,MYR
2013-03-05,0.13,0.13,0.125,0.13,204200,MYR
2013-03-06,0.13,0.145,0.13,0.14,3643000,MYR
2013-03-07,0.135,0.135,0.135,0.135,16200,MYR
2013-03-08,0.135,0.14,0.135,0.135,132800,MYR
2013-03-11,0.135,0.135,0.13,0.13,301000,MYR
2013-03-12,0.13,0.135,0.13,0.135,292200,MYR
2013-03-13,0.13,0.135,0.13,0.13,64000,MYR
2013-03-14,0.135,0.14,0.135,0.135,244900,MYR
2013-03-15,0.135,0.135,0.13,0.135,426000,MYR
2013-03-18,0.13,0.135,0.13,0.135,45000,MYR
2013-03-19,0.13,0.135,0.13,0.135,32600,MYR
2013-03-20,0.13,0.13,0.13,0.13,39000,MYR
2013-03-21,0.135,0.14,0.135,0.135,1358200,MYR
2013-03-22,0.135,0.14,0.13,0.13,649700,MYR
2013-03-25,0.13,0.13,0.13,0.13,45000,MYR
2013-03-26,0.13,0.135,0.13,0.135,409000,MYR
2013-03-27,0.13,0.135,0.13,0.135,182100,MYR
2013-03-28,0.135,0.135,0.13,0.135,68700,MYR
2013-03-29,0.135,0.135,0.13,0.13,53200,MYR
2013-04-01,0.13,0.135,0.13,0.13,58000,MYR
2013-04-02,0.135,0.14,0.13,0.14,290400,MYR
2013-04-03,0.135,0.14,0.13,0.14,337600,MYR
2013-04-04,0.13,0.14,0.13,0.14,564000,MYR
2013-04-05,0.14,0.14,0.135,0.14,1343900,MYR
2013-04-08,0.135,0.14,0.135,0.135,104800,MYR
2013-04-09,0.14,0.145,0.14,0.14,723600,MYR
2013-04-10,0.135,0.14,0.135,0.135,261400,MYR
2013-04-11,0.135,0.14,0.135,0.135,899500,MYR
2013-04-12,0.135,0.14,0.135,0.14,27800,MYR
2013-04-15,0.135,0.135,0.13,0.135,521700,MYR
2013-04-16,0.135,0.14,0.13,0.13,214600,MYR
2013-04-17,0.13,0.135,0.13,0.135,278600,MYR
2013-04-18,0.135,0.135,0.135,0.135,172000,MYR
2013-04-19,0.135,0.135,0.135,0.135,98000,MYR
2013-04-22,0.135,0.135,0.13,0.13,78000,MYR
2013-04-23,0.13,0.135,0.13,0.13,31000,MYR
2013-04-24,0.13,0.13,0.13,0.13,393000,MYR
2013-04-25,0.13,0.135,0.13,0.135,921000,MYR
2013-04-26,0.135,0.14,0.135,0.14,374000,MYR
2013-04-29,0.135,0.14,0.13,0.135,405500,MYR
2013-04-30,0.135,0.135,0.13,0.135,2252400,MYR
2013-05-02,0.13,0.135,0.125,0.125,1582500,MYR
2013-05-03,0.13,0.135,0.125,0.13,2119700,MYR
2013-05-06,0.135,0.14,0.13,0.14,1005000,MYR
2013-05-07,0.135,0.145,0.135,0.145,2268400,MYR
2013-05-08,0.14,0.14,0.135,0.14,521100,MYR
2013-05-09,0.135,0.14,0.135,0.14,361000,MYR
2013-05-10,0.14,0.15,0.14,0.145,5997800,MYR
2013-05-13,0.145,0.155,0.145,0.15,2414300,MYR
2013-05-14,0.15,0.15,0.145,0.15,2310000,MYR
2013-05-15,0.155,0.16,0.15,0.16,4340000,MYR
2013-05-16,0.155,0.155,0.15,0.155,1224500,MYR
2013-05-17,0.15,0.155,0.15,0.155,1078400,MYR
2013-05-20,0.155,0.165,0.155,0.165,3008300,MYR
2013-05-21,0.165,0.165,0.155,0.16,3060200,MYR
