Date,Open,High,Low,Close,Volume,Currency
2013-03-20,0.26,0.26,0.26,0.26,1900,MYR
2013-03-21,0.27,0.27,0.26,0.27,128200,MYR
2013-03-22,0.28,0.28,0.265,0.27,32200,MYR
2013-03-25,0.265,0.285,0.265,0.285,66000,MYR
2013-03-26,0.27,0.27,0.27,0.27,500,MYR
2013-03-27,0.265,0.285,0.265,0.285,1000,MYR
2013-03-28,0.26,0.26,0.26,0.26,400,MYR
2013-03-29,0.265,0.265,0.26,0.265,50800,MYR
2013-04-02,0.265,0.285,0.265,0.285,62600,MYR
2013-04-03,0.27,0.275,0.27,0.275,59800,MYR
2013-04-05,0.28,0.285,0.28,0.285,189900,MYR
2013-04-08,0.275,0.285,0.275,0.285,246000,MYR
2013-04-09,0.285,0.285,0.28,0.285,125300,MYR
2013-04-10,0.29,0.29,0.28,0.28,75500,MYR
2013-04-11,0.28,0.28,0.28,0.28,5200,MYR
2013-04-12,0.285,0.295,0.285,0.285,60000,MYR
2013-04-15,0.285,0.285,0.275,0.275,69700,MYR
2013-04-16,0.26,0.26,0.26,0.26,700,MYR
2013-04-17,0.26,0.26,0.26,0.26,700,MYR
2013-04-18,0.26,0.29,0.26,0.29,10700,MYR
2013-04-19,0.285,0.29,0.285,0.29,30000,MYR
2013-04-23,0.27,0.27,0.27,0.27,1000,MYR
2013-04-24,0.29,0.29,0.27,0.27,31700,MYR
2013-04-26,0.275,0.29,0.275,0.28,42600,MYR
2013-04-29,0.28,0.28,0.28,0.28,35500,MYR
2013-04-30,0.28,0.28,0.28,0.28,30000,MYR
2013-05-03,0.27,0.27,0.26,0.26,200,MYR
2013-05-07,0.27,0.28,0.27,0.28,56600,MYR
2013-05-08,0.265,0.265,0.265,0.265,900,MYR
2013-05-09,0.275,0.3,0.275,0.295,157300,MYR
2013-05-10,0.295,0.3,0.29,0.295,185000,MYR
2013-05-13,0.3,0.31,0.3,0.305,168000,MYR
2013-05-14,0.3,0.3,0.3,0.3,91000,MYR
2013-05-15,0.295,0.32,0.295,0.315,527400,MYR
2013-05-16,0.305,0.32,0.3,0.32,90200,MYR
2013-05-17,0.3,0.315,0.3,0.315,20600,MYR
2013-05-20,0.28,0.32,0.28,0.3,44400,MYR
2013-05-21,0.3,0.31,0.3,0.305,77200,MYR
2013-05-22,0.31,0.32,0.3,0.305,772400,MYR
2013-05-23,0.31,0.315,0.305,0.305,213900,MYR
2013-05-27,0.3,0.3,0.3,0.3,1000,MYR
2013-05-28,0.29,0.29,0.29,0.29,3000,MYR
2013-05-29,0.3,0.315,0.295,0.305,291500,MYR
2013-05-30,0.315,0.32,0.3,0.31,101000,MYR
2013-05-31,0.3,0.3,0.3,0.3,2000,MYR
2013-06-03,0.29,0.295,0.29,0.29,175000,MYR
2013-06-04,0.31,0.31,0.29,0.31,60500,MYR
2013-06-05,0.315,0.32,0.295,0.32,12300,MYR
2013-06-06,0.33,0.33,0.29,0.325,10600,MYR
2013-06-07,0.3,0.325,0.29,0.325,300,MYR
2013-06-10,0.31,0.33,0.29,0.32,70400,MYR
2013-06-11,0.3,0.32,0.3,0.32,25300,MYR
2013-06-13,0.3,0.325,0.3,0.325,11700,MYR
2013-06-19,0.305,0.31,0.305,0.31,1500,MYR
2013-06-20,0.3,0.33,0.295,0.32,5400,MYR
2013-06-21,0.3,0.32,0.29,0.32,76200,MYR
2013-06-24,0.3,0.3,0.295,0.295,56500,MYR
2013-06-25,0.285,0.285,0.285,0.285,600,MYR
2013-06-27,0.295,0.295,0.29,0.29,35000,MYR
2013-06-28,0.285,0.305,0.285,0.305,17700,MYR
