Date,Open,High,Low,Close,Volume,Currency
2013-04-25,0.633,0.642,0.633,0.642,47661,MYR
2013-04-26,0.642,0.642,0.642,0.642,5687,MYR
2013-04-29,0.615,0.615,0.615,0.615,4664,MYR
2013-05-09,0.563,0.563,0.563,0.563,2275,MYR
2013-05-13,0.589,0.637,0.589,0.593,302575,MYR
2013-05-14,0.593,0.593,0.593,0.593,114,MYR
2013-05-15,0.695,0.703,0.633,0.633,57216,MYR
2013-05-16,0.637,0.642,0.637,0.637,3526,MYR
2013-05-20,0.69,0.69,0.69,0.69,2957,MYR
2013-05-21,0.699,0.708,0.699,0.703,177677,MYR
2013-05-23,0.703,0.703,0.659,0.703,201337,MYR
2013-05-27,0.686,0.686,0.686,0.686,13081,MYR
2013-05-29,0.703,0.703,0.703,0.703,9100,MYR
2013-05-30,0.659,0.703,0.659,0.703,68364,MYR
2013-05-31,0.703,0.703,0.703,0.703,18200,MYR
2013-06-03,0.712,0.721,0.615,0.686,180635,MYR
2013-06-04,0.708,0.712,0.695,0.708,300072,MYR
2013-06-05,0.703,0.712,0.703,0.712,163800,MYR
2013-06-06,0.703,0.747,0.677,0.747,547365,MYR
2013-06-07,0.739,0.747,0.69,0.695,513354,MYR
2013-06-10,0.743,0.747,0.668,0.681,795681,MYR
2013-06-11,0.739,0.743,0.703,0.703,680452,MYR
2013-06-12,0.703,0.712,0.695,0.695,694444,MYR
2013-06-13,0.695,0.695,0.668,0.668,35262,MYR
2013-06-14,0.659,0.659,0.615,0.633,526094,MYR
2013-06-17,0.633,0.633,0.633,0.633,11375,MYR
2013-06-18,0.624,0.637,0.624,0.637,64724,MYR
2013-06-19,0.637,0.637,0.624,0.637,238420,MYR
2013-06-20,0.62,0.62,0.607,0.607,6825,MYR
2013-06-24,0.549,0.624,0.549,0.624,3526,MYR
2013-06-25,0.585,0.624,0.585,0.624,12626,MYR
2013-06-27,0.58,0.642,0.58,0.642,2502,MYR
2013-07-01,0.629,0.629,0.629,0.629,25025,MYR
2013-07-02,0.629,0.659,0.629,0.642,13650,MYR
2013-07-11,0.624,0.624,0.624,0.624,6370,MYR
2013-07-15,0.633,0.664,0.633,0.659,16494,MYR
2013-07-23,0.62,0.62,0.62,0.62,1137,MYR
2013-07-25,0.62,0.65,0.62,0.65,36627,MYR
2013-07-26,0.65,0.65,0.65,0.65,22750,MYR
2013-07-31,0.655,0.668,0.655,0.668,45500,MYR
2013-08-01,0.664,0.664,0.664,0.664,30712,MYR
2013-08-02,0.664,0.668,0.65,0.65,109200,MYR
2013-08-05,0.681,0.681,0.681,0.681,1137,MYR
2013-08-06,0.664,0.668,0.664,0.668,9100,MYR
2013-08-13,0.668,0.668,0.668,0.668,26504,MYR
2013-08-15,0.695,0.695,0.629,0.629,21271,MYR
2013-08-16,0.668,0.69,0.668,0.69,64724,MYR
2013-08-19,0.69,0.69,0.686,0.686,18200,MYR
2013-08-20,0.681,0.681,0.681,0.681,11375,MYR
2013-08-21,0.681,0.681,0.681,0.681,11375,MYR
2013-08-23,0.668,0.668,0.65,0.668,6939,MYR
2013-08-26,0.668,0.668,0.668,0.668,10351,MYR
2013-08-30,0.633,0.633,0.633,0.633,227,MYR
2013-09-04,0.624,0.624,0.624,0.624,455,MYR
2013-09-05,0.668,0.677,0.668,0.677,25366,MYR
2013-09-09,0.633,0.633,0.633,0.633,114,MYR
2013-09-11,0.624,0.624,0.624,0.624,114,MYR
2013-09-13,0.615,0.615,0.615,0.615,114,MYR
2013-09-20,0.659,0.659,0.659,0.659,3185,MYR
2013-09-24,0.677,0.677,0.677,0.677,1137,MYR
2013-09-25,0.642,0.642,0.642,0.642,341,MYR
2013-09-27,0.642,0.677,0.642,0.642,6484,MYR
2013-09-30,0.642,0.642,0.642,0.642,114,MYR
2013-10-01,0.637,0.659,0.633,0.659,329989,MYR
2013-10-02,0.664,0.747,0.664,0.734,232732,MYR
2013-10-03,0.739,0.756,0.699,0.699,119210,MYR
2013-10-04,0.708,0.734,0.708,0.734,43111,MYR
2013-10-07,0.743,0.769,0.739,0.765,225794,MYR
2013-10-08,0.769,0.862,0.769,0.857,1250226,MYR
2013-10-09,0.862,0.923,0.835,0.888,1029551,MYR
2013-10-10,0.897,0.914,0.879,0.897,475589,MYR
2013-10-11,0.888,0.888,0.879,0.879,62449,MYR
2013-10-14,0.897,0.967,0.897,0.941,925697,MYR
2013-10-16,0.932,0.967,0.914,0.967,459095,MYR
2013-10-17,0.95,1.02,0.95,0.967,2816336,MYR
2013-10-18,0.95,0.958,0.941,0.958,332377,MYR
2013-10-21,0.976,0.976,0.95,0.958,97597,MYR
2013-10-22,0.897,0.958,0.897,0.932,106242,MYR
2013-10-23,0.958,0.993,0.923,0.976,673059,MYR
2013-10-24,0.976,0.976,0.967,0.967,183820,MYR
2013-10-25,0.967,0.985,0.967,0.985,181659,MYR
2013-10-28,0.967,0.967,0.958,0.958,62449,MYR
2013-10-29,0.967,0.985,0.958,0.967,386522,MYR
2013-10-30,0.976,0.976,0.95,0.958,64269,MYR
2013-10-31,0.976,0.985,0.95,0.958,206911,MYR
2013-11-01,0.941,0.967,0.941,0.967,68250,MYR
2013-11-04,0.967,0.985,0.967,0.967,70525,MYR
2013-11-06,0.976,0.985,0.967,0.967,121712,MYR
2013-11-07,0.976,0.993,0.958,0.976,86109,MYR
2013-11-08,0.976,0.976,0.976,0.976,18769,MYR
2013-11-11,0.967,0.976,0.958,0.967,69956,MYR
2013-11-12,0.967,0.993,0.967,0.976,60287,MYR
2013-11-13,0.95,0.958,0.95,0.958,31850,MYR
2013-11-15,0.958,0.967,0.941,0.967,28779,MYR
2013-11-18,1.011,1.196,1.011,1.187,5033437,MYR
2013-11-19,1.196,1.213,1.09,1.099,1330761,MYR
2013-11-20,1.125,1.125,1.037,1.055,1190849,MYR
2013-11-21,1.055,1.055,1.02,1.046,58240,MYR
