Date,Open,High,Low,Close,Volume,Currency
2013-09-19,1.06,1.075,1.06,1.075,1423000,MYR
2013-09-20,1.045,1.065,1.045,1.065,64400,MYR
2013-09-23,1.05,1.055,1.04,1.045,787200,MYR
2013-09-24,1.035,1.035,1.015,1.015,617000,MYR
2013-09-25,1.015,1.025,1.015,1.02,819200,MYR
2013-09-26,1.02,1.02,1.015,1.015,230800,MYR
2013-09-27,1.015,1.035,1.015,1.035,270200,MYR
2013-09-30,1.035,1.035,1.02,1.02,293400,MYR
2013-10-01,1.015,1.02,1.01,1.01,200000,MYR
2013-10-02,1.02,1.035,1.015,1.025,1775200,MYR
2013-10-03,1.025,1.025,1.02,1.025,62000,MYR
2013-10-04,1.02,1.025,1.01,1.02,160200,MYR
2013-10-07,1.01,1.015,1.005,1.01,260400,MYR
2013-10-08,1.01,1.01,0.995,1.005,1536200,MYR
2013-10-09,1.005,1.01,1.0,1.005,209600,MYR
2013-10-10,1.01,1.02,1.01,1.01,314400,MYR
2013-10-11,1.02,1.06,0.97,1.055,7392600,MYR
2013-10-14,1.055,1.06,1.045,1.055,391600,MYR
2013-10-16,1.055,1.155,1.05,1.15,4529400,MYR
2013-10-17,1.155,1.16,1.13,1.155,3820000,MYR
2013-10-18,1.145,1.145,1.13,1.14,740400,MYR
2013-10-21,1.14,1.145,1.135,1.14,962600,MYR
2013-10-22,1.14,1.145,1.125,1.145,508000,MYR
2013-10-23,1.145,1.145,1.135,1.135,303000,MYR
2013-10-24,1.14,1.21,1.14,1.2,4037800,MYR
2013-10-25,1.2,1.215,1.15,1.175,2250400,MYR
2013-10-28,1.165,1.185,1.14,1.175,971400,MYR
2013-10-29,1.17,1.175,1.165,1.175,370600,MYR
2013-10-30,1.175,1.175,1.165,1.175,717000,MYR
2013-10-31,1.18,1.185,1.16,1.16,668800,MYR
2013-11-01,1.155,1.17,1.15,1.15,99600,MYR
2013-11-04,1.15,1.15,1.13,1.145,854400,MYR
2013-11-06,1.145,1.15,1.14,1.145,283200,MYR
2013-11-07,1.135,1.18,1.135,1.17,1174000,MYR
2013-11-08,1.18,1.185,1.17,1.17,349800,MYR
2013-11-11,1.165,1.175,1.165,1.17,1002400,MYR
2013-11-12,1.15,1.17,1.15,1.155,290200,MYR
2013-11-13,1.15,1.185,1.15,1.175,2156600,MYR
2013-11-14,1.18,1.245,1.175,1.24,3456200,MYR
2013-11-15,1.25,1.28,1.25,1.25,2085400,MYR
2013-11-18,1.25,1.25,1.2,1.2,535000,MYR
2013-11-19,1.225,1.25,1.225,1.23,634000,MYR
2013-11-20,1.24,1.255,1.23,1.25,822400,MYR
2013-11-21,1.265,1.275,1.24,1.24,729400,MYR
2013-11-22,1.26,1.26,1.245,1.245,302400,MYR
2013-11-25,1.25,1.295,1.25,1.275,1573800,MYR
2013-11-26,1.285,1.29,1.27,1.275,715200,MYR
2013-11-27,1.275,1.285,1.25,1.275,165200,MYR
2013-11-28,1.275,1.275,1.27,1.27,190600,MYR
2013-11-29,1.27,1.31,1.27,1.3,2581000,MYR
2013-12-02,1.305,1.33,1.3,1.315,1873600,MYR
2013-12-03,1.305,1.325,1.295,1.295,1362800,MYR
2013-12-04,1.3,1.305,1.295,1.3,1436800,MYR
2013-12-05,1.295,1.295,1.285,1.285,200400,MYR
2013-12-06,1.285,1.33,1.26,1.295,1766200,MYR
2013-12-09,1.3,1.35,1.3,1.34,814400,MYR
2013-12-10,1.36,1.365,1.33,1.34,896800,MYR
2013-12-11,1.34,1.34,1.325,1.33,1090600,MYR
2013-12-12,1.325,1.41,1.325,1.39,895400,MYR
2013-12-13,1.39,1.425,1.38,1.405,755600,MYR
2013-12-16,1.405,1.405,1.33,1.4,617600,MYR
2013-12-17,1.415,1.42,1.395,1.415,1282400,MYR
2013-12-18,1.405,1.45,1.405,1.44,761200,MYR
2013-12-19,1.455,1.48,1.43,1.45,1039000,MYR
2013-12-20,1.46,1.46,1.415,1.43,669800,MYR
2013-12-23,1.44,1.44,1.405,1.43,365600,MYR
2013-12-24,1.43,1.44,1.425,1.435,584000,MYR
2013-12-26,1.43,1.46,1.425,1.435,835400,MYR
2013-12-27,1.435,1.44,1.425,1.44,1307000,MYR
2013-12-30,1.405,1.445,1.405,1.435,524200,MYR
2013-12-31,1.445,1.445,1.435,1.44,522200,MYR
2014-01-02,1.43,1.44,1.43,1.435,229800,MYR
2014-01-03,1.43,1.435,1.39,1.425,1806400,MYR
2014-01-06,1.425,1.435,1.42,1.425,1680600,MYR
2014-01-07,1.42,1.43,1.41,1.43,3373400,MYR
2014-01-08,1.425,1.475,1.4,1.45,995200,MYR
2014-01-09,1.45,1.45,1.425,1.45,2567000,MYR
2014-01-10,1.45,1.55,1.43,1.55,2813400,MYR
2014-01-13,1.505,1.62,1.505,1.59,922000,MYR
2014-01-15,1.575,1.635,1.565,1.565,617600,MYR
2014-01-16,1.57,1.575,1.55,1.55,328600,MYR
2014-01-20,1.545,1.545,1.5,1.51,925600,MYR
2014-01-21,1.53,1.53,1.49,1.5,1474200,MYR
2014-01-22,1.495,1.52,1.495,1.52,878000,MYR
2014-01-23,1.51,1.59,1.51,1.56,929000,MYR
2014-01-24,1.555,1.555,1.54,1.55,195600,MYR
2014-01-27,1.55,1.55,1.47,1.47,1326800,MYR
2014-01-28,1.455,1.5,1.455,1.5,1206800,MYR
2014-01-29,1.48,1.51,1.48,1.49,751800,MYR
2014-01-30,1.475,1.49,1.465,1.48,120800,MYR
2014-02-04,1.47,1.485,1.44,1.465,1057000,MYR
2014-02-05,1.47,1.47,1.46,1.47,531400,MYR
2014-02-06,1.47,1.51,1.465,1.5,1415800,MYR
2014-02-07,1.52,1.52,1.49,1.495,791400,MYR
2014-02-10,1.5,1.525,1.495,1.495,1530600,MYR
2014-02-11,1.495,1.505,1.485,1.495,1167200,MYR
2014-02-12,1.5,1.52,1.49,1.5,1899600,MYR
2014-02-13,1.505,1.535,1.485,1.535,1157000,MYR
2014-02-14,1.53,1.565,1.53,1.555,1286400,MYR
2014-02-17,1.565,1.605,1.55,1.59,2710600,MYR
2014-02-18,1.62,1.685,1.62,1.65,4067600,MYR
2014-02-19,1.655,1.66,1.59,1.59,1048600,MYR
2014-02-20,1.615,1.67,1.61,1.645,1264800,MYR
2014-02-21,1.725,1.755,1.645,1.65,6614400,MYR
2014-02-24,1.7,1.735,1.675,1.73,2077600,MYR
2014-02-25,1.74,1.795,1.73,1.75,3146400,MYR
2014-02-26,1.77,1.77,1.695,1.73,1860800,MYR
2014-02-27,1.725,1.745,1.68,1.68,1053400,MYR
