Date,Open,High,Low,Close,Volume,Currency
2013-02-14,0.615,0.643,0.615,0.631,4168260,MYR
2013-02-15,0.631,0.635,0.594,0.606,1391360,MYR
2013-02-18,0.606,0.606,0.594,0.594,366170,MYR
2013-02-19,0.586,0.59,0.578,0.59,255020,MYR
2013-02-20,0.586,0.594,0.573,0.573,543740,MYR
2013-02-21,0.578,0.578,0.565,0.569,456590,MYR
2013-02-22,0.569,0.578,0.565,0.569,146780,MYR
2013-02-25,0.573,0.578,0.573,0.578,150060,MYR
2013-02-26,0.578,0.578,0.569,0.569,75150,MYR
2013-02-27,0.569,0.578,0.569,0.569,70660,MYR
2013-02-28,0.569,0.594,0.569,0.594,115750,MYR
2013-03-01,0.578,0.586,0.573,0.586,75150,MYR
2013-03-04,0.586,0.59,0.578,0.582,117820,MYR
2013-03-05,0.582,0.586,0.578,0.578,221810,MYR
2013-03-06,0.582,0.586,0.573,0.578,301080,MYR
2013-03-07,0.582,0.594,0.578,0.59,154660,MYR
2013-03-08,0.59,0.606,0.59,0.606,613440,MYR
2013-03-11,0.602,0.606,0.594,0.598,191390,MYR
2013-03-12,0.598,0.606,0.594,0.598,253930,MYR
2013-03-13,0.602,0.602,0.586,0.586,115630,MYR
2013-03-14,0.594,0.594,0.59,0.594,118780,MYR
2013-03-15,0.594,0.594,0.586,0.586,106660,MYR
2013-03-18,0.578,0.582,0.578,0.578,109090,MYR
2013-03-19,0.578,0.594,0.578,0.582,155510,MYR
2013-03-20,0.582,0.586,0.578,0.582,199990,MYR
2013-03-21,0.59,0.631,0.59,0.627,2331090,MYR
2013-03-22,0.631,0.681,0.615,0.619,6301290,MYR
2013-03-25,0.623,0.631,0.611,0.619,185690,MYR
2013-03-26,0.619,0.627,0.619,0.623,395990,MYR
2013-03-27,0.623,0.652,0.623,0.631,789560,MYR
2013-03-28,0.627,0.627,0.611,0.619,921190,MYR
2013-03-29,0.615,0.615,0.611,0.615,87270,MYR
2013-04-01,0.611,0.615,0.602,0.602,152720,MYR
2013-04-02,0.598,0.619,0.598,0.619,241210,MYR
2013-04-03,0.623,0.627,0.59,0.602,1356570,MYR
2013-04-04,0.602,0.623,0.602,0.623,663500,MYR
2013-04-05,0.623,0.627,0.615,0.623,209330,MYR
2013-04-08,0.619,0.623,0.611,0.619,328720,MYR
2013-04-09,0.619,0.619,0.615,0.615,107880,MYR
2013-04-10,0.615,0.619,0.611,0.619,214780,MYR
2013-04-11,0.611,0.619,0.611,0.619,191510,MYR
2013-04-12,0.619,0.631,0.615,0.623,529560,MYR
2013-04-15,0.611,0.623,0.611,0.619,318170,MYR
2013-04-16,0.615,0.615,0.611,0.615,111880,MYR
2013-04-17,0.615,0.623,0.615,0.623,46060,MYR
2013-04-18,0.619,0.619,0.611,0.611,182900,MYR
2013-04-19,0.615,0.615,0.611,0.615,87270,MYR
2013-04-22,0.606,0.606,0.59,0.59,578170,MYR
2013-04-23,0.586,0.586,0.582,0.582,541200,MYR
2013-04-24,0.594,0.594,0.586,0.586,87880,MYR
2013-04-25,0.586,0.586,0.586,0.586,176120,MYR
2013-04-26,0.582,0.582,0.578,0.578,248960,MYR
2013-04-29,0.573,0.582,0.565,0.569,162420,MYR
2013-04-30,0.582,0.582,0.565,0.565,190300,MYR
2013-05-02,0.561,0.565,0.557,0.565,301810,MYR
2013-05-03,0.565,0.565,0.557,0.561,463020,MYR
2013-05-06,0.578,0.615,0.578,0.611,1707470,MYR
2013-05-07,0.606,0.652,0.602,0.643,2082490,MYR
2013-05-08,0.668,0.676,0.652,0.66,3355190,MYR
2013-05-09,0.66,0.685,0.66,0.676,2905020,MYR
2013-05-10,0.681,0.693,0.672,0.693,1347120,MYR
2013-05-13,0.705,0.73,0.697,0.718,2979680,MYR
2013-05-14,0.718,0.73,0.689,0.701,1368210,MYR
2013-05-15,0.701,0.71,0.693,0.701,815620,MYR
2013-05-16,0.697,0.697,0.681,0.681,592830,MYR
2013-05-17,0.685,0.697,0.685,0.697,1149550,MYR
2013-05-20,0.705,0.718,0.705,0.714,1443240,MYR
2013-05-21,0.726,0.775,0.722,0.755,3847900,MYR
2013-05-22,0.759,0.763,0.726,0.726,1646990,MYR
2013-05-23,0.73,0.734,0.697,0.718,1413180,MYR
2013-05-27,0.701,0.718,0.701,0.71,668470,MYR
2013-05-28,0.714,0.738,0.71,0.734,680100,MYR
2013-05-29,0.743,0.759,0.734,0.743,1833650,MYR
2013-05-30,0.747,0.747,0.726,0.734,570530,MYR
2013-05-31,0.743,0.743,0.722,0.722,898040,MYR
2013-06-03,0.726,0.726,0.718,0.722,495870,MYR
2013-06-04,0.726,0.73,0.722,0.722,559860,MYR
2013-06-05,0.734,0.734,0.714,0.718,481680,MYR
2013-06-06,0.714,0.718,0.697,0.705,857430,MYR
2013-06-07,0.705,0.71,0.701,0.705,86790,MYR
2013-06-10,0.71,0.718,0.71,0.718,463380,MYR
2013-06-11,0.718,0.722,0.71,0.718,347870,MYR
2013-06-12,0.714,0.718,0.701,0.718,238780,MYR
2013-06-13,0.714,0.714,0.689,0.693,503140,MYR
2013-06-14,0.693,0.701,0.685,0.685,211510,MYR
2013-06-17,0.685,0.685,0.668,0.668,216960,MYR
2013-06-18,0.672,0.676,0.672,0.676,138180,MYR
2013-06-19,0.681,0.681,0.672,0.681,83880,MYR
2013-06-20,0.672,0.672,0.652,0.652,308230,MYR
2013-06-21,0.639,0.685,0.639,0.685,723380,MYR
2013-06-24,0.693,0.693,0.652,0.66,489810,MYR
2013-06-25,0.652,0.664,0.648,0.664,449690,MYR
2013-06-26,0.676,0.676,0.668,0.672,90910,MYR
2013-06-27,0.676,0.697,0.676,0.697,518170,MYR
2013-06-28,0.701,0.705,0.685,0.685,399750,MYR
2013-07-01,0.685,0.689,0.685,0.689,43640,MYR
2013-07-02,0.689,0.689,0.676,0.676,63630,MYR
2013-07-03,0.681,0.681,0.672,0.676,198540,MYR
2013-07-04,0.676,0.693,0.676,0.693,50790,MYR
2013-07-05,0.701,0.722,0.697,0.718,839130,MYR
2013-07-08,0.726,0.78,0.714,0.763,4784360,MYR
2013-07-09,0.775,0.842,0.775,0.808,14590420,MYR
2013-07-10,0.825,0.833,0.796,0.8,2834350,MYR
2013-07-11,0.804,0.804,0.775,0.792,955610,MYR
2013-07-12,0.825,0.858,0.808,0.825,9491760,MYR
2013-07-15,0.842,0.866,0.842,0.85,3649360,MYR
2013-07-16,0.858,0.907,0.85,0.899,11757760,MYR
2013-07-17,0.899,0.924,0.891,0.899,5121080,MYR
2013-07-18,0.907,0.924,0.899,0.899,3290340,MYR
2013-07-19,0.916,0.941,0.891,0.891,5273440,MYR
2013-07-22,0.891,0.899,0.875,0.891,1665900,MYR
2013-07-23,0.899,0.899,0.875,0.891,1458870,MYR
2013-07-24,0.883,0.891,0.866,0.875,1597170,MYR
2013-07-25,0.875,0.875,0.842,0.85,1702140,MYR
2013-07-26,0.85,0.85,0.833,0.833,1084340,MYR
2013-07-29,0.842,0.85,0.821,0.825,846400,MYR
2013-07-30,0.833,0.866,0.833,0.858,3966440,MYR
2013-07-31,0.866,0.875,0.842,0.842,3416880,MYR
2013-08-01,0.842,0.866,0.842,0.85,1096340,MYR
2013-08-02,0.85,0.858,0.842,0.842,695980,MYR
2013-08-05,0.85,0.85,0.842,0.842,810770,MYR
2013-08-06,0.842,0.842,0.825,0.842,1340810,MYR
2013-08-07,0.842,0.858,0.833,0.858,887010,MYR
2013-08-12,0.858,0.858,0.842,0.842,574290,MYR
2013-08-13,0.842,0.858,0.842,0.842,1191610,MYR
2013-08-14,0.85,0.907,0.85,0.891,4181590,MYR
2013-08-15,0.899,0.899,0.875,0.883,712220,MYR
2013-08-16,0.866,0.883,0.866,0.875,443020,MYR
2013-08-19,0.883,0.883,0.85,0.85,527020,MYR
2013-08-20,0.858,0.858,0.821,0.821,2545030,MYR
2013-08-21,0.821,0.842,0.821,0.842,578290,MYR
2013-08-22,0.825,0.825,0.804,0.813,1511480,MYR
2013-08-23,0.817,0.825,0.808,0.808,435750,MYR
2013-08-26,0.813,0.813,0.792,0.792,768340,MYR
2013-08-27,0.784,0.784,0.718,0.722,1393540,MYR
2013-08-28,0.722,0.722,0.676,0.705,1046880,MYR
2013-08-29,0.71,0.734,0.71,0.734,735380,MYR
2013-08-30,0.738,0.751,0.73,0.738,1010640,MYR
2013-09-02,0.743,0.755,0.738,0.747,515020,MYR
2013-09-03,0.747,0.751,0.738,0.743,139750,MYR
2013-09-04,0.743,0.743,0.701,0.73,216960,MYR
2013-09-05,0.734,0.738,0.722,0.726,444840,MYR
2013-09-06,0.73,0.743,0.73,0.73,215150,MYR
2013-09-09,0.734,0.743,0.734,0.743,39270,MYR
2013-09-10,0.751,0.771,0.751,0.771,792590,MYR
2013-09-11,0.784,0.821,0.78,0.788,1042160,MYR
2013-09-12,0.784,0.796,0.775,0.796,292110,MYR
2013-09-13,0.788,0.788,0.78,0.788,180120,MYR
2013-09-17,0.792,0.796,0.784,0.784,236120,MYR
2013-09-18,0.784,0.784,0.771,0.775,197810,MYR
2013-09-19,0.792,0.8,0.788,0.796,569080,MYR
2013-09-20,0.796,0.796,0.788,0.792,463020,MYR
2013-09-23,0.784,0.788,0.784,0.788,231750,MYR
2013-09-24,0.784,0.788,0.775,0.784,272110,MYR
2013-09-25,0.78,0.792,0.78,0.784,128240,MYR
2013-09-26,0.784,0.788,0.784,0.784,109090,MYR
2013-09-27,0.788,0.788,0.775,0.78,195150,MYR
2013-09-30,0.78,0.78,0.767,0.767,326050,MYR
2013-10-01,0.767,0.771,0.767,0.767,80730,MYR
2013-10-02,0.767,0.775,0.767,0.775,185450,MYR
2013-10-03,0.775,0.784,0.775,0.78,356480,MYR
2013-10-04,0.775,0.775,0.771,0.775,218180,MYR
2013-10-07,0.775,0.784,0.775,0.78,346290,MYR
2013-10-08,0.78,0.784,0.775,0.784,384110,MYR
2013-10-09,0.78,0.78,0.771,0.771,217930,MYR
2013-10-10,0.775,0.78,0.775,0.775,109690,MYR
2013-10-11,0.78,0.833,0.78,0.825,3251070,MYR
2013-10-14,0.833,0.866,0.833,0.842,3746930,MYR
2013-10-16,0.85,0.875,0.85,0.85,2712420,MYR
2013-10-17,0.866,0.866,0.85,0.85,680470,MYR
2013-10-18,0.85,0.85,0.833,0.833,450900,MYR
2013-10-21,0.833,0.842,0.821,0.842,669800,MYR
2013-10-22,0.833,0.85,0.825,0.85,560710,MYR
2013-10-23,0.842,0.842,0.833,0.833,426050,MYR
2013-10-24,0.842,0.858,0.825,0.85,597800,MYR
2013-10-25,0.85,0.858,0.833,0.842,458780,MYR
2013-10-28,0.842,0.842,0.825,0.825,883370,MYR
2013-10-29,0.825,0.825,0.825,0.825,212360,MYR
2013-10-30,0.825,0.833,0.825,0.825,341200,MYR
2013-10-31,0.825,0.825,0.813,0.813,315390,MYR
2013-11-01,0.821,0.821,0.813,0.817,210900,MYR
2013-11-04,0.825,0.825,0.792,0.792,303020,MYR
2013-11-06,0.796,0.8,0.796,0.796,147270,MYR
2013-11-07,0.796,0.808,0.796,0.808,329320,MYR
2013-11-08,0.804,0.808,0.804,0.808,164720,MYR
2013-11-11,0.808,0.808,0.8,0.8,40000,MYR
2013-11-12,0.792,0.804,0.792,0.8,206420,MYR
2013-11-13,0.796,0.8,0.792,0.8,364720,MYR
2013-11-14,0.8,0.8,0.796,0.8,274660,MYR
2013-11-15,0.8,0.808,0.8,0.804,92120,MYR
2013-11-18,0.804,0.804,0.792,0.796,133330,MYR
2013-11-19,0.792,0.796,0.792,0.792,65330,MYR
2013-11-20,0.796,0.796,0.792,0.792,89690,MYR
2013-11-21,0.792,0.792,0.78,0.784,264360,MYR
2013-11-22,0.788,0.788,0.775,0.78,78420,MYR
2013-11-25,0.775,0.788,0.775,0.78,240480,MYR
2013-11-26,0.78,0.784,0.771,0.771,406660,MYR
2013-11-27,0.771,0.771,0.767,0.767,57700,MYR
2013-11-28,0.775,0.775,0.771,0.771,164360,MYR
2013-11-29,0.767,0.784,0.767,0.784,129690,MYR
2013-12-02,0.767,0.78,0.759,0.763,231990,MYR
2013-12-03,0.771,0.771,0.763,0.763,103030,MYR
2013-12-04,0.763,0.767,0.763,0.767,36360,MYR
2013-12-05,0.763,0.771,0.763,0.763,94540,MYR
2013-12-06,0.759,0.759,0.759,0.759,103880,MYR
2013-12-09,0.767,0.767,0.759,0.759,55760,MYR
2013-12-10,0.759,0.759,0.759,0.759,41330,MYR
2013-12-11,0.763,0.763,0.759,0.759,56360,MYR
2013-12-12,0.751,0.78,0.751,0.78,59390,MYR
2013-12-13,0.763,0.763,0.759,0.763,46420,MYR
2013-12-16,0.775,0.775,0.759,0.759,24240,MYR
2013-12-17,0.759,0.759,0.755,0.755,21090,MYR
2013-12-18,0.755,0.755,0.747,0.747,88480,MYR
2013-12-19,0.751,0.767,0.751,0.751,63760,MYR
2013-12-20,0.775,0.78,0.763,0.767,235150,MYR
2013-12-23,0.759,0.759,0.743,0.759,189210,MYR
2013-12-24,0.759,0.759,0.743,0.747,457810,MYR
2013-12-26,0.747,0.751,0.747,0.751,210420,MYR
2013-12-27,0.751,0.759,0.747,0.759,105450,MYR
2013-12-30,0.759,0.759,0.755,0.759,69820,MYR
2013-12-31,0.759,0.759,0.755,0.755,79150,MYR
2014-01-02,0.759,0.771,0.759,0.771,141330,MYR
2014-01-03,0.767,0.767,0.759,0.763,244960,MYR
2014-01-06,0.767,0.775,0.767,0.775,457200,MYR
2014-01-07,0.784,0.792,0.784,0.784,586890,MYR
2014-01-08,0.792,0.792,0.775,0.784,185450,MYR
2014-01-09,0.78,0.78,0.763,0.763,410290,MYR
2014-01-10,0.763,0.767,0.763,0.767,275870,MYR
2014-01-13,0.767,0.775,0.759,0.763,340600,MYR
2014-01-15,0.771,0.771,0.751,0.751,402050,MYR
2014-01-16,0.738,0.738,0.681,0.681,4329830,MYR
2014-01-20,0.685,0.701,0.681,0.693,2504180,MYR
2014-01-21,0.693,0.705,0.693,0.697,899610,MYR
2014-01-22,0.701,0.701,0.689,0.693,398780,MYR
2014-01-23,0.689,0.689,0.681,0.681,471750,MYR
2014-01-24,0.681,0.685,0.672,0.685,417930,MYR
2014-01-27,0.676,0.681,0.668,0.668,302420,MYR
2014-01-28,0.668,0.676,0.664,0.664,179870,MYR
2014-01-29,0.668,0.676,0.664,0.676,232120,MYR
2014-01-30,0.668,0.668,0.664,0.668,31510,MYR
2014-02-04,0.668,0.668,0.664,0.668,89330,MYR
2014-02-05,0.672,0.681,0.672,0.672,244600,MYR
2014-02-06,0.672,0.693,0.672,0.681,180840,MYR
2014-02-07,0.681,0.685,0.681,0.685,174900,MYR
2014-02-10,0.685,0.685,0.681,0.681,235750,MYR
2014-02-11,0.676,0.685,0.676,0.676,189210,MYR
2014-02-12,0.676,0.676,0.676,0.676,154540,MYR
2014-02-13,0.672,0.681,0.672,0.681,157570,MYR
2014-02-14,0.676,0.681,0.676,0.676,169690,MYR
2014-02-17,0.681,0.681,0.676,0.681,361320,MYR
2014-02-18,0.676,0.681,0.672,0.672,185930,MYR
2014-02-19,0.672,0.676,0.672,0.672,334780,MYR
2014-02-20,0.672,0.676,0.672,0.672,267630,MYR
2014-02-21,0.676,0.676,0.672,0.676,217690,MYR
2014-02-24,0.681,0.697,0.681,0.697,664350,MYR
2014-02-25,0.705,0.71,0.693,0.693,706530,MYR
2014-02-26,0.693,0.697,0.681,0.693,488110,MYR
2014-02-27,0.681,0.689,0.681,0.689,144360,MYR
2014-02-28,0.685,0.693,0.681,0.689,219870,MYR
2014-03-03,0.681,0.685,0.676,0.681,380480,MYR
2014-03-04,0.676,0.681,0.676,0.681,355510,MYR
2014-03-05,0.681,0.689,0.681,0.689,261330,MYR
2014-03-06,0.689,0.689,0.681,0.681,273930,MYR
2014-03-07,0.681,0.685,0.676,0.685,325330,MYR
2014-03-10,0.676,0.681,0.676,0.676,126780,MYR
2014-03-11,0.676,0.681,0.672,0.681,308840,MYR
2014-03-12,0.681,0.685,0.676,0.685,133330,MYR
2014-03-13,0.676,0.676,0.672,0.676,300840,MYR
2014-03-14,0.672,0.672,0.668,0.668,197930,MYR
2014-03-17,0.668,0.668,0.66,0.664,546170,MYR
2014-03-18,0.672,0.681,0.668,0.668,502530,MYR
2014-03-19,0.676,0.676,0.668,0.672,353570,MYR
2014-03-20,0.672,0.676,0.668,0.676,496350,MYR
2014-03-21,0.676,0.693,0.676,0.689,475500,MYR
2014-03-24,0.697,0.697,0.685,0.685,1073430,MYR
2014-03-25,0.685,0.693,0.676,0.689,984220,MYR
2014-03-26,0.685,0.697,0.676,0.697,2427820,MYR
2014-03-27,0.69,0.69,0.65,0.66,868700,MYR
2014-03-28,0.66,0.665,0.65,0.665,330500,MYR
2014-03-31,0.665,0.665,0.655,0.655,386500,MYR
2014-04-01,0.655,0.66,0.645,0.65,848100,MYR
2014-04-02,0.66,0.68,0.66,0.67,1144200,MYR
2014-04-03,0.68,0.68,0.665,0.675,461400,MYR
2014-04-04,0.675,0.685,0.675,0.675,321600,MYR
2014-04-07,0.68,0.685,0.675,0.675,356300,MYR
2014-04-08,0.675,0.68,0.67,0.67,110900,MYR
2014-04-09,0.67,0.675,0.67,0.675,342500,MYR
2014-04-10,0.68,0.78,0.68,0.755,7572100,MYR
2014-04-11,0.74,0.795,0.74,0.765,7691800,MYR
2014-04-14,0.77,0.795,0.77,0.775,2972100,MYR
2014-04-15,0.785,0.785,0.755,0.755,1545500,MYR
2014-04-16,0.755,0.78,0.745,0.765,2390500,MYR
2014-04-17,0.765,0.835,0.76,0.81,13946400,MYR
2014-04-18,0.81,0.82,0.795,0.795,4445400,MYR
2014-04-21,0.8,0.81,0.79,0.795,2140600,MYR
2014-04-22,0.795,0.795,0.765,0.765,1659700,MYR
2014-04-23,0.77,0.785,0.755,0.76,1887500,MYR
2014-04-24,0.76,0.775,0.755,0.765,1464800,MYR
2014-04-25,0.77,0.795,0.765,0.77,1495300,MYR
2014-04-28,0.775,0.775,0.755,0.76,1007500,MYR
2014-04-29,0.76,0.76,0.735,0.745,814300,MYR
2014-04-30,0.745,0.75,0.74,0.745,214900,MYR
2014-05-02,0.745,0.745,0.73,0.73,287200,MYR
2014-05-05,0.745,0.745,0.715,0.715,247500,MYR
2014-05-06,0.72,0.725,0.715,0.72,358000,MYR
2014-05-07,0.735,0.735,0.72,0.725,104000,MYR
2014-05-08,0.725,0.735,0.725,0.725,233200,MYR
2014-05-09,0.725,0.725,0.7,0.705,1992400,MYR
2014-05-12,0.7,0.7,0.68,0.695,2383800,MYR
2014-05-14,0.7,0.71,0.695,0.705,936300,MYR
2014-05-15,0.705,0.705,0.695,0.7,872800,MYR
2014-05-16,0.69,0.755,0.685,0.74,37914000,MYR
2014-05-19,0.74,0.74,0.715,0.725,4784400,MYR
2014-05-20,0.725,0.73,0.705,0.715,6748800,MYR
2014-05-21,0.71,0.715,0.705,0.71,1807200,MYR
2014-05-22,0.71,0.72,0.695,0.71,4838900,MYR
2014-05-23,0.715,0.725,0.705,0.71,3359100,MYR
2014-05-26,0.71,0.71,0.69,0.695,2053900,MYR
2014-05-27,0.695,0.7,0.695,0.695,1341500,MYR
2014-05-28,0.72,0.72,0.705,0.705,2626900,MYR
2014-05-29,0.71,0.715,0.7,0.71,1462400,MYR
2014-05-30,0.71,0.71,0.695,0.7,722000,MYR
2014-06-02,0.7,0.705,0.69,0.69,986700,MYR
2014-06-03,0.695,0.7,0.69,0.69,549000,MYR
2014-06-04,0.695,0.705,0.685,0.7,2258600,MYR
2014-06-05,0.7,0.71,0.69,0.705,264400,MYR
2014-06-06,0.7,0.705,0.69,0.705,800800,MYR
2014-06-09,0.705,0.705,0.69,0.7,286000,MYR
2014-06-10,0.7,0.7,0.695,0.7,280500,MYR
2014-06-11,0.7,0.705,0.695,0.705,366600,MYR
2014-06-12,0.7,0.705,0.695,0.7,272600,MYR
2014-06-13,0.7,0.725,0.7,0.72,2360000,MYR
2014-06-16,0.725,0.73,0.72,0.725,1016000,MYR
2014-06-17,0.725,0.725,0.715,0.715,747500,MYR
2014-06-18,0.715,0.72,0.71,0.72,300600,MYR
2014-06-19,0.715,0.72,0.71,0.72,642200,MYR
2014-06-20,0.72,0.725,0.715,0.72,765200,MYR
2014-06-23,0.72,0.72,0.715,0.72,200000,MYR
2014-06-24,0.715,0.72,0.705,0.715,537100,MYR
2014-06-25,0.71,0.71,0.7,0.71,440000,MYR
2014-06-26,0.705,0.705,0.695,0.695,431000,MYR
2014-06-27,0.7,0.71,0.7,0.71,310500,MYR
2014-06-30,0.71,0.71,0.695,0.7,437300,MYR
2014-07-01,0.705,0.71,0.7,0.705,576200,MYR
2014-07-02,0.705,0.715,0.7,0.71,775600,MYR
2014-07-03,0.7,0.71,0.695,0.705,750300,MYR
2014-07-04,0.705,0.705,0.7,0.705,917800,MYR
2014-07-07,0.705,0.725,0.7,0.72,1918400,MYR
