Date,Open,High,Low,Close,Volume,Currency
2014-09-18,0.885,0.89,0.875,0.885,211500,MYR
2014-09-19,0.895,0.905,0.89,0.905,353900,MYR
2014-09-22,0.905,0.91,0.9,0.91,241500,MYR
2014-09-23,0.915,1.1,0.915,1.09,3245200,MYR
2014-09-24,1.04,1.04,0.96,1.02,2739600,MYR
2014-09-25,1.04,1.16,1.04,1.1,1617300,MYR
2014-09-26,1.08,1.11,1.06,1.09,469400,MYR
2014-09-29,1.1,1.13,1.05,1.07,628700,MYR
2014-09-30,1.06,1.06,1.01,1.02,539700,MYR
2014-10-01,1.02,1.02,0.985,1.0,446500,MYR
2014-10-02,0.99,0.99,0.95,0.98,289300,MYR
2014-10-03,0.98,0.98,0.94,0.965,204300,MYR
2014-10-07,0.965,0.975,0.915,0.955,263400,MYR
2014-10-08,0.93,0.93,0.88,0.93,223000,MYR
2014-10-09,0.93,0.945,0.9,0.93,194200,MYR
2014-10-10,0.9,0.925,0.9,0.905,110300,MYR
2014-10-13,0.905,0.91,0.885,0.885,474200,MYR
2014-10-14,0.885,0.9,0.885,0.9,49300,MYR
2014-10-15,0.915,0.915,0.9,0.9,27000,MYR
2014-10-16,0.88,0.895,0.875,0.895,495500,MYR
2014-10-17,0.895,0.945,0.895,0.93,414300,MYR
2014-10-20,0.95,0.955,0.93,0.945,858000,MYR
2014-10-21,0.94,0.94,0.925,0.935,1036600,MYR
2014-10-23,0.945,0.945,0.93,0.935,697500,MYR
2014-10-24,0.945,0.945,0.93,0.935,743500,MYR
2014-10-27,0.94,0.95,0.925,0.945,197500,MYR
2014-10-28,0.945,0.945,0.93,0.94,262500,MYR
2014-10-29,0.93,0.935,0.925,0.935,433000,MYR
2014-10-30,0.94,0.94,0.925,0.935,79200,MYR
2014-10-31,0.935,0.94,0.93,0.93,134000,MYR
2014-11-03,0.95,0.99,0.95,0.98,581100,MYR
2014-11-04,0.98,0.98,0.955,0.975,173300,MYR
2014-11-05,1.0,1.0,0.98,0.995,127000,MYR
2014-11-06,0.995,1.04,0.99,1.02,402400,MYR
2014-11-07,1.03,1.06,1.02,1.02,396400,MYR
2014-11-10,1.02,1.02,0.975,0.995,193300,MYR
2014-11-11,0.99,0.995,0.97,0.995,66000,MYR
2014-11-12,0.97,0.97,0.97,0.97,15000,MYR
2014-11-13,0.995,0.995,0.965,0.99,148000,MYR
2014-11-14,0.99,0.99,0.97,0.98,128000,MYR
2014-11-17,0.955,0.975,0.92,0.94,191000,MYR
2014-11-18,0.945,0.945,0.935,0.945,76000,MYR
2014-11-19,0.975,0.975,0.95,0.95,91000,MYR
2014-11-20,0.945,0.955,0.935,0.955,49000,MYR
2014-11-21,0.98,0.98,0.93,0.955,66000,MYR
2014-11-24,0.95,0.955,0.915,0.955,235000,MYR
2014-11-25,0.955,0.955,0.955,0.955,8000,MYR
2014-11-26,0.96,0.96,0.93,0.95,152000,MYR
2014-11-27,0.925,0.95,0.925,0.95,17000,MYR
2014-11-28,0.945,0.945,0.925,0.93,184500,MYR
2014-12-01,0.99,0.99,0.89,0.91,127700,MYR
2014-12-02,0.98,0.98,0.915,0.925,197000,MYR
2014-12-03,0.905,0.96,0.885,0.96,135500,MYR
2014-12-04,0.93,0.93,0.925,0.93,206000,MYR
2014-12-05,0.925,0.94,0.92,0.94,298400,MYR
2014-12-08,0.93,0.935,0.925,0.935,342000,MYR
2014-12-09,0.935,0.935,0.92,0.93,507000,MYR
2014-12-10,0.94,0.94,0.925,0.93,99000,MYR
2014-12-11,0.925,0.945,0.925,0.93,492300,MYR
2014-12-12,0.925,0.94,0.92,0.93,601000,MYR
2014-12-15,0.925,0.925,0.885,0.89,111500,MYR
2014-12-16,0.875,0.88,0.83,0.855,352500,MYR
2014-12-17,0.8,0.85,0.8,0.815,544000,MYR
2014-12-18,0.815,0.83,0.8,0.83,74300,MYR
2014-12-19,0.83,0.845,0.815,0.845,71000,MYR
2014-12-22,0.845,0.88,0.845,0.875,386000,MYR
2014-12-23,0.85,0.865,0.835,0.86,150000,MYR
2014-12-24,0.86,0.88,0.86,0.875,60600,MYR
2014-12-26,0.88,0.88,0.875,0.88,41400,MYR
2014-12-29,0.875,0.875,0.84,0.875,16100,MYR
2014-12-30,0.875,0.89,0.875,0.89,82400,MYR
2014-12-31,0.89,0.89,0.87,0.89,77700,MYR
2015-01-02,0.89,0.89,0.88,0.885,98800,MYR
2015-01-05,0.895,0.895,0.87,0.89,85100,MYR
2015-01-06,0.885,0.89,0.88,0.89,25000,MYR
2015-01-07,0.86,0.88,0.86,0.88,8000,MYR
2015-01-08,0.88,0.88,0.85,0.86,86000,MYR
2015-01-09,0.87,0.87,0.83,0.865,119000,MYR
2015-01-12,0.865,0.865,0.855,0.865,138000,MYR
2015-01-13,0.865,0.88,0.86,0.86,97000,MYR
2015-01-14,0.86,0.87,0.86,0.86,162400,MYR
2015-01-15,0.875,0.885,0.86,0.86,316000,MYR
2015-01-16,0.88,0.88,0.86,0.875,127200,MYR
2015-01-19,0.88,0.88,0.86,0.88,246800,MYR
2015-01-20,0.88,0.91,0.88,0.905,708400,MYR
2015-01-21,0.905,0.915,0.905,0.905,538600,MYR
2015-01-22,0.9,0.93,0.9,0.905,627300,MYR
2015-01-23,0.92,0.93,0.915,0.92,577600,MYR
2015-01-26,0.915,0.95,0.915,0.945,1081400,MYR
2015-01-27,0.95,0.97,0.945,0.97,1267900,MYR
2015-01-28,0.97,0.98,0.965,0.97,982400,MYR
2015-01-29,0.965,0.965,0.95,0.96,504800,MYR
2015-01-30,0.97,0.995,0.97,0.985,2189700,MYR
2015-02-04,1.0,1.0,0.98,0.99,753300,MYR
2015-02-05,1.0,1.01,0.97,0.98,654700,MYR
2015-02-06,0.99,0.99,0.965,0.99,528800,MYR
2015-02-09,0.99,0.99,0.95,0.97,210500,MYR
2015-02-10,0.95,0.975,0.95,0.96,240100,MYR
2015-02-11,0.95,0.95,0.92,0.935,601300,MYR
2015-02-12,0.92,0.92,0.89,0.92,264100,MYR
2015-02-13,0.925,0.94,0.91,0.935,214600,MYR
2015-02-16,0.945,0.96,0.935,0.94,138300,MYR
2015-02-17,0.96,0.96,0.93,0.945,94100,MYR
2015-02-18,0.95,0.95,0.925,0.95,74800,MYR
2015-02-23,0.95,0.97,0.95,0.955,355000,MYR
2015-02-24,0.965,0.965,0.945,0.955,243700,MYR
2015-02-25,0.945,0.95,0.94,0.95,138100,MYR
2015-02-26,0.95,0.96,0.93,0.955,309100,MYR
2015-02-27,0.935,0.94,0.925,0.94,78300,MYR
2015-03-02,0.965,0.965,0.94,0.955,98500,MYR
2015-03-03,0.955,0.955,0.935,0.94,140300,MYR
2015-03-04,0.93,0.935,0.92,0.935,183300,MYR
2015-03-05,0.91,0.92,0.895,0.915,377000,MYR
2015-03-06,0.905,0.915,0.895,0.91,247000,MYR
2015-03-09,0.9,0.92,0.9,0.905,222700,MYR
2015-03-10,0.93,0.93,0.9,0.905,584800,MYR
2015-03-11,0.915,0.915,0.895,0.9,60600,MYR
2015-03-12,0.9,0.905,0.89,0.9,98600,MYR
2015-03-13,0.905,0.905,0.89,0.9,124600,MYR
2015-03-16,0.895,0.895,0.88,0.89,111200,MYR
2015-03-17,0.89,0.89,0.855,0.86,547400,MYR
2015-03-18,0.86,0.89,0.86,0.87,122600,MYR
2015-03-19,0.87,0.89,0.87,0.88,46500,MYR
2015-03-20,0.88,0.895,0.88,0.885,109500,MYR
2015-03-23,0.885,0.895,0.88,0.895,99000,MYR
2015-03-24,0.88,0.89,0.87,0.87,116800,MYR
2015-03-25,0.885,0.89,0.865,0.89,98600,MYR
2015-03-26,0.89,0.89,0.875,0.89,55000,MYR
2015-03-27,0.88,0.89,0.87,0.89,78000,MYR
2015-03-30,0.88,0.895,0.88,0.89,71200,MYR
2015-03-31,0.89,0.895,0.88,0.89,71200,MYR
2015-04-01,0.895,0.895,0.87,0.87,173100,MYR
2015-04-02,0.88,0.885,0.86,0.88,123400,MYR
2015-04-03,0.86,0.87,0.84,0.845,550100,MYR
2015-04-06,0.855,0.855,0.83,0.84,240800,MYR
2015-04-07,0.845,0.86,0.84,0.86,95900,MYR
2015-04-08,0.85,0.865,0.84,0.845,273500,MYR
2015-04-09,0.85,0.85,0.83,0.845,86700,MYR
2015-04-10,0.84,0.845,0.83,0.835,262100,MYR
2015-04-13,0.83,0.835,0.825,0.835,118500,MYR
2015-04-14,0.83,0.83,0.825,0.825,166500,MYR
2015-04-15,0.825,0.845,0.82,0.83,289200,MYR
2015-04-16,0.845,0.845,0.835,0.845,112000,MYR
2015-04-17,0.845,0.87,0.845,0.87,119300,MYR
2015-04-20,0.88,0.93,0.88,0.91,280400,MYR
2015-04-21,0.91,0.925,0.895,0.92,174100,MYR
2015-04-22,0.91,0.92,0.91,0.92,176400,MYR
2015-04-23,0.92,0.92,0.91,0.92,68100,MYR
2015-04-24,0.92,0.92,0.895,0.9,344500,MYR
2015-04-27,0.915,0.915,0.885,0.9,161300,MYR
2015-04-28,0.89,0.9,0.86,0.885,160600,MYR
2015-04-29,0.885,0.89,0.875,0.88,60600,MYR
2015-04-30,0.895,0.895,0.88,0.885,97600,MYR
2015-05-05,0.885,0.89,0.885,0.885,211000,MYR
2015-05-06,0.895,0.895,0.885,0.895,60100,MYR
2015-05-07,0.895,0.9,0.88,0.885,103600,MYR
2015-05-08,0.885,0.91,0.885,0.91,37100,MYR
2015-05-11,0.91,0.91,0.885,0.9,63200,MYR
2015-05-12,0.9,0.9,0.88,0.895,133800,MYR
2015-05-13,0.885,0.895,0.885,0.895,33700,MYR
2015-05-14,0.885,0.895,0.88,0.895,84300,MYR
2015-05-15,0.885,0.9,0.885,0.9,69400,MYR
2015-05-18,0.885,0.89,0.88,0.88,222100,MYR
2015-05-19,0.885,0.885,0.87,0.88,147700,MYR
2015-05-20,0.875,0.885,0.875,0.88,125800,MYR
2015-05-21,0.86,0.88,0.86,0.875,60400,MYR
2015-05-22,0.85,0.87,0.85,0.86,193200,MYR
2015-05-25,0.865,0.865,0.835,0.835,115900,MYR
2015-05-26,0.845,0.845,0.83,0.83,83700,MYR
2015-05-27,0.85,0.85,0.82,0.82,52100,MYR
2015-05-28,0.83,0.835,0.815,0.835,84200,MYR
2015-05-29,0.825,0.835,0.82,0.835,18000,MYR
2015-06-01,0.84,0.84,0.815,0.835,142500,MYR
2015-06-02,0.835,0.85,0.835,0.85,101100,MYR
2015-06-03,0.84,0.85,0.835,0.85,75600,MYR
2015-06-04,0.84,0.84,0.835,0.835,63900,MYR
2015-06-05,0.845,0.855,0.845,0.855,81100,MYR
2015-06-08,0.85,0.855,0.835,0.835,147900,MYR
2015-06-09,0.885,0.885,0.835,0.855,9800,MYR
2015-06-10,0.87,0.87,0.84,0.85,13200,MYR
2015-06-11,0.85,0.85,0.83,0.83,95100,MYR
2015-06-12,0.83,0.845,0.83,0.84,92200,MYR
2015-06-15,0.835,0.85,0.835,0.85,64700,MYR
2015-06-16,0.845,0.86,0.84,0.845,183500,MYR
2015-06-17,0.85,0.855,0.845,0.85,269500,MYR
2015-06-18,0.85,0.855,0.835,0.845,234100,MYR
2015-06-19,0.85,0.89,0.845,0.88,297200,MYR
2015-06-22,0.88,0.91,0.88,0.89,130000,MYR
2015-06-23,0.9,0.9,0.875,0.9,173300,MYR
2015-06-24,0.9,0.9,0.875,0.9,117200,MYR
2015-06-25,0.895,0.895,0.885,0.89,53100,MYR
2015-06-26,0.9,0.9,0.885,0.89,100900,MYR
2015-06-29,0.895,0.895,0.85,0.88,372100,MYR
2015-06-30,0.875,0.875,0.845,0.86,85200,MYR
2015-07-01,0.85,0.88,0.85,0.88,75700,MYR
2015-07-02,0.86,0.885,0.86,0.885,256800,MYR
2015-07-03,0.865,0.88,0.86,0.88,40600,MYR
2015-07-06,0.885,0.9,0.875,0.88,45100,MYR
2015-07-07,0.885,0.885,0.855,0.87,143600,MYR
2015-07-08,0.86,0.87,0.85,0.85,136800,MYR
2015-07-09,0.87,0.87,0.85,0.87,62700,MYR
2015-07-10,0.88,0.88,0.85,0.86,264400,MYR
2015-07-13,0.88,0.88,0.85,0.86,314700,MYR
2015-07-14,0.87,0.87,0.85,0.86,521000,MYR
2015-07-15,0.865,0.87,0.85,0.86,310300,MYR
2015-07-16,0.87,0.87,0.855,0.87,94000,MYR
2015-07-20,0.86,0.88,0.86,0.875,255100,MYR
2015-07-21,0.875,0.875,0.87,0.875,248800,MYR
2015-07-22,0.87,0.88,0.87,0.88,156100,MYR
2015-07-23,0.88,0.9,0.88,0.9,529900,MYR
2015-07-24,0.9,0.95,0.9,0.95,947100,MYR
2015-07-27,0.96,1.0,0.96,0.98,1537800,MYR
2015-07-28,0.98,0.985,0.905,0.925,427600,MYR
2015-07-29,0.925,0.96,0.925,0.955,221200,MYR
2015-07-30,0.965,0.97,0.955,0.965,487600,MYR
2015-07-31,0.96,0.96,0.94,0.94,264600,MYR
2015-08-03,0.945,0.955,0.94,0.955,267700,MYR
2015-08-04,0.955,0.955,0.945,0.945,115000,MYR
2015-08-05,0.945,0.98,0.945,0.965,550700,MYR
2015-08-06,0.96,0.97,0.94,0.94,400200,MYR
2015-08-07,0.94,0.95,0.925,0.93,208200,MYR
2015-08-10,0.915,0.915,0.91,0.915,111300,MYR
2015-08-11,0.91,0.92,0.905,0.92,114200,MYR
2015-08-12,0.9,0.9,0.85,0.87,110000,MYR
2015-08-13,0.87,0.9,0.87,0.9,44000,MYR
2015-08-14,0.875,0.88,0.855,0.88,92200,MYR
2015-08-17,0.885,0.885,0.83,0.88,156700,MYR
2015-08-18,0.875,0.88,0.87,0.88,163500,MYR
2015-08-19,0.9,0.9,0.85,0.88,19300,MYR
2015-08-20,0.88,0.88,0.85,0.88,77200,MYR
2015-08-21,0.88,0.89,0.875,0.88,66000,MYR
2015-08-24,0.85,0.86,0.845,0.845,128200,MYR
2015-08-25,0.84,0.93,0.835,0.93,374800,MYR
2015-08-26,0.855,0.88,0.85,0.855,251700,MYR
2015-08-27,0.85,0.88,0.85,0.87,327000,MYR
2015-08-28,0.855,0.88,0.845,0.88,157000,MYR
2015-09-01,0.92,0.92,0.85,0.88,73600,MYR
2015-09-02,0.86,0.88,0.86,0.88,117400,MYR
2015-09-03,0.85,0.875,0.85,0.86,55000,MYR
2015-09-04,0.86,0.88,0.86,0.88,161000,MYR
2015-09-07,0.875,0.89,0.875,0.88,260900,MYR
2015-09-08,0.875,0.9,0.855,0.895,157800,MYR
2015-09-09,0.9,0.9,0.86,0.86,116300,MYR
2015-09-10,0.86,0.86,0.86,0.86,70800,MYR
2015-09-11,0.87,0.88,0.84,0.86,126600,MYR
2015-09-14,0.88,0.88,0.88,0.88,35500,MYR
2015-09-15,0.885,0.89,0.88,0.88,58400,MYR
2015-09-17,0.88,0.88,0.86,0.88,134100,MYR
2015-09-18,0.87,0.89,0.87,0.88,250500,MYR
2015-09-21,0.865,0.88,0.865,0.865,165500,MYR
2015-09-22,0.865,0.885,0.865,0.885,24000,MYR
2015-09-23,0.865,0.885,0.865,0.875,84200,MYR
2015-09-25,0.885,0.885,0.85,0.86,152600,MYR
2015-09-28,0.88,0.88,0.85,0.86,96500,MYR
2015-09-29,0.86,0.86,0.86,0.86,135700,MYR
2015-09-30,0.885,0.885,0.865,0.87,131500,MYR
2015-10-01,0.87,0.88,0.865,0.875,53000,MYR
2015-10-02,0.87,0.87,0.87,0.87,20000,MYR
2015-10-05,0.87,0.88,0.87,0.875,74500,MYR
2015-10-06,0.89,0.89,0.87,0.88,113600,MYR
2015-10-07,0.89,0.89,0.875,0.88,223100,MYR
2015-10-08,0.88,0.885,0.88,0.885,33000,MYR
2015-10-09,0.885,0.89,0.875,0.885,59500,MYR
2015-10-12,0.885,0.885,0.865,0.865,141000,MYR
2015-10-13,0.88,0.885,0.875,0.875,44300,MYR
2015-10-15,0.875,0.89,0.875,0.88,192700,MYR
2015-10-16,0.88,0.89,0.875,0.875,57400,MYR
2015-10-19,0.885,0.885,0.87,0.875,123000,MYR
2015-10-20,0.88,0.895,0.88,0.88,126500,MYR
2015-10-21,0.88,0.895,0.88,0.88,93700,MYR
2015-10-22,0.89,0.945,0.89,0.935,504000,MYR
2015-10-23,0.94,0.995,0.94,0.98,1551100,MYR
2015-10-26,0.985,1.02,0.985,1.01,1665600,MYR
2015-10-27,1.01,1.01,0.985,0.985,741100,MYR
2015-10-28,0.995,0.995,0.96,0.96,251200,MYR
2015-10-29,0.97,0.975,0.96,0.96,413300,MYR
2015-10-30,0.96,0.96,0.95,0.96,328400,MYR
2015-11-02,0.955,0.955,0.91,0.92,435800,MYR
2015-11-03,0.915,0.92,0.9,0.91,411000,MYR
2015-11-04,0.91,0.92,0.9,0.9,500400,MYR
2015-11-05,0.91,0.93,0.91,0.915,1019400,MYR
2015-11-06,0.92,0.95,0.91,0.94,2341400,MYR
2015-11-09,0.945,0.945,0.93,0.935,888100,MYR
2015-11-11,0.93,0.935,0.925,0.93,636700,MYR
2015-11-12,0.93,0.93,0.92,0.93,356200,MYR
2015-11-13,0.925,0.94,0.925,0.935,591200,MYR
2015-11-16,0.93,0.935,0.9,0.925,955900,MYR
2015-11-17,0.925,0.935,0.925,0.925,226600,MYR
2015-11-18,0.935,0.95,0.925,0.94,1419300,MYR
2015-11-19,0.945,1.2,0.925,1.19,5484000,MYR
2015-11-23,1.25,1.31,1.04,1.1,9895800,MYR
2015-11-24,1.1,1.18,1.1,1.16,2545800,MYR
2015-11-25,1.16,1.18,1.13,1.14,1126900,MYR
2015-11-26,1.14,1.22,1.13,1.2,3733800,MYR
2015-11-27,1.19,1.27,1.19,1.26,3096400,MYR
2015-11-30,1.27,1.27,1.19,1.24,1777400,MYR
2015-12-01,1.25,1.26,1.23,1.24,1367900,MYR
2015-12-02,1.23,1.24,1.2,1.2,1353200,MYR
2015-12-03,1.2,1.23,1.19,1.21,878900,MYR
2015-12-04,1.2,1.23,1.19,1.21,721900,MYR
2015-12-07,1.2,1.23,1.19,1.2,1211800,MYR
2015-12-08,1.19,1.2,1.16,1.18,993000,MYR
2015-12-09,1.16,1.17,1.12,1.15,2458400,MYR
2015-12-10,1.16,1.16,1.14,1.14,345200,MYR
2015-12-11,1.14,1.22,1.14,1.19,906600,MYR
2015-12-14,1.19,1.19,1.14,1.15,518400,MYR
