Date,Open,High,Low,Close,Volume,Currency
2014-09-18,1.36,1.38,1.35,1.36,802400,MYR
2014-09-19,1.37,1.46,1.37,1.44,2323900,MYR
2014-09-22,1.44,1.46,1.43,1.45,945500,MYR
2014-09-23,1.44,1.44,1.42,1.42,1011500,MYR
2014-09-24,1.42,1.44,1.42,1.42,1197800,MYR
2014-09-25,1.43,1.46,1.42,1.44,802300,MYR
2014-09-26,1.43,1.45,1.43,1.44,1355400,MYR
2014-09-29,1.44,1.44,1.39,1.4,207200,MYR
2014-09-30,1.4,1.43,1.34,1.41,1622800,MYR
2014-10-01,1.41,1.41,1.38,1.38,166200,MYR
2014-10-02,1.39,1.4,1.37,1.37,1314500,MYR
2014-10-03,1.39,1.4,1.37,1.4,1604400,MYR
2014-10-07,1.39,1.41,1.39,1.39,962000,MYR
2014-10-08,1.39,1.39,1.33,1.33,1137900,MYR
2014-10-09,1.34,1.36,1.32,1.33,993900,MYR
2014-10-10,1.31,1.31,1.22,1.25,4531600,MYR
2014-10-13,1.25,1.25,1.2,1.21,1340700,MYR
2014-10-14,1.19,1.19,1.11,1.18,4583600,MYR
2014-10-15,1.18,1.21,1.18,1.19,2218600,MYR
2014-10-16,1.15,1.15,1.05,1.07,5892900,MYR
2014-10-17,1.08,1.15,1.08,1.14,6098000,MYR
2014-10-20,1.17,1.26,1.17,1.24,7460500,MYR
2014-10-21,1.24,1.24,1.18,1.22,2491600,MYR
2014-10-23,1.22,1.31,1.19,1.3,4003900,MYR
2014-10-24,1.33,1.33,1.28,1.29,1044400,MYR
2014-10-27,1.3,1.31,1.29,1.3,689600,MYR
2014-10-28,1.29,1.3,1.27,1.28,937800,MYR
2014-10-29,1.27,1.32,1.27,1.27,2671000,MYR
2014-10-30,1.27,1.31,1.27,1.3,2553000,MYR
2014-10-31,1.3,1.32,1.29,1.32,1342400,MYR
2014-11-03,1.32,1.38,1.31,1.34,3922800,MYR
2014-11-04,1.34,1.34,1.3,1.3,2207700,MYR
2014-11-05,1.29,1.3,1.28,1.29,2060100,MYR
2014-11-06,1.3,1.3,1.23,1.25,3652900,MYR
2014-11-07,1.25,1.28,1.25,1.27,1157100,MYR
2014-11-10,1.27,1.28,1.25,1.25,2328800,MYR
2014-11-11,1.26,1.28,1.2,1.23,2781400,MYR
2014-11-12,1.2,1.26,1.2,1.21,728100,MYR
2014-11-13,1.24,1.24,1.18,1.18,3333800,MYR
2014-11-14,1.2,1.21,1.17,1.21,1744700,MYR
2014-11-17,1.22,1.26,1.22,1.24,2006000,MYR
2014-11-18,1.23,1.33,1.23,1.32,6113600,MYR
2014-11-19,1.32,1.43,1.32,1.39,17456400,MYR
2014-11-20,1.39,1.42,1.31,1.35,10284200,MYR
2014-11-21,1.36,1.38,1.32,1.35,6575500,MYR
2014-11-24,1.35,1.36,1.32,1.32,1560000,MYR
2014-11-25,1.33,1.33,1.27,1.29,1711100,MYR
2014-11-26,1.32,1.32,1.23,1.23,5779400,MYR
2014-11-27,1.23,1.23,1.2,1.22,992200,MYR
2014-11-28,1.19,1.19,1.15,1.17,2678200,MYR
2014-12-01,1.12,1.12,0.975,0.975,10849600,MYR
2014-12-02,1.01,1.06,0.995,1.04,4390800,MYR
2014-12-03,1.05,1.06,1.02,1.04,1817400,MYR
2014-12-04,1.04,1.05,1.01,1.02,2981300,MYR
2014-12-05,1.02,1.05,1.0,1.04,2306200,MYR
2014-12-08,1.03,1.04,1.01,1.03,1780100,MYR
2014-12-09,1.01,1.01,0.985,0.985,2538300,MYR
2014-12-10,1.0,1.01,0.97,0.97,1763400,MYR
2014-12-11,0.96,0.96,0.905,0.91,3353200,MYR
2014-12-12,0.905,0.91,0.845,0.89,2314200,MYR
2014-12-15,0.865,0.865,0.77,0.785,7617600,MYR
2014-12-16,0.77,0.8,0.75,0.76,3118600,MYR
2014-12-17,0.775,0.79,0.775,0.785,3173300,MYR
2014-12-18,0.8,0.84,0.795,0.835,7303600,MYR
2014-12-19,0.845,0.855,0.81,0.82,1445400,MYR
2014-12-22,0.84,0.895,0.835,0.88,4360300,MYR
2014-12-23,0.87,0.87,0.82,0.84,1957800,MYR
2014-12-24,0.85,0.85,0.83,0.84,489900,MYR
2014-12-26,0.84,0.84,0.825,0.825,341000,MYR
2014-12-29,0.825,0.84,0.815,0.82,1193300,MYR
2014-12-30,0.82,0.82,0.78,0.79,1173200,MYR
2014-12-31,0.795,0.805,0.79,0.795,1122300,MYR
2015-01-02,0.795,0.82,0.795,0.81,4106500,MYR
2015-01-05,0.805,0.805,0.76,0.765,3735800,MYR
2015-01-06,0.73,0.74,0.725,0.73,5259000,MYR
2015-01-07,0.73,0.74,0.72,0.725,1600700,MYR
2015-01-08,0.735,0.75,0.73,0.735,3071200,MYR
2015-01-09,0.75,0.755,0.735,0.745,4399300,MYR
2015-01-12,0.75,0.78,0.75,0.775,5709000,MYR
2015-01-13,0.765,0.775,0.755,0.755,4334400,MYR
2015-01-14,0.76,0.77,0.75,0.755,2408800,MYR
