Date,Open,High,Low,Close,Volume,Currency
2011-09-23,43.84,43.84,42.98,42.98,67800,MYR
2011-09-26,42.98,44.6,42.88,44.6,63000,MYR
2011-09-27,44.4,44.44,43.92,44.02,206600,MYR
2011-09-28,44.28,44.98,43.44,44.6,150100,MYR
2011-09-29,44.68,44.86,44.52,44.6,168400,MYR
2011-09-30,44.8,44.8,44.6,44.68,155500,MYR
2011-10-03,44.7,44.86,43.78,44.12,136000,MYR
2011-10-04,44.12,44.2,43.42,43.42,93700,MYR
2011-10-05,43.98,43.98,43.52,43.84,180700,MYR
2011-10-06,43.7,43.8,43.44,43.58,96000,MYR
2011-10-07,43.58,43.78,43.5,43.5,84500,MYR
2011-10-10,43.5,44.0,43.4,43.54,40600,MYR
2011-10-11,43.98,44.0,43.5,43.5,114300,MYR
2011-10-12,43.6,44.0,43.58,43.6,273100,MYR
2011-10-13,43.66,44.9,43.66,44.5,205400,MYR
2011-10-14,44.82,44.82,44.4,44.66,85500,MYR
2011-10-17,44.9,44.98,44.08,44.9,81600,MYR
2011-10-18,44.9,45.0,44.3,44.8,59500,MYR
2011-10-19,44.8,45.06,43.52,43.6,348700,MYR
2011-10-20,43.7,43.76,43.3,43.6,325900,MYR
2011-10-21,43.72,44.5,43.7,44.44,174900,MYR
2011-10-24,44.68,44.98,44.68,44.98,407600,MYR
2011-10-25,44.94,44.94,44.86,44.9,155900,MYR
2011-10-27,45.14,45.42,45.12,45.3,275000,MYR
2011-10-28,45.9,46.22,45.5,46.22,276000,MYR
2011-10-31,46.2,46.9,45.84,46.3,443300,MYR
2011-11-01,46.0,46.8,45.5,45.58,82300,MYR
2011-11-02,45.94,46.28,45.4,46.0,166900,MYR
2011-11-03,46.46,46.46,45.4,46.2,93100,MYR
2011-11-04,46.42,46.78,46.1,46.18,115000,MYR
2011-11-08,46.56,46.56,46.18,46.2,103900,MYR
2011-11-09,46.54,46.68,46.12,46.6,169500,MYR
2011-11-10,45.48,46.3,45.48,46.1,39700,MYR
2011-11-11,46.0,46.1,45.64,45.7,55300,MYR
2011-11-14,46.0,46.04,45.9,45.98,100300,MYR
2011-11-15,45.98,46.7,45.88,46.7,73200,MYR
2011-11-16,46.7,47.0,46.08,47.0,51500,MYR
2011-11-17,46.54,46.54,46.22,46.3,20600,MYR
2011-11-18,46.36,47.0,46.36,46.7,54500,MYR
2011-11-21,47.14,47.14,46.5,46.68,115600,MYR
2011-11-22,47.0,47.0,46.7,46.78,125400,MYR
2011-11-23,46.7,47.5,46.68,47.5,70500,MYR
2011-11-24,47.4,47.4,46.9,47.24,283000,MYR
2011-11-25,47.24,47.28,45.2,45.4,68900,MYR
2011-11-29,46.0,46.64,45.86,45.9,205700,MYR
2011-11-30,45.9,46.84,45.7,46.5,200000,MYR
2011-12-01,47.44,48.2,46.68,48.1,123400,MYR
2011-12-02,48.1,48.2,47.1,47.1,194300,MYR
2011-12-05,47.32,48.1,47.32,48.1,157700,MYR
2011-12-06,47.7,48.04,47.3,47.96,80700,MYR
2011-12-07,48.0,48.02,47.96,48.0,282300,MYR
2011-12-08,48.0,48.0,47.18,47.4,55900,MYR
2011-12-09,47.1,47.98,46.9,47.3,43500,MYR
2011-12-12,47.28,47.88,47.04,47.2,65000,MYR
2011-12-13,47.1,48.7,47.1,48.7,100800,MYR
2011-12-14,48.2,48.98,48.1,48.98,114700,MYR
2011-12-15,48.9,49.0,48.0,49.0,127400,MYR
2011-12-16,49.3,49.3,49.0,49.1,143000,MYR
2011-12-19,49.1,49.44,48.86,49.4,51900,MYR
2011-12-20,49.3,49.36,47.64,48.0,103300,MYR
2011-12-21,48.2,49.38,47.94,47.96,69000,MYR
2011-12-22,48.2,48.2,47.68,47.88,115800,MYR
2011-12-23,48.0,49.44,48.0,49.2,53500,MYR
2011-12-27,49.2,49.2,48.96,49.0,39200,MYR
