Date,Open,High,Low,Close,Volume,Currency
2013-11-19,1.327,1.377,1.129,1.271,19410200,MYR
2013-11-20,1.264,1.264,1.129,1.129,5880000,MYR
2013-11-21,1.137,1.137,1.031,1.087,11020900,MYR
2013-11-22,1.087,1.122,1.031,1.045,3752700,MYR
2013-11-25,1.052,1.08,1.002,1.016,4740800,MYR
2013-11-26,1.031,1.122,0.981,1.101,12138400,MYR
2013-11-27,1.094,1.101,1.066,1.094,4573900,MYR
2013-11-28,1.094,1.094,1.073,1.08,3849000,MYR
2013-11-29,1.08,1.101,1.073,1.073,5923400,MYR
2013-12-02,1.08,1.08,1.045,1.045,891900,MYR
2013-12-03,1.052,1.094,1.045,1.045,5232900,MYR
2013-12-04,1.045,1.221,1.045,1.165,15649800,MYR
2013-12-05,1.172,1.355,1.172,1.271,27701900,MYR
2013-12-06,1.271,1.313,1.2,1.207,8725500,MYR
2013-12-09,1.256,1.299,1.228,1.235,7838500,MYR
2013-12-10,1.242,1.242,1.179,1.179,6072400,MYR
2013-12-11,1.193,1.264,1.193,1.235,8454200,MYR
2013-12-12,1.235,1.256,1.207,1.221,1556700,MYR
2013-12-13,1.228,1.228,1.179,1.186,2565800,MYR
2013-12-16,1.214,1.214,1.137,1.143,2073000,MYR
2013-12-17,1.151,1.207,1.151,1.179,4628700,MYR
2013-12-18,1.179,1.2,1.158,1.165,1493900,MYR
2013-12-19,1.179,1.179,1.143,1.151,1216900,MYR
2013-12-20,1.151,1.151,1.122,1.143,1319400,MYR
2013-12-23,1.129,1.151,1.115,1.129,1225400,MYR
2013-12-24,1.129,1.151,1.129,1.151,568000,MYR
2013-12-26,1.137,1.193,1.137,1.193,1891300,MYR
2013-12-27,1.193,1.207,1.179,1.193,1050800,MYR
2013-12-30,1.2,1.2,1.172,1.172,793800,MYR
2013-12-31,1.186,1.193,1.165,1.165,632400,MYR
2014-01-02,1.165,1.172,1.129,1.143,1262800,MYR
2014-01-03,1.158,1.158,1.122,1.143,2914700,MYR
2014-01-06,1.143,1.158,1.129,1.129,752100,MYR
2014-01-07,1.151,1.165,1.129,1.158,1747600,MYR
2014-01-08,1.165,1.242,1.158,1.228,4748100,MYR
2014-01-09,1.228,1.235,1.179,1.193,3806200,MYR
2014-01-10,1.193,1.2,1.186,1.186,387500,MYR
2014-01-13,1.193,1.235,1.193,1.221,3092000,MYR
2014-01-15,1.221,1.228,1.186,1.186,1757000,MYR
2014-01-16,1.214,1.299,1.193,1.278,8144200,MYR
2014-01-20,1.278,1.341,1.256,1.306,3072700,MYR
2014-01-21,1.306,1.334,1.271,1.271,753800,MYR
2014-01-22,1.285,1.341,1.256,1.313,2890200,MYR
2014-01-23,1.32,1.398,1.306,1.313,4538100,MYR
2014-01-24,1.327,1.334,1.292,1.299,817700,MYR
2014-01-27,1.299,1.327,1.256,1.292,947000,MYR
2014-01-28,1.292,1.327,1.292,1.299,435800,MYR
2014-01-29,1.299,1.348,1.299,1.341,907200,MYR
2014-01-30,1.313,1.362,1.306,1.362,419300,MYR
2014-02-04,1.348,1.348,1.313,1.327,691600,MYR
2014-02-05,1.334,1.334,1.313,1.313,54900,MYR
2014-02-06,1.313,1.341,1.299,1.341,381500,MYR
2014-02-07,1.341,1.348,1.334,1.348,784000,MYR
2014-02-10,1.348,1.348,1.292,1.299,973600,MYR
2014-02-11,1.313,1.327,1.292,1.327,651100,MYR
2014-02-12,1.327,1.334,1.292,1.313,766100,MYR
2014-02-13,1.299,1.327,1.299,1.32,304500,MYR
2014-02-14,1.32,1.32,1.299,1.299,506800,MYR
2014-02-17,1.299,1.306,1.292,1.306,407700,MYR
2014-02-18,1.292,1.306,1.292,1.292,333500,MYR
2014-02-19,1.306,1.306,1.292,1.292,3174400,MYR
2014-02-20,1.299,1.299,1.256,1.256,705300,MYR
2014-02-21,1.256,1.271,1.249,1.256,772500,MYR
2014-02-24,1.256,1.306,1.256,1.271,2009600,MYR
2014-02-25,1.292,1.313,1.271,1.271,1556700,MYR
2014-02-26,1.271,1.285,1.242,1.249,625000,MYR
2014-02-27,1.271,1.278,1.256,1.278,386800,MYR
2014-02-28,1.256,1.271,1.228,1.228,1075100,MYR
2014-03-03,1.235,1.264,1.235,1.235,960500,MYR
2014-03-04,1.228,1.271,1.228,1.271,276500,MYR
2014-03-05,1.264,1.313,1.256,1.306,1025400,MYR
2014-03-06,1.313,1.313,1.285,1.299,513100,MYR
2014-03-07,1.292,1.299,1.256,1.271,712200,MYR
2014-03-10,1.278,1.327,1.271,1.313,1308400,MYR
2014-03-11,1.327,1.362,1.313,1.32,3594100,MYR
2014-03-12,1.327,1.334,1.306,1.306,393300,MYR
2014-03-13,1.313,1.313,1.271,1.278,561400,MYR
2014-03-14,1.271,1.292,1.264,1.292,466800,MYR
2014-03-17,1.292,1.292,1.285,1.285,339900,MYR
2014-03-18,1.306,1.306,1.271,1.285,94600,MYR
2014-03-19,1.271,1.292,1.271,1.278,180900,MYR
2014-03-20,1.271,1.278,1.256,1.271,205900,MYR
2014-03-21,1.278,1.299,1.271,1.285,504000,MYR
2014-03-24,1.285,1.292,1.278,1.285,146200,MYR
2014-03-25,1.271,1.299,1.271,1.285,1830400,MYR
2014-03-26,1.285,1.306,1.285,1.292,2204700,MYR
2014-03-27,1.299,1.299,1.285,1.292,3360800,MYR
2014-03-28,1.285,1.299,1.285,1.292,829100,MYR
2014-03-31,1.299,1.306,1.292,1.299,170900,MYR
2014-04-01,1.299,1.341,1.299,1.341,1232600,MYR
2014-04-02,1.341,1.377,1.327,1.369,2240100,MYR
2014-04-03,1.377,1.447,1.355,1.447,3801400,MYR
2014-04-04,1.447,1.581,1.447,1.518,5476100,MYR
2014-04-07,1.518,1.525,1.426,1.447,1299200,MYR
2014-04-08,1.468,1.56,1.468,1.546,2764000,MYR
2014-04-09,1.546,1.602,1.518,1.539,2058300,MYR
2014-04-10,1.546,1.553,1.518,1.546,771800,MYR
2014-04-11,1.546,1.574,1.518,1.567,950900,MYR
2014-04-14,1.567,1.574,1.539,1.567,534800,MYR
2014-04-15,1.567,1.574,1.546,1.567,1436500,MYR
2014-04-16,1.56,1.56,1.482,1.539,1152800,MYR
2014-04-17,1.553,1.553,1.511,1.518,212200,MYR
2014-04-18,1.504,1.532,1.496,1.504,1961700,MYR
2014-04-21,1.525,1.525,1.468,1.482,1337400,MYR
2014-04-22,1.482,1.482,1.412,1.44,3393500,MYR
2014-04-23,1.461,1.475,1.44,1.44,979400,MYR
2014-04-24,1.44,1.454,1.44,1.454,650200,MYR
2014-04-25,1.447,1.475,1.447,1.475,476100,MYR
2014-04-28,1.468,1.468,1.447,1.461,680400,MYR
2014-04-29,1.461,1.461,1.426,1.461,218000,MYR
2014-04-30,1.461,1.475,1.447,1.468,966700,MYR
2014-05-02,1.468,1.553,1.468,1.518,4296000,MYR
2014-05-05,1.532,1.532,1.496,1.496,463500,MYR
2014-05-06,1.496,1.504,1.489,1.496,1477700,MYR
2014-05-07,1.496,1.518,1.426,1.489,5588900,MYR
2014-05-08,1.489,1.489,1.447,1.454,979300,MYR
2014-05-09,1.461,1.489,1.454,1.482,784800,MYR
2014-05-12,1.482,1.496,1.468,1.475,434800,MYR
2014-05-14,1.475,1.504,1.461,1.475,1076600,MYR
2014-05-15,1.489,1.525,1.482,1.489,3250700,MYR
2014-05-16,1.482,1.496,1.482,1.496,1738500,MYR
2014-05-19,1.504,1.504,1.475,1.504,2723100,MYR
2014-05-20,1.504,1.518,1.482,1.518,2104900,MYR
2014-05-21,1.496,1.511,1.44,1.44,6260900,MYR
2014-05-22,1.44,1.454,1.426,1.447,1692200,MYR
2014-05-23,1.433,1.447,1.426,1.433,466800,MYR
2014-05-26,1.433,1.447,1.433,1.433,487200,MYR
2014-05-27,1.433,1.44,1.412,1.412,1871400,MYR
2014-05-28,1.419,1.447,1.412,1.433,1376600,MYR
2014-05-29,1.433,1.433,1.405,1.405,1136200,MYR
2014-05-30,1.419,1.44,1.412,1.433,3103100,MYR
2014-06-02,1.433,1.433,1.405,1.412,1838300,MYR
2014-06-03,1.419,1.433,1.412,1.419,1077700,MYR
2014-06-04,1.44,1.482,1.426,1.482,3919700,MYR
2014-06-05,1.489,1.546,1.489,1.546,5966900,MYR
2014-06-06,1.546,1.553,1.511,1.511,3208100,MYR
2014-06-09,1.525,1.553,1.518,1.539,2266200,MYR
2014-06-10,1.546,1.581,1.546,1.56,7963300,MYR
2014-06-11,1.574,1.638,1.574,1.631,7226900,MYR
2014-06-12,1.652,1.652,1.574,1.581,5560000,MYR
2014-06-13,1.595,1.645,1.595,1.617,7087100,MYR
2014-06-16,1.631,1.687,1.574,1.602,9069900,MYR
2014-06-17,1.609,1.638,1.609,1.638,4541500,MYR
2014-06-18,1.645,1.645,1.617,1.631,1043400,MYR
2014-06-19,1.631,1.659,1.623,1.645,1018800,MYR
2014-06-20,1.645,1.659,1.638,1.645,1014700,MYR
2014-06-23,1.645,1.645,1.631,1.645,643700,MYR
2014-06-24,1.645,1.666,1.645,1.666,747600,MYR
2014-06-25,1.666,1.666,1.645,1.645,2895300,MYR
2014-06-26,1.652,1.659,1.623,1.645,4923900,MYR
2014-06-27,1.659,1.659,1.645,1.652,2117900,MYR
2014-06-30,1.652,1.652,1.609,1.617,3444600,MYR
2014-07-01,1.617,1.623,1.595,1.595,4856500,MYR
2014-07-02,1.602,1.623,1.602,1.617,1913500,MYR
2014-07-03,1.623,1.631,1.609,1.623,3104800,MYR
2014-07-04,1.623,1.652,1.617,1.652,1885800,MYR
2014-07-07,1.652,1.68,1.645,1.673,3805600,MYR
2014-07-08,1.68,1.715,1.673,1.701,2089800,MYR
2014-07-09,1.701,1.744,1.694,1.744,1806300,MYR
2014-07-10,1.744,1.842,1.744,1.821,2965300,MYR
2014-07-11,1.828,1.828,1.744,1.744,3405900,MYR
2014-07-14,1.722,1.786,1.722,1.779,228600,MYR
2014-07-16,1.779,1.807,1.751,1.786,1451000,MYR
2014-07-17,1.8,1.814,1.751,1.758,2054200,MYR
2014-07-18,1.729,1.744,1.722,1.729,3081000,MYR
2014-07-21,1.744,1.765,1.736,1.736,1465800,MYR
2014-07-22,1.736,1.758,1.736,1.758,1509900,MYR
2014-07-23,1.765,1.765,1.715,1.722,2687600,MYR
2014-07-24,1.722,1.8,1.722,1.779,723200,MYR
2014-07-25,1.765,1.828,1.765,1.821,1297200,MYR
2014-07-30,1.821,1.842,1.8,1.821,1608200,MYR
2014-07-31,1.807,1.828,1.807,1.821,3333700,MYR
2014-08-01,1.807,1.814,1.779,1.807,1223200,MYR
2014-08-04,1.807,1.856,1.807,1.835,1637300,MYR
2014-08-05,1.849,1.899,1.849,1.899,4676000,MYR
2014-08-06,1.885,1.899,1.871,1.878,1680100,MYR
2014-08-07,1.871,1.878,1.807,1.807,4547900,MYR
2014-08-08,1.814,1.835,1.729,1.779,6587000,MYR
2014-08-11,1.821,1.821,1.765,1.793,1613400,MYR
2014-08-12,1.793,1.793,1.779,1.786,1019900,MYR
2014-08-13,1.772,1.821,1.772,1.821,1802900,MYR
2014-08-14,1.821,1.885,1.807,1.821,3937800,MYR
2014-08-15,1.842,1.906,1.842,1.906,2265800,MYR
2014-08-18,1.92,1.92,1.885,1.906,1153500,MYR
2014-08-19,1.899,1.906,1.878,1.885,712700,MYR
2014-08-20,1.871,1.906,1.863,1.899,1027900,MYR
2014-08-21,1.885,1.899,1.878,1.892,1475900,MYR
2014-08-22,1.885,1.899,1.878,1.878,700100,MYR
2014-08-25,1.899,1.934,1.885,1.934,2527000,MYR
2014-08-26,1.934,1.934,1.885,1.906,2225200,MYR
2014-08-27,1.878,1.892,1.814,1.835,4945900,MYR
2014-08-28,1.835,1.885,1.835,1.878,1927900,MYR
2014-08-29,1.871,1.878,1.828,1.878,1876700,MYR
2014-09-02,1.878,1.878,1.842,1.871,1057800,MYR
2014-09-03,1.849,1.892,1.849,1.892,2372000,MYR
2014-09-04,1.892,1.927,1.892,1.906,5013000,MYR
2014-09-05,1.913,2.012,1.906,1.998,7588000,MYR
2014-09-08,1.998,2.068,1.998,2.047,3378900,MYR
2014-09-09,2.061,2.082,2.019,2.033,2720300,MYR
2014-09-10,2.047,2.118,2.047,2.068,5632200,MYR
2014-09-11,2.089,2.125,2.082,2.118,4363000,MYR
2014-09-12,2.118,2.146,2.111,2.139,1177400,MYR
2014-09-15,2.139,2.16,2.118,2.118,2250600,MYR
2014-09-17,2.132,2.181,2.132,2.167,3330600,MYR
2014-09-18,2.181,2.308,2.181,2.287,7133800,MYR
2014-09-19,2.219,2.28,2.219,2.239,5491920,MYR
2014-09-22,2.287,2.287,2.171,2.199,2395400,MYR
2014-09-23,2.185,2.246,2.178,2.178,4396420,MYR
2014-09-24,2.212,2.239,2.178,2.239,2352840,MYR
2014-09-25,2.246,2.356,2.219,2.335,3494540,MYR
2014-09-26,2.349,2.349,2.267,2.321,1760920,MYR
2014-09-29,2.342,2.342,2.267,2.28,1365420,MYR
2014-09-30,2.294,2.362,2.294,2.349,2103080,MYR
2014-10-01,2.362,2.369,2.314,2.321,881020,MYR
2014-10-02,2.321,2.321,2.219,2.239,2068640,MYR
2014-10-03,2.239,2.274,2.151,2.158,1448020,MYR
2014-10-07,2.144,2.28,2.144,2.199,5045460,MYR
2014-10-08,2.171,2.219,2.035,2.116,6714960,MYR
2014-10-09,2.137,2.219,2.137,2.205,3415720,MYR
2014-10-10,2.144,2.192,2.11,2.171,1486380,MYR
2014-10-13,2.171,2.212,2.103,2.137,2099720,MYR
2014-10-14,2.13,2.185,2.082,2.164,2594620,MYR
2014-10-15,2.164,2.199,2.123,2.137,1543500,MYR
2014-10-16,2.11,2.137,2.076,2.103,4216100,MYR
2014-10-17,2.103,2.158,2.103,2.123,4869760,MYR
2014-10-20,2.158,2.212,2.144,2.212,1690640,MYR
2014-10-21,2.185,2.199,2.164,2.171,1270360,MYR
2014-10-23,2.158,2.226,2.151,2.205,1612380,MYR
2014-10-24,2.205,2.239,2.144,2.185,1965460,MYR
2014-10-27,2.185,2.205,2.178,2.192,781060,MYR
2014-10-28,2.212,2.246,2.199,2.246,787360,MYR
2014-10-29,2.253,2.308,2.233,2.287,1344700,MYR
