Date,Open,High,Low,Close,Volume,Currency
2013-02-15,0.395,0.395,0.395,0.395,1000,MYR
2013-02-18,0.375,0.4,0.375,0.4,12000,MYR
2013-02-19,0.4,0.41,0.395,0.41,38500,MYR
2013-02-20,0.38,0.4,0.38,0.4,3000,MYR
2013-02-21,0.4,0.405,0.4,0.405,50400,MYR
2013-02-27,0.4,0.4,0.4,0.4,1300,MYR
2013-02-28,0.39,0.4,0.39,0.4,4500,MYR
2013-03-01,0.36,0.395,0.36,0.395,7000,MYR
2013-03-04,0.39,0.395,0.375,0.395,29200,MYR
2013-03-05,0.375,0.4,0.37,0.4,119000,MYR
2013-03-06,0.39,0.4,0.39,0.4,10000,MYR
2013-03-08,0.385,0.395,0.385,0.395,26500,MYR
2013-03-11,0.4,0.405,0.395,0.4,120000,MYR
2013-03-13,0.39,0.4,0.39,0.4,19000,MYR
2013-03-14,0.395,0.4,0.39,0.4,33000,MYR
2013-03-21,0.4,0.405,0.395,0.405,124000,MYR
2013-03-22,0.39,0.4,0.39,0.4,8900,MYR
2013-03-27,0.385,0.4,0.385,0.4,4000,MYR
2013-03-28,0.39,0.4,0.39,0.4,45500,MYR
2013-04-02,0.4,0.405,0.4,0.405,69200,MYR
2013-04-03,0.415,0.43,0.405,0.41,1114400,MYR
2013-04-04,0.395,0.41,0.395,0.41,3000,MYR
2013-04-05,0.4,0.425,0.4,0.42,132400,MYR
2013-04-08,0.41,0.42,0.405,0.42,26000,MYR
2013-04-09,0.42,0.42,0.405,0.415,69000,MYR
2013-04-10,0.42,0.42,0.405,0.42,32000,MYR
2013-04-11,0.4,0.42,0.4,0.415,34000,MYR
2013-04-12,0.415,0.415,0.395,0.41,94000,MYR
2013-04-15,0.4,0.405,0.4,0.405,11000,MYR
2013-04-16,0.405,0.41,0.4,0.405,33000,MYR
2013-04-17,0.405,0.415,0.4,0.415,41400,MYR
2013-04-18,0.4,0.4,0.4,0.4,20000,MYR
2013-04-19,0.405,0.41,0.405,0.41,6000,MYR
2013-04-22,0.405,0.41,0.405,0.41,11000,MYR
2013-04-23,0.395,0.405,0.395,0.405,32000,MYR
2013-04-24,0.405,0.41,0.395,0.41,13000,MYR
2013-04-29,0.41,0.41,0.41,0.41,20000,MYR
2013-04-30,0.39,0.4,0.39,0.4,22000,MYR
2013-05-02,0.4,0.4,0.4,0.4,19000,MYR
2013-05-03,0.39,0.4,0.385,0.395,39000,MYR
2013-05-06,0.41,0.425,0.39,0.39,41100,MYR
2013-05-07,0.41,0.415,0.405,0.41,134000,MYR
2013-05-08,0.41,0.445,0.41,0.435,452200,MYR
2013-05-09,0.43,0.43,0.43,0.43,26000,MYR
2013-05-10,0.43,0.455,0.425,0.45,293400,MYR
2013-05-13,0.45,0.46,0.445,0.45,141500,MYR
2013-05-14,0.455,0.47,0.45,0.47,265800,MYR
2013-05-15,0.495,0.52,0.475,0.52,1898300,MYR
2013-05-16,0.52,0.53,0.5,0.51,114100,MYR
2013-05-17,0.49,0.525,0.49,0.525,218000,MYR
2013-05-20,0.53,0.59,0.53,0.58,750800,MYR
2013-05-21,0.6,0.615,0.59,0.595,573000,MYR
2013-05-22,0.595,0.595,0.55,0.56,258200,MYR
2013-05-23,0.54,0.54,0.51,0.51,311700,MYR
2013-05-27,0.51,0.545,0.51,0.535,145600,MYR
2013-05-28,0.535,0.57,0.535,0.56,54500,MYR
2013-05-29,0.57,0.58,0.56,0.565,107400,MYR
2013-05-30,0.53,0.56,0.53,0.545,51900,MYR
