Date,Open,High,Low,Close,Volume,Currency
2013-03-25,0.852,0.859,0.833,0.852,65869,MYR
2013-03-26,0.839,0.839,0.839,0.839,9365,MYR
2013-03-27,0.833,0.833,0.833,0.833,1873,MYR
2013-04-02,0.833,0.833,0.833,0.833,1873,MYR
2013-04-03,0.833,0.833,0.814,0.814,18731,MYR
2013-04-04,0.833,0.833,0.833,0.833,2810,MYR
2013-04-05,0.833,0.833,0.833,0.833,7804,MYR
2013-04-08,0.827,0.833,0.827,0.833,10614,MYR
2013-04-09,0.839,0.884,0.833,0.884,9521,MYR
2013-04-10,0.884,0.884,0.884,0.884,15609,MYR
2013-04-11,0.871,0.871,0.871,0.871,31686,MYR
2013-04-12,0.884,0.897,0.871,0.871,71957,MYR
2013-04-19,0.878,0.884,0.846,0.884,2341,MYR
2013-04-22,0.859,0.859,0.859,0.859,3902,MYR
2013-04-24,0.859,0.884,0.859,0.884,2029,MYR
2013-04-26,0.884,0.897,0.852,0.89,44329,MYR
2013-04-29,0.89,0.89,0.884,0.884,28096,MYR
2013-04-30,0.884,0.884,0.884,0.884,14048,MYR
2013-05-03,0.865,0.897,0.859,0.897,34496,MYR
2013-05-06,0.903,1.012,0.903,0.967,109262,MYR
2013-05-07,0.929,0.967,0.929,0.961,122217,MYR
2013-05-08,0.948,0.948,0.929,0.929,76483,MYR
2013-05-09,0.961,0.974,0.961,0.967,127993,MYR
2013-05-10,0.98,1.025,0.98,1.019,83976,MYR
2013-05-13,1.025,1.128,1.025,1.128,239128,MYR
2013-05-14,1.147,1.147,1.089,1.102,116598,MYR
2013-05-15,1.108,1.108,1.089,1.089,78044,MYR
2013-05-16,1.089,1.089,1.083,1.089,122842,MYR
2013-05-17,1.121,1.121,1.108,1.115,376486,MYR
2013-05-20,1.128,1.172,1.128,1.166,461554,MYR
2013-05-21,1.204,1.204,1.185,1.198,305153,MYR
2013-05-22,1.198,1.204,1.14,1.16,197608,MYR
2013-05-23,1.153,1.153,1.115,1.128,168576,MYR
2013-05-27,1.128,1.134,1.121,1.128,45422,MYR
2013-05-28,1.134,1.166,1.128,1.128,27315,MYR
2013-05-29,1.166,1.166,1.147,1.166,75079,MYR
2013-05-30,1.14,1.14,1.14,1.14,24974,MYR
2013-06-03,1.147,1.166,1.147,1.147,56192,MYR
2013-06-04,1.134,1.14,1.128,1.128,53851,MYR
2013-06-05,1.128,1.147,1.121,1.14,67118,MYR
2013-06-06,1.14,1.14,1.121,1.121,45266,MYR
2013-06-07,1.128,1.153,1.128,1.153,78981,MYR
2013-06-10,1.128,1.128,1.102,1.102,66338,MYR
2013-06-11,1.102,1.102,1.095,1.095,23413,MYR
2013-06-13,1.089,1.089,1.063,1.063,24662,MYR
2013-06-14,1.07,1.083,1.07,1.083,22321,MYR
2013-06-18,1.076,1.076,1.076,1.076,15609,MYR
2013-06-19,1.089,1.089,1.07,1.07,20292,MYR
2013-06-20,1.038,1.07,1.038,1.07,34964,MYR
2013-06-21,1.063,1.07,1.063,1.063,80230,MYR
2013-06-24,1.038,1.038,1.038,1.038,6244,MYR
2013-06-25,1.032,1.032,1.025,1.025,20292,MYR
2013-06-26,1.025,1.025,1.025,1.025,15609,MYR
2013-06-27,1.057,1.121,1.044,1.044,12799,MYR
2013-06-28,1.038,1.038,1.032,1.032,23413,MYR
2013-07-02,1.038,1.044,1.025,1.025,10926,MYR
2013-07-03,1.025,1.025,1.019,1.019,42144,MYR
2013-07-04,1.038,1.089,1.025,1.051,27159,MYR
2013-07-05,1.032,1.032,1.032,1.032,12175,MYR
2013-07-09,1.012,1.051,1.012,1.025,34339,MYR
2013-07-10,1.025,1.025,1.019,1.025,35588,MYR
2013-07-11,0.999,1.051,0.999,0.999,9521,MYR
2013-07-12,1.025,1.025,1.025,1.025,31218,MYR
2013-07-15,1.025,1.025,1.025,1.025,53851,MYR
2013-07-16,1.025,1.057,1.025,1.038,40739,MYR
2013-07-17,1.038,1.038,1.032,1.032,45110,MYR
2013-07-18,1.038,1.044,1.032,1.032,81634,MYR
2013-07-19,1.044,1.044,1.032,1.032,54475,MYR
2013-07-22,1.044,1.102,1.044,1.076,316860,MYR
2013-07-23,1.083,1.095,1.057,1.057,186994,MYR
2013-07-25,1.083,1.083,1.063,1.063,56972,MYR
2013-07-26,1.063,1.063,1.063,1.063,48075,MYR
2013-07-29,1.063,1.063,0.993,0.999,17170,MYR
2013-07-30,1.019,1.032,1.019,1.032,34339,MYR
2013-07-31,1.025,1.025,1.025,1.025,10926,MYR
2013-08-01,1.032,1.032,1.032,1.032,1873,MYR
2013-08-02,1.032,1.032,1.032,1.032,1873,MYR
2013-08-05,1.038,1.063,1.038,1.063,12019,MYR
2013-08-06,1.057,1.089,1.057,1.089,4995,MYR
2013-08-12,1.032,1.032,1.032,1.032,7492,MYR
2013-08-13,1.032,1.032,1.032,1.032,10926,MYR
2013-08-14,1.038,1.038,1.038,1.038,937,MYR
2013-08-15,1.051,1.095,1.051,1.095,253176,MYR
