Date,Open,High,Low,Close,Volume,Currency
2013-02-18,0.3,0.3,0.3,0.3,5500,MYR
2013-02-19,0.275,0.295,0.275,0.295,3500,MYR
2013-02-20,0.275,0.28,0.275,0.28,12000,MYR
2013-02-22,0.28,0.3,0.28,0.3,4600,MYR
2013-02-25,0.275,0.3,0.275,0.3,25000,MYR
2013-02-26,0.28,0.3,0.28,0.3,6200,MYR
2013-02-27,0.275,0.29,0.27,0.285,218600,MYR
2013-02-28,0.26,0.275,0.255,0.275,48500,MYR
2013-03-01,0.275,0.275,0.275,0.275,11000,MYR
2013-03-04,0.255,0.275,0.255,0.27,50600,MYR
2013-03-05,0.26,0.26,0.26,0.26,20000,MYR
2013-03-06,0.26,0.265,0.255,0.26,72400,MYR
2013-03-08,0.275,0.275,0.275,0.275,18000,MYR
2013-03-11,0.255,0.27,0.255,0.27,6100,MYR
2013-03-12,0.255,0.27,0.255,0.265,29600,MYR
2013-03-13,0.255,0.265,0.255,0.265,24100,MYR
2013-03-14,0.265,0.265,0.26,0.26,32000,MYR
2013-03-15,0.29,0.29,0.26,0.27,11300,MYR
2013-03-19,0.27,0.275,0.27,0.275,49900,MYR
2013-03-20,0.26,0.26,0.26,0.26,7000,MYR
2013-03-25,0.29,0.29,0.29,0.29,100,MYR
2013-03-27,0.26,0.26,0.26,0.26,8000,MYR
2013-03-29,0.27,0.28,0.245,0.255,18000,MYR
2013-04-01,0.315,0.315,0.255,0.255,20800,MYR
2013-04-02,0.28,0.28,0.255,0.28,5200,MYR
2013-04-03,0.3,0.3,0.25,0.285,26200,MYR
2013-04-04,0.32,0.32,0.255,0.255,8000,MYR
2013-04-05,0.26,0.26,0.26,0.26,17500,MYR
2013-04-08,0.29,0.29,0.255,0.255,7000,MYR
2013-04-09,0.29,0.29,0.29,0.29,100,MYR
2013-04-12,0.26,0.26,0.26,0.26,90000,MYR
2013-04-15,0.255,0.265,0.25,0.255,78800,MYR
2013-04-16,0.245,0.265,0.245,0.265,24100,MYR
2013-04-17,0.25,0.265,0.25,0.265,10100,MYR
2013-04-18,0.27,0.27,0.25,0.265,12100,MYR
2013-04-19,0.25,0.26,0.245,0.245,33500,MYR
2013-04-22,0.245,0.275,0.245,0.26,12800,MYR
2013-04-23,0.245,0.255,0.245,0.25,80000,MYR
2013-04-24,0.245,0.245,0.245,0.245,9600,MYR
2013-04-25,0.265,0.265,0.245,0.245,10000,MYR
2013-04-26,0.28,0.28,0.28,0.28,300,MYR
2013-05-02,0.225,0.265,0.225,0.265,50100,MYR
2013-05-06,0.28,0.32,0.28,0.32,30000,MYR
2013-05-07,0.27,0.28,0.27,0.275,14000,MYR
2013-05-08,0.275,0.3,0.26,0.29,33800,MYR
2013-05-10,0.28,0.3,0.28,0.28,304900,MYR
2013-05-13,0.29,0.305,0.29,0.29,241700,MYR
2013-05-14,0.295,0.33,0.285,0.31,252100,MYR
2013-05-15,0.32,0.32,0.3,0.31,191000,MYR
2013-05-16,0.3,0.32,0.29,0.305,74700,MYR
2013-05-17,0.285,0.315,0.285,0.3,103200,MYR
2013-05-20,0.32,0.325,0.295,0.325,248300,MYR
2013-05-21,0.3,0.375,0.3,0.345,479900,MYR
2013-05-22,0.345,0.345,0.32,0.33,183700,MYR
2013-05-23,0.325,0.33,0.315,0.33,213500,MYR
2013-05-27,0.35,0.365,0.325,0.365,253000,MYR
2013-05-28,0.365,0.43,0.36,0.42,1620100,MYR
2013-05-29,0.435,0.445,0.395,0.41,2094700,MYR
2013-05-30,0.4,0.4,0.375,0.39,64700,MYR
2013-05-31,0.375,0.38,0.37,0.375,202000,MYR
2013-06-03,0.335,0.365,0.335,0.35,144800,MYR
2013-06-04,0.35,0.36,0.345,0.36,300500,MYR
2013-06-05,0.35,0.36,0.34,0.36,150500,MYR
2013-06-06,0.35,0.4,0.35,0.4,263500,MYR
2013-06-07,0.375,0.375,0.35,0.36,72800,MYR
2013-06-10,0.36,0.38,0.36,0.38,162900,MYR
2013-06-11,0.355,0.37,0.355,0.37,36000,MYR
2013-06-12,0.345,0.365,0.345,0.345,14500,MYR
2013-06-13,0.36,0.36,0.34,0.34,168300,MYR
2013-06-14,0.345,0.36,0.335,0.345,34100,MYR
2013-06-17,0.38,0.38,0.335,0.365,19200,MYR
2013-06-18,0.35,0.355,0.35,0.355,27000,MYR
2013-06-20,0.33,0.33,0.33,0.33,3200,MYR
2013-06-21,0.35,0.35,0.32,0.32,16100,MYR
2013-06-24,0.35,0.35,0.315,0.315,46500,MYR
2013-06-25,0.315,0.335,0.315,0.335,12500,MYR
2013-06-27,0.35,0.35,0.305,0.305,38400,MYR
2013-07-02,0.35,0.35,0.35,0.35,8400,MYR
2013-07-03,0.34,0.34,0.34,0.34,5000,MYR
2013-07-05,0.35,0.35,0.315,0.33,59400,MYR
2013-07-10,0.3,0.33,0.3,0.33,62000,MYR
2013-07-11,0.35,0.35,0.33,0.34,35800,MYR
2013-07-12,0.34,0.355,0.34,0.34,137100,MYR
2013-07-15,0.33,0.335,0.33,0.335,42000,MYR
2013-07-16,0.38,0.38,0.335,0.35,19500,MYR
2013-07-17,0.34,0.35,0.335,0.34,84800,MYR
2013-07-18,0.34,0.375,0.34,0.375,361700,MYR
2013-07-19,0.415,0.415,0.36,0.365,60500,MYR
2013-07-22,0.37,0.37,0.36,0.36,26000,MYR
2013-07-23,0.355,0.355,0.34,0.355,36700,MYR
2013-07-26,0.385,0.385,0.33,0.37,33000,MYR
2013-07-29,0.33,0.335,0.33,0.33,76300,MYR
2013-07-30,0.325,0.35,0.305,0.35,10600,MYR
2013-07-31,0.31,0.325,0.31,0.325,40200,MYR
2013-08-01,0.33,0.33,0.325,0.325,24400,MYR
2013-08-06,0.34,0.34,0.32,0.32,18000,MYR
2013-08-12,0.33,0.33,0.315,0.33,99300,MYR
2013-08-13,0.315,0.315,0.315,0.315,10000,MYR
2013-08-14,0.33,0.33,0.32,0.32,42600,MYR
2013-08-15,0.32,0.32,0.32,0.32,7800,MYR
2013-08-16,0.32,0.33,0.32,0.33,103400,MYR
2013-08-19,0.335,0.335,0.33,0.33,33400,MYR
2013-08-20,0.315,0.33,0.315,0.33,24800,MYR
2013-08-22,0.305,0.31,0.24,0.305,110700,MYR
2013-08-23,0.3,0.3,0.29,0.29,10000,MYR
2013-08-26,0.295,0.295,0.295,0.295,15000,MYR
2013-08-28,0.25,0.295,0.25,0.265,10700,MYR
2013-08-30,0.3,0.3,0.265,0.265,3200,MYR
2013-09-02,0.3,0.3,0.28,0.28,62900,MYR
2013-09-04,0.28,0.28,0.28,0.28,5000,MYR
2013-09-05,0.28,0.28,0.28,0.28,20000,MYR
2013-09-09,0.28,0.29,0.28,0.28,62500,MYR
2013-09-10,0.295,0.3,0.295,0.3,20100,MYR
2013-09-11,0.295,0.295,0.28,0.28,5800,MYR
2013-09-13,0.28,0.3,0.28,0.3,5200,MYR
2013-09-17,0.3,0.36,0.285,0.29,111700,MYR
2013-09-18,0.3,0.345,0.3,0.305,11000,MYR
2013-09-19,0.345,0.345,0.32,0.32,24900,MYR
2013-09-23,0.305,0.35,0.305,0.35,7100,MYR
2013-09-24,0.31,0.315,0.305,0.31,109600,MYR
2013-09-25,0.315,0.32,0.31,0.32,41100,MYR
2013-09-27,0.315,0.315,0.315,0.315,8700,MYR
2013-10-02,0.305,0.305,0.3,0.3,1500,MYR
2013-10-04,0.29,0.325,0.29,0.325,3100,MYR
2013-10-09,0.3,0.3,0.3,0.3,6000,MYR
2013-10-10,0.305,0.305,0.305,0.305,30000,MYR
2013-10-11,0.305,0.305,0.305,0.305,2000,MYR
2013-10-14,0.305,0.31,0.305,0.305,57500,MYR
2013-10-16,0.31,0.335,0.31,0.32,39100,MYR
2013-10-17,0.32,0.38,0.32,0.38,88000,MYR
2013-10-18,0.37,0.37,0.33,0.33,35100,MYR
2013-10-21,0.32,0.345,0.32,0.345,18400,MYR
2013-10-22,0.305,0.34,0.305,0.315,5700,MYR
