Date,Open,High,Low,Close,Volume,Currency
2015-04-15,0.2,0.211,0.2,0.211,47617600,MYR
2015-04-16,0.211,0.219,0.204,0.215,46055500,MYR
2015-04-17,0.215,0.285,0.211,0.285,238430704,MYR
2015-04-20,0.296,0.348,0.296,0.308,261483904,MYR
2015-04-21,0.308,0.33,0.308,0.315,61916000,MYR
2015-04-22,0.319,0.356,0.319,0.341,136291904,MYR
2015-04-23,0.348,0.352,0.33,0.33,61644000,MYR
2015-04-24,0.334,0.334,0.315,0.323,44633300,MYR
2015-04-27,0.323,0.33,0.296,0.304,28808000,MYR
2015-04-28,0.296,0.308,0.267,0.282,59928000,MYR
2015-04-29,0.282,0.293,0.256,0.293,74693904,MYR
2015-04-30,0.289,0.3,0.271,0.274,42473100,MYR
2015-05-05,0.278,0.282,0.259,0.259,20394100,MYR
2015-05-06,0.256,0.285,0.256,0.278,55496900,MYR
2015-05-07,0.274,0.282,0.259,0.271,45031000,MYR
2015-05-08,0.267,0.274,0.263,0.267,32539800,MYR
2015-05-11,0.267,0.271,0.248,0.252,26919600,MYR
2015-05-12,0.248,0.259,0.237,0.241,37207700,MYR
2015-05-13,0.241,0.256,0.241,0.248,28816500,MYR
2015-05-14,0.245,0.263,0.245,0.256,39259200,MYR
2015-05-15,0.259,0.263,0.256,0.256,23071900,MYR
2015-05-18,0.252,0.263,0.248,0.259,30896300,MYR
2015-05-19,0.259,0.285,0.259,0.274,75087696,MYR
2015-05-20,0.278,0.278,0.263,0.263,20449400,MYR
2015-05-21,0.263,0.271,0.252,0.256,15924500,MYR
2015-05-22,0.256,0.256,0.248,0.256,7178300,MYR
2015-05-25,0.256,0.256,0.234,0.237,31242500,MYR
2015-05-26,0.237,0.248,0.237,0.241,25256100,MYR
2015-05-27,0.237,0.241,0.237,0.241,10526700,MYR
2015-05-28,0.245,0.252,0.237,0.241,28333900,MYR
2015-05-29,0.241,0.241,0.226,0.226,19373500,MYR
2015-06-01,0.23,0.234,0.219,0.226,17036500,MYR
2015-06-02,0.226,0.237,0.226,0.234,16178100,MYR
2015-06-03,0.23,0.241,0.23,0.234,17595100,MYR
2015-06-04,0.234,0.237,0.226,0.234,8387400,MYR
2015-06-05,0.23,0.234,0.23,0.23,3358000,MYR
