Date,Open,High,Low,Close,Volume,Currency
2013-02-26,0.825,0.87,0.825,0.87,65300,MYR
2013-02-27,0.845,0.88,0.84,0.88,193000,MYR
2013-02-28,0.87,0.89,0.865,0.89,99600,MYR
2013-03-01,0.88,0.88,0.875,0.875,54000,MYR
2013-03-04,0.875,0.875,0.85,0.87,78500,MYR
2013-03-05,0.865,0.87,0.865,0.87,60000,MYR
2013-03-06,0.865,0.875,0.865,0.875,30000,MYR
2013-03-07,0.865,0.87,0.865,0.87,26000,MYR
2013-03-08,0.855,0.87,0.855,0.87,24000,MYR
2013-03-11,0.87,0.875,0.87,0.875,16500,MYR
2013-03-14,0.85,0.85,0.85,0.85,21000,MYR
2013-03-15,0.855,0.855,0.85,0.85,10000,MYR
2013-03-18,0.84,0.875,0.84,0.875,143500,MYR
2013-03-19,0.875,0.88,0.875,0.88,68000,MYR
2013-03-20,0.855,0.875,0.855,0.875,69000,MYR
2013-03-21,0.875,0.885,0.875,0.885,40000,MYR
2013-03-22,0.88,0.88,0.875,0.88,50000,MYR
2013-03-25,0.88,0.88,0.87,0.88,50000,MYR
2013-03-26,0.88,0.88,0.875,0.88,35000,MYR
2013-03-27,0.875,0.88,0.87,0.88,55000,MYR
2013-03-28,0.875,0.88,0.875,0.88,50000,MYR
2013-03-29,0.895,0.895,0.875,0.88,55000,MYR
2013-04-01,0.88,0.88,0.88,0.88,30000,MYR
2013-04-02,0.88,0.88,0.875,0.88,56000,MYR
2013-04-03,0.88,0.88,0.875,0.875,51000,MYR
2013-04-04,0.875,0.88,0.87,0.88,60000,MYR
2013-04-05,0.875,0.88,0.875,0.875,41000,MYR
2013-04-08,0.88,0.88,0.875,0.88,39000,MYR
2013-04-09,0.875,0.88,0.875,0.88,48000,MYR
2013-04-10,0.88,0.88,0.875,0.88,48000,MYR
2013-04-11,0.88,0.88,0.875,0.88,50000,MYR
2013-04-12,0.88,0.88,0.875,0.88,50000,MYR
2013-04-15,0.88,0.88,0.87,0.875,53000,MYR
2013-04-16,0.875,0.875,0.865,0.875,70000,MYR
2013-04-17,0.87,0.88,0.87,0.88,50000,MYR
2013-04-18,0.88,0.88,0.875,0.875,45200,MYR
2013-04-19,0.875,0.88,0.875,0.88,50000,MYR
2013-04-22,0.88,0.88,0.87,0.88,43000,MYR
2013-04-23,0.875,0.88,0.875,0.88,51800,MYR
2013-04-24,0.88,0.88,0.87,0.88,102100,MYR
2013-04-25,0.88,0.88,0.875,0.88,90000,MYR
2013-04-26,0.875,0.875,0.87,0.875,60000,MYR
2013-04-29,0.87,0.875,0.87,0.875,80000,MYR
2013-04-30,0.875,0.875,0.87,0.875,100000,MYR
2013-05-02,0.875,0.875,0.87,0.875,70000,MYR
2013-05-03,0.875,0.875,0.855,0.87,109000,MYR
2013-05-07,0.87,0.87,0.87,0.87,6000,MYR
2013-05-08,0.875,0.875,0.875,0.875,24000,MYR
2013-05-10,0.875,0.91,0.875,0.91,33000,MYR
2013-05-13,0.91,0.91,0.91,0.91,19800,MYR
2013-05-14,0.91,0.91,0.89,0.89,36200,MYR
2013-05-17,0.9,0.9,0.88,0.9,14000,MYR
2013-05-20,0.89,0.93,0.89,0.9,93200,MYR
2013-05-21,0.92,0.945,0.92,0.94,291700,MYR
2013-05-22,0.925,0.925,0.91,0.91,48800,MYR
2013-05-23,0.9,0.905,0.89,0.905,47600,MYR
2013-05-27,0.9,0.9,0.895,0.9,28000,MYR
2013-05-28,0.9,0.9,0.89,0.9,80000,MYR
2013-05-29,0.9,0.91,0.9,0.91,130800,MYR
2013-05-30,0.9,0.9,0.9,0.9,46000,MYR
2013-05-31,0.9,0.94,0.9,0.905,458000,MYR
2013-06-03,0.905,0.905,0.895,0.905,98000,MYR
2013-06-04,0.9,0.9,0.9,0.9,33900,MYR
2013-06-05,0.9,0.905,0.9,0.9,147000,MYR
2013-06-06,0.895,0.9,0.885,0.9,157000,MYR
2013-06-07,0.9,0.9,0.89,0.9,30000,MYR
2013-06-10,0.9,0.9,0.9,0.9,34000,MYR
2013-06-11,0.9,0.9,0.895,0.9,44000,MYR
2013-06-12,0.895,0.9,0.89,0.89,91100,MYR
2013-06-13,0.895,0.895,0.885,0.89,28000,MYR
2013-06-14,0.89,0.89,0.885,0.89,30500,MYR
2013-06-17,0.89,0.89,0.89,0.89,8000,MYR
2013-06-18,0.895,0.895,0.89,0.89,30000,MYR
2013-06-19,0.89,0.9,0.89,0.9,49300,MYR
2013-06-20,0.885,0.9,0.88,0.9,17000,MYR
2013-06-21,0.85,0.9,0.85,0.9,11100,MYR
2013-06-24,0.9,0.9,0.875,0.89,40000,MYR
2013-06-25,0.885,0.9,0.88,0.9,31000,MYR
2013-06-26,0.895,0.895,0.885,0.885,28000,MYR
2013-06-27,0.9,0.95,0.89,0.94,107100,MYR
2013-06-28,0.935,0.935,0.905,0.905,113500,MYR
2013-07-01,0.91,0.91,0.895,0.9,45100,MYR
2013-07-02,0.93,0.93,0.9,0.9,56900,MYR
2013-07-03,0.92,0.92,0.89,0.9,64700,MYR
2013-07-04,0.9,0.9,0.9,0.9,30000,MYR
2013-07-05,0.9,0.9,0.895,0.9,45000,MYR
2013-07-08,0.9,0.915,0.9,0.9,31300,MYR
2013-07-09,0.9,0.9,0.85,0.9,95000,MYR
2013-07-10,0.9,0.9,0.895,0.895,40000,MYR
2013-07-11,0.92,0.92,0.89,0.9,45200,MYR
2013-07-12,0.9,0.9,0.895,0.895,34000,MYR
2013-07-15,0.9,0.9,0.9,0.9,39000,MYR
2013-07-16,0.9,0.9,0.895,0.9,35000,MYR
2013-07-17,0.9,0.9,0.895,0.9,50000,MYR
2013-07-18,0.9,0.9,0.89,0.9,51000,MYR
2013-07-19,0.895,0.9,0.89,0.89,33200,MYR
2013-07-22,0.895,0.895,0.885,0.89,63500,MYR
2013-07-23,0.89,0.89,0.885,0.89,43500,MYR
2013-07-24,0.89,0.89,0.885,0.89,35000,MYR
2013-07-25,0.89,0.89,0.89,0.89,18500,MYR
2013-07-26,0.89,0.895,0.89,0.895,30000,MYR
2013-07-29,0.9,0.9,0.875,0.88,51300,MYR
2013-07-30,0.88,0.88,0.87,0.87,31100,MYR
2013-07-31,0.87,0.87,0.87,0.87,21300,MYR
2013-08-01,0.87,0.88,0.865,0.875,37000,MYR
2013-08-02,0.875,0.875,0.87,0.875,34000,MYR
2013-08-05,0.88,0.88,0.87,0.88,24000,MYR
2013-08-06,0.9,0.9,0.88,0.9,60000,MYR
2013-08-07,0.885,0.885,0.87,0.88,59100,MYR
2013-08-12,0.88,0.88,0.87,0.87,50600,MYR
2013-08-13,0.875,0.875,0.875,0.875,20000,MYR
2013-08-14,0.875,0.875,0.87,0.87,37600,MYR
2013-08-19,0.87,0.87,0.87,0.87,35000,MYR
2013-08-20,0.87,0.87,0.86,0.86,58100,MYR
2013-08-21,0.86,0.86,0.86,0.86,66800,MYR
2013-08-22,0.86,0.86,0.85,0.86,110000,MYR
2013-08-23,0.86,0.86,0.86,0.86,26000,MYR
2013-08-26,0.86,0.86,0.86,0.86,24000,MYR
2013-08-27,0.86,0.86,0.81,0.86,105000,MYR
2013-08-28,0.85,0.86,0.845,0.86,30000,MYR
2013-08-29,0.855,0.86,0.85,0.86,71000,MYR
2013-08-30,0.85,0.86,0.85,0.86,54000,MYR
2013-09-02,0.855,0.86,0.845,0.86,55000,MYR
2013-09-03,0.85,0.85,0.84,0.85,68000,MYR
2013-09-04,0.85,0.855,0.85,0.855,24000,MYR
2013-09-05,0.85,0.855,0.85,0.855,24000,MYR
2013-09-06,0.85,0.855,0.845,0.855,37000,MYR
2013-09-09,0.855,0.86,0.85,0.86,17000,MYR
2013-09-11,0.86,0.86,0.86,0.86,10000,MYR
2013-09-12,0.86,0.86,0.84,0.86,20000,MYR
2013-09-13,0.86,0.86,0.86,0.86,5000,MYR
2013-09-17,0.86,0.86,0.855,0.86,10000,MYR
2013-09-18,0.855,0.86,0.855,0.86,52800,MYR
2013-09-19,0.86,0.86,0.855,0.86,20000,MYR
2013-09-20,0.86,0.86,0.85,0.86,26400,MYR
2013-09-23,0.85,0.855,0.845,0.855,49500,MYR
2013-09-24,0.85,0.855,0.85,0.855,100200,MYR
2013-09-25,0.85,0.85,0.845,0.85,88400,MYR
2013-09-26,0.85,0.85,0.84,0.85,169200,MYR
2013-09-27,0.85,0.85,0.84,0.85,68100,MYR
2013-09-30,0.845,0.845,0.84,0.845,53100,MYR
2013-10-01,0.84,0.845,0.84,0.84,110100,MYR
2013-10-02,0.845,0.845,0.84,0.845,37000,MYR
2013-10-03,0.845,0.85,0.84,0.85,38500,MYR
2013-10-04,0.845,0.85,0.845,0.85,15000,MYR
2013-10-07,0.85,0.85,0.85,0.85,10000,MYR
2013-10-08,0.85,0.85,0.85,0.85,5000,MYR
2013-10-09,0.845,0.85,0.845,0.85,20000,MYR
2013-10-10,0.85,0.85,0.85,0.85,10000,MYR
2013-10-11,0.85,0.85,0.85,0.85,10000,MYR
2013-10-14,0.85,0.85,0.85,0.85,10000,MYR
2013-10-16,0.85,0.85,0.845,0.85,22000,MYR
2013-10-17,0.845,0.85,0.835,0.85,101000,MYR
2013-10-18,0.85,0.855,0.85,0.855,25000,MYR
2013-10-21,0.85,0.85,0.84,0.845,41100,MYR
2013-10-22,0.845,0.85,0.84,0.85,34000,MYR
2013-10-23,0.845,0.85,0.83,0.85,75200,MYR
2013-10-24,0.845,0.85,0.845,0.85,13000,MYR
2013-10-25,0.85,0.85,0.85,0.85,10100,MYR
2013-10-28,0.85,0.85,0.85,0.85,8100,MYR
2013-10-29,0.85,0.85,0.845,0.85,47000,MYR
2013-10-30,0.85,0.85,0.84,0.85,30000,MYR
2013-10-31,0.85,0.85,0.845,0.85,10000,MYR
2013-11-01,0.85,0.855,0.85,0.855,40200,MYR
2013-11-04,0.85,0.855,0.85,0.855,30000,MYR
2013-11-06,0.845,0.85,0.845,0.85,31200,MYR
2013-11-07,0.85,0.85,0.85,0.85,5000,MYR
2013-11-08,0.845,0.9,0.84,0.9,375800,MYR
2013-11-11,0.85,0.895,0.85,0.895,156200,MYR
2013-11-12,0.895,0.895,0.89,0.89,35300,MYR
2013-11-13,0.89,0.89,0.88,0.885,92500,MYR
2013-11-14,0.89,0.89,0.855,0.885,86900,MYR
2013-11-15,0.885,0.885,0.875,0.88,62800,MYR
2013-11-18,0.885,0.885,0.88,0.88,25800,MYR
2013-11-19,0.88,0.88,0.875,0.88,36000,MYR
2013-11-20,0.88,0.88,0.87,0.875,87000,MYR
2013-11-21,0.88,0.88,0.87,0.87,67100,MYR
2013-11-22,0.88,0.88,0.875,0.875,45000,MYR
2013-11-25,0.875,0.875,0.875,0.875,10000,MYR
2013-11-26,0.875,0.875,0.875,0.875,18500,MYR
2013-11-27,0.87,0.875,0.87,0.875,50000,MYR
2013-11-28,0.875,0.875,0.875,0.875,13000,MYR
2013-11-29,0.875,0.875,0.875,0.875,5000,MYR
2013-12-02,0.875,0.875,0.87,0.875,10000,MYR
2013-12-03,0.875,0.875,0.87,0.875,4700,MYR
2013-12-04,0.875,0.875,0.87,0.875,27700,MYR
2013-12-05,0.875,0.875,0.875,0.875,3800,MYR
2013-12-06,0.875,0.875,0.87,0.875,52800,MYR
2013-12-09,0.875,0.875,0.875,0.875,2800,MYR
2013-12-10,0.875,0.88,0.87,0.875,59000,MYR
2013-12-11,0.89,0.9,0.89,0.895,379000,MYR
2013-12-12,0.895,0.895,0.89,0.895,215000,MYR
2013-12-13,0.895,0.905,0.89,0.895,676000,MYR
2013-12-16,0.9,0.92,0.9,0.915,1551100,MYR
2013-12-17,0.915,0.915,0.89,0.89,584500,MYR
2013-12-18,0.885,0.885,0.875,0.88,374800,MYR
2013-12-19,0.875,0.88,0.85,0.87,1196900,MYR
2013-12-20,0.87,0.87,0.845,0.86,807000,MYR
2013-12-23,0.855,0.855,0.845,0.85,515500,MYR
2013-12-24,0.85,0.86,0.85,0.86,1653000,MYR
2013-12-26,0.86,0.86,0.85,0.85,2025000,MYR
2013-12-27,0.85,0.86,0.835,0.85,2548800,MYR
2013-12-30,0.86,1.01,0.86,0.99,7384100,MYR
2013-12-31,0.99,0.995,0.935,0.95,2164800,MYR
2014-01-02,0.95,0.955,0.91,0.915,671500,MYR
2014-01-03,0.91,0.96,0.905,0.93,1172000,MYR
2014-01-06,0.91,0.915,0.88,0.89,888000,MYR
2014-01-07,0.885,0.905,0.87,0.87,444400,MYR
2014-01-08,0.885,0.885,0.85,0.865,844100,MYR
2014-01-09,0.86,0.86,0.84,0.84,1063000,MYR
2014-01-10,0.845,0.855,0.845,0.855,256000,MYR
2014-01-13,0.855,0.855,0.845,0.845,387900,MYR
2014-01-15,0.845,0.855,0.835,0.84,558200,MYR
2014-01-16,0.84,0.84,0.825,0.835,480900,MYR
2014-01-20,0.845,0.845,0.835,0.835,123000,MYR
2014-01-21,0.835,0.835,0.805,0.81,622800,MYR
2014-01-22,0.83,0.83,0.82,0.825,289200,MYR
