Date,Open,High,Low,Close,Volume,Currency
2013-02-18,1.25,1.25,1.25,1.25,6700,MYR
2013-02-19,1.25,1.3,1.25,1.27,448000,MYR
2013-02-20,1.27,1.27,1.25,1.25,129000,MYR
2013-02-22,1.23,1.23,1.2,1.2,11000,MYR
2013-02-27,1.24,1.24,1.24,1.24,6000,MYR
2013-02-28,1.21,1.21,1.21,1.21,3600,MYR
2013-03-05,1.23,1.23,1.23,1.23,39100,MYR
2013-03-06,1.22,1.23,1.22,1.23,20800,MYR
2013-03-11,1.26,1.31,1.25,1.3,1379100,MYR
2013-03-12,1.31,1.38,1.31,1.37,961600,MYR
2013-03-13,1.38,1.4,1.36,1.38,422900,MYR
2013-03-14,1.37,1.39,1.37,1.39,843800,MYR
2013-03-15,1.42,1.42,1.38,1.4,723000,MYR
2013-03-18,1.41,1.41,1.39,1.41,769400,MYR
2013-03-19,1.4,1.41,1.4,1.41,853200,MYR
2013-03-20,1.35,1.36,1.35,1.35,135800,MYR
2013-03-21,1.37,1.37,1.37,1.37,91000,MYR
2013-03-22,1.37,1.37,1.37,1.37,80000,MYR
2013-03-25,1.36,1.37,1.36,1.37,7000,MYR
2013-03-27,1.35,1.35,1.35,1.35,2000,MYR
2013-03-28,1.36,1.38,1.36,1.38,20400,MYR
2013-04-01,1.35,1.35,1.33,1.33,7900,MYR
2013-04-02,1.33,1.33,1.33,1.33,10000,MYR
2013-04-03,1.3,1.35,1.24,1.35,19000,MYR
2013-04-04,1.34,1.34,1.34,1.34,27900,MYR
2013-04-09,1.34,1.34,1.34,1.34,36000,MYR
2013-04-12,1.35,1.36,1.35,1.35,36000,MYR
2013-04-15,1.34,1.38,1.34,1.36,30900,MYR
2013-04-16,1.35,1.35,1.34,1.34,4000,MYR
2013-04-17,1.36,1.42,1.36,1.42,199800,MYR
2013-04-18,1.4,1.42,1.4,1.41,71000,MYR
2013-04-19,1.4,1.4,1.4,1.4,20000,MYR
2013-04-23,1.38,1.4,1.38,1.4,39500,MYR
2013-04-24,1.4,1.44,1.4,1.43,85000,MYR
2013-04-25,1.44,1.44,1.43,1.43,31000,MYR
2013-04-26,1.43,1.43,1.41,1.43,254800,MYR
2013-04-29,1.43,1.43,1.38,1.38,15000,MYR
2013-04-30,1.36,1.36,1.35,1.35,8000,MYR
2013-05-03,1.35,1.36,1.35,1.36,305500,MYR
2013-05-06,1.7,1.7,1.35,1.45,34700,MYR
2013-05-07,1.46,1.52,1.46,1.52,137400,MYR
2013-05-08,1.52,1.52,1.49,1.51,51800,MYR
2013-05-09,1.5,1.5,1.49,1.5,24000,MYR
2013-05-10,1.5,1.66,1.5,1.66,302700,MYR
2013-05-13,1.67,1.82,1.67,1.8,479100,MYR
2013-05-14,1.76,1.78,1.75,1.78,142500,MYR
2013-05-15,1.78,1.81,1.77,1.81,97600,MYR
2013-05-16,1.71,1.76,1.69,1.76,15600,MYR
2013-05-20,1.76,1.78,1.76,1.78,12400,MYR
2013-05-21,1.78,1.81,1.78,1.81,533800,MYR
2013-05-22,1.78,1.78,1.78,1.78,10000,MYR
2013-05-27,1.69,1.69,1.69,1.69,6000,MYR
2013-05-28,1.78,1.78,1.71,1.71,1300,MYR
2013-05-30,1.71,1.71,1.6,1.71,54700,MYR
2013-05-31,1.68,1.68,1.65,1.65,8000,MYR
2013-06-04,1.65,1.66,1.65,1.66,16000,MYR
2013-06-05,1.66,1.68,1.66,1.68,21400,MYR
2013-06-06,1.69,1.73,1.68,1.73,443700,MYR
2013-06-07,1.74,1.74,1.71,1.71,17000,MYR
2013-06-10,1.72,1.75,1.72,1.75,16800,MYR
2013-06-11,1.8,1.8,1.72,1.72,2500,MYR
2013-06-12,1.75,1.75,1.71,1.72,40900,MYR
2013-06-13,1.73,1.73,1.73,1.73,35000,MYR
2013-06-14,1.74,1.95,1.74,1.78,448300,MYR
2013-06-17,1.79,1.8,1.78,1.78,33500,MYR
2013-06-18,1.78,1.78,1.75,1.77,64300,MYR
2013-06-19,1.77,1.77,1.76,1.77,42000,MYR
2013-06-20,1.75,1.75,1.72,1.72,10000,MYR
