Date,Open,High,Low,Close,Volume,Currency
2013-02-15,0.825,0.825,0.81,0.82,10300,MYR
2013-02-18,0.805,0.825,0.77,0.825,80100,MYR
2013-02-19,0.825,0.825,0.825,0.825,6000,MYR
2013-02-20,0.81,0.81,0.81,0.81,5000,MYR
2013-02-21,0.81,0.81,0.79,0.8,62000,MYR
2013-02-27,0.775,0.815,0.775,0.815,44000,MYR
2013-02-28,0.815,0.83,0.815,0.83,99000,MYR
2013-03-01,0.825,0.825,0.82,0.825,46000,MYR
2013-03-05,0.8,0.82,0.8,0.82,15600,MYR
2013-03-06,0.8,0.8,0.8,0.8,30000,MYR
2013-03-07,0.81,0.815,0.81,0.815,10000,MYR
2013-03-08,0.8,0.815,0.8,0.815,25500,MYR
2013-03-11,0.82,0.82,0.82,0.82,3000,MYR
2013-03-12,0.805,0.825,0.8,0.82,35700,MYR
2013-03-14,0.8,0.82,0.8,0.815,40000,MYR
2013-03-15,0.805,0.82,0.805,0.82,38000,MYR
2013-03-18,0.8,0.82,0.8,0.815,15700,MYR
2013-03-19,0.8,0.8,0.8,0.8,20000,MYR
2013-03-20,0.81,0.81,0.81,0.81,20000,MYR
2013-03-21,0.815,0.815,0.815,0.815,13700,MYR
2013-03-22,0.8,0.8,0.8,0.8,14000,MYR
2013-03-25,0.795,0.81,0.795,0.81,24000,MYR
2013-03-26,0.79,0.81,0.79,0.81,47000,MYR
2013-03-27,0.79,0.81,0.78,0.81,97600,MYR
2013-03-28,0.79,0.81,0.79,0.81,69300,MYR
2013-03-29,0.81,0.84,0.81,0.84,133000,MYR
2013-04-01,0.83,0.83,0.82,0.83,33000,MYR
2013-04-02,0.81,0.815,0.81,0.81,46600,MYR
2013-04-03,0.8,0.81,0.795,0.81,102400,MYR
2013-04-04,0.8,0.82,0.8,0.82,40000,MYR
2013-04-05,0.8,0.815,0.8,0.815,95100,MYR
2013-04-08,0.8,0.815,0.8,0.815,70700,MYR
2013-04-09,0.815,0.82,0.805,0.82,30100,MYR
2013-04-10,0.8,0.82,0.8,0.82,36000,MYR
2013-04-11,0.8,0.805,0.8,0.8,85000,MYR
2013-04-15,0.785,0.795,0.78,0.795,50000,MYR
2013-04-16,0.795,0.8,0.79,0.8,31000,MYR
2013-04-17,0.8,0.8,0.785,0.785,23500,MYR
2013-04-18,0.8,0.8,0.8,0.8,34000,MYR
2013-04-19,0.79,0.795,0.79,0.795,20000,MYR
2013-04-22,0.78,0.79,0.78,0.79,28600,MYR
2013-04-23,0.79,0.79,0.78,0.79,122000,MYR
2013-04-24,0.79,0.805,0.79,0.805,68000,MYR
2013-04-25,0.8,0.805,0.8,0.805,62800,MYR
2013-04-26,0.805,0.805,0.805,0.805,20000,MYR
2013-04-29,0.82,0.82,0.81,0.82,130000,MYR
2013-04-30,0.8,0.82,0.785,0.82,232500,MYR
2013-05-02,0.8,0.8,0.775,0.78,155800,MYR
2013-05-03,0.775,0.79,0.75,0.79,103000,MYR
2013-05-06,0.79,0.795,0.79,0.79,44000,MYR
2013-05-07,0.79,0.79,0.79,0.79,52400,MYR
2013-05-08,0.785,0.785,0.785,0.785,20000,MYR
2013-05-09,0.78,0.795,0.78,0.795,76000,MYR
2013-05-10,0.8,0.8,0.795,0.8,66500,MYR
2013-05-13,0.8,0.81,0.8,0.805,254000,MYR
2013-05-14,0.805,0.805,0.8,0.8,79000,MYR
2013-05-15,0.8,0.8,0.795,0.8,99000,MYR
2013-05-16,0.8,0.8,0.79,0.8,76000,MYR
2013-05-17,0.795,0.82,0.795,0.82,161000,MYR
2013-05-20,0.835,0.85,0.83,0.85,182100,MYR
2013-05-21,0.86,0.88,0.86,0.87,43400,MYR
2013-05-22,0.87,0.87,0.84,0.85,75100,MYR
2013-05-23,0.84,0.85,0.83,0.85,63000,MYR
2013-05-27,0.84,0.845,0.84,0.845,41100,MYR
2013-05-28,0.845,0.85,0.845,0.85,74300,MYR
2013-05-29,0.85,0.85,0.85,0.85,7000,MYR
2013-05-30,0.85,0.875,0.845,0.875,173000,MYR
2013-05-31,0.86,0.875,0.85,0.875,109500,MYR
2013-06-03,0.85,0.87,0.85,0.87,57900,MYR
2013-06-04,0.84,0.88,0.84,0.88,113800,MYR
2013-06-05,0.88,0.89,0.88,0.885,49700,MYR
2013-06-06,0.88,0.88,0.86,0.88,34600,MYR
2013-06-07,0.855,0.885,0.855,0.885,25200,MYR
2013-06-10,0.885,0.9,0.885,0.895,71600,MYR
2013-06-11,0.895,0.895,0.885,0.895,94800,MYR
2013-06-13,0.88,0.895,0.86,0.895,66000,MYR
2013-06-14,0.87,0.895,0.87,0.895,54000,MYR
2013-06-17,0.865,0.89,0.865,0.89,33000,MYR
2013-06-18,0.87,0.88,0.87,0.88,17000,MYR
2013-06-19,0.865,0.88,0.865,0.88,37200,MYR
2013-06-20,0.85,0.86,0.84,0.86,95000,MYR
2013-06-21,0.84,0.85,0.83,0.85,154000,MYR
2013-06-24,0.865,0.865,0.865,0.865,49000,MYR
2013-06-25,0.88,0.88,0.88,0.88,20000,MYR
2013-06-26,0.85,0.89,0.85,0.89,24000,MYR
2013-06-27,0.89,0.895,0.89,0.895,10000,MYR
2013-06-28,0.865,0.915,0.865,0.915,185400,MYR
2013-07-01,0.865,0.88,0.865,0.88,68800,MYR
2013-07-02,0.865,0.865,0.865,0.865,20000,MYR
2013-07-03,0.86,0.87,0.84,0.87,27800,MYR
2013-07-04,0.88,0.88,0.875,0.875,10300,MYR
2013-07-05,0.85,0.88,0.85,0.86,44000,MYR
2013-07-08,0.87,0.87,0.85,0.87,5100,MYR
2013-07-09,0.86,0.88,0.86,0.86,59600,MYR
2013-07-10,0.86,0.88,0.86,0.88,14400,MYR
2013-07-11,0.89,0.895,0.89,0.895,10000,MYR
2013-07-12,0.875,0.895,0.87,0.895,27000,MYR
2013-07-16,0.875,0.895,0.875,0.895,18000,MYR
2013-07-17,0.87,0.895,0.87,0.895,18200,MYR
2013-07-18,0.885,0.895,0.87,0.895,76100,MYR
2013-07-19,0.88,0.895,0.875,0.895,32200,MYR
2013-07-22,0.875,0.895,0.875,0.895,16700,MYR
2013-07-24,0.89,0.895,0.885,0.895,40000,MYR
2013-07-25,0.875,0.89,0.84,0.87,45000,MYR
2013-07-26,0.88,0.88,0.87,0.87,12000,MYR
2013-07-29,0.87,0.885,0.87,0.87,30200,MYR
2013-07-30,0.9,0.9,0.9,0.9,34300,MYR
2013-07-31,0.91,0.93,0.89,0.91,330800,MYR
2013-08-01,0.885,0.905,0.88,0.9,52800,MYR
2013-08-02,0.92,0.92,0.92,0.92,3000,MYR
2013-08-06,0.905,0.905,0.895,0.895,15000,MYR
2013-08-07,0.92,0.92,0.92,0.92,10000,MYR
2013-08-12,0.9,0.92,0.895,0.92,36500,MYR
2013-08-13,0.92,0.925,0.92,0.925,11200,MYR
2013-08-14,0.925,0.925,0.92,0.92,9900,MYR
2013-08-15,0.9,0.92,0.9,0.92,20100,MYR
2013-08-16,0.9,0.92,0.9,0.92,20100,MYR
2013-08-19,0.9,0.92,0.9,0.92,12000,MYR
2013-08-20,0.89,0.915,0.89,0.915,32600,MYR
2013-08-22,0.89,0.915,0.88,0.915,44300,MYR
2013-08-23,0.915,0.925,0.885,0.925,70200,MYR
2013-08-26,0.9,0.925,0.895,0.925,61000,MYR
2013-08-27,0.9,0.92,0.88,0.92,163300,MYR
2013-08-28,0.885,0.915,0.885,0.905,90900,MYR
2013-08-29,0.9,0.915,0.9,0.915,95600,MYR
2013-08-30,0.91,0.92,0.89,0.92,133000,MYR
2013-09-02,0.9,0.915,0.895,0.9,35000,MYR
2013-09-03,0.9,0.91,0.9,0.91,28000,MYR
2013-09-04,0.895,0.905,0.895,0.905,45200,MYR
2013-09-05,0.895,0.905,0.895,0.905,24200,MYR
2013-09-06,0.905,0.915,0.905,0.915,40700,MYR
2013-09-09,0.9,0.915,0.9,0.915,27000,MYR
2013-09-10,0.9,0.915,0.9,0.915,20100,MYR
2013-09-11,0.9,0.91,0.895,0.895,69000,MYR
2013-09-12,0.885,0.895,0.885,0.89,22000,MYR
2013-09-13,0.89,0.91,0.89,0.9,20000,MYR
2013-09-17,0.88,0.9,0.88,0.9,52000,MYR
2013-09-18,0.9,0.9,0.89,0.89,50200,MYR
2013-09-19,0.9,0.9,0.9,0.9,3000,MYR
2013-09-20,0.905,0.905,0.9,0.9,80400,MYR
2013-09-23,0.885,0.9,0.88,0.89,46000,MYR
2013-09-24,0.885,0.9,0.88,0.9,115100,MYR
2013-09-25,0.925,0.94,0.925,0.925,231300,MYR
2013-09-26,0.9,0.92,0.9,0.92,22900,MYR
2013-09-27,0.9,0.925,0.9,0.925,31900,MYR
2013-09-30,0.9,0.925,0.89,0.925,156300,MYR
2013-10-01,0.925,0.925,0.9,0.905,47100,MYR
2013-10-02,0.915,0.92,0.915,0.92,8100,MYR
2013-10-03,0.92,0.92,0.91,0.915,6500,MYR
2013-10-04,0.91,0.91,0.91,0.91,5000,MYR
2013-10-07,0.91,0.91,0.9,0.91,52300,MYR
2013-10-08,0.89,0.91,0.885,0.91,60300,MYR
2013-10-09,0.915,0.915,0.91,0.91,600,MYR
2013-10-10,0.91,0.91,0.9,0.91,23100,MYR
2013-10-11,0.895,0.915,0.895,0.905,35000,MYR
2013-10-14,0.895,0.92,0.895,0.92,10100,MYR
2013-10-16,0.9,0.92,0.88,0.88,78000,MYR
2013-10-17,0.89,0.9,0.855,0.9,236700,MYR
2013-10-18,0.885,0.885,0.855,0.875,551800,MYR
