Date,Open,High,Low,Close,Volume,Currency
2013-03-20,0.51,0.52,0.505,0.51,828000,MYR
2013-03-21,0.515,0.515,0.505,0.505,616600,MYR
2013-03-22,0.505,0.51,0.5,0.505,566800,MYR
2013-03-25,0.505,0.505,0.497,0.5,446400,MYR
2013-03-26,0.497,0.5,0.49,0.5,420200,MYR
2013-03-27,0.5,0.5,0.495,0.5,160400,MYR
2013-03-28,0.497,0.497,0.492,0.497,235800,MYR
2013-03-29,0.492,0.497,0.485,0.497,512800,MYR
2013-04-01,0.5,0.52,0.497,0.52,742000,MYR
2013-04-02,0.52,0.525,0.51,0.515,539800,MYR
2013-04-03,0.515,0.515,0.497,0.51,999600,MYR
2013-04-04,0.515,0.515,0.505,0.515,341200,MYR
2013-04-05,0.51,0.52,0.51,0.515,296800,MYR
2013-04-08,0.525,0.555,0.52,0.545,1132800,MYR
2013-04-09,0.55,0.55,0.54,0.54,178400,MYR
2013-04-10,0.55,0.56,0.54,0.56,634000,MYR
2013-04-11,0.58,0.595,0.575,0.585,1052400,MYR
2013-04-12,0.585,0.585,0.575,0.585,618000,MYR
2013-04-15,0.58,0.6,0.57,0.6,935800,MYR
2013-04-16,0.6,0.65,0.6,0.615,2936800,MYR
2013-04-17,0.615,0.64,0.615,0.615,827200,MYR
2013-04-18,0.615,0.615,0.6,0.6,872000,MYR
2013-04-19,0.61,0.61,0.585,0.595,346000,MYR
2013-04-22,0.595,0.625,0.595,0.62,614200,MYR
2013-04-23,0.625,0.635,0.605,0.615,846000,MYR
2013-04-24,0.615,0.625,0.61,0.62,411200,MYR
2013-04-25,0.615,0.62,0.605,0.615,322400,MYR
2013-04-26,0.62,0.635,0.615,0.615,434600,MYR
2013-04-29,0.605,0.615,0.6,0.615,175000,MYR
2013-04-30,0.605,0.605,0.595,0.605,545000,MYR
2013-05-02,0.595,0.595,0.58,0.585,1102600,MYR
2013-05-03,0.58,0.585,0.575,0.58,936400,MYR
2013-05-06,0.625,0.625,0.6,0.615,1061600,MYR
2013-05-07,0.62,0.635,0.62,0.625,740000,MYR
2013-05-08,0.63,0.63,0.625,0.63,212000,MYR
2013-05-09,0.625,0.67,0.625,0.67,2154600,MYR
2013-05-10,0.665,0.7,0.665,0.695,1791800,MYR
2013-05-13,0.71,0.71,0.695,0.7,1978200,MYR
2013-05-14,0.7,0.7,0.69,0.695,1215600,MYR
2013-05-15,0.7,0.7,0.695,0.695,1041400,MYR
2013-05-16,0.69,0.7,0.69,0.695,364000,MYR
2013-05-17,0.695,0.7,0.695,0.695,919000,MYR
2013-05-20,0.695,0.705,0.695,0.705,1074000,MYR
2013-05-21,0.705,0.725,0.705,0.72,1566200,MYR
2013-05-22,0.72,0.745,0.695,0.71,2029000,MYR
2013-05-23,0.705,0.715,0.675,0.695,750200,MYR
2013-05-27,0.695,0.7,0.68,0.695,452400,MYR
2013-05-28,0.705,0.705,0.685,0.685,696200,MYR
2013-05-29,0.695,0.705,0.695,0.7,143800,MYR
2013-05-30,0.71,0.73,0.705,0.73,1251200,MYR
2013-05-31,0.73,0.73,0.72,0.72,469000,MYR
2013-06-03,0.71,0.72,0.705,0.72,289000,MYR
2013-06-04,0.715,0.715,0.7,0.71,576000,MYR
2013-06-05,0.715,0.72,0.695,0.705,356000,MYR
