Date,Open,High,Low,Close,Volume,Currency
2013-02-18,0.39,0.4,0.385,0.39,1039300,MYR
2013-02-19,0.385,0.39,0.38,0.385,833400,MYR
2013-02-20,0.385,0.385,0.375,0.38,892200,MYR
2013-02-21,0.375,0.39,0.36,0.37,4401200,MYR
2013-02-22,0.365,0.37,0.36,0.37,743600,MYR
2013-02-25,0.365,0.365,0.36,0.365,338200,MYR
2013-02-26,0.365,0.38,0.365,0.375,1206900,MYR
2013-02-27,0.375,0.38,0.365,0.375,691000,MYR
2013-02-28,0.375,0.375,0.365,0.375,589000,MYR
2013-03-01,0.37,0.38,0.365,0.37,6516100,MYR
2013-03-04,0.365,0.37,0.355,0.36,2560500,MYR
2013-03-05,0.36,0.375,0.355,0.37,1156200,MYR
2013-03-06,0.365,0.385,0.365,0.375,18774600,MYR
2013-03-07,0.375,0.38,0.36,0.375,1945000,MYR
2013-03-08,0.375,0.375,0.365,0.37,786700,MYR
2013-03-11,0.365,0.365,0.36,0.36,1886500,MYR
2013-03-12,0.36,0.37,0.36,0.365,5042800,MYR
2013-03-13,0.365,0.37,0.355,0.36,1690500,MYR
2013-03-14,0.355,0.36,0.355,0.36,726000,MYR
2013-03-15,0.355,0.36,0.345,0.355,2164800,MYR
2013-03-18,0.35,0.35,0.335,0.34,1824500,MYR
2013-03-19,0.335,0.345,0.335,0.34,731000,MYR
2013-03-20,0.335,0.345,0.335,0.345,578500,MYR
2013-03-21,0.34,0.35,0.34,0.345,1399600,MYR
2013-03-22,0.345,0.37,0.345,0.35,14512000,MYR
2013-03-25,0.355,0.36,0.35,0.355,830000,MYR
2013-03-26,0.345,0.35,0.345,0.35,413000,MYR
2013-03-27,0.345,0.355,0.345,0.355,1502500,MYR
2013-03-28,0.35,0.36,0.345,0.35,2626300,MYR
2013-03-29,0.345,0.35,0.34,0.35,1462800,MYR
2013-04-01,0.345,0.345,0.34,0.345,519900,MYR
2013-04-02,0.345,0.345,0.34,0.345,1110300,MYR
2013-04-03,0.345,0.35,0.335,0.335,2392900,MYR
2013-04-04,0.335,0.34,0.335,0.34,827000,MYR
2013-04-05,0.34,0.345,0.335,0.345,454700,MYR
2013-04-08,0.34,0.34,0.335,0.34,721800,MYR
2013-04-09,0.34,0.355,0.34,0.35,9537500,MYR
2013-04-10,0.35,0.355,0.345,0.345,1049500,MYR
