Date,Open,High,Low,Close,Volume,Currency
2013-02-18,2.05,2.06,2.05,2.06,9000,MYR
2013-02-19,2.06,2.06,2.05,2.05,76500,MYR
2013-02-20,2.06,2.08,2.06,2.08,9500,MYR
2013-02-26,2.07,2.07,2.07,2.07,2900,MYR
2013-03-06,2.07,2.07,2.07,2.07,10000,MYR
2013-03-07,2.07,2.08,2.07,2.08,20100,MYR
2013-03-11,2.1,2.1,1.98,1.98,3300,MYR
2013-03-12,2.03,2.03,2.01,2.01,25000,MYR
2013-03-13,2.0,2.0,2.0,2.0,4100,MYR
2013-03-14,2.03,2.11,2.03,2.11,12000,MYR
2013-03-15,2.11,2.11,2.11,2.11,10000,MYR
2013-03-19,2.12,2.15,2.12,2.15,5000,MYR
2013-03-21,2.1,2.1,2.1,2.1,20000,MYR
2013-03-25,2.13,2.15,2.1,2.1,35000,MYR
2013-03-26,2.1,2.1,2.1,2.1,2000,MYR
2013-03-27,2.01,2.09,2.01,2.09,6000,MYR
2013-03-28,2.01,2.01,2.01,2.01,2000,MYR
2013-03-29,2.09,2.13,2.04,2.04,10000,MYR
2013-04-01,2.1,2.11,2.04,2.04,10000,MYR
2013-04-02,2.11,2.12,2.09,2.09,16500,MYR
2013-04-03,2.05,2.05,2.05,2.05,15000,MYR
2013-04-04,2.1,2.14,2.1,2.14,22500,MYR
2013-04-05,2.14,2.14,2.14,2.14,5500,MYR
2013-04-09,2.08,2.08,2.08,2.08,39000,MYR
2013-04-11,2.09,2.1,2.08,2.1,106300,MYR
2013-04-12,2.1,2.18,2.1,2.18,237200,MYR
2013-04-15,2.19,2.23,2.19,2.2,70400,MYR
2013-04-16,2.2,2.2,2.2,2.2,40000,MYR
2013-04-18,2.17,2.17,2.17,2.17,28000,MYR
2013-04-19,2.17,2.17,2.17,2.17,36500,MYR
2013-04-22,2.2,2.3,2.2,2.24,48500,MYR
2013-04-23,2.2,2.2,2.2,2.2,42500,MYR
2013-04-24,2.24,2.24,2.24,2.24,3000,MYR
2013-04-25,2.15,2.16,2.15,2.15,15000,MYR
2013-04-26,2.16,2.16,2.16,2.16,10000,MYR
2013-04-29,2.16,2.2,2.15,2.15,48000,MYR
2013-04-30,2.15,2.15,2.1,2.1,18500,MYR
2013-05-02,2.1,2.1,2.07,2.07,46700,MYR
2013-05-03,2.06,2.06,2.06,2.06,8400,MYR
2013-05-06,2.14,2.14,2.14,2.14,12000,MYR
2013-05-07,2.11,2.19,2.11,2.19,19000,MYR
2013-05-08,2.12,2.12,2.12,2.12,1500,MYR
2013-05-09,2.14,2.14,2.14,2.14,3000,MYR
2013-05-10,2.15,2.2,2.15,2.2,60000,MYR
2013-05-13,2.24,2.36,2.24,2.33,193100,MYR
2013-05-14,2.33,2.36,2.28,2.28,73000,MYR
2013-05-15,2.34,2.38,2.33,2.36,242500,MYR
2013-05-16,2.36,2.38,2.35,2.36,138400,MYR
2013-05-17,2.36,2.45,2.35,2.4,245500,MYR
2013-05-20,2.43,2.45,2.42,2.45,233000,MYR
2013-05-21,2.45,2.45,2.35,2.37,84900,MYR
2013-05-22,2.36,2.4,2.34,2.38,150700,MYR
2013-05-23,2.38,2.38,2.29,2.29,32800,MYR
2013-05-27,2.34,2.36,2.34,2.36,17000,MYR
2013-05-28,2.36,2.37,2.34,2.36,126700,MYR
2013-05-29,2.39,2.39,2.36,2.36,95400,MYR
2013-05-30,2.39,2.39,2.39,2.39,10000,MYR
2013-06-03,2.33,2.33,2.32,2.33,41000,MYR
