Date,Open,High,Low,Close,Volume,Currency
2013-02-14,0.86,0.86,0.85,0.86,74000,MYR
2013-02-15,0.86,0.9,0.86,0.9,17000,MYR
2013-02-21,0.845,0.88,0.84,0.84,112500,MYR
2013-02-22,0.82,0.82,0.8,0.8,209000,MYR
2013-02-25,0.8,0.8,0.8,0.8,98000,MYR
2013-02-26,0.8,0.8,0.8,0.8,13000,MYR
2013-02-27,0.79,0.795,0.79,0.79,41000,MYR
2013-02-28,0.78,0.785,0.75,0.76,158000,MYR
2013-03-01,0.765,0.765,0.74,0.75,91800,MYR
2013-03-04,0.78,0.8,0.755,0.8,58000,MYR
2013-03-05,0.8,0.8,0.79,0.8,201000,MYR
2013-03-06,0.8,0.8,0.79,0.795,576900,MYR
2013-03-07,0.8,0.85,0.79,0.85,126900,MYR
2013-03-11,0.8,0.81,0.8,0.81,22000,MYR
2013-03-12,0.8,0.8,0.8,0.8,70000,MYR
2013-03-13,0.8,0.8,0.8,0.8,38000,MYR
2013-03-14,0.81,0.81,0.81,0.81,15000,MYR
2013-03-15,0.8,0.8,0.775,0.775,44300,MYR
2013-03-18,0.79,0.82,0.79,0.82,70000,MYR
2013-03-19,0.795,0.8,0.795,0.8,25000,MYR
2013-03-20,0.795,0.805,0.795,0.8,44100,MYR
2013-03-21,0.8,0.85,0.8,0.85,48700,MYR
2013-03-22,0.82,0.82,0.8,0.8,112000,MYR
2013-03-25,0.805,0.82,0.805,0.805,9000,MYR
2013-03-26,0.805,0.805,0.805,0.805,30000,MYR
2013-03-27,0.81,0.81,0.805,0.805,7000,MYR
2013-03-28,0.8,0.8,0.8,0.8,11000,MYR
2013-03-29,0.8,0.8,0.8,0.8,500,MYR
2013-04-01,0.8,0.81,0.795,0.805,80000,MYR
2013-04-02,0.815,0.82,0.81,0.81,106000,MYR
2013-04-03,0.82,0.89,0.81,0.89,597100,MYR
2013-04-04,0.895,0.94,0.895,0.925,1170400,MYR
2013-04-05,0.93,0.935,0.89,0.9,515000,MYR
2013-04-08,0.905,0.905,0.9,0.9,111000,MYR
2013-04-09,0.9,0.915,0.87,0.9,218600,MYR
2013-04-10,0.875,0.89,0.87,0.875,387000,MYR
2013-04-11,0.855,0.855,0.84,0.85,554800,MYR
2013-04-12,0.85,0.85,0.84,0.84,82800,MYR
2013-04-15,0.84,0.855,0.84,0.85,55000,MYR
2013-04-16,0.85,0.88,0.85,0.88,226000,MYR
2013-04-17,0.885,0.905,0.87,0.87,120800,MYR
2013-04-18,0.855,0.88,0.855,0.88,32000,MYR
2013-04-19,0.85,0.87,0.85,0.87,20000,MYR
2013-04-22,0.855,0.86,0.84,0.84,57500,MYR
2013-04-23,0.84,0.85,0.84,0.85,19200,MYR
2013-04-24,0.83,0.85,0.83,0.85,24400,MYR
2013-04-25,0.835,0.835,0.82,0.825,16400,MYR
2013-04-26,0.87,0.87,0.83,0.84,9000,MYR
2013-04-29,0.83,0.83,0.82,0.82,25100,MYR
2013-04-30,0.85,0.85,0.83,0.84,30100,MYR
2013-05-02,0.83,0.84,0.815,0.815,55500,MYR
2013-05-03,0.84,0.87,0.81,0.85,28500,MYR
2013-05-06,0.87,0.88,0.87,0.87,69500,MYR
2013-05-07,0.875,0.905,0.875,0.9,231000,MYR
2013-05-08,0.89,0.92,0.88,0.9,367300,MYR
2013-05-09,0.9,0.9,0.88,0.9,39000,MYR
2013-05-10,0.9,0.97,0.9,0.955,531000,MYR
2013-05-13,0.955,1.05,0.955,1.03,1407700,MYR
2013-05-14,1.04,1.05,0.99,1.0,406000,MYR
2013-05-15,1.01,1.04,1.01,1.01,436300,MYR
2013-05-16,1.02,1.03,1.01,1.01,363200,MYR
2013-05-17,1.01,1.02,1.0,1.01,288400,MYR
2013-05-20,1.02,1.11,1.02,1.11,1464000,MYR
2013-05-21,1.12,1.13,1.1,1.12,872000,MYR
2013-05-22,1.13,1.13,1.1,1.1,658000,MYR
2013-05-23,1.1,1.1,1.06,1.08,233000,MYR
2013-05-27,1.08,1.15,1.08,1.13,1336800,MYR
2013-05-28,1.13,1.14,1.13,1.13,1252000,MYR
2013-05-29,1.15,1.18,1.14,1.16,1552200,MYR
2013-05-30,1.13,1.14,1.11,1.13,671000,MYR
2013-05-31,1.11,1.11,1.01,1.08,998000,MYR
2013-06-03,1.07,1.07,1.03,1.04,127000,MYR
2013-06-04,1.05,1.06,1.0,1.04,982700,MYR
2013-06-05,1.04,1.04,1.03,1.03,350000,MYR
2013-06-06,1.04,1.04,1.02,1.03,520400,MYR
2013-06-07,1.03,1.04,1.03,1.04,80000,MYR
2013-06-10,1.05,1.07,1.04,1.05,88000,MYR
2013-06-11,1.05,1.05,1.03,1.03,122300,MYR
2013-06-12,1.03,1.03,1.02,1.02,50000,MYR
2013-06-13,1.0,1.01,0.98,1.0,97000,MYR
2013-06-14,1.0,1.03,1.0,1.03,12000,MYR
2013-06-17,1.03,1.03,0.99,0.99,58000,MYR
2013-06-18,1.03,1.03,0.99,0.995,27000,MYR
2013-06-19,0.995,1.0,0.995,1.0,17300,MYR
2013-06-20,1.0,1.0,0.99,1.0,67200,MYR
2013-06-21,0.99,1.0,0.99,0.99,36300,MYR
2013-06-24,0.95,1.01,0.95,0.98,27500,MYR
2013-06-25,0.97,0.97,0.95,0.95,27500,MYR
2013-06-26,0.95,0.95,0.95,0.95,6500,MYR
2013-06-27,0.95,0.95,0.95,0.95,7000,MYR
2013-06-28,0.93,1.0,0.93,0.94,19800,MYR
2013-07-01,0.93,0.985,0.925,0.935,29800,MYR
2013-07-02,0.935,0.935,0.935,0.935,20300,MYR
2013-07-04,0.935,0.935,0.935,0.935,35000,MYR
2013-07-05,0.95,0.995,0.95,0.995,41000,MYR
2013-07-08,0.98,0.98,0.955,0.955,11100,MYR
2013-07-09,0.955,0.955,0.955,0.955,31000,MYR
2013-07-10,0.955,0.96,0.95,0.95,31800,MYR
2013-07-11,0.95,0.96,0.95,0.96,8000,MYR
2013-07-12,0.95,0.95,0.95,0.95,3000,MYR
2013-07-15,0.95,1.03,0.95,1.03,37000,MYR
2013-07-16,1.0,1.0,0.99,0.99,31500,MYR
2013-07-17,0.98,0.99,0.96,0.99,76800,MYR
2013-07-18,0.98,0.98,0.98,0.98,64000,MYR
2013-07-19,0.99,0.99,0.99,0.99,10000,MYR
2013-07-22,1.03,1.03,1.0,1.0,74000,MYR
2013-07-23,1.02,1.13,1.02,1.11,1446400,MYR
2013-07-24,1.12,1.23,1.08,1.17,7830700,MYR
2013-07-25,1.16,1.16,1.13,1.15,679400,MYR
2013-07-26,1.15,1.23,1.15,1.21,1508800,MYR
2013-07-29,1.2,1.25,1.16,1.19,808700,MYR
2013-07-30,1.21,1.23,1.21,1.22,1373500,MYR
2013-07-31,1.23,1.24,1.16,1.18,1209200,MYR
2013-08-01,1.18,1.2,1.18,1.18,230000,MYR
2013-08-02,1.2,1.2,1.16,1.17,54700,MYR
2013-08-05,1.17,1.19,1.16,1.18,1298300,MYR
2013-08-06,1.17,1.22,1.17,1.21,1336900,MYR
2013-08-07,1.2,1.25,1.2,1.22,1764500,MYR
2013-08-12,1.26,1.33,1.26,1.3,1181400,MYR
2013-08-13,1.3,1.31,1.29,1.3,747400,MYR
2013-08-14,1.3,1.3,1.26,1.26,858500,MYR
2013-08-15,1.27,1.33,1.26,1.31,2488700,MYR
2013-08-16,1.31,1.31,1.28,1.28,380000,MYR
2013-08-19,1.3,1.3,1.28,1.28,170100,MYR
2013-08-20,1.26,1.26,1.2,1.2,1126600,MYR
2013-08-21,1.2,1.25,1.17,1.23,931600,MYR
2013-08-22,1.2,1.2,1.17,1.19,138000,MYR
2013-08-23,1.19,1.2,1.19,1.2,244000,MYR
2013-08-26,1.19,1.2,1.16,1.18,294300,MYR
2013-08-27,1.16,1.17,1.13,1.17,492000,MYR
2013-08-28,1.16,1.22,1.12,1.16,819100,MYR
2013-08-29,1.18,1.19,1.18,1.18,385300,MYR
2013-08-30,1.19,1.21,1.19,1.2,378100,MYR
2013-09-02,1.19,1.19,1.17,1.17,25000,MYR
2013-09-03,1.19,1.19,1.19,1.19,8500,MYR
2013-09-04,1.17,1.19,1.15,1.19,218000,MYR
2013-09-05,1.2,1.26,1.19,1.26,425700,MYR
2013-09-06,1.26,1.27,1.25,1.27,166500,MYR
2013-09-09,1.27,1.34,1.26,1.29,1301300,MYR
2013-09-10,1.27,1.34,1.27,1.32,1491400,MYR
2013-09-11,1.32,1.41,1.32,1.38,1857000,MYR
2013-09-12,1.38,1.39,1.37,1.37,344400,MYR
2013-09-13,1.37,1.4,1.35,1.4,348300,MYR
2013-09-17,1.4,1.43,1.38,1.4,730600,MYR
2013-09-18,1.4,1.47,1.4,1.47,1658000,MYR
2013-09-19,1.47,1.54,1.47,1.52,2226400,MYR
2013-09-20,1.53,1.53,1.46,1.5,1987300,MYR
2013-09-23,1.48,1.49,1.47,1.49,353600,MYR
2013-09-24,1.48,1.48,1.46,1.46,468000,MYR
2013-09-25,1.46,1.46,1.44,1.44,117800,MYR
2013-09-26,1.44,1.44,1.42,1.43,51500,MYR
2013-09-27,1.43,1.43,1.38,1.4,591200,MYR
2013-09-30,1.36,1.39,1.36,1.37,134000,MYR
2013-10-01,1.37,1.43,1.36,1.43,398200,MYR
2013-10-02,1.44,1.45,1.4,1.4,184700,MYR
2013-10-03,1.39,1.42,1.39,1.42,156300,MYR
2013-10-04,1.43,1.43,1.4,1.4,71700,MYR
2013-10-07,1.39,1.44,1.39,1.42,337500,MYR
2013-10-08,1.43,1.44,1.42,1.43,328000,MYR
2013-10-09,1.43,1.43,1.42,1.43,16000,MYR
2013-10-10,1.44,1.49,1.44,1.49,380700,MYR
2013-10-11,1.5,1.5,1.49,1.5,451700,MYR
2013-10-14,1.5,1.5,1.49,1.49,429900,MYR
2013-10-16,1.49,1.49,1.48,1.48,28000,MYR
2013-10-17,1.48,1.48,1.45,1.46,145700,MYR
2013-10-18,1.46,1.48,1.43,1.48,347300,MYR
2013-10-21,1.5,1.55,1.49,1.49,2473400,MYR
2013-10-22,1.5,1.5,1.49,1.49,825400,MYR
2013-10-23,1.5,1.53,1.5,1.51,1855000,MYR
2013-10-24,1.51,1.51,1.49,1.5,282000,MYR
2013-10-25,1.49,1.49,1.45,1.48,443600,MYR
