Date,Open,High,Low,Close,Volume,Currency
2013-02-18,0.545,0.545,0.545,0.545,60000,MYR
2013-02-19,0.54,0.54,0.54,0.54,15000,MYR
2013-02-20,0.535,0.54,0.535,0.535,28400,MYR
2013-02-21,0.535,0.54,0.53,0.53,145400,MYR
2013-02-22,0.535,0.55,0.535,0.55,76600,MYR
2013-02-25,0.535,0.535,0.535,0.535,200,MYR
2013-02-26,0.535,0.535,0.535,0.535,600,MYR
2013-02-28,0.535,0.535,0.535,0.535,2800,MYR
2013-03-01,0.56,0.565,0.555,0.555,80200,MYR
2013-03-04,0.555,0.565,0.555,0.56,48600,MYR
2013-03-05,0.565,0.565,0.565,0.565,6200,MYR
2013-03-06,0.565,0.58,0.56,0.58,155600,MYR
2013-03-07,0.57,0.575,0.57,0.575,97400,MYR
2013-03-08,0.575,0.575,0.565,0.565,63800,MYR
2013-03-11,0.565,0.565,0.565,0.565,68400,MYR
2013-03-12,0.565,0.57,0.56,0.57,75600,MYR
2013-03-13,0.57,0.575,0.565,0.575,206000,MYR
2013-03-14,0.57,0.575,0.57,0.575,110400,MYR
2013-03-15,0.565,0.575,0.565,0.575,31000,MYR
2013-03-18,0.565,0.575,0.565,0.575,12000,MYR
2013-03-19,0.565,0.57,0.565,0.565,104400,MYR
2013-03-20,0.565,0.565,0.56,0.565,115600,MYR
2013-03-21,0.565,0.57,0.565,0.565,74400,MYR
2013-03-22,0.55,0.56,0.545,0.55,1090000,MYR
2013-03-25,0.54,0.54,0.54,0.54,16400,MYR
2013-03-26,0.55,0.55,0.55,0.55,20000,MYR
2013-03-27,0.55,0.55,0.54,0.55,83400,MYR
2013-03-28,0.545,0.55,0.545,0.55,286600,MYR
2013-03-29,0.555,0.56,0.555,0.56,466000,MYR
2013-04-01,0.56,0.56,0.555,0.555,26000,MYR
2013-04-02,0.56,0.565,0.56,0.56,125000,MYR
2013-04-03,0.55,0.56,0.55,0.56,70000,MYR
2013-04-04,0.56,0.56,0.56,0.56,70000,MYR
2013-04-05,0.56,0.56,0.56,0.56,252400,MYR
2013-04-08,0.56,0.565,0.56,0.56,234000,MYR
2013-04-09,0.565,0.57,0.56,0.565,133200,MYR
2013-04-10,0.575,0.59,0.575,0.59,193200,MYR
2013-04-11,0.58,0.58,0.565,0.565,274800,MYR
2013-04-12,0.565,0.57,0.56,0.56,230000,MYR
2013-04-15,0.56,0.565,0.56,0.56,291400,MYR
2013-04-16,0.55,0.55,0.545,0.545,170000,MYR
2013-04-17,0.545,0.545,0.545,0.545,209000,MYR
2013-04-18,0.545,0.545,0.545,0.545,41600,MYR
2013-04-19,0.55,0.55,0.55,0.55,20000,MYR
2013-04-22,0.55,0.55,0.55,0.55,4000,MYR
2013-04-23,0.545,0.555,0.54,0.555,95600,MYR
2013-04-25,0.545,0.545,0.54,0.54,510000,MYR
2013-04-26,0.54,0.54,0.54,0.54,56000,MYR
2013-04-29,0.545,0.545,0.53,0.53,192000,MYR
2013-04-30,0.53,0.53,0.525,0.525,324800,MYR
2013-05-02,0.525,0.535,0.52,0.53,88400,MYR
2013-05-03,0.525,0.525,0.515,0.52,199800,MYR
2013-05-06,0.53,0.535,0.525,0.535,534600,MYR
2013-05-07,0.555,0.555,0.54,0.55,275600,MYR
2013-05-08,0.55,0.55,0.54,0.54,231800,MYR
2013-05-09,0.54,0.545,0.54,0.54,240200,MYR
2013-05-10,0.54,0.56,0.54,0.56,305600,MYR
2013-05-13,0.565,0.615,0.565,0.615,1343200,MYR
2013-05-14,0.615,0.62,0.595,0.61,765200,MYR
2013-05-15,0.62,0.63,0.605,0.605,726400,MYR
2013-05-16,0.61,0.61,0.595,0.6,288000,MYR
2013-05-17,0.605,0.615,0.605,0.61,555000,MYR
2013-05-20,0.615,0.635,0.615,0.625,2777600,MYR
2013-05-21,0.63,0.63,0.62,0.625,1866200,MYR
2013-05-22,0.63,0.645,0.62,0.625,1949600,MYR
2013-05-23,0.62,0.62,0.6,0.605,885200,MYR
2013-05-27,0.605,0.61,0.6,0.605,898000,MYR
2013-05-28,0.605,0.62,0.605,0.62,669800,MYR
2013-05-29,0.625,0.625,0.615,0.62,1189200,MYR
2013-05-30,0.62,0.62,0.615,0.62,707800,MYR
2013-05-31,0.62,0.62,0.605,0.615,740200,MYR
2013-06-03,0.59,0.59,0.575,0.58,1022000,MYR
2013-06-04,0.585,0.59,0.575,0.58,421200,MYR
2013-06-05,0.58,0.585,0.575,0.58,173000,MYR
2013-06-06,0.58,0.58,0.57,0.57,425600,MYR
2013-06-07,0.575,0.58,0.575,0.58,307400,MYR
2013-06-10,0.58,0.59,0.58,0.585,478600,MYR
2013-06-11,0.585,0.585,0.575,0.58,433200,MYR
2013-06-12,0.58,0.58,0.575,0.575,79800,MYR
2013-06-13,0.575,0.575,0.565,0.575,418000,MYR
2013-06-14,0.575,0.58,0.575,0.58,204000,MYR
2013-06-17,0.58,0.59,0.58,0.59,92000,MYR
2013-06-18,0.59,0.595,0.585,0.595,54000,MYR
2013-06-19,0.595,0.61,0.59,0.605,402800,MYR
2013-06-20,0.595,0.6,0.59,0.59,219800,MYR
2013-06-21,0.59,0.59,0.585,0.59,237400,MYR
2013-06-24,0.58,0.58,0.575,0.575,122000,MYR
