Date,Open,High,Low,Close,Volume,Currency
2013-02-20,0.22,0.23,0.22,0.23,14000,MYR
2013-02-21,0.23,0.23,0.23,0.23,25800,MYR
2013-02-25,0.23,0.23,0.23,0.23,5000,MYR
2013-03-01,0.25,0.25,0.24,0.24,14000,MYR
2013-03-05,0.24,0.24,0.24,0.24,19000,MYR
2013-03-13,0.23,0.23,0.23,0.23,5000,MYR
2013-03-21,0.235,0.235,0.235,0.235,39000,MYR
2013-03-25,0.23,0.25,0.23,0.23,26000,MYR
2013-03-27,0.235,0.25,0.23,0.23,37100,MYR
2013-03-28,0.23,0.26,0.23,0.26,2900,MYR
2013-04-03,0.245,0.255,0.24,0.24,51100,MYR
2013-04-04,0.25,0.255,0.25,0.255,50000,MYR
2013-04-10,0.275,0.275,0.275,0.275,20000,MYR
2013-04-11,0.25,0.25,0.25,0.25,5000,MYR
2013-04-12,0.25,0.25,0.25,0.25,5400,MYR
2013-04-16,0.25,0.265,0.25,0.265,79100,MYR
2013-04-19,0.245,0.245,0.245,0.245,1000,MYR
2013-04-22,0.25,0.27,0.245,0.245,19100,MYR
2013-04-24,0.255,0.29,0.245,0.245,19100,MYR
2013-04-25,0.25,0.3,0.25,0.295,30200,MYR
2013-05-02,0.285,0.285,0.25,0.25,79300,MYR
2013-05-07,0.25,0.27,0.25,0.265,47300,MYR
2013-05-09,0.25,0.26,0.25,0.26,41300,MYR
2013-05-10,0.26,0.26,0.26,0.26,5000,MYR
2013-05-13,0.265,0.28,0.265,0.28,140900,MYR
2013-05-14,0.27,0.27,0.27,0.27,70500,MYR
2013-05-15,0.28,0.29,0.28,0.29,35000,MYR
2013-05-16,0.27,0.29,0.265,0.29,68300,MYR
2013-05-17,0.285,0.285,0.27,0.28,101500,MYR
2013-05-20,0.27,0.28,0.27,0.27,490000,MYR
2013-05-21,0.275,0.28,0.27,0.28,134500,MYR
2013-05-22,0.27,0.275,0.265,0.275,30100,MYR
2013-05-23,0.27,0.27,0.26,0.27,56500,MYR
2013-05-27,0.265,0.3,0.265,0.3,29000,MYR
2013-05-28,0.275,0.275,0.275,0.275,10000,MYR
2013-05-29,0.265,0.28,0.265,0.28,91100,MYR
2013-05-31,0.265,0.275,0.26,0.27,108700,MYR
2013-06-03,0.27,0.27,0.27,0.27,50000,MYR
2013-06-04,0.28,0.28,0.28,0.28,10000,MYR
2013-06-05,0.265,0.275,0.265,0.275,15100,MYR
2013-06-06,0.265,0.27,0.265,0.27,23200,MYR
2013-06-07,0.27,0.27,0.27,0.27,29900,MYR
2013-06-11,0.27,0.27,0.27,0.27,149400,MYR
