Date,Open,High,Low,Close,Volume,Currency
2013-02-25,0.096,0.096,0.096,0.096,33615,MYR
2013-02-26,0.096,0.11,0.096,0.11,2777,MYR
2013-03-06,0.096,0.096,0.096,0.096,2923,MYR
2013-03-26,0.096,0.096,0.096,0.096,14615,MYR
2013-04-05,0.096,0.096,0.096,0.096,1462,MYR
2013-04-11,0.096,0.11,0.096,0.11,38000,MYR
2013-04-18,0.096,0.113,0.096,0.11,81846,MYR
2013-04-22,0.096,0.096,0.096,0.096,43846,MYR
2013-04-23,0.11,0.11,0.11,0.11,53054,MYR
2013-04-26,0.099,0.11,0.099,0.103,39462,MYR
2013-04-29,0.103,0.103,0.103,0.103,7308,MYR
2013-05-03,0.103,0.103,0.103,0.103,51154,MYR
2013-05-07,0.096,0.096,0.096,0.096,7308,MYR
2013-05-08,0.096,0.096,0.096,0.096,4385,MYR
2013-05-13,0.103,0.103,0.103,0.103,20462,MYR
2013-05-17,0.106,0.106,0.106,0.106,7308,MYR
2013-05-20,0.113,0.113,0.113,0.113,1462,MYR
2013-05-22,0.123,0.123,0.12,0.123,32154,MYR
2013-05-23,0.106,0.113,0.106,0.113,89154,MYR
2013-05-28,0.123,0.123,0.123,0.123,25869,MYR
2013-06-10,0.116,0.116,0.116,0.116,33615,MYR
2013-06-11,0.123,0.144,0.123,0.144,192923,MYR
2013-06-13,0.123,0.123,0.123,0.123,49692,MYR
2013-06-17,0.13,0.13,0.13,0.13,29231,MYR
2013-06-20,0.12,0.12,0.12,0.12,39462,MYR
2013-06-27,0.116,0.116,0.116,0.116,5846,MYR
2013-07-01,0.113,0.113,0.113,0.113,1462,MYR
2013-07-05,0.123,0.123,0.113,0.113,7308,MYR
2013-07-08,0.11,0.11,0.11,0.11,36685,MYR
2013-07-09,0.123,0.123,0.123,0.123,73077,MYR
2013-07-12,0.123,0.123,0.123,0.123,13885,MYR
2013-07-15,0.13,0.13,0.13,0.13,14615,MYR
2013-07-18,0.133,0.133,0.133,0.133,11692,MYR
2013-07-19,0.137,0.144,0.133,0.144,81846,MYR
2013-07-22,0.144,0.144,0.144,0.144,29231,MYR
2013-07-24,0.144,0.168,0.14,0.168,153608,MYR
2013-08-02,0.13,0.13,0.13,0.13,29231,MYR
2013-08-05,0.13,0.13,0.127,0.13,159015,MYR
2013-08-06,0.13,0.13,0.13,0.13,21923,MYR
2013-08-14,0.137,0.144,0.137,0.137,81408,MYR
2013-08-15,0.14,0.14,0.14,0.14,14615,MYR
2013-08-20,0.133,0.133,0.133,0.133,87108,MYR
2013-08-30,0.13,0.13,0.13,0.13,43846,MYR
2013-09-12,0.133,0.133,0.133,0.133,29231,MYR
2013-09-13,0.15,0.15,0.137,0.137,44577,MYR
2013-09-18,0.144,0.171,0.144,0.171,251531,MYR
2013-09-19,0.157,0.171,0.157,0.171,22800,MYR
2013-09-23,0.171,0.171,0.15,0.168,536092,MYR
2013-09-24,0.178,0.192,0.168,0.178,2592914,MYR
2013-09-25,0.181,0.185,0.171,0.171,541354,MYR
2013-09-26,0.15,0.164,0.15,0.164,64308,MYR
2013-09-27,0.157,0.161,0.157,0.157,102308,MYR
2013-09-30,0.154,0.154,0.15,0.15,51885,MYR
2013-10-01,0.147,0.171,0.147,0.171,8039,MYR
2013-10-02,0.15,0.15,0.15,0.15,11692,MYR
2013-10-03,0.157,0.157,0.157,0.157,29231,MYR
2013-10-04,0.15,0.15,0.147,0.147,86231,MYR
2013-10-07,0.157,0.178,0.157,0.178,28500,MYR
2013-10-09,0.164,0.164,0.164,0.164,29231,MYR
2013-10-16,0.147,0.147,0.144,0.144,43846,MYR
2013-10-17,0.144,0.144,0.144,0.144,14615,MYR
2013-10-18,0.137,0.137,0.137,0.137,7308,MYR
2013-10-28,0.15,0.164,0.137,0.137,117362,MYR
2013-10-29,0.15,0.164,0.144,0.144,72638,MYR
2013-10-30,0.144,0.144,0.137,0.137,185615,MYR
2013-10-31,0.137,0.14,0.13,0.137,429692,MYR
2013-11-01,0.133,0.144,0.133,0.144,44138,MYR
2013-11-04,0.14,0.14,0.137,0.137,100115,MYR
2013-11-06,0.14,0.157,0.14,0.154,226538,MYR
2013-11-07,0.14,0.161,0.14,0.161,35077,MYR
2013-11-08,0.144,0.147,0.144,0.147,98946,MYR
2013-11-11,0.147,0.161,0.147,0.15,116923,MYR
2013-11-12,0.15,0.15,0.15,0.15,162231,MYR
2013-11-14,0.14,0.14,0.14,0.14,30692,MYR
2013-11-15,0.14,0.14,0.14,0.14,29231,MYR
2013-11-18,0.144,0.144,0.144,0.144,26308,MYR
2013-11-19,0.14,0.144,0.14,0.14,176261,MYR
2013-11-20,0.144,0.144,0.144,0.144,21923,MYR
2013-11-21,0.14,0.14,0.14,0.14,57731,MYR
2013-11-22,0.137,0.137,0.137,0.137,116923,MYR
2013-11-25,0.137,0.137,0.137,0.137,17538,MYR
2013-11-26,0.144,0.144,0.144,0.144,34054,MYR
2013-11-27,0.144,0.15,0.144,0.15,87692,MYR
2013-11-29,0.144,0.144,0.144,0.144,58462,MYR
2013-12-04,0.147,0.147,0.147,0.147,43846,MYR
2013-12-05,0.147,0.147,0.147,0.147,146154,MYR
2013-12-10,0.147,0.147,0.147,0.147,5846,MYR
2013-12-11,0.147,0.147,0.147,0.147,73077,MYR
2013-12-12,0.147,0.147,0.147,0.147,35077,MYR
2013-12-13,0.147,0.147,0.147,0.147,14615,MYR
2013-12-16,0.147,0.147,0.147,0.147,17538,MYR
2013-12-17,0.15,0.171,0.15,0.171,11108,MYR
2013-12-19,0.164,0.164,0.157,0.161,157261,MYR
2013-12-26,0.15,0.161,0.15,0.161,73077,MYR
2013-12-27,0.168,0.171,0.157,0.164,215869,MYR
2013-12-30,0.164,0.171,0.164,0.164,339954,MYR
2014-01-07,0.164,0.25,0.164,0.202,3131198,MYR
2014-01-08,0.202,0.202,0.185,0.192,160769,MYR
2014-01-09,0.192,0.192,0.192,0.192,14615,MYR
2014-01-10,0.192,0.205,0.181,0.202,741438,MYR
2014-01-13,0.181,0.181,0.181,0.181,11692,MYR
2014-01-15,0.171,0.171,0.171,0.171,7308,MYR
2014-01-21,0.161,0.161,0.161,0.161,16077,MYR
2014-02-04,0.202,0.202,0.181,0.198,43846,MYR
2014-02-11,0.171,0.198,0.171,0.195,308384,MYR
2014-02-12,0.195,0.195,0.195,0.195,49692,MYR
2014-02-17,0.198,0.198,0.198,0.198,139869,MYR
2014-02-18,0.181,0.192,0.178,0.192,93831,MYR
2014-02-21,0.192,0.192,0.192,0.192,20900,MYR
2014-02-25,0.181,0.181,0.181,0.181,29231,MYR
2014-02-27,0.181,0.181,0.178,0.178,58462,MYR
2014-02-28,0.181,0.181,0.171,0.171,307946,MYR
2014-03-04,0.164,0.164,0.164,0.164,29231,MYR
2014-03-05,0.164,0.164,0.164,0.164,87692,MYR
2014-03-10,0.154,0.154,0.154,0.154,65623,MYR
2014-03-18,0.154,0.154,0.144,0.144,9646,MYR
2014-03-25,0.154,0.154,0.154,0.154,14615,MYR
2014-04-08,0.154,0.154,0.154,0.154,3946,MYR
2014-04-09,0.164,0.198,0.164,0.198,207831,MYR
2014-04-10,0.195,0.195,0.174,0.188,66062,MYR
2014-04-11,0.188,0.188,0.168,0.171,625392,MYR
2014-04-14,0.171,0.178,0.171,0.178,105231,MYR
2014-04-15,0.178,0.185,0.178,0.185,232385,MYR
2014-04-16,0.181,0.181,0.181,0.181,99385,MYR
2014-04-17,0.185,0.188,0.185,0.188,175385,MYR
2014-04-18,0.192,0.198,0.192,0.198,30692,MYR
2014-04-21,0.202,0.222,0.198,0.215,709576,MYR
2014-04-22,0.226,0.243,0.222,0.226,551438,MYR
2014-04-23,0.222,0.222,0.215,0.219,116923,MYR
2014-04-24,0.215,0.215,0.215,0.215,233554,MYR
2014-04-25,0.212,0.212,0.212,0.212,91785,MYR
2014-04-28,0.212,0.219,0.209,0.209,234577,MYR
2014-04-29,0.202,0.202,0.202,0.202,7308,MYR
2014-04-30,0.205,0.205,0.202,0.202,42385,MYR
2014-05-02,0.205,0.215,0.205,0.215,135192,MYR
2014-05-05,0.202,0.215,0.202,0.215,73223,MYR
2014-05-06,0.198,0.198,0.198,0.198,29231,MYR
2014-05-08,0.239,0.239,0.215,0.222,75269,MYR
2014-05-09,0.215,0.219,0.212,0.212,149369,MYR
2014-05-12,0.209,0.209,0.209,0.209,14908,MYR
2014-05-14,0.212,0.215,0.212,0.215,16223,MYR
2014-05-15,0.212,0.212,0.164,0.185,3630021,MYR
2014-05-16,0.178,0.185,0.178,0.178,1531691,MYR
2014-05-19,0.171,0.178,0.171,0.174,542815,MYR
2014-05-20,0.174,0.181,0.171,0.174,310577,MYR
2014-05-21,0.174,0.174,0.168,0.168,119992,MYR
2014-05-22,0.164,0.171,0.164,0.171,52615,MYR
2014-05-23,0.171,0.171,0.168,0.168,307361,MYR
2014-05-26,0.168,0.178,0.168,0.178,265708,MYR
2014-05-27,0.178,0.178,0.174,0.174,45308,MYR
2014-05-28,0.168,0.168,0.168,0.168,11692,MYR
2014-05-29,0.164,0.164,0.164,0.164,29523,MYR
2014-06-02,0.168,0.168,0.168,0.168,39754,MYR
2014-06-04,0.168,0.168,0.168,0.168,29231,MYR
2014-06-05,0.168,0.168,0.164,0.164,224200,MYR
2014-06-06,0.168,0.178,0.168,0.174,82869,MYR
2014-06-09,0.171,0.171,0.171,0.171,32154,MYR
2014-06-13,0.178,0.178,0.178,0.178,30692,MYR
2014-06-18,0.171,0.171,0.171,0.171,29231,MYR
2014-06-19,0.181,0.181,0.181,0.181,40923,MYR
2014-06-20,0.174,0.178,0.174,0.178,17831,MYR
2014-06-24,0.181,0.181,0.181,0.181,585,MYR
2014-06-25,0.178,0.185,0.178,0.185,73223,MYR
2014-06-27,0.178,0.185,0.178,0.185,222154,MYR
2014-06-30,0.178,0.185,0.178,0.185,116923,MYR
2014-07-01,0.181,0.185,0.181,0.185,81846,MYR
2014-07-02,0.192,0.192,0.192,0.192,102308,MYR
2014-07-03,0.185,0.188,0.185,0.188,152438,MYR
2014-07-07,0.192,0.192,0.192,0.192,93538,MYR
2014-07-08,0.195,0.195,0.178,0.178,14615,MYR
2014-07-09,0.178,0.178,0.178,0.178,71615,MYR
2014-07-10,0.188,0.192,0.188,0.192,67231,MYR
2014-07-11,0.188,0.188,0.188,0.188,35077,MYR
2014-07-16,0.178,0.178,0.178,0.178,1462,MYR
2014-07-17,0.178,0.178,0.178,0.178,36538,MYR
2014-07-18,0.178,0.188,0.178,0.185,44431,MYR
2014-07-22,0.185,0.195,0.185,0.188,24846,MYR
2014-07-23,0.178,0.192,0.178,0.192,200961,MYR
2014-07-24,0.185,0.185,0.178,0.181,154923,MYR
2014-07-25,0.185,0.188,0.181,0.181,106692,MYR
2014-07-30,0.178,0.192,0.178,0.192,178454,MYR
2014-08-05,0.178,0.205,0.178,0.178,70446,MYR
2014-08-06,0.185,0.192,0.185,0.192,193361,MYR
2014-08-07,0.188,0.188,0.188,0.188,29231,MYR
2014-08-08,0.185,0.188,0.185,0.185,10231,MYR
2014-08-11,0.181,0.181,0.181,0.181,1462,MYR
2014-08-12,0.185,0.185,0.181,0.181,103769,MYR
2014-08-13,0.185,0.185,0.185,0.185,14615,MYR
2014-08-14,0.185,0.195,0.185,0.195,114000,MYR
2014-08-15,0.195,0.198,0.195,0.198,118385,MYR
2014-08-18,0.192,0.192,0.188,0.188,200231,MYR
2014-08-19,0.192,0.195,0.192,0.195,87692,MYR
2014-08-20,0.195,0.215,0.195,0.205,458777,MYR
2014-08-21,0.202,0.205,0.192,0.205,38292,MYR
2014-08-25,0.195,0.209,0.195,0.209,44138,MYR
2014-08-26,0.202,0.202,0.195,0.195,96023,MYR
2014-08-27,0.198,0.198,0.198,0.198,29231,MYR
2014-08-28,0.198,0.198,0.198,0.198,29231,MYR
2014-08-29,0.192,0.192,0.185,0.192,74831,MYR
2014-09-02,0.192,0.192,0.192,0.192,29231,MYR
2014-09-04,0.205,0.205,0.205,0.205,292,MYR
2014-09-08,0.215,0.215,0.192,0.212,1754,MYR
2014-09-09,0.198,0.209,0.195,0.195,44869,MYR
2014-09-12,0.209,0.219,0.185,0.185,1608,MYR
2014-09-15,0.198,0.219,0.198,0.219,1126845,MYR
2014-09-17,0.219,0.236,0.212,0.233,2389760,MYR
2014-09-18,0.229,0.229,0.222,0.229,791130,MYR
2014-09-19,0.229,0.233,0.226,0.233,973384,MYR
2014-09-22,0.233,0.26,0.229,0.246,4588205,MYR
2014-09-23,0.257,0.26,0.25,0.257,1516199,MYR
2014-09-24,0.253,0.263,0.243,0.26,2733660,MYR
2014-09-25,0.275,0.275,0.25,0.265,1418100,MYR
2014-09-26,0.265,0.265,0.255,0.26,345300,MYR
2014-09-29,0.26,0.26,0.24,0.245,439100,MYR
2014-09-30,0.24,0.24,0.23,0.24,312600,MYR
2014-10-01,0.23,0.24,0.23,0.24,339800,MYR
2014-10-02,0.235,0.27,0.23,0.25,1373000,MYR
2014-10-03,0.25,0.3,0.25,0.265,4947700,MYR
2014-10-07,0.275,0.275,0.235,0.24,536600,MYR
2014-10-08,0.24,0.245,0.22,0.225,273200,MYR
2014-10-09,0.235,0.255,0.235,0.245,930600,MYR
2014-10-10,0.235,0.235,0.215,0.225,1106500,MYR
2014-10-13,0.235,0.235,0.215,0.22,257200,MYR
2014-10-14,0.205,0.23,0.205,0.21,134600,MYR
2014-10-15,0.21,0.22,0.21,0.22,142000,MYR
2014-10-16,0.205,0.205,0.18,0.18,524600,MYR
2014-10-17,0.195,0.22,0.19,0.19,165900,MYR
2014-10-20,0.2,0.22,0.195,0.195,114200,MYR
2014-10-21,0.215,0.215,0.19,0.2,24300,MYR
2014-10-23,0.19,0.205,0.19,0.205,149400,MYR
2014-10-27,0.19,0.195,0.19,0.195,751700,MYR
2014-10-28,0.195,0.2,0.195,0.2,415700,MYR
2014-10-29,0.195,0.205,0.195,0.195,2469400,MYR
2014-10-30,0.195,0.195,0.18,0.19,603900,MYR
2014-10-31,0.19,0.2,0.185,0.195,1606700,MYR
2014-11-03,0.195,0.2,0.19,0.19,751100,MYR
2014-11-04,0.19,0.19,0.185,0.19,618900,MYR
2014-11-05,0.19,0.2,0.185,0.2,1032500,MYR
2014-11-06,0.2,0.27,0.2,0.26,64753100,MYR
2014-11-07,0.27,0.275,0.255,0.255,20136500,MYR
2014-11-10,0.26,0.265,0.22,0.24,3960400,MYR
2014-11-11,0.235,0.255,0.225,0.235,2844600,MYR
2014-11-12,0.24,0.255,0.23,0.25,9487700,MYR
2014-11-13,0.245,0.255,0.22,0.23,15037100,MYR
2014-11-14,0.23,0.245,0.225,0.225,5991200,MYR
2014-11-17,0.225,0.23,0.215,0.215,1455000,MYR
