Date,Open,High,Low,Close,Volume,Currency
2011-09-26,5.97,5.97,5.76,5.84,1101000,MYR
2011-09-27,5.93,5.99,5.88,5.91,931500,MYR
2011-09-28,5.96,6.14,5.92,6.1,1433900,MYR
2011-09-29,6.0,6.17,5.98,6.09,936800,MYR
2011-09-30,6.11,6.19,6.01,6.12,1065900,MYR
2011-10-03,6.3,6.3,5.94,5.95,641000,MYR
2011-10-04,5.93,6.04,5.9,5.9,268600,MYR
2011-10-05,5.96,6.03,5.9,5.9,398100,MYR
2011-10-06,5.95,6.04,5.95,6.04,515900,MYR
2011-10-07,6.11,6.17,6.01,6.08,577000,MYR
2011-10-10,6.04,6.07,5.98,6.07,262000,MYR
2011-10-11,6.15,6.18,6.12,6.17,696300,MYR
2011-10-12,6.16,6.2,6.11,6.2,533200,MYR
2011-10-13,6.25,6.38,6.24,6.36,1252400,MYR
2011-10-14,6.34,6.38,6.24,6.34,579500,MYR
2011-10-17,6.35,6.5,6.35,6.44,845000,MYR
2011-10-18,6.4,6.4,6.25,6.27,434400,MYR
2011-10-19,6.35,6.41,6.31,6.41,395300,MYR
2011-10-20,6.4,6.4,6.3,6.39,282600,MYR
2011-10-21,6.45,6.49,6.2,6.35,652600,MYR
2011-10-24,6.45,6.46,6.37,6.38,410100,MYR
2011-10-25,6.41,6.54,6.39,6.5,1001400,MYR
2011-10-27,6.48,6.62,6.45,6.58,1127500,MYR
2011-10-28,6.7,6.8,6.66,6.77,1889500,MYR
2011-10-31,6.77,6.8,6.69,6.79,645100,MYR
2011-11-01,6.69,6.71,6.57,6.58,676700,MYR
2011-11-02,6.46,6.66,6.45,6.63,806300,MYR
2011-11-03,6.64,6.69,6.51,6.63,424200,MYR
2011-11-04,6.63,6.7,6.63,6.7,582600,MYR
2011-11-08,6.75,6.75,6.65,6.69,530800,MYR
2011-11-09,6.69,6.82,6.69,6.77,665700,MYR
2011-11-10,6.63,6.69,6.59,6.59,509600,MYR
2011-11-11,6.65,6.65,6.59,6.64,231900,MYR
2011-11-14,6.75,6.75,6.68,6.72,248300,MYR
2011-11-15,6.68,6.75,6.68,6.74,420400,MYR
2011-11-16,6.67,6.73,6.66,6.7,417900,MYR
2011-11-17,6.7,6.7,6.6,6.6,204300,MYR
2011-11-18,6.57,6.67,6.51,6.52,471000,MYR
2011-11-21,6.5,6.5,6.37,6.37,1135800,MYR
2011-11-22,6.35,6.42,6.31,6.41,453500,MYR
2011-11-23,6.4,6.45,6.4,6.43,683200,MYR
2011-11-24,6.42,6.49,6.38,6.46,455200,MYR
2011-11-25,6.45,6.51,6.45,6.48,259700,MYR
2011-11-29,6.51,6.57,6.36,6.36,440200,MYR
2011-11-30,6.42,6.57,6.42,6.57,339300,MYR
2011-12-01,6.63,6.7,6.52,6.56,603900,MYR
2011-12-02,6.56,6.69,6.5,6.69,268100,MYR
2011-12-05,6.68,6.68,6.56,6.6,189300,MYR
2011-12-06,6.58,6.61,6.52,6.61,236100,MYR
2011-12-07,6.6,6.68,6.59,6.68,278700,MYR
2011-12-08,6.66,6.68,6.6,6.67,217800,MYR
2011-12-09,6.6,6.67,6.55,6.57,145100,MYR
2011-12-12,6.65,6.65,6.55,6.55,102400,MYR
2011-12-13,6.63,6.65,6.55,6.59,305500,MYR
2011-12-14,6.57,6.6,6.52,6.54,104400,MYR
2011-12-15,6.58,6.74,6.54,6.59,545000,MYR
2011-12-16,6.64,6.65,6.58,6.58,310700,MYR
2011-12-19,6.56,6.58,6.49,6.52,1585800,MYR
2011-12-20,6.51,6.57,6.51,6.54,504100,MYR
2011-12-21,6.59,6.61,6.55,6.61,148000,MYR
2011-12-22,6.61,6.69,6.61,6.67,145000,MYR
2011-12-23,6.66,6.69,6.61,6.69,248400,MYR
2011-12-27,6.7,6.7,6.65,6.7,123000,MYR
2011-12-28,6.65,6.7,6.63,6.65,99500,MYR
2011-12-29,6.63,6.71,6.63,6.71,272400,MYR
2011-12-30,6.71,6.72,6.63,6.7,282700,MYR
2012-01-03,6.71,6.75,6.69,6.74,93200,MYR
2012-01-04,6.75,6.83,6.74,6.76,646800,MYR
2012-01-05,6.8,6.8,6.77,6.79,193200,MYR
2012-01-06,6.78,6.79,6.71,6.78,346000,MYR
2012-01-09,6.78,6.79,6.72,6.78,179800,MYR
2012-01-10,6.78,6.8,6.78,6.79,319800,MYR
2012-01-11,6.79,6.86,6.78,6.86,260500,MYR
2012-01-12,6.85,7.05,6.85,7.03,1056400,MYR
2012-01-13,7.04,7.08,6.97,6.98,442800,MYR
2012-01-16,6.91,6.91,6.82,6.82,373900,MYR
2012-01-17,6.82,6.94,6.82,6.9,387200,MYR
