Date,Open,High,Low,Close,Volume,Currency
2013-02-27,2.41,2.41,2.39,2.39,197200,MYR
2013-02-28,2.4,2.41,2.32,2.37,212600,MYR
2013-03-01,2.36,2.36,2.32,2.35,14100,MYR
2013-03-04,2.31,2.31,2.31,2.31,25000,MYR
2013-03-05,2.33,2.42,2.32,2.38,115800,MYR
2013-03-06,2.37,2.42,2.36,2.39,237500,MYR
2013-03-07,2.42,2.42,2.35,2.41,33100,MYR
2013-03-08,2.39,2.42,2.39,2.4,91800,MYR
2013-03-11,2.39,2.42,2.36,2.42,91700,MYR
2013-03-12,2.42,2.42,2.38,2.4,817000,MYR
2013-03-13,2.4,2.4,2.35,2.35,232200,MYR
2013-03-14,2.35,2.35,2.34,2.34,15800,MYR
2013-03-15,2.34,2.34,2.33,2.33,43000,MYR
2013-03-18,2.34,2.34,2.29,2.29,650200,MYR
2013-03-19,2.33,2.33,2.28,2.29,71400,MYR
2013-03-20,2.28,2.31,2.28,2.3,308200,MYR
2013-03-21,2.3,2.3,2.29,2.3,68000,MYR
2013-03-22,2.29,2.3,2.28,2.28,145600,MYR
2013-03-25,2.3,2.3,2.29,2.29,42000,MYR
2013-03-26,2.29,2.3,2.29,2.29,238200,MYR
2013-03-27,2.29,2.4,2.29,2.29,222600,MYR
2013-03-28,2.3,2.32,2.3,2.32,23000,MYR
2013-03-29,2.32,2.32,2.31,2.31,59000,MYR
2013-04-01,2.33,2.34,2.33,2.34,10000,MYR
2013-04-02,2.39,2.47,2.39,2.47,553200,MYR
2013-04-03,2.49,2.58,2.43,2.56,1233600,MYR
2013-04-04,2.56,2.67,2.55,2.64,649400,MYR
2013-04-05,2.65,2.74,2.63,2.73,1053700,MYR
2013-04-08,2.78,2.8,2.65,2.66,702800,MYR
2013-04-09,2.66,2.66,2.56,2.6,507700,MYR
2013-04-10,2.58,2.58,2.55,2.55,222700,MYR
2013-04-11,2.55,2.62,2.53,2.62,213500,MYR
2013-04-12,2.62,2.63,2.59,2.62,112400,MYR
2013-04-15,2.61,2.65,2.61,2.63,168200,MYR
2013-04-16,2.61,2.62,2.6,2.61,173200,MYR
2013-04-17,2.61,2.64,2.6,2.64,253300,MYR
2013-04-18,2.61,2.63,2.58,2.6,141000,MYR
2013-04-19,2.59,2.59,2.55,2.57,139400,MYR
2013-04-22,2.57,2.57,2.47,2.5,126500,MYR
2013-04-23,2.5,2.52,2.47,2.52,181700,MYR
2013-04-24,2.52,2.6,2.46,2.51,115800,MYR
2013-04-25,2.51,2.51,2.46,2.47,77800,MYR
2013-04-26,2.46,2.47,2.44,2.46,185000,MYR
2013-04-29,2.45,2.49,2.44,2.48,63500,MYR
2013-04-30,2.48,2.51,2.46,2.46,186600,MYR
2013-05-02,2.45,2.49,2.45,2.47,170200,MYR
2013-05-03,2.45,2.48,2.42,2.48,150300,MYR
2013-05-06,2.5,2.59,2.5,2.56,669400,MYR
2013-05-07,2.56,2.67,2.56,2.63,454900,MYR
2013-05-08,2.63,2.65,2.62,2.62,359000,MYR
2013-05-09,2.64,2.64,2.58,2.6,228900,MYR
2013-05-10,2.63,3.0,2.63,3.0,1556800,MYR
2013-05-13,3.04,3.6,3.04,3.54,5350700,MYR
2013-05-14,3.56,3.59,3.26,3.27,1553600,MYR
2013-05-15,3.29,3.48,3.27,3.46,1464200,MYR
2013-05-16,3.4,3.5,3.36,3.4,1332600,MYR
2013-05-17,3.45,3.46,3.36,3.46,1065800,MYR
2013-05-20,3.48,3.48,3.34,3.38,1373300,MYR
2013-05-21,3.4,3.4,3.24,3.33,1798500,MYR
2013-05-22,3.33,3.51,3.27,3.32,3318300,MYR
2013-05-23,3.41,3.5,3.2,3.25,2402700,MYR
2013-05-27,3.28,3.34,3.23,3.25,351400,MYR
2013-05-28,3.23,3.3,3.2,3.23,618500,MYR
2013-05-29,3.23,3.46,3.23,3.45,1663600,MYR
2013-05-30,3.4,3.48,3.23,3.33,1929300,MYR
2013-05-31,3.33,3.42,3.33,3.39,457200,MYR
2013-06-03,3.3,3.34,3.28,3.29,98000,MYR
2013-06-04,3.3,3.31,3.27,3.29,219800,MYR
2013-06-05,3.35,3.35,3.27,3.29,165200,MYR
2013-06-06,3.29,3.35,3.29,3.33,239400,MYR
2013-06-07,3.36,3.63,3.36,3.53,1977300,MYR
2013-06-10,3.63,3.68,3.62,3.62,779900,MYR
2013-06-11,3.58,3.61,3.5,3.54,438400,MYR
2013-06-12,3.52,3.55,3.48,3.48,293400,MYR
2013-06-13,3.48,3.48,3.32,3.38,389600,MYR
2013-06-14,3.4,3.48,3.32,3.38,248600,MYR
2013-06-17,3.39,3.44,3.39,3.4,89600,MYR
2013-06-18,3.42,3.47,3.4,3.47,100100,MYR
2013-06-19,3.5,3.5,3.4,3.44,158000,MYR
2013-06-20,3.4,3.44,3.34,3.37,199500,MYR
2013-06-21,3.32,3.34,3.22,3.34,397600,MYR
2013-06-24,3.38,3.38,3.25,3.25,230100,MYR
