Date,Open,High,Low,Close,Volume,Currency
2014-11-11,1.15,1.17,1.12,1.14,4075400,MYR
2014-11-12,1.15,1.15,1.1,1.14,1856100,MYR
2014-11-13,1.14,1.14,1.12,1.14,1201900,MYR
2014-11-14,1.14,1.15,1.12,1.14,10608000,MYR
2014-11-17,1.15,1.17,1.12,1.13,2116400,MYR
2014-11-18,1.14,1.14,1.12,1.13,1765100,MYR
2014-11-19,1.13,1.19,1.12,1.18,3769400,MYR
2014-11-20,1.18,1.19,1.14,1.15,5238600,MYR
2014-11-21,1.14,1.16,1.14,1.15,752500,MYR
2014-11-24,1.16,1.16,1.15,1.15,380500,MYR
2014-11-25,1.14,1.15,1.12,1.13,1693800,MYR
2014-11-26,1.14,1.14,1.12,1.14,2217600,MYR
2014-11-27,1.14,1.14,1.13,1.14,410300,MYR
2014-11-28,1.13,1.14,1.12,1.14,804000,MYR
2014-12-01,1.12,1.12,1.07,1.07,1104700,MYR
2014-12-02,1.08,1.08,1.04,1.06,655100,MYR
2014-12-03,1.06,1.07,1.04,1.04,1424500,MYR
2014-12-04,1.02,1.04,0.99,1.01,1190100,MYR
2014-12-05,1.0,1.06,1.0,1.03,1264000,MYR
2014-12-08,1.01,1.01,0.995,1.0,307100,MYR
2014-12-09,0.995,1.04,0.96,1.01,673300,MYR
2014-12-10,1.01,1.02,1.0,1.0,378700,MYR
2014-12-11,0.99,0.99,0.92,0.945,571900,MYR
2014-12-12,0.97,0.97,0.91,0.95,705300,MYR
2014-12-15,0.935,0.935,0.885,0.895,170700,MYR
2014-12-16,0.865,0.88,0.81,0.845,2446400,MYR
2014-12-17,0.845,0.95,0.84,0.865,1869700,MYR
2014-12-18,0.865,0.9,0.86,0.9,289700,MYR
2014-12-19,0.91,1.0,0.905,0.93,801200,MYR
2014-12-22,0.97,0.98,0.93,0.97,983000,MYR
2014-12-23,0.965,0.99,0.925,0.94,1062400,MYR
2014-12-24,0.95,0.95,0.945,0.945,11600,MYR
2014-12-26,0.94,0.955,0.935,0.935,1474000,MYR
2014-12-29,0.945,0.95,0.935,0.94,631300,MYR
2014-12-30,0.93,0.945,0.925,0.925,1054600,MYR
2014-12-31,0.925,0.95,0.92,0.925,380100,MYR
2015-01-02,0.94,0.96,0.92,0.96,602500,MYR
2015-01-05,0.945,0.955,0.94,0.95,554300,MYR
2015-01-06,0.92,0.94,0.915,0.94,1219100,MYR
2015-01-07,0.935,0.96,0.93,0.93,342000,MYR
