Date,Open,High,Low,Close,Volume,Currency
2013-02-27,0.89,0.89,0.885,0.89,73000,MYR
2013-02-28,0.885,0.885,0.885,0.885,62500,MYR
2013-03-01,0.885,0.885,0.885,0.885,171900,MYR
2013-03-04,0.885,0.89,0.87,0.89,40000,MYR
2013-03-05,0.885,0.885,0.875,0.88,79000,MYR
2013-03-06,0.885,0.885,0.875,0.885,119100,MYR
2013-03-07,0.89,0.9,0.88,0.885,364500,MYR
2013-03-08,0.885,0.9,0.885,0.895,108100,MYR
2013-03-11,0.905,0.91,0.89,0.905,294900,MYR
2013-03-12,0.9,0.92,0.895,0.9,342000,MYR
2013-03-13,0.91,0.92,0.885,0.9,218500,MYR
2013-03-14,0.9,0.9,0.88,0.9,36000,MYR
2013-03-15,0.88,0.9,0.88,0.885,36000,MYR
2013-03-18,0.905,0.915,0.89,0.9,328200,MYR
2013-03-19,0.895,0.905,0.895,0.905,116600,MYR
2013-03-20,0.905,0.91,0.89,0.89,263000,MYR
2013-03-21,0.89,0.9,0.88,0.9,86600,MYR
2013-03-22,0.9,0.9,0.885,0.9,182900,MYR
2013-03-25,0.9,0.915,0.89,0.9,300000,MYR
2013-03-26,0.9,0.915,0.9,0.9,958500,MYR
2013-03-27,0.9,0.905,0.9,0.905,261300,MYR
2013-03-28,0.9,0.905,0.895,0.905,96600,MYR
2013-03-29,0.9,0.905,0.89,0.89,58800,MYR
2013-04-01,0.89,0.89,0.88,0.88,138600,MYR
2013-04-02,0.88,0.905,0.88,0.9,274600,MYR
2013-04-03,0.885,0.895,0.885,0.89,116100,MYR
2013-04-04,0.88,0.89,0.88,0.89,22300,MYR
2013-04-05,0.89,0.89,0.88,0.89,298400,MYR
2013-04-08,0.88,0.885,0.875,0.88,263800,MYR
2013-04-09,0.88,0.9,0.88,0.895,597200,MYR
2013-04-10,0.9,0.9,0.89,0.9,115000,MYR
2013-04-11,0.9,0.935,0.9,0.92,1575700,MYR
2013-04-12,0.915,0.92,0.895,0.895,231100,MYR
2013-04-15,0.9,0.93,0.895,0.91,303700,MYR
2013-04-16,0.9,0.9,0.89,0.895,52700,MYR
2013-04-17,0.895,0.895,0.88,0.88,273000,MYR
2013-04-18,0.885,0.9,0.885,0.9,93000,MYR
2013-04-19,0.9,0.9,0.88,0.88,118900,MYR
2013-04-22,0.88,0.9,0.88,0.89,122100,MYR
2013-04-23,0.89,0.89,0.88,0.88,112000,MYR
2013-04-24,0.885,0.89,0.88,0.89,23100,MYR
2013-04-25,0.89,0.9,0.89,0.895,75800,MYR
2013-04-26,0.89,0.9,0.88,0.88,305000,MYR
