Date,Open,High,Low,Close,Volume,Currency
2013-02-20,0.74,0.74,0.74,0.74,10000,MYR
2013-02-21,0.75,0.75,0.75,0.75,22500,MYR
2013-03-01,0.77,0.77,0.75,0.75,15000,MYR
2013-03-04,0.75,0.75,0.75,0.75,10000,MYR
2013-03-05,0.75,0.75,0.75,0.75,5000,MYR
2013-03-06,0.75,0.76,0.75,0.75,40000,MYR
2013-03-13,0.75,0.75,0.75,0.75,8000,MYR
2013-03-15,0.75,0.75,0.75,0.75,4500,MYR
2013-03-20,0.75,0.75,0.75,0.75,7500,MYR
2013-03-26,0.75,0.76,0.75,0.76,30000,MYR
2013-03-28,0.78,0.78,0.78,0.78,19500,MYR
2013-04-02,0.78,0.78,0.78,0.78,5000,MYR
2013-04-03,0.755,0.755,0.755,0.755,3000,MYR
2013-04-08,0.75,0.75,0.75,0.75,5500,MYR
2013-04-11,0.75,0.75,0.75,0.75,2500,MYR
2013-04-15,0.75,0.75,0.75,0.75,12500,MYR
2013-04-17,0.75,0.75,0.75,0.75,2500,MYR
2013-04-18,0.75,0.75,0.75,0.75,7500,MYR
2013-04-29,0.75,0.75,0.75,0.75,7500,MYR
2013-05-07,0.75,0.75,0.75,0.75,2500,MYR
2013-05-09,0.75,0.75,0.75,0.75,12500,MYR
2013-05-13,0.75,0.75,0.75,0.75,35000,MYR
2013-05-14,0.85,0.85,0.75,0.75,23500,MYR
2013-05-16,0.75,0.75,0.75,0.75,1000,MYR
2013-05-22,0.75,0.75,0.75,0.75,1000,MYR
2013-05-23,0.75,0.75,0.75,0.75,2500,MYR
2013-05-29,0.75,0.76,0.74,0.76,17000,MYR
2013-05-30,0.755,0.755,0.755,0.755,30000,MYR
2013-05-31,0.755,0.76,0.755,0.755,57000,MYR
2013-06-03,0.755,0.755,0.755,0.755,2500,MYR
2013-06-04,0.85,0.85,0.85,0.85,3000,MYR
2013-06-06,0.755,0.755,0.755,0.755,4500,MYR
2013-06-10,0.75,0.75,0.75,0.75,2500,MYR
2013-06-12,0.75,0.75,0.75,0.75,9000,MYR
2013-06-14,0.75,0.75,0.75,0.75,8000,MYR
2013-06-20,0.75,0.75,0.75,0.75,20000,MYR
2013-06-24,0.75,0.75,0.75,0.75,17500,MYR
2013-06-25,0.75,0.75,0.75,0.75,2500,MYR
2013-06-26,0.75,0.75,0.75,0.75,5000,MYR
2013-07-09,0.75,0.75,0.75,0.75,2500,MYR
2013-07-19,0.755,0.755,0.755,0.755,2500,MYR
2013-07-22,0.755,0.755,0.755,0.755,2000,MYR
2013-07-25,0.76,0.76,0.755,0.755,12500,MYR
2013-07-26,0.755,0.755,0.75,0.755,71100,MYR
2013-07-29,0.76,0.76,0.76,0.76,7500,MYR
2013-08-12,0.755,0.755,0.755,0.755,7000,MYR
2013-08-20,0.76,0.76,0.76,0.76,16000,MYR
2013-08-22,0.76,0.76,0.76,0.76,2000,MYR
2013-08-23,0.76,0.76,0.76,0.76,11500,MYR
2013-08-27,0.76,0.76,0.75,0.76,102400,MYR
2013-09-02,0.76,0.76,0.76,0.76,2000,MYR
2013-09-05,0.76,0.76,0.76,0.76,3000,MYR
2013-09-09,0.76,0.76,0.76,0.76,1000,MYR
2013-09-12,0.76,0.76,0.76,0.76,2500,MYR
2013-09-17,0.76,0.76,0.76,0.76,5000,MYR
2013-09-25,0.765,0.77,0.765,0.77,7500,MYR
2013-10-10,0.8,0.8,0.8,0.8,4000,MYR
2013-10-11,0.8,0.8,0.8,0.8,15000,MYR
2013-10-17,0.8,0.8,0.8,0.8,5000,MYR
2013-10-21,0.8,0.8,0.8,0.8,3000,MYR
2013-10-29,0.8,0.8,0.8,0.8,9000,MYR
2013-10-30,0.8,0.8,0.8,0.8,10000,MYR
2013-10-31,0.83,0.865,0.83,0.865,48900,MYR
2013-11-01,0.87,0.875,0.835,0.875,27500,MYR
2013-11-08,0.83,0.83,0.83,0.83,2500,MYR
2013-11-11,0.8,0.8,0.8,0.8,2000,MYR
2013-11-12,0.8,0.8,0.8,0.8,2000,MYR
2013-11-13,0.85,0.85,0.85,0.85,2000,MYR
2013-11-14,0.85,0.85,0.85,0.85,12500,MYR
2013-11-19,0.88,0.88,0.88,0.88,10500,MYR
2013-11-22,0.89,0.9,0.89,0.9,10000,MYR
2013-11-25,0.9,0.9,0.9,0.9,8000,MYR
2013-11-28,0.9,0.9,0.9,0.9,8500,MYR
2013-11-29,0.9,0.9,0.9,0.9,13500,MYR
2013-12-02,0.9,0.9,0.9,0.9,10000,MYR
2013-12-05,0.9,0.9,0.9,0.9,3000,MYR
2013-12-09,0.825,0.825,0.825,0.825,5000,MYR
2013-12-10,0.83,0.83,0.83,0.83,20000,MYR
2013-12-17,0.85,0.9,0.85,0.9,25000,MYR
2013-12-18,0.9,0.9,0.85,0.85,54000,MYR
2013-12-19,0.9,0.9,0.9,0.9,26700,MYR
2013-12-20,0.9,0.9,0.86,0.86,23200,MYR
2013-12-23,0.86,0.9,0.86,0.9,20500,MYR
2013-12-24,0.92,0.92,0.875,0.875,2500,MYR
2013-12-26,0.88,0.88,0.88,0.88,22500,MYR
2013-12-30,0.9,0.9,0.9,0.9,10000,MYR
2014-01-03,0.86,0.9,0.86,0.9,10000,MYR
2014-01-07,0.9,0.9,0.9,0.9,7500,MYR
2014-01-15,0.9,0.9,0.9,0.9,5000,MYR
2014-01-16,0.9,0.9,0.9,0.9,10000,MYR
2014-01-21,0.9,0.9,0.9,0.9,41600,MYR
2014-02-04,0.9,0.9,0.9,0.9,15000,MYR
2014-02-06,0.9,0.9,0.9,0.9,5000,MYR
2014-02-12,0.9,0.9,0.9,0.9,15000,MYR
2014-02-13,0.92,0.92,0.92,0.92,10000,MYR
2014-02-14,0.92,0.92,0.92,0.92,10000,MYR
2014-02-17,0.91,0.91,0.9,0.9,22500,MYR
2014-02-19,0.89,0.925,0.865,0.925,66500,MYR
2014-02-21,0.9,0.9,0.9,0.9,2000,MYR
2014-02-25,0.9,0.9,0.9,0.9,2500,MYR
2014-02-28,0.915,0.92,0.915,0.92,20000,MYR
2014-03-19,0.92,0.92,0.92,0.92,12500,MYR
2014-03-21,0.92,0.92,0.92,0.92,5500,MYR
2014-03-25,0.85,0.91,0.85,0.91,14500,MYR
2014-03-26,0.91,0.95,0.91,0.95,20500,MYR
2014-03-27,0.95,0.95,0.95,0.95,1500,MYR
2014-04-01,0.95,0.95,0.95,0.95,10000,MYR
2014-04-02,0.95,0.95,0.95,0.95,5000,MYR
2014-04-04,0.95,0.95,0.91,0.91,2500,MYR
2014-04-09,0.91,0.91,0.91,0.91,21000,MYR
2014-04-11,0.91,0.91,0.91,0.91,2500,MYR
2014-04-14,0.95,0.95,0.95,0.95,8500,MYR
2014-04-15,0.95,0.95,0.95,0.95,12500,MYR
2014-04-21,0.95,0.955,0.95,0.95,40500,MYR
2014-04-22,0.95,0.95,0.92,0.95,17500,MYR
2014-04-23,0.96,0.96,0.96,0.96,15000,MYR
2014-04-24,0.925,0.925,0.925,0.925,7500,MYR
2014-04-28,0.95,0.95,0.95,0.95,12500,MYR
2014-04-29,0.925,0.925,0.925,0.925,10000,MYR
2014-04-30,0.925,0.925,0.925,0.925,1000,MYR
2014-05-05,0.925,0.925,0.925,0.925,10000,MYR
2014-05-06,0.93,0.93,0.93,0.93,1000,MYR
2014-05-09,0.92,0.92,0.92,0.92,1000,MYR
2014-05-12,0.93,0.95,0.93,0.95,7000,MYR
2014-05-15,0.925,0.975,0.925,0.975,17700,MYR
2014-05-16,0.945,0.945,0.945,0.945,17000,MYR
2014-05-19,0.965,0.965,0.965,0.965,10000,MYR
2014-05-20,0.965,0.965,0.965,0.965,3000,MYR
2014-05-22,0.95,0.95,0.95,0.95,2500,MYR
2014-05-29,0.95,0.95,0.95,0.95,5000,MYR
2014-06-02,0.96,0.96,0.96,0.96,2000,MYR
2014-06-04,0.96,0.96,0.96,0.96,35000,MYR
2014-06-11,0.96,0.96,0.96,0.96,2500,MYR
2014-06-12,0.96,0.96,0.96,0.96,2500,MYR
2014-06-16,1.0,1.0,0.97,0.97,16500,MYR
2014-06-17,0.97,0.97,0.97,0.97,2500,MYR
2014-06-18,0.98,0.98,0.98,0.98,2000,MYR
2014-06-19,0.98,0.98,0.98,0.98,13600,MYR
2014-06-26,1.0,1.02,1.0,1.0,21000,MYR
2014-06-27,0.955,1.0,0.955,0.995,10000,MYR
2014-07-01,0.97,0.97,0.97,0.97,2000,MYR
2014-07-03,0.97,0.975,0.97,0.975,19000,MYR
2014-07-14,1.03,1.05,1.03,1.05,12500,MYR
2014-07-17,1.0,1.11,1.0,1.11,6000,MYR
2014-07-24,1.14,1.14,1.14,1.14,100,MYR
2014-07-25,1.15,1.15,1.14,1.15,9500,MYR
2014-07-30,1.11,1.11,1.1,1.1,11000,MYR
2014-07-31,1.1,1.1,1.1,1.1,16500,MYR
2014-08-01,1.15,1.15,1.15,1.15,34000,MYR
2014-08-04,1.12,1.25,1.12,1.25,168800,MYR
2014-08-05,1.25,1.25,1.25,1.25,3000,MYR
2014-08-06,1.25,1.25,1.25,1.25,5500,MYR
2014-08-08,1.25,1.25,1.25,1.25,10000,MYR
2014-08-11,1.3,1.34,1.26,1.34,88200,MYR
2014-08-12,1.34,1.34,1.29,1.3,29000,MYR
2014-08-13,1.31,1.36,1.3,1.36,46600,MYR
2014-08-14,1.35,1.35,1.34,1.34,20500,MYR
2014-08-15,1.29,1.29,1.28,1.28,10000,MYR
2014-08-18,1.32,1.36,1.32,1.36,36000,MYR
2014-08-19,1.34,1.35,1.34,1.34,31500,MYR
2014-08-20,1.34,1.36,1.33,1.33,24000,MYR
2014-08-21,1.34,1.38,1.34,1.35,50500,MYR
2014-08-22,1.36,1.42,1.36,1.42,23300,MYR
2014-08-25,1.4,1.45,1.4,1.45,12200,MYR
2014-08-26,1.45,1.45,1.45,1.45,3000,MYR
2014-08-27,1.46,1.48,1.44,1.45,23500,MYR
2014-08-28,1.4,1.4,1.4,1.4,1000,MYR
2014-09-02,1.38,1.38,1.37,1.38,9000,MYR
2014-09-03,1.37,1.38,1.35,1.38,33000,MYR
2014-09-05,1.35,1.35,1.35,1.35,6000,MYR
2014-09-08,1.33,1.33,1.33,1.33,13800,MYR
2014-09-09,1.35,1.4,1.35,1.4,14500,MYR
2014-09-12,1.33,1.33,1.33,1.33,2500,MYR
2014-09-15,1.33,1.33,1.33,1.33,23000,MYR
2014-09-19,1.35,1.4,1.35,1.4,9000,MYR
2014-09-23,1.45,1.5,1.45,1.5,30400,MYR
