Date,Open,High,Low,Close,Volume,Currency
2013-03-01,0.4,0.4,0.4,0.4,4400,MYR
2013-03-04,0.4,0.4,0.4,0.4,2000,MYR
2013-03-07,0.39,0.39,0.39,0.39,4000,MYR
2013-03-11,0.4,0.4,0.4,0.4,10400,MYR
2013-03-27,0.4,0.4,0.4,0.4,3000,MYR
2013-04-10,0.425,0.425,0.425,0.425,1000,MYR
2013-04-12,0.45,0.45,0.38,0.38,12500,MYR
2013-04-15,0.45,0.45,0.41,0.41,24000,MYR
2013-04-16,0.46,0.46,0.45,0.46,8300,MYR
2013-04-17,0.47,0.47,0.47,0.47,900,MYR
2013-04-18,0.42,0.42,0.42,0.42,9800,MYR
2013-04-23,0.4,0.4,0.4,0.4,1000,MYR
2013-05-13,0.4,0.4,0.4,0.4,1600,MYR
2013-05-14,0.4,0.4,0.4,0.4,1000,MYR
2013-05-17,0.405,0.405,0.405,0.405,3000,MYR
2013-05-28,0.42,0.42,0.42,0.42,1000,MYR
2013-05-29,0.5,0.5,0.5,0.5,15000,MYR
2013-07-11,0.45,0.48,0.45,0.48,16000,MYR
2013-07-23,0.45,0.48,0.45,0.48,24500,MYR
2013-08-14,0.45,0.48,0.45,0.48,5500,MYR
2013-08-27,0.42,0.42,0.42,0.42,1000,MYR
2013-09-05,0.48,0.48,0.48,0.48,3300,MYR
2013-09-19,0.485,0.6,0.485,0.58,11000,MYR
2013-09-20,0.63,0.63,0.55,0.55,4000,MYR
2013-10-04,0.485,0.5,0.48,0.5,62800,MYR
2013-10-09,0.5,0.5,0.5,0.5,7000,MYR
2013-10-18,0.5,0.5,0.5,0.5,6000,MYR
2013-10-21,0.48,0.48,0.48,0.48,1000,MYR
2013-10-23,0.48,0.48,0.48,0.48,1400,MYR
2013-10-30,0.63,0.63,0.63,0.63,600,MYR
2013-10-31,0.61,0.62,0.57,0.57,41000,MYR
2013-11-01,0.55,0.57,0.54,0.56,14400,MYR
2013-11-08,0.56,0.56,0.56,0.56,5000,MYR
2013-11-11,0.56,0.56,0.56,0.56,5800,MYR
2013-12-03,0.5,0.5,0.5,0.5,1600,MYR
2013-12-04,0.5,0.505,0.5,0.505,300,MYR
2013-12-06,0.55,0.55,0.55,0.55,3800,MYR
2013-12-10,0.55,0.55,0.55,0.55,10900,MYR
2013-12-11,0.55,0.55,0.55,0.55,2000,MYR
2013-12-12,0.55,0.55,0.55,0.55,17000,MYR
2013-12-13,0.55,0.56,0.55,0.56,15000,MYR
2013-12-16,0.56,0.56,0.56,0.56,24000,MYR
2013-12-18,0.57,0.57,0.57,0.57,400,MYR
2013-12-20,0.59,0.59,0.59,0.59,1000,MYR
2013-12-23,0.65,0.685,0.65,0.685,19500,MYR
2013-12-24,0.685,0.8,0.685,0.78,39000,MYR
2013-12-26,0.79,0.79,0.76,0.76,39000,MYR
2013-12-27,0.7,0.76,0.7,0.72,23500,MYR
2013-12-30,0.76,0.76,0.7,0.745,19000,MYR
2013-12-31,0.74,0.745,0.7,0.7,17500,MYR
2014-01-03,0.7,0.7,0.7,0.7,5000,MYR
2014-01-07,0.7,0.7,0.7,0.7,10000,MYR
2014-01-09,0.7,0.7,0.65,0.7,115000,MYR
2014-01-13,0.7,0.78,0.7,0.7,50000,MYR
2014-01-15,0.7,0.7,0.695,0.7,104000,MYR
2014-01-20,0.735,0.74,0.735,0.74,39000,MYR
2014-01-21,0.72,0.79,0.72,0.79,25000,MYR
2014-01-22,0.74,0.76,0.735,0.735,38800,MYR
2014-01-27,0.715,0.715,0.705,0.705,88000,MYR
2014-01-28,0.705,0.705,0.705,0.705,20000,MYR
2014-01-29,0.7,0.705,0.7,0.705,112000,MYR
2014-02-04,0.705,0.705,0.705,0.705,7000,MYR
2014-02-05,0.705,0.705,0.705,0.705,14500,MYR
2014-02-06,0.705,0.705,0.705,0.705,20000,MYR
2014-02-12,0.7,0.7,0.7,0.7,10000,MYR
2014-02-13,0.7,0.7,0.7,0.7,32000,MYR
2014-02-17,0.75,0.75,0.74,0.74,25000,MYR
2014-02-18,0.705,0.74,0.705,0.74,20000,MYR
2014-02-19,0.74,0.74,0.74,0.74,20900,MYR
2014-02-20,0.76,0.76,0.73,0.73,13500,MYR
2014-02-21,0.72,0.72,0.72,0.72,3400,MYR
2014-02-24,0.76,0.76,0.76,0.76,20000,MYR
2014-02-25,0.76,0.76,0.76,0.76,34000,MYR
2014-02-26,0.76,0.76,0.76,0.76,4900,MYR
2014-02-27,0.76,0.76,0.76,0.76,62400,MYR
2014-02-28,0.76,0.76,0.76,0.76,10000,MYR
2014-03-04,0.76,0.76,0.75,0.75,22000,MYR
2014-03-06,0.75,0.75,0.75,0.75,1000,MYR
2014-03-12,0.755,0.755,0.75,0.75,21700,MYR
2014-03-14,0.76,0.77,0.76,0.77,47000,MYR
2014-03-17,0.78,0.78,0.77,0.77,10100,MYR
2014-03-20,0.77,0.77,0.77,0.77,19900,MYR
2014-03-21,0.75,0.77,0.75,0.77,3000,MYR
2014-03-24,0.75,0.75,0.75,0.75,25000,MYR
2014-03-27,0.75,0.81,0.75,0.81,15500,MYR
2014-03-28,0.75,0.75,0.75,0.75,1000,MYR
2014-04-14,0.74,0.74,0.74,0.74,3400,MYR
2014-04-24,0.74,0.74,0.74,0.74,18800,MYR
2014-04-25,0.8,0.8,0.8,0.8,1300,MYR
2014-05-02,0.82,0.82,0.82,0.82,4900,MYR
2014-05-08,0.75,0.75,0.75,0.75,3000,MYR
2014-05-19,0.75,0.75,0.75,0.75,2000,MYR
2014-05-26,0.75,0.75,0.75,0.75,2500,MYR
2014-05-29,0.75,0.75,0.75,0.75,6800,MYR
2014-06-25,0.755,0.755,0.755,0.755,1000,MYR
2014-07-01,0.74,0.74,0.74,0.74,1400,MYR
2014-07-22,0.82,0.82,0.82,0.82,19600,MYR
2014-07-23,0.82,0.82,0.765,0.765,4400,MYR
2014-07-30,0.8,0.8,0.8,0.8,3000,MYR
2014-08-01,0.82,0.83,0.82,0.83,20000,MYR
2014-08-11,0.78,0.78,0.78,0.78,7000,MYR
2014-08-14,0.75,0.8,0.75,0.8,2100,MYR
2014-08-19,0.8,0.85,0.8,0.85,6000,MYR
2014-08-21,0.85,0.9,0.85,0.89,4300,MYR
2014-08-27,0.88,0.88,0.88,0.88,5000,MYR
2014-09-03,0.875,0.88,0.875,0.88,2000,MYR
2014-09-04,0.86,0.86,0.86,0.86,15400,MYR
2014-09-08,0.86,0.86,0.86,0.86,4900,MYR
2014-09-29,0.85,0.85,0.85,0.85,11000,MYR
2014-10-02,0.895,1.1,0.895,1.04,106100,MYR
2014-10-07,1.0,1.05,1.0,1.05,30000,MYR
2014-10-09,1.0,1.0,1.0,1.0,13000,MYR
2014-10-28,1.0,1.1,1.0,1.1,83000,MYR
2014-10-29,1.0,1.1,1.0,1.1,43000,MYR
2014-10-30,1.02,1.1,1.02,1.1,50800,MYR
2014-10-31,1.1,1.1,1.1,1.1,30000,MYR
2014-11-05,1.1,1.1,1.03,1.1,67400,MYR
2014-11-06,1.1,1.1,1.03,1.03,72200,MYR
2014-11-24,1.0,1.08,1.0,1.08,22200,MYR
2014-11-25,1.08,1.08,1.08,1.08,21000,MYR
2014-11-26,1.0,1.0,1.0,1.0,1500,MYR
2014-12-01,0.96,0.96,0.96,0.96,22400,MYR
2014-12-02,0.96,0.96,0.96,0.96,2400,MYR
2014-12-04,0.96,0.96,0.96,0.96,8000,MYR
2014-12-05,1.04,1.04,1.04,1.04,21500,MYR
2014-12-09,1.04,1.04,1.0,1.0,52000,MYR
2014-12-11,0.96,1.04,0.96,1.04,41000,MYR
2014-12-12,1.01,1.01,1.01,1.01,3000,MYR
2014-12-15,1.0,1.0,0.99,0.99,4100,MYR
2014-12-16,0.98,0.98,0.98,0.98,1500,MYR
2014-12-18,0.96,0.96,0.96,0.96,6800,MYR
2014-12-22,0.94,0.94,0.94,0.94,14000,MYR
2014-12-24,0.93,0.93,0.93,0.93,10000,MYR
2014-12-30,0.93,0.93,0.93,0.93,10000,MYR
2014-12-31,0.98,1.0,0.98,1.0,13000,MYR
2015-01-02,0.93,0.93,0.93,0.93,1800,MYR
2015-01-06,0.95,0.95,0.95,0.95,10000,MYR
2015-01-07,0.98,0.98,0.98,0.98,21800,MYR
2015-01-09,0.96,0.96,0.96,0.96,49000,MYR
2015-01-12,0.96,0.96,0.96,0.96,30000,MYR
2015-01-16,0.96,0.96,0.96,0.96,105000,MYR
2015-01-22,0.95,0.95,0.95,0.95,10000,MYR
2015-01-28,0.95,0.96,0.95,0.96,40000,MYR
2015-02-12,0.96,0.96,0.96,0.96,80000,MYR
2015-02-24,0.965,0.965,0.965,0.965,8000,MYR
2015-02-27,0.965,0.965,0.965,0.965,40000,MYR
2015-03-02,0.96,0.96,0.95,0.95,20000,MYR
2015-03-05,1.0,1.0,1.0,1.0,9900,MYR
2015-03-10,0.96,0.96,0.96,0.96,1000,MYR
2015-03-16,0.96,0.96,0.96,0.96,8000,MYR
2015-03-24,0.96,0.96,0.9,0.905,9100,MYR
2015-03-25,0.9,0.9,0.88,0.88,4000,MYR
2015-04-02,0.88,0.88,0.88,0.88,3400,MYR
2015-04-03,0.88,0.88,0.88,0.88,4400,MYR
2015-04-15,0.87,0.87,0.87,0.87,1000,MYR
2015-04-24,0.875,0.875,0.875,0.875,900,MYR
2015-05-11,0.88,0.96,0.88,0.94,105000,MYR
2015-05-12,0.9,0.91,0.9,0.91,5000,MYR
2015-05-13,0.885,0.885,0.885,0.885,55000,MYR
2015-05-18,0.965,1.14,0.965,1.12,77300,MYR
2015-05-19,1.1,1.1,1.1,1.1,10000,MYR
2015-05-20,1.13,1.15,1.12,1.15,48400,MYR
2015-05-21,1.2,1.25,1.2,1.2,56800,MYR
2015-05-22,1.15,1.22,1.14,1.14,7800,MYR
2015-05-25,1.15,1.15,1.15,1.15,5000,MYR
2015-05-27,0.99,0.99,0.99,0.99,1000,MYR
2015-06-01,1.0,1.0,1.0,1.0,5000,MYR
2015-06-02,0.985,0.995,0.985,0.995,6000,MYR
2015-06-03,1.0,1.01,1.0,1.01,5500,MYR
2015-06-05,1.0,1.24,1.0,1.24,22000,MYR
2015-06-08,1.24,1.24,1.24,1.24,10000,MYR
2015-06-15,1.05,1.05,1.05,1.05,8000,MYR
2015-06-18,1.03,1.03,1.03,1.03,1000,MYR
2015-06-25,1.1,1.1,1.1,1.1,5000,MYR
2015-07-02,1.1,1.1,1.1,1.1,500,MYR
2015-07-09,1.16,1.16,1.16,1.16,200,MYR
2015-07-24,1.16,1.16,1.16,1.16,4000,MYR
2015-07-31,1.13,1.13,1.13,1.13,1000,MYR
2015-08-10,1.03,1.03,1.03,1.03,1000,MYR
2015-08-11,1.05,1.05,1.05,1.05,1000,MYR
2015-08-18,1.05,1.05,1.05,1.05,4000,MYR
2015-08-25,0.985,0.99,0.97,0.99,8000,MYR
2015-08-27,0.945,0.945,0.945,0.945,700,MYR
2015-09-04,0.925,0.925,0.925,0.925,4000,MYR
2015-09-08,0.9,0.9,0.9,0.9,3000,MYR
2015-10-07,0.85,0.92,0.85,0.92,6900,MYR
2015-10-09,0.99,1.0,0.99,1.0,2000,MYR
2015-11-12,0.91,0.92,0.91,0.92,11300,MYR
2015-11-18,0.91,0.91,0.91,0.91,10000,MYR
2015-11-19,0.92,0.92,0.92,0.92,5000,MYR
2015-12-09,0.88,0.88,0.88,0.88,5000,MYR
2016-01-04,0.8,0.8,0.8,0.8,5000,MYR
2016-01-07,0.82,0.82,0.82,0.82,4000,MYR
2016-01-11,0.81,0.81,0.8,0.8,7000,MYR
2016-01-21,0.8,0.8,0.8,0.8,5000,MYR
2016-01-26,0.715,0.715,0.71,0.71,5500,MYR
2016-01-28,0.745,0.75,0.745,0.75,13000,MYR
2016-01-29,0.78,0.78,0.75,0.75,4500,MYR
2016-02-17,0.75,0.75,0.75,0.75,1500,MYR
2016-03-07,0.75,0.75,0.75,0.75,10000,MYR
2016-03-10,0.69,0.69,0.69,0.69,400,MYR
2016-03-24,0.67,0.67,0.64,0.64,16000,MYR
2016-03-29,0.7,0.7,0.7,0.7,10000,MYR
2016-04-18,0.7,0.7,0.7,0.7,2700,MYR
2016-04-19,0.72,0.72,0.72,0.72,4000,MYR
2016-04-26,0.7,0.7,0.7,0.7,4000,MYR
2016-04-27,0.7,0.7,0.7,0.7,1000,MYR
2016-04-29,0.705,0.705,0.7,0.7,15000,MYR
2016-05-03,0.705,0.705,0.705,0.705,5000,MYR
2016-05-05,0.71,0.71,0.71,0.71,1000,MYR
2016-05-10,0.705,0.705,0.705,0.705,4000,MYR
2016-05-11,0.71,0.71,0.71,0.71,2000,MYR
2016-05-19,0.72,0.72,0.72,0.72,1000,MYR
2016-05-20,0.72,0.72,0.72,0.72,1000,MYR
2016-06-01,0.71,0.71,0.71,0.71,200,MYR
2016-06-02,0.72,0.72,0.72,0.72,3000,MYR
2016-06-16,0.74,0.74,0.74,0.74,100,MYR
2016-06-20,0.82,0.82,0.82,0.82,2000,MYR
2016-06-23,0.78,0.78,0.78,0.78,1000,MYR
2016-06-27,0.82,0.82,0.82,0.82,6000,MYR
2016-06-30,0.74,0.74,0.74,0.74,100,MYR
2016-07-15,0.74,0.74,0.74,0.74,3300,MYR
2016-08-01,0.74,0.74,0.68,0.68,3000,MYR
2016-08-09,0.71,0.71,0.7,0.7,8400,MYR
2016-08-16,0.72,0.92,0.72,0.92,65600,MYR
2016-08-17,0.9,0.9,0.9,0.9,45200,MYR
2016-08-19,0.5,0.5,0.5,0.5,18000,MYR
2016-08-22,0.5,0.506,0.5,0.506,75600,MYR
2016-08-23,0.506,0.517,0.506,0.517,116280,MYR
2016-09-05,0.5,0.5,0.5,0.5,4680,MYR
2016-09-08,0.5,0.517,0.5,0.517,38520,MYR
2016-10-05,0.517,0.517,0.517,0.517,23400,MYR
2016-10-13,0.528,0.528,0.528,0.528,37980,MYR
2016-10-20,0.542,0.556,0.528,0.528,115920,MYR
2016-10-21,0.528,0.528,0.528,0.528,90000,MYR
2016-10-24,0.528,0.556,0.528,0.556,194400,MYR
2016-10-25,0.536,0.536,0.536,0.536,5400,MYR
2016-10-27,0.531,0.556,0.531,0.556,34200,MYR
2016-11-03,0.511,0.556,0.511,0.528,40320,MYR
2016-11-04,0.556,0.556,0.556,0.556,145260,MYR
2016-11-07,0.533,0.533,0.533,0.533,1260,MYR
2016-11-09,0.544,0.544,0.544,0.544,18000,MYR
2016-11-14,0.528,0.533,0.528,0.533,96120,MYR
2016-11-17,0.533,0.533,0.533,0.533,10800,MYR
2016-12-13,0.544,0.556,0.544,0.556,42120,MYR
2016-12-19,0.556,0.556,0.556,0.556,36000,MYR
2016-12-27,0.511,0.556,0.511,0.556,5400,MYR
2016-12-28,0.572,0.583,0.556,0.556,16380,MYR
2016-12-30,0.511,0.553,0.511,0.553,5400,MYR
2017-01-03,0.536,0.556,0.536,0.556,46980,MYR
2017-01-05,0.556,0.556,0.556,0.556,36000,MYR
2017-01-06,0.583,0.611,0.583,0.611,210960,MYR
2017-01-27,0.567,0.567,0.567,0.567,9000,MYR
2017-01-31,0.567,0.567,0.567,0.567,8100,MYR
2017-02-02,0.567,0.567,0.567,0.567,18360,MYR
2017-02-03,0.561,0.561,0.544,0.544,27000,MYR
2017-02-06,0.547,0.572,0.547,0.572,1440,MYR
2017-02-13,0.547,0.547,0.547,0.547,18000,MYR
2017-02-14,0.544,0.544,0.544,0.544,1800,MYR
2017-02-15,0.544,0.544,0.544,0.544,19800,MYR
2017-02-16,0.533,0.533,0.533,0.533,180,MYR
2017-02-23,0.533,0.561,0.533,0.533,9180,MYR
2017-02-28,0.533,0.533,0.533,0.533,3420,MYR
2017-03-03,0.556,0.556,0.556,0.556,36360,MYR
2017-03-06,0.556,0.556,0.556,0.556,260100,MYR
2017-03-07,0.556,0.556,0.556,0.556,136800,MYR
2017-03-08,0.556,0.556,0.556,0.556,3600,MYR
2017-03-09,0.556,0.556,0.556,0.556,14400,MYR
2017-03-13,0.544,0.556,0.544,0.556,34920,MYR
2017-03-14,0.544,0.544,0.544,0.544,12420,MYR
2017-03-23,0.556,0.556,0.556,0.556,1800,MYR
2017-03-29,0.561,0.561,0.561,0.561,1800,MYR
2017-04-03,0.533,0.533,0.533,0.533,18000,MYR
2017-04-13,0.522,0.522,0.522,0.522,900,MYR
2017-04-17,0.556,0.556,0.556,0.556,25200,MYR
2017-04-18,0.553,0.553,0.544,0.544,20880,MYR
2017-05-22,0.544,0.544,0.544,0.544,7200,MYR
2017-05-24,0.556,0.556,0.556,0.556,10800,MYR
2017-05-26,0.55,0.55,0.55,0.55,14400,MYR
2017-06-01,0.556,0.556,0.556,0.556,1800,MYR
