Date,Open,High,Low,Close,Volume,Currency
2011-10-03,6.88,6.97,6.81,6.9,7882800,MYR
2011-10-04,6.8,6.87,6.76,6.82,7003300,MYR
2011-10-05,6.84,6.87,6.79,6.83,9247900,MYR
2011-10-06,6.9,7.07,6.88,7.06,7899500,MYR
2011-10-07,7.12,7.15,7.08,7.11,8168000,MYR
2011-10-10,7.1,7.15,7.08,7.15,3153200,MYR
2011-10-11,7.23,7.27,7.2,7.25,6576800,MYR
2011-10-12,7.22,7.3,7.2,7.3,9820700,MYR
2011-10-13,7.31,7.47,7.31,7.4,18811300,MYR
2011-10-14,7.38,7.39,7.29,7.3,5979800,MYR
2011-10-17,7.36,7.4,7.33,7.37,10935800,MYR
2011-10-18,7.35,7.35,7.14,7.19,8307500,MYR
2011-10-19,7.21,7.26,7.21,7.23,5151200,MYR
2011-10-20,7.2,7.23,7.1,7.19,8110900,MYR
2011-10-21,7.22,7.24,7.18,7.19,5809000,MYR
2011-10-24,7.24,7.28,7.19,7.19,6707000,MYR
2011-10-25,7.23,7.26,7.18,7.26,6289600,MYR
2011-10-27,7.25,7.35,7.18,7.28,15444700,MYR
2011-10-28,7.41,7.46,7.35,7.46,23128100,MYR
2011-10-31,7.49,7.58,7.47,7.57,15175000,MYR
2011-11-01,7.49,7.5,7.44,7.49,7155000,MYR
2011-11-02,7.41,7.41,7.26,7.31,12158000,MYR
2011-11-03,7.32,7.33,7.18,7.19,7021300,MYR
2011-11-04,7.3,7.36,7.25,7.36,5207400,MYR
2011-11-08,7.38,7.4,7.31,7.32,8671300,MYR
2011-11-09,7.33,7.36,7.28,7.36,6376900,MYR
2011-11-10,7.19,7.29,7.19,7.26,6528200,MYR
2011-11-11,7.29,7.3,7.2,7.22,4266300,MYR
2011-11-14,7.18,7.25,7.18,7.18,8549300,MYR
2011-11-15,7.17,7.18,7.1,7.1,6767500,MYR
2011-11-16,7.15,7.17,7.01,7.06,12982500,MYR
2011-11-17,7.03,7.03,6.87,6.87,15136600,MYR
2011-11-18,6.87,6.94,6.85,6.87,11092000,MYR
2011-11-21,6.88,6.89,6.77,6.77,8010300,MYR
2011-11-22,6.75,6.8,6.73,6.76,6987000,MYR
2011-11-23,6.74,6.75,6.68,6.68,7506800,MYR
2011-11-24,6.66,6.8,6.64,6.79,6839400,MYR
2011-11-25,6.78,6.78,6.73,6.74,5372000,MYR
2011-11-29,6.75,7.08,6.74,7.05,17146000,MYR
2011-11-30,7.03,7.15,6.97,7.14,12962900,MYR
2011-12-01,7.28,7.3,7.17,7.22,11780300,MYR
2011-12-02,7.2,7.22,7.16,7.2,4031800,MYR
