Date,Open,High,Low,Close,Volume,Currency
2013-02-22,1.01,1.013,1.007,1.013,111600,MYR
2013-02-25,1.003,1.013,1.0,1.013,648300,MYR
2013-02-26,1.0,1.01,1.0,1.0,587700,MYR
2013-02-27,1.0,1.003,1.0,1.003,467100,MYR
2013-02-28,1.013,1.03,1.01,1.027,564000,MYR
2013-03-01,1.01,1.03,1.01,1.03,205200,MYR
2013-03-04,1.033,1.04,1.023,1.033,891000,MYR
2013-03-05,1.027,1.053,1.027,1.053,606300,MYR
2013-03-06,1.043,1.05,1.027,1.043,651000,MYR
2013-03-07,1.043,1.043,1.033,1.033,307200,MYR
2013-03-08,1.033,1.04,1.023,1.04,542400,MYR
2013-03-11,1.023,1.027,1.023,1.023,460800,MYR
2013-03-12,1.023,1.047,1.023,1.03,590400,MYR
2013-03-13,1.02,1.05,1.013,1.013,411300,MYR
2013-03-14,1.013,1.033,1.013,1.03,123000,MYR
2013-03-15,1.03,1.03,1.01,1.017,456000,MYR
2013-03-18,1.017,1.043,1.017,1.043,1329300,MYR
2013-03-19,1.033,1.043,1.027,1.03,974400,MYR
2013-03-20,1.023,1.037,1.023,1.03,1427700,MYR
2013-03-21,1.037,1.037,1.03,1.037,918900,MYR
2013-03-22,1.033,1.033,1.017,1.017,1933500,MYR
2013-03-25,1.02,1.033,1.017,1.033,1366500,MYR
2013-03-26,1.033,1.033,1.027,1.03,957600,MYR
2013-03-27,1.033,1.05,1.03,1.033,1619100,MYR
2013-03-28,1.04,1.04,1.03,1.037,676500,MYR
2013-03-29,1.027,1.027,1.007,1.007,1491900,MYR
2013-04-01,1.013,1.013,1.003,1.003,1197000,MYR
2013-04-02,1.007,1.027,1.007,1.02,408900,MYR
2013-04-03,1.02,1.02,1.0,1.02,900000,MYR
2013-04-04,1.027,1.027,1.013,1.027,310800,MYR
2013-04-05,1.027,1.033,1.02,1.033,270900,MYR
2013-04-08,1.027,1.037,1.023,1.033,834000,MYR
2013-04-09,1.04,1.043,1.03,1.043,1761600,MYR
2013-04-10,1.047,1.087,1.043,1.087,5518200,MYR
2013-04-11,1.093,1.097,1.053,1.083,1309800,MYR
2013-04-12,1.083,1.083,1.057,1.057,1474500,MYR
2013-04-15,1.057,1.06,1.05,1.06,857400,MYR
2013-04-16,1.053,1.063,1.047,1.063,1678200,MYR
2013-04-17,1.067,1.08,1.06,1.08,429600,MYR
2013-04-18,1.077,1.08,1.07,1.08,319500,MYR
2013-04-19,1.077,1.083,1.067,1.083,254400,MYR
2013-04-22,1.073,1.083,1.07,1.077,830100,MYR
2013-04-23,1.077,1.087,1.073,1.083,849000,MYR
2013-04-24,1.067,1.09,1.067,1.087,567900,MYR
2013-04-25,1.087,1.097,1.083,1.097,655500,MYR
2013-04-26,1.097,1.113,1.09,1.113,1003500,MYR
2013-04-29,1.1,1.113,1.097,1.11,983400,MYR
2013-04-30,1.1,1.113,1.097,1.113,1748100,MYR
2013-05-02,1.083,1.113,1.077,1.11,690000,MYR
2013-05-03,1.093,1.1,1.093,1.097,1762500,MYR
2013-05-06,1.113,1.187,1.113,1.167,4695300,MYR
2013-05-07,1.173,1.24,1.163,1.23,3133800,MYR
2013-05-08,1.23,1.233,1.197,1.223,1686900,MYR
2013-05-09,1.227,1.273,1.227,1.247,40475680,MYR
2013-05-10,1.257,1.38,1.257,1.37,8020200,MYR
2013-05-13,1.377,1.5,1.37,1.493,3497700,MYR
2013-05-14,1.493,1.567,1.463,1.48,4440300,MYR
2013-05-15,1.493,1.493,1.433,1.443,1324800,MYR
2013-05-16,1.4,1.6,1.4,1.6,4718700,MYR
2013-05-17,1.6,1.73,1.577,1.703,8496000,MYR
2013-05-20,1.717,1.88,1.7,1.833,9109800,MYR
2013-05-21,1.833,1.833,1.667,1.733,3783300,MYR
2013-05-22,1.733,1.85,1.717,1.767,4042800,MYR
2013-05-23,1.76,1.83,1.737,1.81,10132790,MYR
2013-05-27,1.82,1.913,1.81,1.91,3338100,MYR
2013-05-28,1.91,2.013,1.833,2.0,3457200,MYR
2013-05-29,2.0,2.08,1.953,2.043,5281200,MYR
2013-05-30,1.973,2.0,1.933,1.953,3163200,MYR
2013-05-31,1.96,1.997,1.95,1.99,3077100,MYR
2013-06-03,1.987,1.987,1.9,1.917,948000,MYR
2013-06-04,1.917,1.917,1.813,1.82,2116500,MYR
2013-06-05,1.8,1.8,1.667,1.697,3774900,MYR
2013-06-06,1.7,1.713,1.633,1.703,2339100,MYR
2013-06-07,1.71,1.86,1.7,1.833,5277600,MYR
2013-06-10,1.847,2.04,1.847,2.033,7041900,MYR
2013-06-11,2.043,2.05,1.923,1.967,2329500,MYR
2013-06-12,1.95,1.95,1.85,1.9,429900,MYR
2013-06-13,1.883,1.883,1.793,1.8,999000,MYR
2013-06-14,1.863,1.897,1.75,1.757,2404500,MYR
2013-06-17,1.75,1.763,1.707,1.743,1410300,MYR
2013-06-18,1.76,1.87,1.75,1.85,2646000,MYR
2013-06-19,1.863,1.977,1.863,1.95,4104300,MYR
2013-06-20,1.947,1.947,1.883,1.89,1568700,MYR
2013-06-21,1.867,1.867,1.8,1.827,3061800,MYR
2013-06-24,1.8,1.81,1.75,1.777,2364900,MYR
2013-06-25,1.75,1.79,1.693,1.78,4202100,MYR
2013-06-26,1.807,1.843,1.767,1.777,4456500,MYR
2013-06-27,1.79,1.85,1.767,1.767,4618500,MYR
2013-06-28,1.8,1.8,1.717,1.763,7013700,MYR
2013-07-01,1.75,1.75,1.7,1.733,4093200,MYR
2013-07-02,1.74,1.777,1.73,1.77,3550200,MYR
2013-07-03,1.773,1.777,1.763,1.767,6005100,MYR
2013-07-04,1.76,1.803,1.757,1.803,1754100,MYR
2013-07-05,1.81,1.907,1.797,1.88,3968100,MYR
2013-07-08,1.86,1.897,1.81,1.813,499800,MYR
2013-07-09,1.823,1.863,1.813,1.823,1528800,MYR
2013-07-10,1.833,1.847,1.81,1.81,2217600,MYR
2013-07-11,1.817,1.86,1.787,1.86,2462400,MYR
2013-07-12,1.853,1.867,1.847,1.867,1894800,MYR
2013-07-15,1.867,1.867,1.803,1.843,481200,MYR
2013-07-16,1.853,1.857,1.84,1.84,1682100,MYR
2013-07-17,1.837,1.843,1.817,1.827,1415100,MYR
2013-07-18,1.827,1.827,1.813,1.813,1614900,MYR
2013-07-19,1.817,1.817,1.797,1.807,2872200,MYR
2013-07-22,1.8,1.847,1.8,1.8,2522100,MYR
2013-07-23,1.8,1.857,1.8,1.843,1926300,MYR
2013-07-24,1.857,1.887,1.84,1.887,3402600,MYR
2013-07-25,1.887,1.887,1.837,1.857,2728800,MYR
2013-07-26,1.853,1.863,1.847,1.853,2328900,MYR
2013-07-29,1.867,1.867,1.847,1.85,1278000,MYR
2013-07-30,1.84,1.84,1.827,1.83,1817100,MYR
2013-07-31,1.83,1.83,1.777,1.793,2247900,MYR
2013-08-01,1.793,1.793,1.777,1.78,1078500,MYR
2013-08-02,1.78,1.787,1.76,1.767,1935300,MYR
2013-08-05,1.773,1.773,1.757,1.757,360900,MYR
2013-08-06,1.753,1.757,1.747,1.747,1185600,MYR
2013-08-07,1.747,1.75,1.747,1.747,2217000,MYR
2013-08-12,1.747,1.773,1.743,1.767,2632200,MYR
2013-08-13,1.79,1.79,1.767,1.783,3875400,MYR
2013-08-14,1.777,1.783,1.773,1.78,1363500,MYR
2013-08-15,1.777,1.79,1.773,1.78,411600,MYR
2013-08-16,1.773,1.843,1.77,1.797,4500900,MYR
2013-08-19,1.807,1.827,1.783,1.783,2353800,MYR
2013-08-20,1.783,1.787,1.747,1.757,2550600,MYR
2013-08-21,1.747,1.767,1.743,1.747,2064600,MYR
2013-08-22,1.747,1.747,1.647,1.647,2039700,MYR
2013-08-23,1.66,1.68,1.657,1.677,3076800,MYR
2013-08-26,1.667,1.717,1.667,1.707,572400,MYR
2013-08-27,1.7,1.7,1.6,1.607,2380500,MYR
2013-08-28,1.6,1.6,1.5,1.527,8281500,MYR
2013-08-29,1.533,1.567,1.527,1.56,5320800,MYR
2013-08-30,1.567,1.567,1.523,1.533,2959800,MYR
2013-09-02,1.517,1.53,1.507,1.52,3992100,MYR
2013-09-03,1.52,1.537,1.52,1.527,1986900,MYR
2013-09-04,1.533,1.533,1.503,1.51,6782700,MYR
2013-09-05,1.5,1.53,1.5,1.52,14602490,MYR
2013-09-06,1.52,1.527,1.503,1.52,2824200,MYR
2013-09-09,1.517,1.52,1.513,1.517,2373600,MYR
2013-09-10,1.52,1.533,1.487,1.517,17944790,MYR
2013-09-11,1.517,1.52,1.48,1.48,21227090,MYR
2013-09-12,1.48,1.5,1.473,1.487,23542190,MYR
2013-09-13,1.487,1.533,1.483,1.53,3923700,MYR
2013-09-17,1.547,1.583,1.547,1.58,3207300,MYR
2013-09-18,1.603,1.707,1.603,1.68,4729500,MYR
2013-09-19,1.68,1.773,1.677,1.767,2850900,MYR
2013-09-20,1.767,1.777,1.72,1.72,2733900,MYR
2013-09-23,1.65,1.707,1.65,1.67,473700,MYR
2013-09-24,1.667,1.67,1.64,1.667,570900,MYR
2013-09-25,1.667,1.723,1.667,1.717,1581000,MYR
2013-09-26,1.7,1.7,1.687,1.69,183600,MYR
2013-09-27,1.69,1.697,1.67,1.697,3298200,MYR
2013-09-30,1.7,1.7,1.69,1.693,1531800,MYR
2013-10-01,1.69,1.69,1.687,1.69,1754700,MYR
2013-10-02,1.683,1.723,1.683,1.723,3954300,MYR
2013-10-03,1.703,1.77,1.703,1.767,5250000,MYR
2013-10-04,1.76,1.803,1.76,1.8,6000900,MYR
2013-10-07,1.81,1.83,1.8,1.81,3879900,MYR
2013-10-08,1.81,1.81,1.753,1.767,1778700,MYR
2013-10-09,1.75,1.767,1.737,1.743,1998000,MYR
2013-10-10,1.747,1.747,1.733,1.737,1761300,MYR
2013-10-11,1.75,1.783,1.747,1.747,2385000,MYR
2013-10-14,1.767,1.767,1.73,1.733,1329900,MYR
2013-10-16,1.727,1.737,1.727,1.733,2456100,MYR
2013-10-17,1.733,1.74,1.727,1.73,1972200,MYR
2013-10-18,1.737,1.74,1.73,1.733,1273800,MYR
2013-10-21,1.733,1.737,1.723,1.723,1890000,MYR
2013-10-22,1.743,1.743,1.71,1.717,802200,MYR
2013-10-23,1.717,1.73,1.707,1.707,2014500,MYR
2013-10-24,1.713,1.72,1.71,1.71,1326300,MYR
2013-10-25,1.717,1.75,1.713,1.733,4659000,MYR
2013-10-28,1.76,1.76,1.707,1.707,1442700,MYR
2013-10-29,1.707,1.717,1.69,1.71,2220300,MYR
2013-10-30,1.73,1.73,1.7,1.707,2755500,MYR
2013-10-31,1.727,1.727,1.697,1.7,1509300,MYR
2013-11-01,1.7,1.717,1.697,1.71,1284600,MYR
2013-11-04,1.723,1.77,1.72,1.757,1386600,MYR
2013-11-06,1.767,1.783,1.757,1.763,1818600,MYR
2013-11-07,1.763,1.763,1.73,1.74,264900,MYR
2013-11-08,1.743,1.747,1.737,1.743,65400,MYR
2013-11-11,1.743,1.767,1.743,1.753,1319400,MYR
2013-11-12,1.763,1.773,1.747,1.773,3923400,MYR
2013-11-13,1.77,1.777,1.757,1.777,2790300,MYR
2013-11-14,1.773,1.827,1.757,1.797,2032200,MYR
2013-11-15,1.79,1.81,1.79,1.803,565200,MYR
2013-11-18,1.817,1.84,1.81,1.84,2171100,MYR
2013-11-19,1.833,1.873,1.833,1.867,3257400,MYR
2013-11-20,1.873,1.92,1.867,1.877,1929000,MYR
2013-11-21,1.867,1.88,1.867,1.88,1943100,MYR
2013-11-22,1.87,1.88,1.867,1.88,1859100,MYR
2013-11-25,1.913,1.913,1.897,1.9,689100,MYR
2013-11-26,1.9,1.97,1.9,1.943,1811100,MYR
2013-11-27,1.943,1.943,1.927,1.93,928200,MYR
2013-11-28,1.933,1.973,1.933,1.967,4304100,MYR
2013-11-29,1.967,1.97,1.963,1.963,1786800,MYR
2013-12-02,1.953,2.033,1.953,2.03,3058800,MYR
2013-12-03,2.033,2.033,1.967,1.967,1207800,MYR
2013-12-04,1.967,2.01,1.963,2.003,5207700,MYR
2013-12-05,2.007,2.09,2.007,2.083,3540300,MYR
2013-12-06,2.093,2.127,2.067,2.1,3398700,MYR
2013-12-09,2.103,2.107,2.073,2.08,1075200,MYR
2013-12-10,2.087,2.163,2.087,2.157,3641400,MYR
2013-12-11,2.163,2.33,2.163,2.233,6644100,MYR
2013-12-12,2.223,2.233,2.157,2.19,6306900,MYR
2013-12-13,2.167,2.183,2.147,2.183,747300,MYR
2013-12-16,2.167,2.183,2.163,2.167,455100,MYR
2013-12-17,2.157,2.167,2.117,2.13,1503000,MYR
2013-12-18,2.117,2.197,2.093,2.17,863400,MYR
2013-12-19,2.183,2.227,2.183,2.207,934800,MYR
2013-12-20,2.2,2.203,2.167,2.173,149100,MYR
2013-12-23,2.167,2.173,2.15,2.15,820800,MYR
2013-12-24,2.15,2.15,2.12,2.14,221700,MYR
2013-12-26,2.14,2.157,2.127,2.147,514200,MYR
2013-12-27,2.15,2.19,2.15,2.19,412500,MYR
2013-12-30,2.193,2.257,2.193,2.247,2562300,MYR
2013-12-31,2.193,2.307,2.19,2.29,3572400,MYR
2014-01-02,2.31,2.313,2.283,2.283,2203500,MYR
2014-01-03,2.29,2.29,2.253,2.26,492300,MYR
2014-01-06,2.207,2.383,2.207,2.383,3403200,MYR
2014-01-07,2.383,2.49,2.353,2.463,4775100,MYR
2014-01-08,2.403,2.52,2.403,2.467,1875900,MYR
2014-01-09,2.417,2.507,2.417,2.453,2614500,MYR
2014-01-10,2.45,2.453,2.427,2.427,2825100,MYR
2014-01-13,2.427,2.45,2.41,2.41,1958100,MYR
2014-01-15,2.483,2.483,2.343,2.343,253200,MYR
2014-01-16,2.283,2.357,2.283,2.333,1632900,MYR
2014-01-20,2.41,2.49,2.367,2.463,1373400,MYR
2014-01-21,2.483,2.52,2.463,2.487,5422200,MYR
2014-01-22,2.527,2.527,2.487,2.5,2352900,MYR
2014-01-23,2.45,2.547,2.433,2.497,1447800,MYR
2014-01-24,2.467,2.477,2.383,2.477,668100,MYR
2014-01-27,2.467,2.467,2.367,2.427,682800,MYR
2014-01-28,2.377,2.423,2.377,2.403,278400,MYR
2014-01-29,2.433,2.443,2.4,2.437,710100,MYR
2014-01-30,2.43,2.48,2.417,2.473,162600,MYR
2014-02-04,2.477,2.49,2.463,2.477,379500,MYR
2014-02-05,2.477,2.48,2.41,2.413,1380300,MYR
2014-02-06,2.42,2.42,2.317,2.34,3256200,MYR
2014-02-07,2.333,2.333,2.183,2.263,8278500,MYR
2014-02-10,2.28,2.36,2.28,2.35,2883300,MYR
2014-02-11,2.363,2.403,2.363,2.377,3851700,MYR
2014-02-12,2.397,2.397,2.343,2.36,496500,MYR
2014-02-13,2.363,2.39,2.36,2.383,825300,MYR
2014-02-14,2.393,2.393,2.373,2.383,1311600,MYR
2014-02-17,2.397,2.397,2.363,2.39,613200,MYR
2014-02-18,2.4,2.4,2.387,2.393,387000,MYR
2014-02-19,2.4,2.467,2.383,2.427,2365500,MYR
2014-02-20,2.467,2.473,2.427,2.463,907200,MYR
2014-02-21,2.483,2.483,2.423,2.433,488100,MYR
2014-02-24,2.433,2.48,2.417,2.467,760500,MYR
2014-02-25,2.48,2.48,2.447,2.463,267300,MYR
2014-02-26,2.467,2.517,2.42,2.503,2651400,MYR
2014-02-27,2.527,2.527,2.477,2.507,997500,MYR
2014-02-28,2.513,2.56,2.497,2.56,4542300,MYR
2014-03-03,2.56,2.567,2.533,2.563,1944600,MYR
2014-03-04,2.563,2.66,2.563,2.653,2637600,MYR
2014-03-05,2.663,2.807,2.65,2.767,4815000,MYR
2014-03-06,2.767,2.907,2.767,2.887,6001800,MYR
2014-03-07,2.887,3.0,2.887,3.0,4136100,MYR
2014-03-10,2.98,2.98,2.74,2.81,988200,MYR
2014-03-11,2.9,2.953,2.867,2.947,1259100,MYR
2014-03-12,2.947,2.947,2.833,2.87,1290600,MYR
2014-03-13,2.87,2.96,2.84,2.937,1698000,MYR
2014-03-14,2.93,2.947,2.9,2.943,215400,MYR
2014-03-17,2.9,2.9,2.883,2.893,643500,MYR
2014-03-18,2.9,2.93,2.9,2.913,1010100,MYR
2014-03-19,2.933,3.07,2.933,2.973,4120500,MYR
2014-03-20,3.023,3.05,2.993,3.047,3569100,MYR
2014-03-21,3.053,3.24,3.05,3.24,8750400,MYR
2014-03-24,3.243,3.347,3.143,3.213,2775300,MYR
2014-03-25,3.217,3.247,3.2,3.23,1838400,MYR
2014-03-26,3.233,3.323,3.23,3.247,1980900,MYR
2014-03-27,3.287,3.297,3.233,3.257,884100,MYR
2014-03-28,3.28,3.293,3.24,3.257,490500,MYR
