Date,Open,High,Low,Close,Volume,Currency
2013-02-27,0.1,0.1,0.1,0.1,183700,MYR
2013-02-28,0.1,0.1,0.1,0.1,127200,MYR
2013-03-01,0.105,0.105,0.1,0.1,380400,MYR
2013-03-04,0.1,0.1,0.1,0.1,534300,MYR
2013-03-05,0.1,0.105,0.1,0.1,157200,MYR
2013-03-06,0.1,0.11,0.1,0.11,532800,MYR
2013-03-07,0.105,0.11,0.105,0.105,85000,MYR
2013-03-08,0.105,0.105,0.105,0.105,117200,MYR
2013-03-11,0.11,0.11,0.105,0.11,242500,MYR
2013-03-12,0.11,0.11,0.105,0.105,278500,MYR
2013-03-13,0.11,0.115,0.105,0.115,620600,MYR
2013-03-14,0.11,0.11,0.11,0.11,536700,MYR
2013-03-15,0.11,0.11,0.105,0.11,238600,MYR
2013-03-18,0.11,0.11,0.105,0.11,251000,MYR
2013-03-19,0.105,0.11,0.1,0.11,114900,MYR
2013-03-20,0.11,0.11,0.105,0.11,140000,MYR
2013-03-21,0.105,0.11,0.105,0.11,7200,MYR
2013-03-22,0.105,0.105,0.105,0.105,31900,MYR
2013-03-25,0.105,0.105,0.105,0.105,95000,MYR
2013-03-26,0.11,0.11,0.11,0.11,10000,MYR
2013-03-27,0.1,0.105,0.1,0.105,141300,MYR
2013-03-29,0.1,0.105,0.1,0.105,56200,MYR
2013-04-01,0.105,0.105,0.105,0.105,139900,MYR
2013-04-02,0.1,0.11,0.1,0.105,53500,MYR
2013-04-03,0.105,0.105,0.1,0.1,130000,MYR
2013-04-04,0.105,0.105,0.105,0.105,100000,MYR
2013-04-05,0.105,0.105,0.105,0.105,110000,MYR
2013-04-08,0.105,0.105,0.105,0.105,50000,MYR
2013-04-09,0.1,0.105,0.1,0.105,170500,MYR
2013-04-10,0.1,0.1,0.1,0.1,1200,MYR
2013-04-11,0.105,0.105,0.105,0.105,180000,MYR
2013-04-12,0.105,0.105,0.105,0.105,9300,MYR
2013-04-15,0.11,0.11,0.105,0.105,25000,MYR
2013-04-16,0.1,0.1,0.1,0.1,62000,MYR
2013-04-17,0.1,0.105,0.1,0.105,94900,MYR
2013-04-18,0.105,0.105,0.1,0.1,20000,MYR
2013-04-22,0.105,0.105,0.1,0.1,115000,MYR
2013-04-23,0.1,0.105,0.1,0.105,51000,MYR
2013-04-24,0.105,0.105,0.1,0.105,313200,MYR
2013-04-25,0.1,0.105,0.1,0.105,18800,MYR
2013-04-26,0.105,0.105,0.105,0.105,150000,MYR
2013-04-29,0.1,0.105,0.1,0.1,30600,MYR
2013-04-30,0.105,0.105,0.105,0.105,200000,MYR
2013-05-02,0.105,0.105,0.1,0.1,1331900,MYR
2013-05-03,0.1,0.1,0.095,0.095,880600,MYR
2013-05-06,0.1,0.105,0.1,0.105,141200,MYR
2013-05-07,0.105,0.11,0.105,0.11,202900,MYR
2013-05-08,0.105,0.105,0.105,0.105,156800,MYR
2013-05-10,0.105,0.11,0.105,0.11,503000,MYR
2013-05-13,0.11,0.12,0.11,0.115,925000,MYR
2013-05-14,0.115,0.12,0.11,0.11,357000,MYR
2013-05-15,0.115,0.12,0.115,0.12,1619000,MYR
2013-05-16,0.115,0.12,0.115,0.115,579000,MYR
2013-05-17,0.11,0.115,0.11,0.115,209000,MYR
2013-05-20,0.115,0.12,0.115,0.12,1166000,MYR
2013-05-21,0.12,0.125,0.12,0.125,866700,MYR
2013-05-22,0.125,0.13,0.12,0.125,3237700,MYR
2013-05-23,0.12,0.125,0.115,0.115,976000,MYR
2013-05-27,0.12,0.12,0.115,0.12,44900,MYR
2013-05-28,0.115,0.115,0.115,0.115,52400,MYR
2013-05-29,0.12,0.125,0.115,0.125,680500,MYR
2013-05-30,0.125,0.125,0.115,0.12,523000,MYR
2013-05-31,0.115,0.12,0.115,0.12,126000,MYR
2013-06-03,0.115,0.12,0.115,0.115,616200,MYR
2013-06-04,0.115,0.115,0.115,0.115,748900,MYR
2013-06-05,0.115,0.115,0.115,0.115,250000,MYR
2013-06-06,0.115,0.115,0.11,0.11,736500,MYR
2013-06-07,0.11,0.12,0.11,0.12,287200,MYR
2013-06-10,0.115,0.135,0.11,0.11,14746500,MYR
2013-06-11,0.11,0.11,0.11,0.11,1881000,MYR
2013-06-12,0.11,0.115,0.105,0.105,487400,MYR
2013-06-13,0.105,0.11,0.105,0.105,338900,MYR
2013-06-14,0.11,0.11,0.105,0.105,895300,MYR
2013-06-17,0.11,0.115,0.11,0.115,1200700,MYR
2013-06-18,0.115,0.115,0.115,0.115,348500,MYR
2013-06-19,0.115,0.115,0.11,0.11,173000,MYR
2013-06-20,0.11,0.11,0.11,0.11,934000,MYR
2013-06-21,0.105,0.11,0.105,0.105,230700,MYR
2013-06-24,0.11,0.11,0.105,0.11,410000,MYR
2013-06-26,0.11,0.11,0.11,0.11,143400,MYR
2013-06-27,0.11,0.11,0.11,0.11,354800,MYR
2013-06-28,0.11,0.11,0.105,0.105,2632700,MYR
2013-07-01,0.11,0.11,0.11,0.11,20000,MYR
2013-07-03,0.105,0.105,0.105,0.105,203000,MYR
2013-07-04,0.105,0.105,0.105,0.105,299900,MYR
2013-07-05,0.11,0.11,0.105,0.11,130800,MYR
2013-07-08,0.105,0.105,0.105,0.105,101800,MYR
2013-07-09,0.105,0.105,0.105,0.105,373500,MYR
2013-07-10,0.105,0.105,0.105,0.105,100000,MYR
2013-07-11,0.105,0.105,0.105,0.105,30000,MYR
2013-07-12,0.105,0.105,0.105,0.105,1000,MYR
2013-07-15,0.11,0.11,0.105,0.105,110000,MYR
2013-07-16,0.105,0.105,0.105,0.105,300000,MYR
2013-07-17,0.105,0.105,0.105,0.105,205000,MYR
2013-07-18,0.105,0.105,0.105,0.105,30000,MYR
2013-07-19,0.105,0.11,0.105,0.105,130300,MYR
2013-07-23,0.105,0.105,0.105,0.105,138000,MYR
2013-07-24,0.105,0.11,0.105,0.105,90700,MYR
2013-07-25,0.105,0.11,0.105,0.11,50800,MYR
2013-07-26,0.105,0.105,0.105,0.105,80000,MYR
2013-07-29,0.105,0.105,0.105,0.105,40000,MYR
2013-07-30,0.11,0.11,0.105,0.105,451200,MYR
2013-07-31,0.105,0.105,0.105,0.105,200800,MYR
2013-08-01,0.105,0.105,0.105,0.105,3400,MYR
2013-08-02,0.105,0.105,0.105,0.105,199200,MYR
2013-08-06,0.105,0.105,0.105,0.105,50000,MYR
2013-08-07,0.11,0.11,0.11,0.11,10000,MYR
2013-08-12,0.105,0.105,0.105,0.105,91200,MYR
2013-08-13,0.105,0.11,0.105,0.105,46900,MYR
2013-08-14,0.105,0.105,0.105,0.105,220000,MYR
2013-08-15,0.11,0.115,0.11,0.115,7317500,MYR
2013-08-16,0.11,0.12,0.11,0.115,5449900,MYR
2013-08-19,0.115,0.115,0.115,0.115,310600,MYR
2013-08-20,0.11,0.11,0.105,0.105,3735100,MYR
2013-08-21,0.105,0.105,0.105,0.105,1064300,MYR
2013-08-22,0.105,0.105,0.1,0.105,1048700,MYR
2013-08-23,0.105,0.11,0.1,0.1,330800,MYR
2013-08-26,0.105,0.105,0.105,0.105,180100,MYR
2013-08-27,0.1,0.105,0.1,0.105,195000,MYR
2013-08-28,0.1,0.1,0.1,0.1,802700,MYR
2013-08-29,0.1,0.1,0.1,0.1,1000,MYR
2013-09-02,0.1,0.1,0.1,0.1,354500,MYR
2013-09-03,0.1,0.1,0.1,0.1,40000,MYR
2013-09-04,0.105,0.105,0.105,0.105,254100,MYR
2013-09-05,0.105,0.105,0.105,0.105,120000,MYR
2013-09-06,0.105,0.105,0.105,0.105,100000,MYR
2013-09-09,0.1,0.105,0.1,0.1,116000,MYR
2013-09-10,0.1,0.1,0.1,0.1,13600,MYR
2013-09-11,0.105,0.105,0.105,0.105,96600,MYR
2013-09-12,0.105,0.11,0.105,0.11,100100,MYR
2013-09-13,0.11,0.11,0.11,0.11,100000,MYR
2013-09-17,0.105,0.11,0.105,0.11,85000,MYR
2013-09-19,0.105,0.105,0.105,0.105,94000,MYR
2013-09-23,0.105,0.105,0.105,0.105,6600,MYR
2013-09-24,0.105,0.11,0.105,0.105,113100,MYR
2013-09-25,0.11,0.11,0.105,0.11,264300,MYR
2013-09-26,0.105,0.11,0.105,0.11,339000,MYR
2013-09-27,0.105,0.105,0.105,0.105,55000,MYR
2013-09-30,0.105,0.105,0.105,0.105,44000,MYR
2013-10-01,0.105,0.105,0.105,0.105,240000,MYR
2013-10-02,0.105,0.11,0.105,0.105,56400,MYR
2013-10-04,0.105,0.105,0.105,0.105,111500,MYR
