Date,Open,High,Low,Close,Volume,Currency
2013-01-10,0.24,0.25,0.22,0.24,2605100,MYR
2013-01-11,0.24,0.28,0.23,0.27,4422050,MYR
2013-01-14,0.27,0.31,0.27,0.31,6431800,MYR
2013-01-15,0.31,0.34,0.3,0.33,8442500,MYR
2013-01-16,0.32,0.32,0.31,0.32,1875300,MYR
2013-01-17,0.31,0.32,0.31,0.32,1691350,MYR
2013-01-18,0.32,0.32,0.28,0.28,3171000,MYR
2013-01-21,0.29,0.32,0.29,0.31,7544850,MYR
2013-01-22,0.3,0.31,0.3,0.3,2129900,MYR
2013-01-23,0.28,0.3,0.27,0.29,4534500,MYR
2013-01-25,0.29,0.31,0.29,0.31,1391800,MYR
2013-01-29,0.3,0.31,0.29,0.29,2804450,MYR
2013-01-30,0.3,0.3,0.29,0.3,2647650,MYR
2013-01-31,0.31,0.34,0.31,0.33,7768250,MYR
2013-02-04,0.33,0.35,0.33,0.34,7938950,MYR
2013-02-05,0.34,0.35,0.33,0.33,1851950,MYR
2013-02-06,0.33,0.36,0.32,0.34,4317750,MYR
2013-02-07,0.35,0.37,0.34,0.37,7154550,MYR
2013-02-08,0.37,0.4,0.37,0.4,7911350,MYR
2013-02-13,0.4,0.47,0.4,0.46,13633900,MYR
2013-02-14,0.47,0.47,0.42,0.42,4699500,MYR
2013-02-15,0.41,0.44,0.41,0.43,2513850,MYR
2013-02-18,0.43,0.45,0.43,0.44,2341000,MYR
2013-02-19,0.43,0.43,0.41,0.43,3227400,MYR
2013-02-20,0.42,0.48,0.42,0.42,6727000,MYR
2013-02-21,0.42,0.44,0.42,0.44,927850,MYR
2013-02-22,0.44,0.44,0.42,0.44,1104250,MYR
2013-02-25,0.43,0.43,0.42,0.43,759450,MYR
2013-02-26,0.42,0.42,0.41,0.42,1570800,MYR
2013-02-27,0.41,0.41,0.36,0.39,2815700,MYR
2013-02-28,0.39,0.39,0.37,0.38,973150,MYR
2013-03-01,0.38,0.42,0.37,0.42,1435950,MYR
2013-03-04,0.42,0.42,0.38,0.39,1292250,MYR
2013-03-05,0.39,0.39,0.37,0.38,1516200,MYR
2013-03-06,0.38,0.4,0.37,0.4,1042650,MYR
2013-03-07,0.39,0.4,0.39,0.39,473850,MYR
2013-03-08,0.4,0.41,0.4,0.4,803400,MYR
2013-03-11,0.4,0.42,0.4,0.42,569050,MYR
2013-03-12,0.41,0.41,0.4,0.41,384100,MYR
2013-03-13,0.4,0.41,0.39,0.41,860550,MYR
2013-03-14,0.4,0.4,0.39,0.4,301850,MYR
2013-03-15,0.4,0.4,0.39,0.39,469900,MYR
2013-03-18,0.39,0.39,0.38,0.39,630600,MYR
2013-03-19,0.38,0.39,0.38,0.38,120550,MYR
2013-03-20,0.38,0.39,0.37,0.39,538500,MYR
2013-03-21,0.38,0.39,0.38,0.38,196250,MYR
2013-03-22,0.38,0.39,0.37,0.37,417500,MYR
2013-03-25,0.37,0.38,0.36,0.38,390500,MYR
2013-03-26,0.37,0.37,0.37,0.37,111400,MYR
2013-03-27,0.37,0.37,0.35,0.36,1147000,MYR
2013-03-28,0.36,0.37,0.35,0.35,546000,MYR
2013-03-29,0.35,0.36,0.35,0.36,155500,MYR
2013-04-01,0.35,0.4,0.35,0.4,1014300,MYR
2013-04-02,0.39,0.39,0.36,0.37,607200,MYR
2013-04-03,0.37,0.37,0.36,0.36,275000,MYR
2013-04-04,0.36,0.38,0.36,0.38,159950,MYR
2013-04-05,0.39,0.4,0.37,0.37,2955650,MYR
2013-04-08,0.37,0.41,0.37,0.39,5375500,MYR
2013-04-09,0.39,0.4,0.38,0.39,1696500,MYR
2013-04-10,0.39,0.39,0.37,0.37,439400,MYR
2013-04-11,0.38,0.38,0.36,0.36,1591000,MYR
2013-04-12,0.37,0.37,0.36,0.36,1287000,MYR
2013-04-15,0.37,0.38,0.36,0.36,1128050,MYR
2013-04-16,0.36,0.36,0.36,0.36,163700,MYR
2013-04-17,0.36,0.37,0.36,0.37,740950,MYR
2013-04-18,0.37,0.37,0.36,0.36,684450,MYR
2013-04-19,0.36,0.36,0.35,0.35,365100,MYR
2013-04-22,0.36,0.37,0.36,0.36,349350,MYR
2013-04-23,0.36,0.36,0.35,0.35,160000,MYR
2013-04-24,0.36,0.36,0.35,0.36,242500,MYR
2013-04-25,0.37,0.37,0.36,0.37,546900,MYR
2013-04-26,0.36,0.37,0.36,0.36,177400,MYR
2013-04-29,0.36,0.36,0.36,0.36,299000,MYR
2013-04-30,0.35,0.36,0.35,0.35,301000,MYR
2013-05-02,0.35,0.35,0.35,0.35,225500,MYR
2013-05-03,0.35,0.35,0.34,0.34,615750,MYR
2013-05-06,0.34,0.35,0.34,0.35,261450,MYR
2013-05-07,0.36,0.37,0.35,0.37,369500,MYR
2013-05-08,0.37,0.37,0.35,0.35,124250,MYR
2013-05-09,0.35,0.37,0.35,0.36,190350,MYR
2013-05-10,0.35,0.37,0.35,0.36,406800,MYR
2013-05-13,0.37,0.38,0.36,0.38,765800,MYR
2013-05-14,0.38,0.39,0.37,0.38,455300,MYR
2013-05-15,0.38,0.41,0.37,0.39,2658800,MYR
2013-05-16,0.39,0.4,0.39,0.39,574850,MYR
2013-05-17,0.4,0.4,0.38,0.39,374600,MYR
2013-05-20,0.39,0.4,0.39,0.39,495000,MYR
2013-05-21,0.39,0.43,0.39,0.4,2915850,MYR
2013-05-22,0.41,0.41,0.39,0.4,609500,MYR
2013-05-23,0.39,0.39,0.38,0.38,426000,MYR
2013-05-27,0.38,0.39,0.38,0.39,173500,MYR
2013-05-28,0.38,0.39,0.37,0.38,1415550,MYR
2013-05-29,0.38,0.39,0.38,0.38,1046650,MYR
2013-05-30,0.38,0.39,0.38,0.39,402450,MYR
2013-05-31,0.39,0.43,0.39,0.39,3851550,MYR
2013-06-03,0.39,0.4,0.38,0.38,1274800,MYR
2013-06-04,0.38,0.38,0.37,0.37,374950,MYR
2013-06-05,0.38,0.38,0.37,0.38,938250,MYR
2013-06-06,0.37,0.37,0.36,0.36,761500,MYR
2013-06-07,0.37,0.38,0.36,0.38,795000,MYR
2013-06-10,0.37,0.38,0.37,0.37,641700,MYR
2013-06-11,0.38,0.38,0.37,0.37,202750,MYR
2013-06-12,0.38,0.38,0.37,0.37,212700,MYR
2013-06-13,0.37,0.39,0.37,0.39,736000,MYR
2013-06-14,0.39,0.39,0.38,0.39,276000,MYR
2013-06-17,0.39,0.39,0.38,0.39,133850,MYR
2013-06-18,0.39,0.4,0.38,0.39,989700,MYR
2013-06-19,0.39,0.39,0.38,0.38,993250,MYR
2013-06-20,0.37,0.37,0.37,0.37,659800,MYR
2013-06-21,0.37,0.38,0.37,0.37,116600,MYR
2013-06-24,0.37,0.38,0.37,0.38,278000,MYR
2013-06-25,0.37,0.38,0.36,0.38,503450,MYR
2013-06-26,0.37,0.38,0.36,0.38,464850,MYR
2013-06-27,0.37,0.38,0.36,0.38,120950,MYR
2013-06-28,0.37,0.38,0.36,0.37,274000,MYR
2013-07-01,0.37,0.37,0.37,0.37,104800,MYR
2013-07-02,0.37,0.38,0.37,0.37,290200,MYR
2013-07-03,0.37,0.38,0.37,0.38,201050,MYR
2013-07-04,0.37,0.38,0.37,0.38,55000,MYR
2013-07-05,0.38,0.38,0.37,0.38,395250,MYR
2013-07-08,0.38,0.39,0.38,0.39,117600,MYR
2013-07-09,0.38,0.39,0.38,0.39,237600,MYR
2013-07-10,0.38,0.38,0.38,0.38,474300,MYR
2013-07-11,0.38,0.38,0.38,0.38,95000,MYR
2013-07-12,0.39,0.39,0.38,0.38,71700,MYR
2013-07-15,0.39,0.4,0.38,0.38,420650,MYR
2013-07-16,0.39,0.39,0.38,0.39,1012500,MYR
2013-07-17,0.39,0.4,0.39,0.39,165500,MYR
2013-07-18,0.39,0.39,0.38,0.39,492150,MYR
2013-07-19,0.39,0.39,0.39,0.39,358950,MYR
2013-07-22,0.4,0.46,0.39,0.44,4440200,MYR
2013-07-23,0.45,0.47,0.43,0.45,7254500,MYR
2013-07-24,0.45,0.45,0.42,0.43,1183500,MYR
2013-07-25,0.43,0.44,0.43,0.44,621950,MYR
2013-07-26,0.44,0.44,0.41,0.42,619000,MYR
2013-07-29,0.41,0.42,0.41,0.42,759250,MYR
2013-07-30,0.41,0.43,0.41,0.42,282700,MYR
2013-07-31,0.41,0.41,0.4,0.41,795050,MYR
2013-08-01,0.41,0.44,0.41,0.44,400300,MYR
2013-08-02,0.44,0.44,0.43,0.43,627900,MYR
2013-08-05,0.44,0.44,0.43,0.43,275250,MYR
2013-08-06,0.43,0.43,0.42,0.43,169550,MYR
2013-08-07,0.43,0.44,0.43,0.44,34500,MYR
2013-08-12,0.44,0.5,0.44,0.48,2555850,MYR
2013-08-13,0.48,0.48,0.47,0.47,695600,MYR
2013-08-14,0.48,0.57,0.48,0.57,6432050,MYR
2013-08-15,0.57,0.62,0.55,0.61,10831250,MYR
2013-08-16,0.59,0.64,0.59,0.61,4103650,MYR
2013-08-19,0.62,0.64,0.6,0.61,4320200,MYR
2013-08-20,0.61,0.62,0.57,0.58,2718400,MYR
2013-08-21,0.57,0.6,0.57,0.59,2543400,MYR
2013-08-22,0.59,0.59,0.56,0.57,3050850,MYR
2013-08-23,0.57,0.66,0.57,0.6,6610650,MYR
2013-08-26,0.61,0.64,0.6,0.61,2767650,MYR
2013-08-27,0.61,0.61,0.56,0.58,1852600,MYR
2013-08-28,0.56,0.61,0.54,0.6,3217400,MYR
2013-08-29,0.61,0.62,0.59,0.6,1607950,MYR
2013-08-30,0.6,0.6,0.57,0.59,1562550,MYR
2013-09-02,0.59,0.6,0.58,0.58,1413150,MYR
2013-09-03,0.58,0.63,0.58,0.61,9049350,MYR
2013-09-04,0.64,0.72,0.62,0.7,33960952,MYR
2013-09-05,0.71,0.77,0.69,0.7,28960600,MYR
2013-09-06,0.7,0.7,0.66,0.67,6368250,MYR
2013-09-09,0.66,0.69,0.66,0.66,7343900,MYR
2013-09-10,0.67,0.73,0.66,0.72,19327250,MYR
2013-09-11,0.73,0.79,0.72,0.79,36204000,MYR
2013-09-12,0.81,0.82,0.77,0.78,11244100,MYR
2013-09-13,0.78,0.84,0.76,0.84,17713200,MYR
2013-09-17,0.86,0.99,0.86,0.93,24524400,MYR
2013-09-18,0.95,1.02,0.91,1.01,19926850,MYR
2013-09-19,1.03,1.1,1.01,1.04,22729500,MYR
2013-09-20,1.05,1.1,1.01,1.06,13525200,MYR
2013-09-23,1.04,1.08,1.02,1.05,5660250,MYR
2013-09-24,1.05,1.05,1.02,1.04,4862350,MYR
2013-09-25,1.03,1.07,0.92,0.92,14420800,MYR
2013-09-26,0.89,0.94,0.87,0.9,8459650,MYR
2013-09-27,0.88,0.89,0.77,0.83,13522850,MYR
2013-09-30,0.81,0.82,0.77,0.8,3874400,MYR
2013-10-01,0.74,0.74,0.57,0.57,25781800,MYR
2013-10-02,0.57,0.63,0.55,0.62,11497600,MYR
2013-10-03,0.61,0.72,0.61,0.68,12862150,MYR
2013-10-04,0.68,0.71,0.66,0.68,4112350,MYR
2013-10-07,0.68,0.68,0.6,0.6,3089900,MYR
2013-10-08,0.6,0.64,0.6,0.62,4046650,MYR
2013-10-09,0.62,0.68,0.6,0.61,6769300,MYR
2013-10-10,0.62,0.65,0.61,0.64,1730950,MYR
2013-10-11,0.66,0.67,0.63,0.65,3079450,MYR
2013-10-14,0.65,0.65,0.62,0.62,1729000,MYR
2013-10-16,0.62,0.64,0.6,0.61,2673400,MYR
2013-10-17,0.62,0.66,0.61,0.64,2292550,MYR
2013-10-18,0.64,0.66,0.62,0.62,1690500,MYR
2013-10-21,0.63,0.64,0.62,0.63,342400,MYR
2013-10-22,0.63,0.67,0.63,0.64,2967100,MYR
2013-10-23,0.64,0.68,0.64,0.65,1545850,MYR
2013-10-24,0.66,0.66,0.65,0.65,271800,MYR
2013-10-25,0.65,0.66,0.65,0.65,294750,MYR
2013-10-28,0.66,0.68,0.65,0.65,1809450,MYR
2013-10-29,0.65,0.7,0.65,0.68,3463500,MYR
2013-10-30,0.69,0.7,0.68,0.69,852100,MYR
2013-10-31,0.69,0.71,0.68,0.7,2025600,MYR
2013-11-01,0.71,0.81,0.69,0.79,8803150,MYR
2013-11-04,0.81,0.81,0.78,0.79,1564800,MYR
2013-11-06,0.79,0.86,0.79,0.85,4431700,MYR
2013-11-07,0.86,0.86,0.82,0.82,2274300,MYR
2013-11-08,0.81,0.84,0.81,0.83,2152200,MYR
