Date,Open,High,Low,Close,Volume,Currency
2013-03-25,0.4,0.4,0.4,0.4,15000,MYR
2013-03-26,0.4,0.4,0.4,0.4,229800,MYR
2013-03-27,0.41,0.445,0.4,0.43,110500,MYR
2013-03-28,0.425,0.425,0.4,0.41,181000,MYR
2013-03-29,0.405,0.42,0.405,0.41,55000,MYR
2013-04-02,0.4,0.405,0.4,0.405,310000,MYR
2013-04-03,0.405,0.405,0.4,0.405,89000,MYR
2013-04-04,0.405,0.42,0.405,0.41,86200,MYR
2013-04-05,0.415,0.415,0.41,0.41,30000,MYR
2013-04-08,0.415,0.435,0.415,0.435,61100,MYR
2013-04-09,0.415,0.415,0.415,0.415,30000,MYR
2013-04-10,0.425,0.425,0.42,0.42,41000,MYR
2013-04-11,0.43,0.43,0.43,0.43,17000,MYR
2013-04-12,0.43,0.44,0.43,0.44,56100,MYR
2013-04-15,0.44,0.44,0.43,0.44,14000,MYR
2013-04-16,0.43,0.43,0.43,0.43,2000,MYR
2013-04-17,0.435,0.435,0.435,0.435,17400,MYR
2013-04-18,0.435,0.435,0.435,0.435,3000,MYR
2013-04-22,0.44,0.46,0.44,0.46,90000,MYR
2013-04-23,0.485,0.495,0.485,0.49,134000,MYR
2013-04-24,0.49,0.49,0.48,0.48,35000,MYR
2013-04-25,0.49,0.49,0.48,0.49,32000,MYR
2013-04-26,0.475,0.49,0.475,0.49,281000,MYR
2013-04-29,0.48,0.48,0.475,0.475,40000,MYR
2013-05-02,0.475,0.475,0.47,0.47,208000,MYR
2013-05-03,0.47,0.48,0.465,0.48,30100,MYR
2013-05-06,0.41,0.49,0.41,0.49,9700,MYR
2013-05-08,0.47,0.47,0.47,0.47,19600,MYR
2013-05-09,0.475,0.475,0.47,0.47,34900,MYR
2013-05-10,0.475,0.5,0.475,0.5,105500,MYR
2013-05-13,0.5,0.54,0.5,0.535,113600,MYR
2013-05-14,0.535,0.535,0.515,0.525,216000,MYR
2013-05-15,0.52,0.525,0.52,0.525,79500,MYR
2013-05-16,0.53,0.53,0.515,0.52,125900,MYR
2013-05-17,0.52,0.52,0.51,0.52,101300,MYR
2013-05-20,0.52,0.52,0.51,0.51,99000,MYR
2013-05-21,0.52,0.52,0.52,0.52,15000,MYR
2013-05-22,0.51,0.51,0.5,0.5,67500,MYR
2013-05-27,0.5,0.5,0.5,0.5,48000,MYR
2013-05-28,0.5,0.5,0.5,0.5,30000,MYR
2013-05-29,0.505,0.515,0.505,0.505,226200,MYR
2013-05-30,0.505,0.51,0.505,0.505,90900,MYR
2013-05-31,0.51,0.51,0.505,0.505,37100,MYR
2013-06-03,0.5,0.505,0.5,0.505,60000,MYR
2013-06-04,0.51,0.51,0.505,0.505,25000,MYR
2013-06-05,0.515,0.515,0.51,0.51,58500,MYR
2013-06-06,0.505,0.51,0.505,0.51,85000,MYR
2013-06-07,0.52,0.6,0.52,0.57,363300,MYR
2013-06-10,0.58,0.63,0.58,0.63,275500,MYR
2013-06-11,0.64,0.675,0.62,0.63,399900,MYR
2013-06-12,0.61,0.62,0.605,0.615,109000,MYR
2013-06-13,0.61,0.61,0.59,0.595,135000,MYR
2013-06-14,0.595,0.62,0.595,0.61,130000,MYR
2013-06-17,0.58,0.61,0.58,0.595,54700,MYR
2013-06-18,0.585,0.585,0.58,0.58,45000,MYR
2013-06-19,0.585,0.585,0.58,0.58,38000,MYR
2013-06-20,0.58,0.59,0.57,0.57,66000,MYR
2013-06-21,0.55,0.6,0.55,0.56,18500,MYR
2013-06-25,0.54,0.54,0.535,0.535,5000,MYR
2013-06-26,0.535,0.54,0.535,0.54,31200,MYR
2013-06-27,0.545,0.545,0.545,0.545,2000,MYR
2013-06-28,0.545,0.545,0.54,0.545,114100,MYR
2013-07-01,0.53,0.535,0.53,0.535,17900,MYR
2013-07-02,0.54,0.55,0.54,0.55,5000,MYR
2013-07-08,0.53,0.54,0.53,0.54,12900,MYR
2013-07-15,0.555,0.555,0.555,0.555,15000,MYR
2013-07-16,0.53,0.53,0.53,0.53,15000,MYR
2013-07-17,0.53,0.53,0.53,0.53,35000,MYR
2013-07-19,0.54,0.54,0.54,0.54,4000,MYR
2013-07-22,0.56,0.56,0.56,0.56,6000,MYR
2013-07-24,0.54,0.58,0.54,0.58,20000,MYR
2013-07-25,0.575,0.59,0.57,0.59,28000,MYR
2013-07-29,0.565,0.565,0.565,0.565,2000,MYR
2013-07-30,0.565,0.585,0.565,0.585,1200,MYR
2013-07-31,0.56,0.56,0.56,0.56,6000,MYR
2013-08-01,0.56,0.56,0.56,0.56,28300,MYR
2013-08-02,0.56,0.56,0.56,0.56,45000,MYR
2013-08-07,0.56,0.56,0.56,0.56,20000,MYR
2013-08-12,0.57,0.57,0.57,0.57,40000,MYR
2013-08-14,0.57,0.58,0.57,0.58,50000,MYR
2013-08-15,0.57,0.57,0.57,0.57,38000,MYR
2013-08-16,0.57,0.58,0.57,0.58,67100,MYR
2013-08-19,0.57,0.57,0.57,0.57,20000,MYR
2013-08-20,0.57,0.57,0.55,0.55,45000,MYR
2013-08-21,0.55,0.55,0.55,0.55,5000,MYR
2013-08-22,0.545,0.545,0.54,0.54,65000,MYR
2013-08-23,0.55,0.58,0.55,0.575,64000,MYR
2013-08-27,0.575,0.575,0.56,0.565,148900,MYR
2013-08-28,0.565,0.58,0.55,0.57,132000,MYR
2013-08-29,0.57,0.575,0.57,0.575,55000,MYR
2013-08-30,0.575,0.58,0.57,0.58,70100,MYR
2013-09-03,0.58,0.58,0.58,0.58,122000,MYR
2013-09-04,0.58,0.58,0.58,0.58,25000,MYR
2013-09-05,0.59,0.59,0.59,0.59,5000,MYR
2013-09-06,0.6,0.605,0.6,0.6,42000,MYR
2013-09-09,0.605,0.625,0.605,0.615,153100,MYR
2013-09-10,0.615,0.615,0.61,0.615,81600,MYR
2013-09-11,0.6,0.61,0.6,0.61,18000,MYR
2013-09-12,0.61,0.625,0.61,0.625,141700,MYR
2013-09-13,0.625,0.625,0.62,0.62,38500,MYR
2013-09-17,0.62,0.62,0.62,0.62,27000,MYR
2013-09-18,0.62,0.62,0.62,0.62,10000,MYR
2013-09-19,0.63,0.66,0.63,0.655,183200,MYR
2013-09-23,0.66,0.68,0.66,0.665,76500,MYR
2013-09-25,0.67,0.73,0.665,0.73,278500,MYR
2013-09-26,0.685,0.7,0.685,0.695,88500,MYR
2013-09-27,0.695,0.695,0.695,0.695,22900,MYR
