Date,Open,High,Low,Close,Volume,Currency
2013-02-27,0.09,0.095,0.085,0.085,48481600,MYR
2013-02-28,0.09,0.09,0.085,0.09,58564900,MYR
2013-03-01,0.09,0.095,0.09,0.095,440500,MYR
2013-03-04,0.09,0.09,0.085,0.09,3727300,MYR
2013-03-05,0.085,0.09,0.085,0.09,40752300,MYR
2013-03-06,0.09,0.09,0.085,0.09,68051000,MYR
2013-03-07,0.09,0.09,0.085,0.09,497700,MYR
2013-03-08,0.085,0.09,0.085,0.09,1837500,MYR
2013-03-11,0.09,0.09,0.085,0.09,54883500,MYR
2013-03-12,0.09,0.09,0.085,0.09,67180000,MYR
2013-03-13,0.09,0.09,0.085,0.09,482500,MYR
2013-03-14,0.085,0.09,0.085,0.09,734900,MYR
2013-03-15,0.09,0.09,0.085,0.09,49277600,MYR
2013-03-18,0.085,0.09,0.085,0.085,94598704,MYR
2013-03-19,0.09,0.09,0.08,0.085,40610400,MYR
2013-03-20,0.085,0.085,0.08,0.08,475800,MYR
2013-03-21,0.085,0.085,0.075,0.08,61410000,MYR
2013-03-22,0.08,0.085,0.075,0.075,25134700,MYR
2013-03-25,0.08,0.08,0.075,0.08,3335700,MYR
2013-03-26,0.08,0.08,0.075,0.08,1248500,MYR
2013-03-27,0.08,0.08,0.075,0.08,23739800,MYR
2013-03-28,0.08,0.08,0.075,0.08,28945700,MYR
2013-03-29,0.08,0.08,0.075,0.08,1581800,MYR
2013-04-01,0.08,0.08,0.075,0.08,639000,MYR
2013-04-02,0.075,0.08,0.075,0.08,63825300,MYR
2013-04-03,0.08,0.08,0.07,0.075,18333600,MYR
2013-04-04,0.075,0.075,0.075,0.075,1746000,MYR
2013-04-05,0.075,0.08,0.075,0.08,4089400,MYR
2013-04-08,0.075,0.075,0.07,0.075,11467900,MYR
2013-04-09,0.075,0.08,0.075,0.075,1550500,MYR
2013-04-10,0.075,0.08,0.07,0.08,2411100,MYR
2013-04-11,0.075,0.075,0.075,0.075,6896700,MYR
2013-04-12,0.075,0.075,0.07,0.075,1641300,MYR
2013-04-15,0.075,0.075,0.07,0.075,972200,MYR
2013-04-16,0.075,0.075,0.07,0.075,2046000,MYR
2013-04-17,0.075,0.075,0.07,0.075,9376100,MYR
2013-04-18,0.07,0.075,0.07,0.075,200000,MYR
2013-04-19,0.075,0.075,0.07,0.075,5883000,MYR
2013-04-22,0.07,0.075,0.07,0.075,1877900,MYR
2013-04-23,0.075,0.075,0.07,0.07,830500,MYR
2013-04-24,0.07,0.075,0.07,0.075,1797800,MYR
2013-04-25,0.07,0.075,0.07,0.075,1630500,MYR
2013-04-26,0.075,0.075,0.07,0.07,7225500,MYR
2013-04-29,0.07,0.075,0.065,0.07,6098800,MYR
2013-04-30,0.07,0.07,0.065,0.07,775800,MYR
2013-05-02,0.065,0.07,0.065,0.07,5229000,MYR
2013-05-03,0.07,0.07,0.065,0.07,4201700,MYR
2013-05-06,0.07,0.075,0.07,0.075,1420800,MYR
2013-05-07,0.075,0.075,0.07,0.07,1451600,MYR
2013-05-08,0.075,0.075,0.07,0.07,1229500,MYR
2013-05-09,0.07,0.075,0.07,0.07,215000,MYR
2013-05-10,0.075,0.08,0.07,0.075,6309700,MYR
2013-05-13,0.075,0.08,0.075,0.075,2139800,MYR
2013-05-14,0.075,0.075,0.075,0.075,1976600,MYR
2013-05-15,0.075,0.085,0.075,0.08,13581400,MYR
2013-05-16,0.08,0.08,0.075,0.08,593500,MYR
2013-05-17,0.08,0.08,0.075,0.075,1957500,MYR
2013-05-20,0.08,0.085,0.075,0.085,17387600,MYR
2013-05-21,0.085,0.085,0.075,0.08,2853000,MYR
