Date,Open,High,Low,Close,Volume,Currency
2018-11-29,0.03,0.03,0.015,0.02,6336000,MYR
2018-11-30,0.015,0.025,0.015,0.02,21432100,MYR
2018-12-03,0.02,0.025,0.02,0.025,572100,MYR
2018-12-04,0.02,0.025,0.02,0.02,3842200,MYR
2018-12-05,0.03,0.03,0.02,0.02,4580000,MYR
2018-12-06,0.02,0.02,0.02,0.02,515000,MYR
2018-12-07,0.02,0.02,0.02,0.02,705000,MYR
2018-12-10,0.02,0.025,0.02,0.025,577500,MYR
2018-12-11,0.025,0.025,0.025,0.025,1100500,MYR
2018-12-12,0.025,0.025,0.025,0.025,672000,MYR
2018-12-13,0.025,0.025,0.025,0.025,752100,MYR
2018-12-14,0.025,0.025,0.02,0.02,1974400,MYR
2018-12-17,0.02,0.02,0.02,0.02,136200,MYR
2018-12-18,0.025,0.025,0.02,0.02,767700,MYR
2018-12-20,0.025,0.025,0.02,0.02,517800,MYR
2018-12-21,0.02,0.025,0.02,0.02,4727400,MYR
2018-12-24,0.02,0.02,0.02,0.02,542000,MYR
2018-12-26,0.02,0.02,0.02,0.02,585000,MYR
2018-12-27,0.02,0.02,0.02,0.02,515000,MYR
2018-12-28,0.02,0.025,0.02,0.02,1416000,MYR
2018-12-31,0.025,0.025,0.025,0.025,1627700,MYR
2019-01-02,0.025,0.025,0.025,0.025,245000,MYR
2019-01-03,0.025,0.025,0.025,0.025,130000,MYR
2019-01-04,0.025,0.025,0.025,0.025,49000,MYR
2019-01-07,0.025,0.025,0.025,0.025,2137900,MYR
2019-01-09,0.025,0.04,0.025,0.03,943400,MYR
2019-01-10,0.03,0.03,0.03,0.03,103600,MYR
2019-01-11,0.025,0.04,0.025,0.04,280400,MYR
2019-01-14,0.035,0.04,0.035,0.04,84500,MYR
2019-01-15,0.035,0.035,0.035,0.035,350000,MYR
2019-01-16,0.035,0.04,0.035,0.035,35000,MYR
2019-01-17,0.035,0.04,0.035,0.035,45700,MYR
2019-01-18,0.035,0.04,0.035,0.04,9500,MYR
2019-01-22,0.035,0.035,0.035,0.035,50000,MYR
2019-01-23,0.03,0.03,0.03,0.03,5000,MYR
2019-01-24,0.03,0.03,0.03,0.03,4000,MYR
2019-01-28,0.03,0.035,0.03,0.035,74100,MYR
2019-01-29,0.035,0.04,0.035,0.04,721700,MYR
2019-01-30,0.04,0.04,0.04,0.04,46500,MYR
2019-01-31,0.04,0.04,0.04,0.04,17000,MYR
2019-02-07,0.04,0.04,0.04,0.04,29000,MYR
2019-02-08,0.045,0.05,0.045,0.05,118700,MYR
2019-02-11,0.045,0.045,0.04,0.04,134000,MYR
2019-02-12,0.04,0.04,0.04,0.04,800,MYR
2019-02-13,0.04,0.04,0.04,0.04,288000,MYR
2019-02-14,0.045,0.045,0.045,0.045,92400,MYR
2019-02-15,0.045,0.05,0.045,0.05,10100,MYR
2019-02-18,0.045,0.045,0.045,0.045,195000,MYR
2019-02-20,0.04,0.045,0.04,0.045,218600,MYR
2019-02-21,0.045,0.045,0.045,0.045,25000,MYR
2019-02-22,0.04,0.045,0.04,0.045,55400,MYR
2019-02-25,0.045,0.045,0.045,0.045,3084900,MYR
2019-02-26,0.045,0.045,0.045,0.045,105000,MYR
2019-02-27,0.045,0.045,0.045,0.045,35000,MYR
