Date,Open,High,Low,Close,Volume,Currency
2013-02-28,1.21,1.22,1.21,1.22,6000,MYR
2013-03-01,1.22,1.22,1.22,1.22,3000,MYR
2013-03-04,1.21,1.21,1.21,1.21,5000,MYR
2013-03-05,1.17,1.28,1.17,1.28,15100,MYR
2013-03-06,1.2,1.2,1.2,1.2,6000,MYR
2013-03-07,1.22,1.24,1.22,1.24,5000,MYR
2013-03-11,1.25,1.3,1.25,1.3,1200,MYR
2013-03-18,1.15,1.15,1.15,1.15,1000,MYR
2013-03-26,1.12,1.23,1.12,1.17,8000,MYR
2013-03-29,1.15,1.19,1.15,1.19,7000,MYR
2013-04-02,1.19,1.3,1.19,1.3,13000,MYR
2013-04-03,1.19,1.19,1.18,1.18,9000,MYR
2013-04-04,1.18,1.2,1.18,1.2,5000,MYR
2013-04-05,1.25,1.4,1.25,1.39,104500,MYR
2013-04-08,1.39,1.39,1.34,1.34,17000,MYR
2013-04-09,1.36,1.36,1.3,1.35,16200,MYR
2013-04-10,1.34,1.35,1.34,1.35,5000,MYR
2013-04-11,1.35,1.35,1.35,1.35,5700,MYR
2013-04-15,1.37,1.39,1.35,1.35,49800,MYR
2013-04-16,1.36,1.36,1.36,1.36,17900,MYR
2013-04-17,1.37,1.37,1.36,1.36,20000,MYR
2013-04-18,1.37,1.37,1.37,1.37,2300,MYR
2013-04-19,1.39,1.39,1.36,1.36,18000,MYR
2013-04-22,1.37,1.38,1.37,1.38,22000,MYR
2013-04-23,1.38,1.38,1.38,1.38,23500,MYR
2013-04-25,1.39,1.4,1.39,1.4,7000,MYR
2013-04-26,1.6,1.71,1.6,1.71,127200,MYR
2013-04-29,1.82,1.84,1.72,1.73,142000,MYR
2013-04-30,1.72,1.72,1.71,1.72,23000,MYR
2013-05-02,1.75,1.75,1.73,1.73,10300,MYR
2013-05-03,1.72,1.72,1.69,1.7,29000,MYR
2013-05-06,1.72,1.88,1.72,1.83,41800,MYR
2013-05-07,1.83,1.9,1.83,1.88,51100,MYR
2013-05-08,1.85,1.9,1.85,1.89,28000,MYR
2013-05-09,1.88,2.0,1.88,1.92,88600,MYR
2013-05-14,1.9,1.92,1.9,1.92,12000,MYR
2013-05-15,1.94,1.95,1.94,1.95,29000,MYR
2013-05-16,1.95,1.95,1.95,1.95,300,MYR
