Date,Open,High,Low,Close,Volume,Currency
2013-03-01,0.315,0.315,0.31,0.315,53000,MYR
2013-03-04,0.315,0.315,0.315,0.315,53000,MYR
2013-03-05,0.31,0.315,0.31,0.315,65000,MYR
2013-03-06,0.315,0.315,0.315,0.315,10000,MYR
2013-03-07,0.315,0.315,0.315,0.315,22000,MYR
2013-03-11,0.315,0.315,0.315,0.315,60000,MYR
2013-03-13,0.315,0.315,0.31,0.31,131200,MYR
2013-03-14,0.31,0.31,0.31,0.31,45000,MYR
2013-03-15,0.31,0.315,0.31,0.31,32500,MYR
2013-03-19,0.31,0.315,0.31,0.315,21000,MYR
2013-03-21,0.315,0.315,0.31,0.31,31000,MYR
2013-03-22,0.315,0.315,0.315,0.315,37100,MYR
2013-03-25,0.315,0.315,0.315,0.315,20000,MYR
2013-03-26,0.315,0.315,0.315,0.315,60000,MYR
2013-03-27,0.315,0.315,0.315,0.315,43000,MYR
2013-03-28,0.315,0.315,0.315,0.315,13000,MYR
2013-03-29,0.315,0.315,0.315,0.315,55600,MYR
2013-04-01,0.315,0.315,0.315,0.315,20000,MYR
2013-04-02,0.315,0.315,0.315,0.315,10000,MYR
2013-04-03,0.315,0.315,0.315,0.315,20800,MYR
2013-04-04,0.315,0.315,0.315,0.315,100000,MYR
2013-04-08,0.315,0.315,0.315,0.315,1300,MYR
2013-04-09,0.315,0.315,0.315,0.315,3000,MYR
2013-04-10,0.315,0.315,0.315,0.315,10000,MYR
2013-04-11,0.315,0.315,0.315,0.315,6000,MYR
2013-04-15,0.315,0.32,0.315,0.32,24500,MYR
2013-04-22,0.315,0.315,0.315,0.315,33000,MYR
2013-04-25,0.315,0.315,0.315,0.315,3000,MYR
2013-04-29,0.315,0.315,0.315,0.315,1000,MYR
2013-05-02,0.315,0.315,0.315,0.315,2000,MYR
2013-05-03,0.315,0.315,0.315,0.315,2000,MYR
2013-05-06,0.315,0.315,0.315,0.315,75000,MYR
2013-05-07,0.315,0.315,0.315,0.315,31000,MYR
2013-05-08,0.315,0.315,0.3,0.31,72200,MYR
2013-05-10,0.31,0.315,0.31,0.315,20000,MYR
2013-05-13,0.315,0.315,0.29,0.29,55000,MYR
2013-05-14,0.3,0.32,0.295,0.305,25100,MYR
2013-05-15,0.305,0.31,0.305,0.31,21000,MYR
2013-05-16,0.31,0.31,0.31,0.31,3900,MYR
2013-05-21,0.32,0.32,0.32,0.32,7000,MYR
2013-05-23,0.32,0.32,0.32,0.32,9000,MYR
2013-06-04,0.315,0.315,0.315,0.315,10000,MYR
2013-06-05,0.315,0.315,0.315,0.315,5000,MYR
2013-06-07,0.3,0.3,0.3,0.3,5000,MYR
2013-06-10,0.315,0.315,0.315,0.315,16000,MYR
2013-06-11,0.32,0.33,0.32,0.325,118000,MYR
2013-06-12,0.325,0.325,0.325,0.325,8000,MYR
2013-06-17,0.325,0.325,0.325,0.325,10000,MYR
2013-06-18,0.325,0.325,0.325,0.325,30000,MYR
2013-06-19,0.325,0.325,0.325,0.325,20400,MYR
2013-06-20,0.325,0.325,0.32,0.32,24000,MYR
2013-06-21,0.325,0.325,0.325,0.325,47700,MYR
2013-06-24,0.33,0.33,0.33,0.33,118000,MYR
2013-06-25,0.325,0.325,0.325,0.325,44000,MYR
2013-06-27,0.325,0.33,0.32,0.33,80000,MYR
2013-06-28,0.325,0.325,0.325,0.325,3700,MYR
2013-07-02,0.335,0.34,0.335,0.34,12500,MYR
2013-07-03,0.325,0.325,0.325,0.325,30000,MYR
2013-07-05,0.325,0.325,0.325,0.325,32900,MYR
2013-07-08,0.33,0.33,0.33,0.33,40000,MYR
2013-07-09,0.325,0.325,0.325,0.325,30000,MYR
2013-07-10,0.325,0.325,0.325,0.325,30000,MYR
2013-07-16,0.325,0.325,0.325,0.325,2000,MYR
2013-07-17,0.33,0.33,0.33,0.33,38000,MYR
