Date,Open,High,Low,Close,Volume,Currency
2013-03-19,0.15,0.15,0.15,0.15,60000,MYR
2013-03-22,0.15,0.15,0.15,0.15,50000,MYR
2013-03-25,0.14,0.14,0.14,0.14,70000,MYR
2013-03-27,0.13,0.13,0.13,0.13,2500,MYR
2013-03-28,0.135,0.14,0.135,0.14,40000,MYR
2013-03-29,0.15,0.15,0.15,0.15,100000,MYR
2013-04-01,0.14,0.15,0.135,0.15,97100,MYR
2013-04-02,0.15,0.15,0.15,0.15,15000,MYR
2013-04-03,0.14,0.15,0.14,0.14,124400,MYR
2013-04-08,0.14,0.145,0.14,0.145,63300,MYR
2013-04-09,0.15,0.16,0.15,0.15,118000,MYR
2013-04-10,0.16,0.16,0.16,0.16,8000,MYR
2013-04-15,0.15,0.15,0.15,0.15,100000,MYR
2013-04-17,0.15,0.15,0.145,0.145,106600,MYR
2013-04-22,0.15,0.15,0.15,0.15,50000,MYR
2013-04-24,0.16,0.16,0.14,0.14,200,MYR
2013-04-25,0.14,0.14,0.14,0.14,300,MYR
2013-04-29,0.145,0.145,0.145,0.145,39000,MYR
2013-05-02,0.145,0.145,0.145,0.145,69900,MYR
2013-05-07,0.2,0.2,0.14,0.14,1100,MYR
2013-05-08,0.14,0.2,0.14,0.15,16900,MYR
2013-05-09,0.195,0.195,0.155,0.155,53800,MYR
2013-05-10,0.18,0.18,0.155,0.155,1000,MYR
2013-05-15,0.15,0.175,0.15,0.175,11600,MYR
2013-05-17,0.16,0.17,0.16,0.16,40000,MYR
2013-05-20,0.16,0.16,0.16,0.16,56600,MYR
2013-05-21,0.17,0.18,0.17,0.18,295000,MYR
2013-05-22,0.19,0.195,0.18,0.185,740100,MYR
2013-05-23,0.18,0.18,0.175,0.175,300100,MYR
2013-05-27,0.17,0.17,0.17,0.17,7800,MYR
2013-05-29,0.185,0.185,0.175,0.18,156700,MYR
2013-05-30,0.175,0.18,0.175,0.18,143200,MYR
2013-05-31,0.18,0.18,0.18,0.18,110000,MYR
2013-06-03,0.18,0.18,0.175,0.18,101800,MYR
2013-06-04,0.175,0.18,0.175,0.18,92700,MYR
2013-06-05,0.175,0.175,0.17,0.17,131600,MYR
2013-06-06,0.18,0.18,0.17,0.17,69000,MYR
2013-06-07,0.17,0.175,0.17,0.175,89300,MYR
2013-06-11,0.18,0.18,0.175,0.175,105000,MYR
2013-06-12,0.17,0.175,0.17,0.175,310000,MYR
2013-06-13,0.17,0.17,0.165,0.165,132100,MYR
2013-06-14,0.175,0.18,0.175,0.18,166000,MYR
2013-06-17,0.17,0.17,0.17,0.17,6000,MYR
2013-06-18,0.18,0.18,0.175,0.175,120000,MYR
2013-06-19,0.175,0.175,0.175,0.175,70000,MYR
2013-06-20,0.17,0.17,0.17,0.17,100,MYR
2013-06-21,0.16,0.185,0.16,0.18,196800,MYR
2013-06-25,0.17,0.18,0.17,0.18,110000,MYR
2013-06-26,0.18,0.18,0.18,0.18,10000,MYR
2013-06-27,0.175,0.18,0.175,0.18,149000,MYR
2013-06-28,0.175,0.175,0.175,0.175,20000,MYR
2013-07-01,0.175,0.175,0.175,0.175,78200,MYR
2013-07-02,0.175,0.185,0.175,0.185,246000,MYR
2013-07-03,0.175,0.18,0.175,0.18,116000,MYR
2013-07-04,0.18,0.185,0.18,0.18,439000,MYR
2013-07-05,0.18,0.18,0.175,0.175,70000,MYR
2013-07-08,0.175,0.185,0.175,0.18,49900,MYR
2013-07-09,0.18,0.18,0.18,0.18,182900,MYR
2013-07-10,0.18,0.185,0.18,0.185,56000,MYR
2013-07-11,0.18,0.225,0.18,0.225,179500,MYR
2013-07-12,0.225,0.25,0.21,0.235,1845800,MYR
2013-07-15,0.24,0.245,0.235,0.24,1246100,MYR
2013-07-16,0.24,0.245,0.235,0.24,532000,MYR
2013-07-17,0.235,0.285,0.235,0.27,4824100,MYR
2013-07-18,0.275,0.33,0.275,0.295,6765700,MYR
2013-07-19,0.305,0.31,0.29,0.29,2493900,MYR
2013-07-22,0.285,0.29,0.26,0.265,1140400,MYR
2013-07-23,0.275,0.29,0.27,0.27,880000,MYR
2013-07-24,0.275,0.275,0.27,0.275,428800,MYR
2013-07-25,0.275,0.28,0.275,0.275,468200,MYR
2013-07-26,0.28,0.3,0.28,0.295,657300,MYR
2013-07-29,0.3,0.3,0.28,0.28,453400,MYR
2013-07-30,0.285,0.295,0.285,0.295,231500,MYR
2013-07-31,0.285,0.285,0.275,0.28,596800,MYR
2013-08-01,0.28,0.31,0.28,0.31,2488600,MYR
2013-08-02,0.32,0.325,0.3,0.31,1963300,MYR
2013-08-05,0.3,0.31,0.29,0.31,338600,MYR
2013-08-06,0.305,0.31,0.3,0.31,353200,MYR
2013-08-07,0.31,0.315,0.305,0.315,640400,MYR
2013-08-12,0.32,0.34,0.315,0.34,1725300,MYR
2013-08-13,0.345,0.375,0.345,0.37,2809200,MYR
2013-08-14,0.38,0.39,0.375,0.39,1558700,MYR
2013-08-15,0.4,0.405,0.395,0.395,1405200,MYR
2013-08-16,0.39,0.4,0.385,0.395,637500,MYR
2013-08-19,0.4,0.4,0.395,0.4,1259500,MYR
2013-08-20,0.4,0.4,0.38,0.39,2175700,MYR
2013-08-21,0.39,0.39,0.38,0.38,1199300,MYR
2013-08-22,0.38,0.385,0.345,0.35,3365600,MYR
2013-08-23,0.36,0.37,0.36,0.36,656300,MYR
2013-08-26,0.37,0.37,0.36,0.36,938200,MYR
2013-08-27,0.36,0.365,0.315,0.335,1893100,MYR
2013-08-28,0.31,0.33,0.31,0.33,1471700,MYR
2013-08-29,0.325,0.35,0.325,0.34,539600,MYR
2013-08-30,0.345,0.345,0.325,0.33,671300,MYR
2013-09-02,0.33,0.33,0.31,0.315,1371300,MYR
2013-09-03,0.315,0.33,0.315,0.325,310600,MYR
2013-09-04,0.325,0.325,0.315,0.32,321200,MYR
2013-09-05,0.315,0.325,0.315,0.325,185400,MYR
2013-09-06,0.32,0.33,0.32,0.32,110300,MYR
2013-09-09,0.34,0.34,0.315,0.32,154100,MYR
2013-09-10,0.325,0.35,0.32,0.35,277200,MYR
2013-09-11,0.35,0.35,0.33,0.33,108600,MYR
2013-09-12,0.35,0.35,0.325,0.34,82500,MYR
2013-09-13,0.34,0.35,0.33,0.345,148900,MYR
2013-09-17,0.35,0.35,0.32,0.33,100500,MYR
2013-09-18,0.35,0.35,0.335,0.335,97900,MYR
2013-09-19,0.335,0.365,0.335,0.365,949800,MYR
2013-09-20,0.36,0.365,0.345,0.36,140600,MYR
2013-09-23,0.36,0.375,0.35,0.37,115500,MYR
2013-09-24,0.37,0.37,0.355,0.36,515300,MYR
2013-09-25,0.36,0.365,0.355,0.355,214700,MYR
2013-09-26,0.375,0.375,0.355,0.355,80400,MYR
2013-09-27,0.36,0.36,0.36,0.36,122000,MYR
