Date,Open,High,Low,Close,Volume,Currency
2016-07-22,0.288,0.29,0.287,0.288,12066200,MYR
2016-07-25,0.288,0.294,0.287,0.288,22354600,MYR
2016-07-26,0.288,0.292,0.287,0.29,6969000,MYR
2016-07-27,0.292,0.308,0.292,0.305,48335800,MYR
2016-07-28,0.307,0.312,0.305,0.308,22087000,MYR
2016-07-29,0.31,0.31,0.308,0.308,4565400,MYR
2016-08-01,0.308,0.319,0.299,0.319,16100600,MYR
2016-08-02,0.319,0.325,0.317,0.321,14436600,MYR
2016-08-03,0.323,0.334,0.323,0.332,9225400,MYR
2016-08-04,0.334,0.334,0.326,0.33,2033400,MYR
2016-08-05,0.328,0.339,0.325,0.337,8652600,MYR
2016-08-08,0.339,0.343,0.337,0.339,2909600,MYR
2016-08-09,0.339,0.352,0.339,0.352,9417200,MYR
2016-08-10,0.352,0.355,0.346,0.353,15003400,MYR
2016-08-11,0.355,0.361,0.35,0.357,29952800,MYR
2016-08-12,0.355,0.355,0.339,0.352,20408600,MYR
2016-08-15,0.353,0.353,0.346,0.346,4119200,MYR
2016-08-16,0.348,0.361,0.341,0.359,20103000,MYR
2016-08-17,0.361,0.386,0.361,0.382,25305600,MYR
2016-08-18,0.382,0.397,0.371,0.393,11110000,MYR
2016-08-19,0.393,0.407,0.393,0.4,20805800,MYR
2016-08-22,0.4,0.4,0.382,0.397,13029400,MYR
2016-08-23,0.397,0.397,0.39,0.397,4760400,MYR
2016-08-24,0.397,0.411,0.39,0.411,14453400,MYR
2016-08-25,0.411,0.429,0.411,0.429,19070800,MYR
2016-08-26,0.429,0.44,0.429,0.44,15282600,MYR
2016-08-29,0.444,0.462,0.444,0.462,19144000,MYR
2016-08-30,0.462,0.469,0.433,0.454,29110000,MYR
2016-09-01,0.454,0.465,0.451,0.462,13780800,MYR
2016-09-02,0.465,0.476,0.465,0.469,14500600,MYR
2016-09-05,0.472,0.472,0.462,0.465,6281600,MYR
2016-09-06,0.465,0.469,0.462,0.462,2551400,MYR
2016-09-07,0.465,0.469,0.465,0.469,2398000,MYR
2016-09-08,0.469,0.469,0.454,0.469,3558200,MYR
2016-09-09,0.462,0.469,0.462,0.469,1441600,MYR
2016-09-13,0.465,0.48,0.462,0.469,15740200,MYR
2016-09-14,0.462,0.469,0.458,0.469,4181800,MYR
2016-09-15,0.462,0.469,0.462,0.469,2124000,MYR
2016-09-19,0.462,0.469,0.462,0.469,2494600,MYR
2016-09-20,0.469,0.469,0.458,0.469,4112600,MYR
2016-09-21,0.469,0.472,0.465,0.469,2131600,MYR
2016-09-22,0.462,0.469,0.462,0.469,585400,MYR
2016-09-23,0.469,0.469,0.462,0.469,3448000,MYR
2016-09-26,0.469,0.48,0.465,0.469,11307400,MYR
2016-09-27,0.465,0.469,0.458,0.469,2606600,MYR
2016-09-28,0.462,0.469,0.458,0.469,3245200,MYR
2016-09-29,0.462,0.469,0.462,0.469,3057000,MYR
2016-09-30,0.465,0.469,0.465,0.469,1843000,MYR
2016-10-04,0.465,0.469,0.465,0.469,2416000,MYR
2016-10-05,0.462,0.469,0.458,0.469,6281000,MYR
2016-10-06,0.465,0.48,0.465,0.476,3700400,MYR
2016-10-07,0.476,0.476,0.465,0.469,310000,MYR
2016-10-10,0.476,0.476,0.476,0.476,3484800,MYR
2016-10-11,0.476,0.476,0.472,0.472,2802600,MYR
2016-10-12,0.472,0.476,0.469,0.472,2397400,MYR
2016-10-13,0.476,0.476,0.472,0.476,1705200,MYR
2016-10-14,0.472,0.476,0.472,0.472,1320200,MYR
2016-10-17,0.472,0.48,0.472,0.476,1796200,MYR
2016-10-18,0.476,0.498,0.476,0.494,5879400,MYR
2016-10-19,0.498,0.501,0.487,0.494,7545600,MYR
2016-10-20,0.49,0.49,0.48,0.487,3225600,MYR
2016-10-21,0.48,0.48,0.472,0.48,308200,MYR
2016-10-24,0.472,0.476,0.469,0.472,967200,MYR
