Date,Open,High,Low,Close,Volume,Currency
2013-03-15,0.735,0.735,0.735,0.735,100800,MYR
2013-03-18,0.735,0.739,0.735,0.735,242667,MYR
2013-03-19,0.735,0.743,0.735,0.739,327467,MYR
2013-03-20,0.743,0.746,0.743,0.746,13333,MYR
2013-03-21,0.746,0.757,0.746,0.746,226667,MYR
2013-03-22,0.75,0.754,0.746,0.746,450667,MYR
2013-03-25,0.754,0.754,0.75,0.75,114667,MYR
2013-03-26,0.75,0.754,0.75,0.754,161333,MYR
2013-03-27,0.757,0.784,0.757,0.784,556267,MYR
2013-03-28,0.784,0.81,0.784,0.802,904267,MYR
2013-03-29,0.802,0.814,0.802,0.81,507733,MYR
2013-04-01,0.814,0.848,0.814,0.829,607200,MYR
2013-04-02,0.836,0.851,0.829,0.844,518133,MYR
2013-04-03,0.863,0.866,0.806,0.851,714667,MYR
2013-04-04,0.836,0.848,0.833,0.844,212800,MYR
2013-04-05,0.825,0.848,0.821,0.848,72533,MYR
2013-04-08,0.848,0.848,0.821,0.821,137867,MYR
2013-04-09,0.829,0.829,0.795,0.795,149333,MYR
2013-04-10,0.825,0.825,0.799,0.821,129867,MYR
2013-04-11,0.833,0.833,0.81,0.81,42933,MYR
2013-04-12,0.81,0.818,0.802,0.806,101600,MYR
2013-04-15,0.814,0.833,0.814,0.833,311467,MYR
2013-04-16,0.825,0.825,0.814,0.821,193867,MYR
2013-04-17,0.821,0.825,0.814,0.825,267733,MYR
2013-04-18,0.825,0.825,0.818,0.825,157333,MYR
2013-04-19,0.825,0.844,0.825,0.84,462400,MYR
2013-04-22,0.84,0.84,0.825,0.829,167200,MYR
2013-04-23,0.829,0.829,0.825,0.825,104000,MYR
2013-04-24,0.825,0.829,0.821,0.821,67200,MYR
2013-04-25,0.818,0.821,0.818,0.818,162400,MYR
2013-04-26,0.821,0.821,0.814,0.814,102933,MYR
2013-04-29,0.818,0.818,0.818,0.818,339467,MYR
2013-04-30,0.818,0.818,0.814,0.818,177067,MYR
2013-05-02,0.814,0.818,0.806,0.806,322933,MYR
2013-05-03,0.806,0.806,0.799,0.802,137067,MYR
2013-05-06,0.833,0.863,0.833,0.863,976000,MYR
2013-05-07,0.877,0.949,0.877,0.941,1458667,MYR
2013-05-08,0.949,0.986,0.945,0.949,1145600,MYR
2013-05-09,0.96,1.061,0.96,1.054,1753867,MYR
2013-05-10,1.058,1.125,1.058,1.125,1888800,MYR
2013-05-13,1.129,1.215,1.129,1.204,2497600,MYR
2013-05-14,1.215,1.215,1.125,1.174,1471200,MYR
2013-05-15,1.163,1.192,1.155,1.181,1025867,MYR
2013-05-16,1.181,1.208,1.181,1.2,803467,MYR
2013-05-17,1.211,1.282,1.211,1.256,2264533,MYR
2013-05-20,1.294,1.425,1.294,1.399,2597333,MYR
2013-05-21,1.406,1.448,1.354,1.387,2212267,MYR
2013-05-22,1.387,1.387,1.343,1.357,1349600,MYR
2013-05-23,1.309,1.309,1.177,1.177,6542667,MYR
2013-05-27,1.189,1.215,1.084,1.11,9098133,MYR
2013-05-28,1.125,1.196,1.125,1.196,4043200,MYR
2013-05-29,1.211,1.271,1.211,1.256,4260000,MYR
2013-05-30,1.252,1.252,1.185,1.238,1545333,MYR
2013-05-31,1.238,1.245,1.2,1.23,1173867,MYR
2013-06-03,1.219,1.23,1.174,1.181,591200,MYR
2013-06-04,1.185,1.192,1.129,1.159,785067,MYR
2013-06-05,1.163,1.185,1.163,1.174,385333,MYR
2013-06-06,1.174,1.196,1.174,1.196,996800,MYR
2013-06-07,1.196,1.249,1.189,1.249,1004267,MYR
2013-06-10,1.252,1.26,1.219,1.249,685600,MYR
2013-06-11,1.238,1.238,1.222,1.222,285867,MYR
2013-06-12,1.215,1.215,1.166,1.174,513067,MYR
2013-06-13,1.174,1.174,1.133,1.144,500800,MYR
2013-06-14,1.144,1.166,1.144,1.147,543200,MYR
2013-06-17,1.147,1.17,1.144,1.17,121067,MYR
2013-06-18,1.17,1.177,1.163,1.174,233600,MYR
2013-06-19,1.181,1.204,1.177,1.204,286400,MYR
2013-06-20,1.192,1.192,1.163,1.163,113600,MYR
2013-06-21,1.147,1.17,1.125,1.17,657333,MYR
2013-06-24,1.14,1.14,1.087,1.099,945867,MYR
2013-06-25,1.095,1.095,1.05,1.069,846400,MYR
2013-06-26,1.099,1.099,1.069,1.076,999467,MYR
2013-06-27,1.087,1.114,1.087,1.087,574933,MYR
2013-06-28,1.087,1.117,1.087,1.095,215467,MYR
2013-07-01,1.095,1.095,1.087,1.087,98667,MYR
2013-07-02,1.091,1.181,1.087,1.181,990400,MYR
2013-07-03,1.181,1.185,1.166,1.17,736267,MYR
2013-07-04,1.17,1.177,1.17,1.177,157333,MYR
2013-07-05,1.177,1.196,1.177,1.192,223467,MYR
2013-07-08,1.234,1.395,1.234,1.369,6657600,MYR
2013-07-09,1.38,1.462,1.35,1.369,2172800,MYR
2013-07-10,1.369,1.369,1.312,1.312,676800,MYR
2013-07-11,1.312,1.312,1.275,1.275,209067,MYR
2013-07-12,1.29,1.346,1.282,1.309,721333,MYR
2013-07-15,1.312,1.35,1.312,1.35,775467,MYR
2013-07-16,1.335,1.41,1.335,1.395,1116533,MYR
2013-07-17,1.395,1.425,1.395,1.425,1020533,MYR
2013-07-18,1.425,1.429,1.387,1.406,159200,MYR
2013-07-19,1.406,1.421,1.38,1.41,608267,MYR
2013-07-22,1.421,1.429,1.387,1.399,792000,MYR
2013-07-23,1.436,1.455,1.395,1.395,1713067,MYR
