Date,Open,High,Low,Close,Volume,Currency
2013-03-11,0.31,0.315,0.31,0.315,213500,MYR
2013-03-12,0.315,0.315,0.315,0.315,122500,MYR
2013-03-13,0.31,0.315,0.305,0.31,251200,MYR
2013-03-14,0.31,0.31,0.31,0.31,57400,MYR
2013-03-15,0.315,0.315,0.305,0.31,209500,MYR
2013-03-18,0.31,0.31,0.31,0.31,225800,MYR
2013-03-19,0.315,0.315,0.315,0.315,261100,MYR
2013-03-20,0.315,0.32,0.315,0.315,634500,MYR
2013-03-21,0.32,0.33,0.32,0.33,1014900,MYR
2013-03-22,0.33,0.35,0.33,0.35,2185800,MYR
2013-03-25,0.35,0.375,0.345,0.345,8714700,MYR
2013-03-26,0.345,0.355,0.335,0.35,3339000,MYR
2013-03-27,0.345,0.35,0.34,0.345,2892700,MYR
2013-03-28,0.325,0.335,0.32,0.32,1157100,MYR
2013-03-29,0.325,0.335,0.32,0.32,604000,MYR
2013-04-01,0.32,0.325,0.32,0.325,410800,MYR
2013-04-02,0.33,0.33,0.325,0.33,840000,MYR
2013-04-03,0.34,0.34,0.32,0.325,1300600,MYR
2013-04-04,0.325,0.34,0.325,0.34,848000,MYR
2013-04-05,0.34,0.34,0.335,0.335,1802500,MYR
2013-04-08,0.335,0.35,0.335,0.35,1297300,MYR
2013-04-09,0.355,0.37,0.355,0.365,6662900,MYR
2013-04-10,0.37,0.37,0.355,0.36,681400,MYR
2013-04-11,0.355,0.355,0.34,0.355,961600,MYR
2013-04-12,0.355,0.36,0.34,0.345,1121900,MYR
2013-04-15,0.34,0.34,0.335,0.335,1107700,MYR
2013-04-16,0.34,0.355,0.34,0.35,948300,MYR
2013-04-17,0.35,0.365,0.35,0.365,1540400,MYR
2013-04-18,0.37,0.375,0.365,0.375,5197800,MYR
2013-04-19,0.375,0.38,0.36,0.365,2573900,MYR
2013-04-22,0.36,0.365,0.35,0.355,1064000,MYR
2013-04-23,0.37,0.38,0.36,0.375,12924200,MYR
2013-04-24,0.37,0.37,0.35,0.36,714400,MYR
2013-04-25,0.36,0.365,0.36,0.365,675600,MYR
2013-04-26,0.36,0.37,0.355,0.36,1559500,MYR
2013-04-29,0.36,0.36,0.31,0.325,4245700,MYR
2013-04-30,0.325,0.34,0.32,0.335,1048000,MYR
2013-05-02,0.34,0.34,0.32,0.335,1198700,MYR
2013-05-03,0.335,0.335,0.31,0.325,2415400,MYR
2013-05-06,0.335,0.34,0.325,0.34,1738100,MYR
2013-05-07,0.34,0.345,0.33,0.335,2163400,MYR
2013-05-08,0.345,0.345,0.33,0.335,1018600,MYR
2013-05-09,0.34,0.345,0.335,0.34,1929900,MYR
2013-05-10,0.34,0.345,0.34,0.345,896000,MYR
2013-05-13,0.345,0.36,0.345,0.36,2007500,MYR
2013-05-14,0.35,0.355,0.34,0.35,1058200,MYR
2013-05-15,0.35,0.355,0.345,0.345,1095100,MYR
2013-05-16,0.355,0.365,0.355,0.355,3349500,MYR
2013-05-17,0.36,0.36,0.355,0.355,1512000,MYR
2013-05-20,0.36,0.38,0.355,0.37,7065200,MYR
2013-05-21,0.38,0.38,0.365,0.375,2543300,MYR
2013-05-22,0.37,0.37,0.36,0.365,1283900,MYR
2013-05-23,0.365,0.37,0.355,0.36,3493100,MYR
2013-05-27,0.36,0.36,0.35,0.35,2385800,MYR
2013-05-28,0.355,0.365,0.355,0.36,2995100,MYR
2013-05-29,0.36,0.37,0.355,0.36,3000900,MYR
2013-05-30,0.355,0.355,0.34,0.34,1341200,MYR
2013-05-31,0.34,0.35,0.34,0.345,776500,MYR
2013-06-03,0.35,0.35,0.34,0.345,497000,MYR
2013-06-04,0.345,0.345,0.34,0.34,664000,MYR
2013-06-05,0.34,0.34,0.335,0.335,378000,MYR
