Date,Open,High,Low,Close,Volume,Currency
2013-04-08,0.28,0.28,0.28,0.28,30000,MYR
2013-04-09,0.28,0.28,0.28,0.28,10000,MYR
2013-04-11,0.275,0.275,0.275,0.275,25000,MYR
2013-04-17,0.28,0.28,0.28,0.28,52000,MYR
2013-04-24,0.28,0.28,0.28,0.28,25000,MYR
2013-04-29,0.28,0.28,0.28,0.28,10000,MYR
2013-04-30,0.28,0.28,0.28,0.28,3000,MYR
2013-05-02,0.28,0.28,0.28,0.28,20000,MYR
2013-05-06,0.28,0.28,0.28,0.28,9300,MYR
2013-05-10,0.29,0.29,0.29,0.29,5000,MYR
2013-05-13,0.3,0.3,0.3,0.3,30000,MYR
2013-05-15,0.28,0.28,0.28,0.28,2000,MYR
2013-05-16,0.3,0.3,0.3,0.3,21000,MYR
2013-05-17,0.3,0.3,0.3,0.3,30000,MYR
2013-05-21,0.3,0.3,0.3,0.3,15000,MYR
2013-05-23,0.29,0.29,0.28,0.28,45000,MYR
2013-05-27,0.3,0.3,0.3,0.3,100000,MYR
2013-05-28,0.29,0.29,0.29,0.29,187000,MYR
2013-05-30,0.29,0.29,0.29,0.29,20000,MYR
2013-05-31,0.28,0.28,0.28,0.28,5000,MYR
2013-06-11,0.27,0.27,0.27,0.27,1000,MYR
2013-06-12,0.28,0.28,0.275,0.275,11000,MYR
2013-06-13,0.275,0.29,0.27,0.29,14100,MYR
2013-06-14,0.29,0.29,0.29,0.29,15000,MYR
2013-06-18,0.29,0.29,0.29,0.29,20000,MYR
2013-07-08,0.29,0.29,0.29,0.29,130000,MYR
2013-07-09,0.27,0.29,0.27,0.29,21000,MYR
2013-07-11,0.29,0.29,0.29,0.29,45000,MYR
2013-07-12,0.29,0.3,0.29,0.29,119800,MYR
2013-07-16,0.3,0.31,0.3,0.31,70000,MYR
2013-07-17,0.32,0.32,0.315,0.315,18000,MYR
2013-07-18,0.315,0.325,0.315,0.325,40000,MYR
2013-07-22,0.315,0.33,0.315,0.33,7100,MYR
2013-07-23,0.315,0.36,0.31,0.325,82600,MYR
2013-07-24,0.325,0.325,0.325,0.325,15000,MYR
2013-07-25,0.325,0.325,0.325,0.325,50000,MYR
2013-07-26,0.32,0.32,0.32,0.32,50000,MYR
2013-07-30,0.325,0.35,0.325,0.35,10400,MYR
2013-07-31,0.32,0.32,0.32,0.32,19900,MYR
2013-08-01,0.32,0.32,0.32,0.32,40000,MYR
2013-08-06,0.32,0.32,0.32,0.32,36000,MYR
2013-08-15,0.33,0.33,0.32,0.32,60000,MYR
2013-08-16,0.34,0.34,0.33,0.33,20000,MYR
2013-08-19,0.33,0.33,0.325,0.325,90000,MYR
2013-08-20,0.325,0.325,0.32,0.32,50800,MYR
2013-08-22,0.325,0.325,0.315,0.315,29000,MYR
2013-08-26,0.315,0.315,0.315,0.315,3000,MYR
2013-08-27,0.315,0.315,0.305,0.305,11000,MYR
2013-08-28,0.315,0.315,0.3,0.31,13000,MYR
2013-08-29,0.31,0.31,0.31,0.31,8000,MYR
2013-09-04,0.31,0.31,0.295,0.305,31000,MYR
2013-09-11,0.3,0.3,0.3,0.3,11000,MYR
