Date,Open,High,Low,Close,Volume,Currency
2014-08-19,0.32,0.325,0.315,0.315,1565000,MYR
2014-08-20,0.315,0.32,0.305,0.305,3614700,MYR
2014-08-21,0.31,0.31,0.305,0.31,1525500,MYR
2014-08-22,0.315,0.315,0.305,0.305,2147400,MYR
2014-08-25,0.31,0.31,0.3,0.305,1457500,MYR
2014-08-26,0.305,0.305,0.295,0.3,3476500,MYR
2014-08-27,0.305,0.305,0.3,0.3,411700,MYR
2014-08-28,0.305,0.31,0.305,0.305,2305400,MYR
2014-08-29,0.305,0.305,0.295,0.3,2356700,MYR
2014-09-02,0.3,0.305,0.29,0.3,1303000,MYR
2014-09-03,0.3,0.305,0.295,0.3,754400,MYR
2014-09-04,0.3,0.305,0.3,0.305,2215300,MYR
2014-09-05,0.31,0.315,0.305,0.31,5153400,MYR
2014-09-08,0.315,0.325,0.315,0.32,6449600,MYR
2014-09-09,0.32,0.32,0.31,0.315,2404200,MYR
2014-09-10,0.33,0.34,0.32,0.325,26623100,MYR
2014-09-11,0.325,0.325,0.315,0.32,3292700,MYR
2014-09-12,0.315,0.315,0.31,0.31,1853000,MYR
2014-09-15,0.315,0.315,0.3,0.305,1990900,MYR
2014-09-17,0.305,0.305,0.3,0.305,4093700,MYR
2014-09-18,0.305,0.305,0.3,0.3,1745100,MYR
2014-09-19,0.3,0.305,0.295,0.305,2001200,MYR
2014-09-22,0.305,0.32,0.305,0.305,4984200,MYR
2014-09-23,0.31,0.31,0.3,0.3,1913800,MYR
2014-09-24,0.305,0.305,0.295,0.305,2848400,MYR
2014-09-25,0.3,0.305,0.3,0.3,2200600,MYR
2014-09-26,0.305,0.305,0.3,0.3,1124700,MYR
2014-09-29,0.305,0.305,0.3,0.3,1026200,MYR
2014-09-30,0.3,0.3,0.295,0.3,1534800,MYR
2014-10-01,0.295,0.3,0.29,0.295,1459900,MYR
2014-10-02,0.29,0.29,0.285,0.285,2041000,MYR
2014-10-03,0.285,0.295,0.285,0.29,1393700,MYR
2014-10-07,0.29,0.29,0.28,0.285,1100300,MYR
2014-10-08,0.28,0.28,0.275,0.28,2028100,MYR
2014-10-09,0.285,0.29,0.28,0.28,1415400,MYR
2014-10-10,0.27,0.28,0.265,0.28,1603200,MYR
2014-10-13,0.275,0.28,0.265,0.265,1498600,MYR
2014-10-14,0.25,0.26,0.245,0.255,2518800,MYR
2014-10-15,0.255,0.255,0.24,0.25,1647100,MYR
2014-10-16,0.24,0.24,0.23,0.23,3008700,MYR
2014-10-17,0.235,0.245,0.235,0.24,1100300,MYR
2014-10-20,0.25,0.25,0.24,0.24,1575700,MYR
2014-10-21,0.24,0.245,0.23,0.235,1400000,MYR
2014-10-23,0.24,0.255,0.24,0.25,1517900,MYR
2014-10-24,0.26,0.26,0.25,0.255,1593900,MYR
2014-10-27,0.26,0.275,0.26,0.275,1101200,MYR
2014-10-28,0.275,0.275,0.26,0.265,1579100,MYR
2014-10-29,0.27,0.275,0.265,0.27,732800,MYR
2014-10-30,0.27,0.275,0.26,0.27,1007700,MYR
2014-10-31,0.275,0.275,0.27,0.27,1801100,MYR
2014-11-03,0.28,0.28,0.27,0.27,1956000,MYR
2014-11-04,0.265,0.27,0.26,0.27,1353200,MYR
2014-11-05,0.27,0.27,0.265,0.265,1201500,MYR
2014-11-06,0.265,0.265,0.26,0.265,1135300,MYR
2014-11-07,0.265,0.305,0.265,0.29,53993000,MYR
2014-11-10,0.295,0.295,0.285,0.29,6022700,MYR
2014-11-11,0.29,0.29,0.27,0.27,3346800,MYR
2014-11-12,0.27,0.28,0.265,0.275,11603300,MYR
2014-11-13,0.27,0.27,0.255,0.26,8163300,MYR
2014-11-14,0.26,0.265,0.255,0.255,1467700,MYR
2014-11-17,0.265,0.275,0.26,0.26,3975700,MYR
2014-11-18,0.265,0.28,0.26,0.265,24225200,MYR
2014-11-19,0.265,0.27,0.26,0.26,10402000,MYR
2014-11-20,0.26,0.265,0.255,0.255,989600,MYR
2014-11-21,0.26,0.26,0.255,0.26,1319100,MYR
2014-11-24,0.26,0.265,0.255,0.26,5032900,MYR
2014-11-25,0.26,0.265,0.255,0.255,1485400,MYR
2014-11-26,0.255,0.26,0.255,0.26,595800,MYR
2014-11-27,0.255,0.255,0.245,0.245,2992300,MYR
2014-11-28,0.24,0.25,0.24,0.245,3566100,MYR
2014-12-01,0.235,0.235,0.2,0.225,3339100,MYR
2014-12-02,0.22,0.23,0.215,0.22,2126500,MYR
2014-12-03,0.22,0.22,0.215,0.22,2238400,MYR
2014-12-04,0.22,0.22,0.21,0.215,3121000,MYR
2014-12-05,0.215,0.225,0.215,0.225,593800,MYR
2014-12-08,0.22,0.225,0.21,0.21,1112400,MYR
2014-12-09,0.21,0.225,0.205,0.205,988000,MYR
2014-12-10,0.205,0.23,0.205,0.225,2587700,MYR
2014-12-11,0.22,0.22,0.215,0.22,124000,MYR
2014-12-12,0.215,0.215,0.205,0.215,943900,MYR
2014-12-15,0.205,0.205,0.2,0.205,3245900,MYR
2014-12-16,0.2,0.205,0.2,0.2,3616700,MYR
2014-12-17,0.205,0.21,0.205,0.21,561000,MYR
2014-12-18,0.215,0.22,0.21,0.22,1068300,MYR
2014-12-19,0.22,0.23,0.215,0.215,2855500,MYR
2014-12-22,0.225,0.225,0.22,0.225,416000,MYR
2014-12-23,0.22,0.22,0.215,0.22,456000,MYR
2014-12-24,0.215,0.22,0.215,0.22,244000,MYR
2014-12-26,0.215,0.22,0.215,0.215,1034800,MYR
2014-12-29,0.215,0.22,0.215,0.215,23100,MYR
2014-12-30,0.22,0.22,0.215,0.215,224700,MYR
2014-12-31,0.22,0.22,0.215,0.215,264900,MYR
2015-01-02,0.215,0.22,0.215,0.215,914800,MYR
2015-01-05,0.22,0.22,0.215,0.215,1005900,MYR
2015-01-06,0.21,0.215,0.21,0.215,663600,MYR
2015-01-07,0.21,0.21,0.21,0.21,130000,MYR
2015-01-08,0.215,0.215,0.21,0.215,362900,MYR
2015-01-09,0.22,0.22,0.215,0.22,58400,MYR
2015-01-12,0.215,0.22,0.21,0.22,164500,MYR
2015-01-13,0.215,0.22,0.215,0.22,455300,MYR
2015-01-14,0.215,0.22,0.215,0.22,160200,MYR
2015-01-15,0.215,0.22,0.215,0.22,274400,MYR
2015-01-16,0.22,0.22,0.21,0.22,695300,MYR
2015-01-19,0.22,0.22,0.215,0.215,255400,MYR
2015-01-20,0.22,0.22,0.215,0.215,973100,MYR
2015-01-21,0.22,0.235,0.22,0.23,4672900,MYR
2015-01-22,0.23,0.235,0.23,0.235,1311700,MYR
2015-01-23,0.235,0.24,0.23,0.235,1004400,MYR
2015-01-26,0.235,0.235,0.225,0.225,1144000,MYR
2015-01-27,0.225,0.23,0.22,0.23,844100,MYR
2015-01-28,0.225,0.23,0.22,0.225,391900,MYR
2015-01-29,0.225,0.23,0.22,0.23,571800,MYR
2015-01-30,0.225,0.23,0.225,0.23,1033000,MYR
