Date,Open,High,Low,Close,Volume,Currency
2011-07-22,3.0,3.01,3.0,3.0,2144000,MYR
2011-07-25,3.0,3.0,3.0,3.0,1739000,MYR
2011-07-26,3.0,3.02,2.99,3.01,9603000,MYR
2011-07-27,3.02,3.03,3.02,3.02,6105000,MYR
2011-07-28,3.02,3.03,2.99,3.02,2327000,MYR
2011-07-29,3.05,3.05,3.02,3.02,5686000,MYR
2011-08-01,3.02,3.05,3.02,3.02,5563000,MYR
2011-08-02,3.02,3.03,3.02,3.02,3146000,MYR
2011-08-03,3.0,3.03,3.0,3.02,6615000,MYR
2011-08-04,3.02,3.02,3.0,3.0,2991000,MYR
2011-08-05,2.99,3.04,2.86,2.99,24810000,MYR
2011-08-08,2.9,3.04,2.9,2.94,22370000,MYR
2011-08-09,2.9,2.97,2.89,2.95,13798000,MYR
2011-08-10,2.96,3.05,2.95,2.96,11883000,MYR
2011-08-11,2.95,3.04,2.95,2.98,3524000,MYR
2011-08-12,2.98,3.0,2.97,2.98,2693000,MYR
2011-08-15,2.98,3.0,2.98,3.0,4322000,MYR
2011-08-16,3.0,3.0,3.0,3.0,7166000,MYR
2011-08-17,3.0,3.0,2.98,3.0,5409000,MYR
2011-08-18,3.01,3.01,2.99,3.0,11092000,MYR
2011-08-19,2.95,3.0,2.95,2.98,6303000,MYR
2011-08-22,2.97,2.98,2.97,2.98,7266000,MYR
2011-08-23,2.99,3.0,2.99,2.99,8265000,MYR
2011-08-24,2.99,3.02,2.99,2.99,7652000,MYR
2011-08-25,2.99,3.03,2.99,3.01,3222000,MYR
2011-08-26,3.01,3.03,3.0,3.0,7624000,MYR
2011-08-29,3.02,3.02,3.0,3.02,2675000,MYR
2011-09-02,3.13,3.15,3.12,3.13,12435000,MYR
2011-09-05,3.12,3.18,3.1,3.12,2021000,MYR
2011-09-06,3.12,3.18,3.09,3.11,2869000,MYR
2011-09-07,3.15,3.15,3.11,3.11,7791000,MYR
2011-09-09,3.25,3.36,3.0,3.2,15639000,MYR
2011-09-12,3.2,3.22,3.15,3.17,6847000,MYR
2011-09-13,3.16,3.17,3.11,3.11,2597000,MYR
2011-09-14,3.13,3.14,3.06,3.07,10609000,MYR
2011-09-15,3.07,3.2,3.07,3.2,11276000,MYR
2011-09-19,3.19,3.19,3.05,3.05,5046000,MYR
2011-09-20,3.06,3.09,3.04,3.05,5041000,MYR
2011-09-21,3.14,3.14,3.03,3.04,6114000,MYR
2011-09-22,3.04,3.04,3.01,3.01,16199000,MYR
2011-09-23,3.01,3.01,2.97,3.0,12262000,MYR
2011-09-26,2.98,2.99,2.93,2.94,26532000,MYR
2011-09-27,2.95,3.0,2.94,3.0,12781000,MYR
2011-09-28,3.06,3.08,3.01,3.04,14103000,MYR
2011-09-29,3.03,3.06,3.02,3.04,7732000,MYR
2011-09-30,3.05,3.06,3.01,3.04,7388000,MYR
2011-10-03,3.05,3.06,2.95,3.0,3435000,MYR
2011-10-04,2.99,3.01,2.97,2.97,14728000,MYR
2011-10-05,3.0,3.03,2.99,3.0,4336000,MYR
2011-10-06,3.03,3.03,3.0,3.0,6755000,MYR
2011-10-07,3.0,3.0,3.0,3.0,13843000,MYR
2011-10-10,3.0,3.07,3.0,3.01,4393000,MYR
2011-10-11,3.04,3.04,3.02,3.02,3361000,MYR
2011-10-12,3.05,3.06,3.02,3.05,7715000,MYR
2011-10-13,3.06,3.1,3.06,3.09,8916000,MYR
2011-10-14,3.09,3.2,3.08,3.2,5189000,MYR
2011-10-17,3.2,3.23,3.19,3.2,4174000,MYR
2011-10-18,3.19,3.2,3.12,3.19,2781000,MYR
2011-10-19,3.21,3.21,3.14,3.18,2955000,MYR
2011-10-20,3.18,3.18,3.09,3.16,2617000,MYR
2011-10-21,3.14,3.18,3.0,3.16,3561000,MYR
2011-10-24,3.17,3.19,3.16,3.16,4848000,MYR
2011-10-25,3.17,3.18,3.16,3.16,10999000,MYR
2011-10-27,3.16,3.18,3.16,3.16,15040000,MYR
2011-10-28,3.16,3.18,3.14,3.15,17802000,MYR
2011-10-31,3.15,3.35,3.15,3.17,6784000,MYR
2011-11-01,3.17,3.35,3.17,3.17,3631000,MYR
2011-11-02,3.2,3.24,3.15,3.23,5415000,MYR
2011-11-03,3.23,3.28,3.2,3.25,3793000,MYR
2011-11-04,3.26,3.35,3.26,3.33,5850000,MYR
2011-11-08,3.35,3.42,3.35,3.4,10663000,MYR
2011-11-09,3.4,3.48,3.37,3.42,6538000,MYR
2011-11-10,3.39,3.5,3.39,3.4,4251000,MYR
2011-11-11,3.47,3.49,3.36,3.38,9163000,MYR
2011-11-14,3.4,3.46,3.4,3.45,9080000,MYR
2011-11-15,3.45,3.54,3.45,3.5,6349000,MYR
2011-11-16,3.5,3.54,3.43,3.48,10708000,MYR
2011-11-17,3.49,3.49,3.46,3.48,4025000,MYR
2011-11-18,3.49,3.53,3.48,3.5,14373000,MYR
2011-11-21,3.6,3.81,3.53,3.6,13479800,MYR
2011-11-22,3.6,3.78,3.6,3.72,10881500,MYR
2011-11-23,3.76,3.88,3.68,3.72,12397700,MYR
2011-11-24,3.7,3.72,3.63,3.66,5526400,MYR
2011-11-25,3.66,3.67,3.54,3.54,10495800,MYR
2011-11-29,3.59,3.62,3.44,3.48,16977200,MYR
2011-11-30,3.5,3.57,3.48,3.52,12686400,MYR
2011-12-01,3.62,3.7,3.56,3.6,14789500,MYR
2011-12-02,3.61,3.73,3.59,3.73,7019400,MYR
2011-12-05,3.73,3.75,3.66,3.7,4179000,MYR
2011-12-06,3.67,3.68,3.62,3.66,3937500,MYR
2011-12-07,3.7,3.7,3.59,3.62,8097600,MYR
2011-12-08,3.63,3.63,3.59,3.62,3473600,MYR
2011-12-09,3.59,3.69,3.58,3.69,3577900,MYR
2011-12-12,3.69,3.74,3.64,3.68,3226100,MYR
2011-12-13,3.68,3.76,3.65,3.67,8292000,MYR
2011-12-14,3.7,3.77,3.64,3.66,7525000,MYR
2011-12-15,3.63,3.65,3.6,3.62,7315100,MYR
2011-12-16,3.64,3.64,3.61,3.62,5871800,MYR
2011-12-19,3.62,3.7,3.6,3.7,3113700,MYR
2011-12-20,3.69,3.7,3.61,3.61,5427200,MYR
2011-12-21,3.67,3.72,3.65,3.68,7690100,MYR
2011-12-22,3.68,3.71,3.66,3.68,7879900,MYR
2011-12-23,3.7,3.75,3.68,3.74,4045300,MYR
2011-12-27,3.74,3.79,3.74,3.78,3985900,MYR
2011-12-28,3.79,3.8,3.78,3.79,4156200,MYR
2011-12-29,3.79,3.8,3.76,3.78,3377400,MYR
2011-12-30,3.8,3.88,3.8,3.88,5724000,MYR
2012-01-03,3.86,3.89,3.8,3.81,3594800,MYR
2012-01-04,3.83,3.95,3.77,3.79,6015200,MYR
2012-01-05,3.81,3.88,3.81,3.88,7535800,MYR
2012-01-06,3.88,3.88,3.82,3.86,8854800,MYR
2012-01-09,3.9,3.9,3.84,3.86,6396200,MYR
2012-01-10,3.84,3.9,3.84,3.9,6376300,MYR
2012-01-11,3.9,3.99,3.89,3.91,8004200,MYR
2012-01-12,3.93,3.94,3.91,3.92,4420500,MYR
2012-01-13,3.94,3.95,3.88,3.9,5200100,MYR
2012-01-16,3.92,3.92,3.86,3.86,4154100,MYR
2012-01-17,3.9,3.9,3.83,3.85,6222700,MYR
2012-01-18,3.86,3.92,3.86,3.87,5436500,MYR
2012-01-19,3.88,3.94,3.86,3.88,6050500,MYR
2012-01-20,3.94,3.95,3.91,3.93,8445700,MYR
2012-01-25,3.96,3.98,3.93,3.95,6298600,MYR
2012-01-26,3.95,3.96,3.93,3.95,5151800,MYR
2012-01-27,3.96,3.97,3.9,3.95,5617400,MYR
2012-01-30,3.94,3.98,3.93,3.94,8051900,MYR
2012-01-31,3.95,3.97,3.93,3.96,14140600,MYR
2012-02-02,4.0,4.18,3.99,4.1,9734400,MYR
2012-02-03,4.12,4.12,4.07,4.11,8768700,MYR
2012-02-08,4.3,4.32,4.12,4.14,11848500,MYR
2012-02-09,4.2,4.2,4.11,4.14,8452200,MYR
2012-02-10,4.17,4.18,4.12,4.13,8007600,MYR
2012-02-13,4.12,4.13,4.08,4.1,7033500,MYR
2012-02-14,4.1,4.12,4.09,4.1,5876400,MYR
2012-02-15,4.1,4.16,4.08,4.16,5348800,MYR
2012-02-16,4.1,4.17,4.06,4.1,6884700,MYR
2012-02-17,4.08,4.09,4.0,4.02,8065000,MYR
2012-02-20,4.03,4.08,3.98,3.99,7024200,MYR
2012-02-21,4.01,4.02,3.95,4.0,7514800,MYR
2012-02-22,4.0,4.03,3.99,4.01,5941700,MYR
2012-02-23,3.99,4.01,3.99,3.99,6602500,MYR
2012-02-24,3.99,4.01,3.98,3.99,4785500,MYR
2012-02-27,4.01,4.01,3.98,3.99,5688900,MYR
2012-02-28,4.0,4.01,3.96,3.99,7364100,MYR
2012-02-29,3.99,4.03,3.99,4.02,10413600,MYR
2012-03-01,4.02,4.1,4.01,4.04,9268900,MYR
2012-03-02,4.07,4.14,4.06,4.12,6916200,MYR
2012-03-05,4.12,4.15,4.1,4.13,2571400,MYR
2012-03-06,4.14,4.14,4.08,4.11,4958200,MYR
2012-03-07,4.08,4.1,4.04,4.07,4381100,MYR
2012-03-08,4.08,4.09,4.04,4.05,2686000,MYR
2012-03-09,4.07,4.09,4.01,4.02,3860900,MYR
2012-03-12,4.03,4.06,3.98,3.99,4582000,MYR
2012-03-13,4.01,4.02,3.99,4.0,8084200,MYR
2012-03-14,4.0,4.03,3.94,3.95,10213700,MYR
2012-03-15,3.98,3.99,3.9,3.9,13456900,MYR
2012-03-16,3.93,3.98,3.92,3.93,13140500,MYR
