Date,Open,High,Low,Close,Volume,Currency
2013-03-18,0.101,0.109,0.101,0.105,2244900,MYR
2013-03-19,0.101,0.101,0.097,0.097,578600,MYR
2013-03-20,0.097,0.097,0.097,0.097,395500,MYR
2013-03-21,0.097,0.109,0.097,0.105,1878400,MYR
2013-03-22,0.105,0.121,0.105,0.105,9822000,MYR
2013-03-25,0.109,0.109,0.105,0.105,349700,MYR
2013-03-26,0.105,0.105,0.105,0.105,237900,MYR
2013-03-27,0.105,0.105,0.105,0.105,178700,MYR
2013-03-28,0.101,0.109,0.101,0.105,2431300,MYR
2013-03-29,0.105,0.105,0.101,0.101,260700,MYR
2013-04-01,0.101,0.105,0.101,0.101,222300,MYR
2013-04-02,0.101,0.105,0.101,0.101,203300,MYR
2013-04-03,0.101,0.101,0.097,0.097,541300,MYR
2013-04-04,0.101,0.101,0.097,0.097,230100,MYR
2013-04-05,0.101,0.105,0.101,0.105,1767300,MYR
2013-04-08,0.101,0.105,0.101,0.105,51600,MYR
2013-04-09,0.105,0.105,0.101,0.105,927100,MYR
2013-04-10,0.105,0.105,0.101,0.101,511200,MYR
2013-04-11,0.101,0.101,0.101,0.101,1587500,MYR
2013-04-12,0.101,0.101,0.101,0.101,585100,MYR
2013-04-15,0.101,0.101,0.097,0.101,302300,MYR
2013-04-16,0.097,0.101,0.097,0.101,109400,MYR
2013-04-17,0.097,0.101,0.097,0.101,273900,MYR
2013-04-18,0.097,0.105,0.097,0.105,1979600,MYR
2013-04-19,0.105,0.113,0.105,0.105,4939800,MYR
2013-04-22,0.105,0.105,0.101,0.101,147000,MYR
2013-04-23,0.101,0.101,0.101,0.101,405900,MYR
2013-04-24,0.101,0.101,0.101,0.101,115700,MYR
2013-04-25,0.097,0.101,0.097,0.097,1936400,MYR
2013-04-26,0.101,0.101,0.101,0.101,257100,MYR
2013-04-29,0.097,0.101,0.093,0.093,997800,MYR
2013-04-30,0.097,0.097,0.093,0.093,537300,MYR
2013-05-02,0.097,0.097,0.093,0.093,372900,MYR
2013-05-03,0.093,0.097,0.093,0.093,418000,MYR
2013-05-06,0.097,0.105,0.097,0.105,3628400,MYR
2013-05-07,0.105,0.109,0.101,0.105,5060200,MYR
2013-05-08,0.101,0.101,0.097,0.097,1332400,MYR
2013-05-09,0.097,0.097,0.097,0.097,585000,MYR
2013-05-10,0.097,0.101,0.097,0.101,557700,MYR
2013-05-13,0.101,0.105,0.101,0.105,2771100,MYR
2013-05-14,0.105,0.105,0.101,0.101,690400,MYR
2013-05-15,0.105,0.109,0.105,0.109,7383600,MYR
2013-05-16,0.109,0.109,0.105,0.109,2863200,MYR
2013-05-17,0.109,0.109,0.105,0.105,3696900,MYR
2013-05-20,0.105,0.113,0.105,0.109,6248800,MYR
2013-05-21,0.109,0.113,0.109,0.113,8594700,MYR
2013-05-22,0.113,0.113,0.105,0.105,6067800,MYR
2013-05-23,0.109,0.109,0.101,0.105,4614900,MYR
2013-05-27,0.105,0.105,0.101,0.105,2561400,MYR
2013-05-28,0.101,0.109,0.101,0.109,1220300,MYR
2013-05-29,0.105,0.109,0.105,0.105,3913100,MYR
2013-05-30,0.105,0.109,0.105,0.105,1149900,MYR
2013-05-31,0.105,0.105,0.101,0.105,1023200,MYR
2013-06-03,0.101,0.105,0.101,0.101,1190700,MYR
2013-06-04,0.105,0.105,0.101,0.105,2091900,MYR
2013-06-05,0.087,0.087,0.084,0.084,1223900,MYR
2013-06-06,0.084,0.087,0.084,0.087,271500,MYR
2013-06-07,0.084,0.084,0.084,0.084,3171000,MYR
2013-06-10,0.084,0.087,0.084,0.084,532300,MYR
2013-06-11,0.084,0.084,0.081,0.084,3716700,MYR
2013-06-12,0.081,0.084,0.081,0.081,858100,MYR
2013-06-13,0.084,0.084,0.081,0.081,1719500,MYR
2013-06-14,0.081,0.084,0.081,0.084,1943100,MYR
2013-06-17,0.084,0.084,0.081,0.081,557000,MYR
2013-06-18,0.081,0.084,0.081,0.084,2155400,MYR
2013-06-19,0.084,0.084,0.081,0.081,2146100,MYR
2013-06-20,0.081,0.084,0.081,0.081,9713200,MYR
2013-06-21,0.081,0.081,0.081,0.081,601700,MYR
2013-06-24,0.081,0.081,0.078,0.081,447600,MYR
2013-06-25,0.081,0.081,0.078,0.078,1691000,MYR
2013-06-26,0.078,0.081,0.078,0.081,1122400,MYR
2013-06-27,0.081,0.081,0.078,0.081,67700,MYR
2013-06-28,0.081,0.084,0.078,0.081,8495000,MYR
2013-07-01,0.081,0.081,0.078,0.081,401300,MYR
2013-07-02,0.078,0.081,0.078,0.081,184800,MYR
2013-07-03,0.081,0.081,0.078,0.078,252700,MYR
2013-07-04,0.081,0.081,0.081,0.081,532300,MYR
2013-07-05,0.081,0.081,0.078,0.078,982000,MYR
2013-07-08,0.078,0.081,0.078,0.078,957700,MYR
2013-07-09,0.078,0.081,0.078,0.081,209800,MYR
2013-07-10,0.081,0.084,0.081,0.084,3930100,MYR
2013-07-11,0.087,0.091,0.084,0.084,30817600,MYR
2013-07-12,0.084,0.087,0.081,0.084,7783100,MYR
2013-07-15,0.084,0.084,0.081,0.081,766000,MYR
2013-07-16,0.084,0.084,0.081,0.084,1558100,MYR
2013-07-17,0.081,0.084,0.081,0.081,3917600,MYR
2013-07-18,0.081,0.084,0.081,0.081,1177200,MYR
2013-07-19,0.081,0.084,0.081,0.081,484300,MYR
2013-07-22,0.081,0.084,0.081,0.081,1363000,MYR
2013-07-23,0.081,0.081,0.081,0.081,2370900,MYR
2013-07-24,0.081,0.084,0.081,0.084,245300,MYR
2013-07-25,0.081,0.084,0.081,0.081,324200,MYR
2013-07-26,0.081,0.081,0.081,0.081,790300,MYR
